leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
NDL000007,Ryan M. Taylor,Ryan,M.,Taylor,,,False,nd,,,,10cad1541e194199a51bb9cfe4ccc9be,http://www.legis.nd.gov/images/62/senators/rtaylor.jpg,2011-11-28 22:24:16.738000,2013-01-07 16:42:29.063000
NDL000081,Joyce Kingsbury,Joyce,,Kingsbury,,,False,nd,,,,9d0475ddd8854ffa905cf34b6d99b7c5,http://www.legis.nd.gov/images/62/representatives/jkingsbury.jpg,2011-11-28 22:24:17.506000,2013-01-07 16:42:28.966000
NDL000132,Stacey Dahl,Stacey,,Dahl,,,False,nd,,,,,http://www.legis.nd.gov/images/62/representatives/stdahl.jpg,2011-11-28 22:24:18.006000,2013-01-07 16:42:28.965000
NDL000085,Lonny B. Winrich,Lonny,B.,Winrich,,,False,nd,,,,,http://www.legis.nd.gov/images/62/representatives/lbwinrich.jpg,2011-11-28 22:24:17.545000,2013-01-07 16:42:28.963000
NDL000056,Tom Conklin,Tom,,Conklin,,,False,nd,,,,ee5dcae7d5c94c108f678745bbf1b5b7,http://www.legis.nd.gov/images/62/representatives/tconklin.jpg,2011-11-28 22:24:17.247000,2013-01-07 16:42:28.955000
NDL000136,Donald L. Clark,Donald,L.,Clark,,,False,nd,,,,af22c7e60e374ac7b4cf84a3f91bc453,http://www.legis.nd.gov/images/62/representatives/donclark.jpg,2011-11-28 22:24:18.045000,2013-01-07 16:42:28.954000
NDL000144,Jim Roers,Jim,,Roers,,,False,nd,,,,,http://www.legis.nd.gov/images/62/senators/jroers.jpg,2012-04-18 16:13:29.972000,2013-01-07 16:42:29.121000
NDL000008,Layton Freborg,Layton,,Freborg,,,False,nd,,,,75f80e9450e248cdad200e2d69afd87c,http://www.legis.nd.gov/images/62/senators/lfreborg.jpg,2011-11-28 22:24:16.748000,2013-01-07 16:42:29.112000
NDL000019,Gerald Uglem,Gerald,,Uglem,,,False,nd,,,,a01045c61a9f4fe6bbbccc9ad8e70e19,http://www.legis.nd.gov/images/62/senators/guglem.jpg,2011-11-28 22:24:16.868000,2013-01-07 16:42:29.087000
NDL000010,Curtis Olafson,Curtis,,Olafson,,,False,nd,,,,4a2eef04a2c0400093f81a1868b81ee8,http://www.legis.nd.gov/images/62/senators/colafson.jpg,2011-11-28 22:24:16.768000,2013-01-07 16:42:29.117000
NDL000012,Dave Nething,Dave,,Nething,,,False,nd,,,,eaabdea377fa48c9900e9ef98274ecfb,http://www.legis.nd.gov/images/62/senators/dnething.jpg,2011-11-28 22:24:16.788000,2013-01-07 16:42:29.108000
NDL000038,George L. Nodland,George,L.,Nodland,,,False,nd,,,,,http://www.legis.nd.gov/images/62/senators/glnodland.jpg,2011-11-28 22:24:17.057000,2013-01-07 16:42:29.091000
NDL000096,Ralph Metcalf,Ralph,,Metcalf,,,False,nd,,,,29ba5eed1d5144788edc21551aff8050,http://www.legis.nd.gov/images/62/representatives/rmetcalf.jpg,2011-11-28 22:24:17.651000,2013-01-07 16:42:29.004000
NDL000080,Robert Kilichowski,Robert,,Kilichowski,,,False,nd,,,,fab96248af6e46729d5d525434399595,http://www.legis.nd.gov/images/62/representatives/rkilichowski.jpg,2011-11-28 22:24:17.496000,2013-01-07 16:42:29.020000
NDL000093,Vonnie Pietsch,Vonnie,,Pietsch,,,False,nd,,,,98360d715f9b4067a3deddea020256fe,http://www.legis.nd.gov/images/62/representatives/vpietsch.jpg,2011-11-28 22:24:17.622000,2013-01-07 16:42:29.022000
NDL000109,Dave Weiler,Dave,,Weiler,,,False,nd,,,,7df26692ed704e6db0d01d5256eaafea,http://www.legis.nd.gov/images/62/representatives/dweiler.jpg,2011-11-28 22:24:17.777000,2013-01-07 16:42:28.977000
NDL000076,Duane DeKrey,Duane,,DeKrey,,,False,nd,,,,67e85cd987084ecbb8772b1c69fe30fd,http://www.legis.nd.gov/images/62/representatives/ddekrey.jpg,2011-11-28 22:24:17.453000,2013-01-07 16:42:29.023000
NDL000032,Bob Stenehjem,Bob,,Stenehjem,,,False,nd,,,,9494f08ef56b4cc58a6dda7f65905bc0,http://www.legis.nd.gov/images/62/senators/bstenehjem.jpg,2011-11-28 22:24:16.998000,2012-06-05 19:52:53.366000
NDL000072,Lyle Hanson,Lyle,,Hanson,,,False,nd,,,,75bb9fd935b04116ace7e22855449519,http://www.legis.nd.gov/images/62/representatives/lhanson.jpg,2011-11-28 22:24:17.414000,2013-01-07 16:42:29.040000
NDL000120,Shirley Meyer,Shirley,,Meyer,,,False,nd,,,,d38cad623ba64375ac23017e71166ecc,http://www.legis.nd.gov/images/62/representatives/sjmeyer.jpg,2011-11-28 22:24:17.885000,2013-01-07 16:42:29.037000
NDL000097,Phillip Mueller,Phillip,,Mueller,,,False,nd,,,,,http://www.legis.nd.gov/images/62/representatives/pmueller.jpg,2011-11-28 22:24:17.661000,2013-01-07 16:42:29.039000
NDL000089,Lee Kaldor,Lee,,Kaldor,,,False,nd,,,,0a4726412fb14152b2409648907def4b,http://www.legis.nd.gov/images/62/representatives/lakaldor.jpg,2011-11-28 22:24:17.583000,2013-01-07 16:42:29.035000
NDL000116,RaeAnn G. Kelsch,RaeAnn,G.,Kelsch,,,False,nd,,,,,http://www.legis.nd.gov/images/62/representatives/rkelsch.jpg,2011-11-28 22:24:17.845000,2013-01-07 16:42:29.028000
NDL000065,Dwight Wrangham,Dwight,,Wrangham,,,False,nd,,,,81b8bdde3fcd452b829b6124052066c1,http://www.legis.nd.gov/images/62/representatives/dwrangham.jpg,2011-11-28 22:24:17.345000,2013-01-07 16:42:29.032000
NDL000020,Elroy N. Lindaas,Elroy,N.,Lindaas,,,False,nd,,,,1b5808f548ad4196b3514f2a90a70c9e,http://www.legis.nd.gov/images/61/senators/lindaas-elroy.jpg,2011-11-28 22:24:16.878000,2012-06-05 19:52:12.650000
NDL000048,Tom Fischer,Tom,,Fischer,,,False,nd,,,,056309cb8ec34eb795ed4ef5e0dd63c8,http://www.legis.nd.gov/images/62/senators/tfischer.jpg,2011-11-28 22:24:17.170000,2012-06-05 19:53:41.884000
NDL000035,Randel Christmann,Randel,,Christmann,,,False,nd,,,,b0d3265a6ffc4424904fdeda397bf5e8,http://www.legis.nd.gov/images/62/senators/rchristmann.jpg,2011-11-28 22:24:17.027000,2013-01-07 16:42:29.097000
NDL000073,Joe Kroeber,Joe,,Kroeber,,,False,nd,,,,0208d63ba30c421fbb6600551fc3c65b,http://www.legis.nd.gov/images/62/representatives/jkroeber.jpg,2011-11-28 22:24:17.423000,2013-01-07 16:42:29.009000
NDL000075,Representative Alon Wieland,Alon,,Wieland,,,True,nd,lower,13,Republican,f29d58e1218c4a0895f254074fb6322e,http://www.legis.nd.gov/files/styles/medium/public/person/photo/awieland.jpg?itok=PEhDqpsB,2011-11-28 22:24:17.443000,2013-03-01 03:33:27.527000
NDL000094,Representative Bill Devlin,Bill,,Devlin,,,True,nd,lower,23,Republican,4e2ee4202e9f4b549a1c222146669a85,http://www.legis.nd.gov/files/styles/medium/public/person/photo/bdevlin_1.jpg?itok=uxOwMml-,2011-11-28 22:24:17.632000,2013-03-01 03:33:27.364000
NDL000112,Representative Mark A. Dosch,Mark A.,,Dosch,,,True,nd,lower,32,Republican,9f9e45f4c9ba42a09e64d720ae8e8a6d,http://www.legis.nd.gov/files/styles/medium/public/person/photo/mdosch.jpg?itok=ekG5HVhf,2011-11-28 22:24:17.806000,2013-03-01 03:33:27.483000
NDL000057,Representative Kenton Onstad,Kenton,,Onstad,,,True,nd,lower,4,Democratic,e74d800d22774387b32f0a929a2fc5eb,http://www.legis.nd.gov/files/styles/medium/public/person/photo/konstad.jpg?itok=GvkvYNb2,2011-11-28 22:24:17.257000,2013-03-01 03:33:27.331000
NDL000202,Representative Marie Strinden,Marie,,Strinden,,,True,nd,lower,18,Democratic,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/mjstrinden.jpg?itok=hzZZq-dK,2013-01-07 16:42:27.943000,2013-03-01 03:33:27.651000
NDL000220,Representative Naomi Muscha,Naomi,,Muscha,,,True,nd,lower,24,Democratic,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/nmuscha.jpg?itok=cz_-oy2a,2013-01-07 16:42:28.066000,2013-03-01 03:33:27.779000
NDL000208,Representative Gail Mooney,Gail,,Mooney,,,True,nd,lower,20,Democratic,,http://www.legis.nd.gov/files/styles/medium/public/person/photo/gmooney.jpg?itok=w9We1C_L,2013-01-07 16:42:27.983000,2013-03-01 03:33:27.674000
NDL000058,Representative Roger Brabandt,Roger,,Brabandt,,,True,nd,lower,5,Republican,dfb2158644ea45069cf6d82b6d494895,http://www.legis.nd.gov/files/styles/medium/public/person/photo/rbrabandt.jpg?itok=k0wZyBcP,2011-11-28 22:24:17.267000,2013-03-01 03:33:27.725000
