state,session,chamber,bill_id,date,action,actor,type
ne,102,upper,LB 1,2011-02-10 00:00:00,"Approved by Governor on February 10, 2011",Governor,governor:signed
ne,102,upper,LB 1,2011-02-04 00:00:00,"Presented to Governor on  February 04, 2011",Governor,governor:received
ne,102,upper,LB 1,2011-02-04 00:00:00,President/Speaker signed,Speaker,other
ne,102,upper,LB 1,2011-02-04 00:00:00,Passed on Final Reading 48-0-1,upper,bill:passed
ne,102,upper,LB 1,2011-01-25 00:00:00,Placed on Final Reading,upper,bill:reading:3
ne,102,upper,LB 1,2011-01-24 00:00:00,Advanced to Enrollment and Review for Engrossment,upper,other
ne,102,upper,LB 1,2011-01-21 00:00:00,Placed on Select File,upper,bill:filed
ne,102,upper,LB 1,2011-01-20 00:00:00,Advanced to Enrollment and Review Initial,upper,other
ne,102,upper,LB 1,2011-01-10 00:00:00,Placed on General File,upper,bill:filed
ne,102,upper,LB 1,2011-01-06 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 10,2011-02-10 00:00:00,"Approved by Governor on February 10, 2011",Governor,governor:signed
ne,102,upper,LB 10,2011-02-04 00:00:00,"Presented to Governor on  February 04, 2011",Governor,governor:received
ne,102,upper,LB 10,2011-02-04 00:00:00,President/Speaker signed,Speaker,other
ne,102,upper,LB 10,2011-02-04 00:00:00,Passed on Final Reading 48-0-1,upper,bill:passed
ne,102,upper,LB 10,2011-01-25 00:00:00,Placed on Final Reading,upper,bill:reading:3
ne,102,upper,LB 10,2011-01-24 00:00:00,Advanced to Enrollment and Review for Engrossment,upper,other
ne,102,upper,LB 10,2011-01-21 00:00:00,Placed on Select File,upper,bill:filed
ne,102,upper,LB 10,2011-01-20 00:00:00,Advanced to Enrollment and Review Initial,upper,other
ne,102,upper,LB 10,2011-01-10 00:00:00,Placed on General File,upper,bill:filed
ne,102,upper,LB 10,2011-01-06 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 100,2011-04-14 00:00:00,"Approved by Governor on April 14, 2011",Governor,governor:signed
ne,102,upper,LB 100,2011-04-13 00:00:00,McGill explanation of vote,upper,other
ne,102,upper,LB 100,2011-04-11 00:00:00,"Presented to Governor on  April 08, 2011",Governor,governor:received
ne,102,upper,LB 100,2011-04-08 00:00:00,President/Speaker signed,Speaker,other
ne,102,upper,LB 100,2011-04-08 00:00:00,Passed on Final Reading 42-2-5,upper,bill:passed
ne,102,upper,LB 100,2011-03-30 00:00:00,Placed on Final Reading,upper,bill:reading:3
ne,102,upper,LB 100,2011-03-29 00:00:00,Advanced to Enrollment and Review for Engrossment,upper,other
ne,102,upper,LB 100,2011-03-16 00:00:00,Placed on Select File,upper,bill:filed
ne,102,upper,LB 100,2011-03-15 00:00:00,Pirsch name added,upper,other
ne,102,upper,LB 100,2011-03-15 00:00:00,Advanced to Enrollment and Review Initial,upper,other
ne,102,upper,LB 100,2011-03-15 00:00:00,Judiciary ,upper,other
ne,102,upper,LB 100,2011-03-09 00:00:00,Coash priority bill,upper,other
ne,102,upper,LB 100,2011-03-08 00:00:00,Judiciary ,upper,other
ne,102,upper,LB 100,2011-03-08 00:00:00,Placed on General File with ,upper,bill:filed
ne,102,upper,LB 100,2011-01-12 00:00:00,"Notice of hearing for January 21, 2011",upper,other
ne,102,upper,LB 100,2011-01-10 00:00:00,Referred to Judiciary Committee,upper,committee:referred
ne,102,upper,LB 100,2011-01-06 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1000,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1000,2012-01-25 00:00:00,"Notice of hearing for February 01, 2012",upper,other
ne,102,upper,LB 1000,2012-01-19 00:00:00,Referred to Judiciary Committee,upper,committee:referred
ne,102,upper,LB 1000,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1001,2012-04-11 00:00:00,"Approved by Governor on April 10, 2012",Governor,governor:signed
ne,102,upper,LB 1001,2012-04-04 00:00:00,"Presented to Governor on  April 04, 2012",Governor,governor:received
ne,102,upper,LB 1001,2012-04-04 00:00:00,President/Speaker signed,Speaker,other
ne,102,upper,LB 1001,2012-04-04 00:00:00,Passed on Final Reading 48-0-1,upper,bill:passed
ne,102,upper,LB 1001,2012-04-02 00:00:00,Placed on Final Reading,upper,bill:reading:3
ne,102,upper,LB 1001,2012-04-02 00:00:00,Advanced to Enrollment and Review for Engrossment,upper,other
ne,102,upper,LB 1001,2012-04-02 00:00:00,Enrollment and Review ,upper,other
ne,102,upper,LB 1001,2012-03-30 00:00:00,Enrollment and Review ,upper,other
ne,102,upper,LB 1001,2012-03-30 00:00:00,Placed on Select File with ,upper,bill:filed
ne,102,upper,LB 1001,2012-03-28 00:00:00,Advanced to Enrollment and Review Initial,upper,other
ne,102,upper,LB 1001,2012-03-28 00:00:00,McGill ,upper,other
ne,102,upper,LB 1001,2012-03-28 00:00:00,Urban Affairs ,upper,other
ne,102,upper,LB 1001,2012-03-27 00:00:00,McGill ,upper,other
ne,102,upper,LB 1001,2012-03-19 00:00:00,Urban Affairs ,upper,other
ne,102,upper,LB 1001,2012-03-19 00:00:00,Placed on General File with ,upper,bill:filed
ne,102,upper,LB 1001,2012-02-15 00:00:00,Urban Affairs priority bill,upper,other
ne,102,upper,LB 1001,2012-01-26 00:00:00,"Notice of hearing for February 14, 2012",upper,other
ne,102,upper,LB 1001,2012-01-19 00:00:00,Referred to Urban Affairs Committee,upper,committee:referred
ne,102,upper,LB 1001,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1002,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1002,2012-01-31 00:00:00,"Notice of hearing for February 23, 2012",upper,other
ne,102,upper,LB 1002,2012-01-19 00:00:00,Referred to Health and Human Services Committee,upper,committee:referred
ne,102,upper,LB 1002,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1003,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1003,2012-01-30 00:00:00,"Notice of hearing for February 06, 2012",upper,other
ne,102,upper,LB 1003,2012-01-19 00:00:00,"Referred to Banking, Commerce and Insurance Committee",upper,committee:referred
ne,102,upper,LB 1003,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1004,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1004,2012-01-23 00:00:00,"Notice of hearing for January 30, 2012",upper,other
ne,102,upper,LB 1004,2012-01-19 00:00:00,"Referred to Banking, Commerce and Insurance Committee",upper,committee:referred
ne,102,upper,LB 1004,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1005,2012-04-11 00:00:00,"Approved by Governor on April 10, 2012",Governor,governor:signed
ne,102,upper,LB 1005,2012-04-05 00:00:00,Sullivan explanation of vote,upper,other
ne,102,upper,LB 1005,2012-04-04 00:00:00,"Presented to Governor on  April 04, 2012",Governor,governor:received
ne,102,upper,LB 1005,2012-04-04 00:00:00,President/Speaker signed,Speaker,other
ne,102,upper,LB 1005,2012-04-04 00:00:00,Passed on Final Reading 44-0-5,upper,bill:passed
ne,102,upper,LB 1005,2012-04-02 00:00:00,Placed on Final Reading,upper,bill:reading:3
ne,102,upper,LB 1005,2012-03-30 00:00:00,Advanced to Enrollment and Review for Engrossment,upper,other
ne,102,upper,LB 1005,2012-03-30 00:00:00,Enrollment and Review ,upper,other
ne,102,upper,LB 1005,2012-03-27 00:00:00,Enrollment and Review ,upper,other
ne,102,upper,LB 1005,2012-03-27 00:00:00,Placed on Select File with ,upper,bill:filed
ne,102,upper,LB 1005,2012-03-22 00:00:00,Advanced to Enrollment and Review Initial,upper,other
ne,102,upper,LB 1005,2012-03-06 00:00:00,Placed on General File,upper,bill:filed
ne,102,upper,LB 1005,2012-01-25 00:00:00,"Notice of hearing for February 06, 2012",upper,other
ne,102,upper,LB 1005,2012-01-19 00:00:00,Referred to Business and Labor Committee,upper,committee:referred
ne,102,upper,LB 1005,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1006,2012-04-18 00:00:00,Provisions/Portions of ,upper,other
ne,102,upper,LB 1006,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1006,2012-02-27 00:00:00,Placed on General File,upper,bill:filed
ne,102,upper,LB 1006,2012-02-01 00:00:00,"Notice of hearing for February 22, 2012",upper,other
ne,102,upper,LB 1006,2012-01-19 00:00:00,"Referred to Government, Military and Veterans Affairs Committee",upper,committee:referred
ne,102,upper,LB 1006,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1007,2012-02-27 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1007,2012-02-07 00:00:00,"Notice of hearing for February 14, 2012",upper,other
ne,102,upper,LB 1007,2012-01-19 00:00:00,Referred to Executive Board,upper,committee:referred
ne,102,upper,LB 1007,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1008,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1008,2012-01-23 00:00:00,"Notice of hearing for January 30, 2012",upper,other
ne,102,upper,LB 1008,2012-01-19 00:00:00,Referred to Business and Labor Committee,upper,committee:referred
ne,102,upper,LB 1008,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1009,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1009,2012-01-25 00:00:00,"Notice of hearing for February 02, 2012",upper,other
ne,102,upper,LB 1009,2012-01-19 00:00:00,Referred to Judiciary Committee,upper,committee:referred
ne,102,upper,LB 1009,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 101,2011-02-08 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 101,2011-01-12 00:00:00,"Notice of hearing for January 20, 2011",upper,other
ne,102,upper,LB 101,2011-01-10 00:00:00,"Referred to Government, Military and Veterans Affairs Committee",upper,committee:referred
ne,102,upper,LB 101,2011-01-06 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1010,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1010,2012-01-24 00:00:00,"Notice of hearing for February 15, 2012",upper,other
ne,102,upper,LB 1010,2012-01-19 00:00:00,Referred to Health and Human Services Committee,upper,committee:referred
ne,102,upper,LB 1010,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1011,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1011,2012-02-15 00:00:00,"Notice of hearing for February 23, 2012",upper,other
ne,102,upper,LB 1011,2012-01-19 00:00:00,Referred to Revenue Committee,upper,committee:referred
ne,102,upper,LB 1011,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1012,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1012,2012-01-23 00:00:00,"Notice of hearing for January 30, 2012",upper,other
ne,102,upper,LB 1012,2012-01-19 00:00:00,Referred to Business and Labor Committee,upper,committee:referred
ne,102,upper,LB 1012,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1013,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1013,2012-02-01 00:00:00,"Notice of hearing for February 23, 2012",upper,other
ne,102,upper,LB 1013,2012-01-19 00:00:00,"Referred to Government, Military and Veterans Affairs Committee",upper,committee:referred
ne,102,upper,LB 1013,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1014,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1014,2012-02-01 00:00:00,"Notice of hearing for February 09, 2012",upper,other
ne,102,upper,LB 1014,2012-01-19 00:00:00,"Referred to Government, Military and Veterans Affairs Committee",upper,committee:referred
ne,102,upper,LB 1014,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1015,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1015,2012-02-02 00:00:00,Nordquist name added,upper,other
ne,102,upper,LB 1015,2012-02-02 00:00:00,Mello name added,upper,other
ne,102,upper,LB 1015,2012-01-25 00:00:00,"Notice of hearing for February 06, 2012",upper,other
ne,102,upper,LB 1015,2012-01-19 00:00:00,Referred to Appropriations Committee,upper,committee:referred
ne,102,upper,LB 1015,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1016,2012-04-18 00:00:00,Provisions/Portions of ,upper,other
ne,102,upper,LB 1016,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1016,2012-02-02 00:00:00,Howard name added,upper,other
ne,102,upper,LB 1016,2012-01-24 00:00:00,"Notice of hearing for February 01, 2012",upper,other
ne,102,upper,LB 1016,2012-01-19 00:00:00,Referred to Health and Human Services Committee,upper,committee:referred
ne,102,upper,LB 1016,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1017,2012-04-18 00:00:00,Provisions/Portions of ,upper,other
ne,102,upper,LB 1017,2012-04-18 00:00:00,Indefinitely postponed,upper,committee:failed
ne,102,upper,LB 1017,2012-01-25 00:00:00,"Notice of hearing for February 06, 2012",upper,other
ne,102,upper,LB 1017,2012-01-19 00:00:00,Referred to Appropriations Committee,upper,committee:referred
ne,102,upper,LB 1017,2012-01-17 00:00:00,Date of introduction,upper,bill:introduced
ne,102,upper,LB 1018,2012-04-02 00:00:00,"Approved by Governor on April 02, 2012",Governor,governor:signed
ne,102,upper,LB 1018,2012-03-27 00:00:00,"Presented to Governor on  March 27, 2012",Governor,governor:received
ne,102,upper,LB 1018,2012-03-27 00:00:00,President/Speaker signed,Speaker,other
ne,102,upper,LB 1018,2012-03-27 00:00:00,Passed on Final Reading 47-0-2,upper,bill:passed
ne,102,upper,LB 1018,2012-03-27 00:00:00,Dispensing of reading at large approved,upper,other
ne,102,upper,LB 1018,2012-02-28 00:00:00,Placed on Final Reading with ,upper,bill:reading:3
ne,102,upper,LB 1018,2012-02-24 00:00:00,Advanced to Enrollment and Review for Engrossment,upper,other
ne,102,upper,LB 1018,2012-02-24 00:00:00,McCoy ,upper,other
ne,102,upper,LB 1018,2012-02-24 00:00:00,Enrollment and Review ,upper,other
ne,102,upper,LB 1018,2012-02-23 00:00:00,McCoy ,upper,other
ne,102,upper,LB 1018,2012-02-23 00:00:00,Enrollment and Review ,upper,other
ne,102,upper,LB 1018,2012-02-23 00:00:00,Placed on Select File with ,upper,bill:filed
