vote_id,leg_id,name,vote
NEV00000901,NEL000024,Adams,yes
NEV00000901,NEL000027,Coash,yes
NEV00000901,NEL000048,Harms,yes
NEV00000901,NEL000012,Lathrop,yes
NEV00000901,NEL000065,Scheer,yes
NEV00000901,NEL000020,Ashford,yes
NEV00000901,NEL000046,Conrad,yes
NEV00000901,NEL000008,"Harr, B.",yes
NEV00000901,NEL000018,Lautenbaugh,yes
NEV00000901,NEL000047,Schilz,yes
NEV00000901,NEL000028,Avery,yes
NEV00000901,NEL000013,Cook,yes
NEV00000901,NEL000056,Howard,yes
NEV00000901,NEL000039,McCoy,yes
NEV00000901,NEL000022,Schumacher,yes
NEV00000901,NEL000017,Bloomfield,yes
NEV00000901,NEL000063,Crawford,yes
NEV00000901,NEL000015,Janssen,yes
NEV00000901,NEL000026,McGill,yes
NEV00000901,NEL000053,Seiler,yes
NEV00000901,NEL000060,Bolz,yes
NEV00000901,NEL000062,Davis,yes
NEV00000901,NEL000059,Johnson,yes
NEV00000901,NEL000005,Mello,yes
NEV00000901,NEL000014,Smith,yes
NEV00000901,NEL000016,Brasch,yes
NEV00000901,NEL000034,Dubas,yes
NEV00000901,NEL000032,Karpisek,yes
NEV00000901,NEL000064,Murante,yes
NEV00000901,NEL000041,Sullivan,yes
NEV00000901,NEL000025,Campbell,yes
NEV00000901,NEL000035,Gloor,yes
NEV00000901,NEL000055,Kintner,yes
NEV00000901,NEL000006,Nelson,yes
NEV00000901,NEL000030,Wallman,yes
NEV00000901,NEL000038,Carlson,yes
NEV00000901,NEL000021,"Haar, K.",yes
NEV00000901,NEL000061,Kolowski,yes
NEV00000901,NEL000007,Nordquist,yes
NEV00000901,NEL000054,Watermeier,yes
NEV00000901,NEL000057,Chambers,yes
NEV00000901,NEL000037,Hadley,yes
NEV00000901,NEL000010,Krist,yes
NEV00000901,NEL000004,Pirsch,yes
NEV00000901,NEL000036,Wightman,yes
NEV00000901,NEL000044,Christensen,yes
NEV00000901,NEL000042,Hansen,yes
NEV00000901,NEL000040,Larson,yes
NEV00000901,NEL000003,Price,yes
NEV00000902,NEL000024,Adams,yes
NEV00000902,NEL000027,Coash,yes
NEV00000902,NEL000048,Harms,yes
NEV00000902,NEL000012,Lathrop,yes
NEV00000902,NEL000065,Scheer,yes
NEV00000902,NEL000020,Ashford,yes
NEV00000902,NEL000046,Conrad,yes
NEV00000902,NEL000008,"Harr, B.",yes
NEV00000902,NEL000018,Lautenbaugh,yes
NEV00000902,NEL000047,Schilz,yes
NEV00000902,NEL000028,Avery,yes
NEV00000902,NEL000013,Cook,yes
NEV00000902,NEL000056,Howard,yes
NEV00000902,NEL000039,McCoy,yes
NEV00000902,NEL000022,Schumacher,yes
