state,session,chamber,bill_id,type,name,leg_id
ne,102,upper,LB 1,primary,"Executive Board: Wightman, Chairperson",
ne,102,upper,LB 10,primary,"Executive Board: Wightman, Chairperson",
ne,102,upper,LB 100,primary,Coash,NEL000027
ne,102,upper,LB 1000,primary,McGill,NEL000026
ne,102,upper,LB 1001,primary,McGill,NEL000026
ne,102,upper,LB 1002,primary,Sullivan,NEL000041
ne,102,upper,LB 1003,primary,Schumacher,NEL000022
ne,102,upper,LB 1004,primary,Schumacher,NEL000022
ne,102,upper,LB 1005,primary,Lambert,NEL000052
ne,102,upper,LB 1006,primary,Fulton,NEL000029
ne,102,upper,LB 1007,primary,Fulton,NEL000029
ne,102,upper,LB 1008,primary,Fulton,NEL000029
ne,102,upper,LB 1009,primary,Ashford,NEL000020
ne,102,upper,LB 101,primary,Schilz,NEL000047
ne,102,upper,LB 1010,primary,Nordquist,NEL000007
ne,102,upper,LB 1011,primary,Dubas,NEL000034
ne,102,upper,LB 1012,primary,Lautenbaugh,NEL000018
ne,102,upper,LB 1013,primary,Mello,NEL000005
ne,102,upper,LB 1014,primary,Conrad,NEL000046
ne,102,upper,LB 1015,primary,Conrad,NEL000046
ne,102,upper,LB 1016,primary,Conrad,NEL000046
ne,102,upper,LB 1017,primary,Conrad,NEL000046
ne,102,upper,LB 1018,primary,Conrad,NEL000046
ne,102,upper,LB 1019,primary,Harms,NEL000048
ne,102,upper,LB 102,primary,Schilz,NEL000047
ne,102,upper,LB 1020,primary,Nordquist,NEL000007
ne,102,upper,LB 1020A,primary,Nordquist,NEL000007
ne,102,upper,LB 1021,primary,Schilz,NEL000047
ne,102,upper,LB 1022,primary,Nordquist,NEL000007
ne,102,upper,LB 1023,primary,Avery,NEL000028
ne,102,upper,LB 1024,primary,Avery,NEL000028
ne,102,upper,LB 1025,primary,Avery,NEL000028
ne,102,upper,LB 1026,primary,Avery,NEL000028
ne,102,upper,LB 1027,primary,Cook,NEL000013
ne,102,upper,LB 1028,primary,Cook,NEL000013
ne,102,upper,LB 1029,primary,Lambert,NEL000052
ne,102,upper,LB 103,primary,Schilz,NEL000047
ne,102,upper,LB 1030,primary,Hansen,NEL000042
ne,102,upper,LB 1031,primary,Harr,NEL000008
ne,102,upper,LB 1032,primary,Wightman,NEL000036
ne,102,upper,LB 1033,primary,Cornett,NEL000045
ne,102,upper,LB 1034,primary,Nordquist,NEL000007
ne,102,upper,LB 1035,primary,Sullivan,NEL000041
ne,102,upper,LB 1036,primary,Nordquist,NEL000007
ne,102,upper,LB 1037,primary,Nelson,NEL000006
ne,102,upper,LB 1038,primary,Council,NEL000011
ne,102,upper,LB 1039,primary,Brasch,NEL000016
ne,102,upper,LB 104,primary,Schilz,NEL000047
ne,102,upper,LB 1040,primary,Schilz,NEL000047
ne,102,upper,LB 1041,primary,Cook,NEL000013
