state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ne,103,upper,LB 1,NEV00000901,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 2,NEV00000902,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 16,NEV00000903,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 35,NEV00000905,upper,Shall the bill pass with the emergency clause attached?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 72,NEV00000906,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 87,NEV00000907,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 91,NEV00000908,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 100,NEV00000909,upper,Shall the bill pass with the emergency clause attached?,2013-02-11 00:00:00,passage,47,0,2
ne,103,upper,LB 102,NEV00000910,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 111,NEV00000911,upper,Shall the bill pass with the emergency clause attached?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 112,NEV00000912,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 113,NEV00000913,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,49,0,0
ne,103,upper,LB 125,NEV00000914,upper,Shall the bill pass with the emergency clause attached?,2013-02-11 00:00:00,passage,44,4,1
ne,103,upper,LB 146,NEV00000915,upper,Shall the bill pass with the emergency clause attached?,2013-02-11 00:00:00,passage,48,0,1
ne,103,upper,LB 155,NEV00000916,upper,Shall the bill pass?,2013-02-11 00:00:00,passage,48,0,1
ne,102,upper,LR 355,NEV00000674,upper,Shall the bill pass notwithstanding the objections of the Governor?,2011-05-25 00:00:00,passage,20,19,10
ne,102,upper,LB 1,NEV00000351,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 2,NEV00000352,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 3,NEV00000353,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,47,0,2
ne,102,upper,LB 4,NEV00000354,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 5,NEV00000355,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 6,NEV00000356,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 7,NEV00000357,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 8,NEV00000358,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 9,NEV00000359,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 10,NEV00000360,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 11,NEV00000361,upper,Shall the bill pass?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 12,NEV00000362,upper,Shall the bill pass?,2011-03-04 00:00:00,passage,45,0,4
ne,102,upper,LB 14,NEV00000363,upper,Shall the bill pass?,2012-04-11 00:00:00,passage,39,9,1
ne,102,upper,LB 15,NEV00000364,upper,Shall the bill pass?,2011-05-11 00:00:00,passage,44,0,5
ne,102,upper,LB 17,NEV00000365,upper,Shall the bill pass?,2011-05-11 00:00:00,passage,44,0,5
ne,102,upper,LB 18,NEV00000366,upper,Shall the bill pass with the emergency clause attached?,2011-02-04 00:00:00,passage,48,0,1
ne,102,upper,LB 19,NEV00000367,upper,Shall the bill pass with the emergency clause attached?,2011-02-16 00:00:00,passage,49,0,0
ne,102,upper,LB 20,NEV00000368,upper,Shall the bill pass?,2011-04-08 00:00:00,passage,44,0,5
ne,102,upper,LB 22,NEV00000369,upper,Shall the bill pass?,2011-05-12 00:00:00,passage,37,7,5
ne,102,upper,LB 23,NEV00000370,upper,Shall the bill pass?,2011-02-16 00:00:00,passage,49,0,0
ne,102,upper,LB 24,NEV00000371,upper,Shall the bill pass?,2011-03-04 00:00:00,passage,45,0,4
ne,102,upper,LB 25,NEV00000372,upper,Shall the bill pass?,2011-03-04 00:00:00,passage,45,0,4
ne,102,upper,LB 26,NEV00000373,upper,Shall the bill pass with the emergency clause attached?,2011-03-04 00:00:00,passage,45,0,4
ne,102,upper,LB 27,NEV00000374,upper,Shall the bill pass?,2011-04-08 00:00:00,passage,42,0,7
ne,102,upper,LB 28,NEV00000375,upper,Shall the bill pass?,2011-02-16 00:00:00,passage,49,0,0
ne,102,upper,LB 29,NEV00000376,upper,Shall the bill pass?,2011-02-16 00:00:00,passage,47,0,2
ne,102,upper,LB 30,NEV00000377,upper,Shall the bill pass?,2011-02-16 00:00:00,passage,49,0,0
ne,102,upper,LB 31,NEV00000378,upper,Shall the bill pass?,2011-04-08 00:00:00,passage,42,0,7
ne,102,upper,LB 32,NEV00000379,upper,Shall the bill pass?,2011-04-08 00:00:00,passage,42,0,7
ne,102,upper,LB 34,NEV00000380,upper,Shall the bill pass?,2011-04-08 00:00:00,passage,43,0,6
ne,102,upper,LB 35,NEV00000381,upper,Shall the bill pass?,2011-04-20 00:00:00,passage,46,0,3
ne,102,upper,LB 36,NEV00000382,upper,Shall the bill pass?,2011-03-04 00:00:00,passage,41,0,8
ne,102,upper,LB 40,NEV00000383,upper,Shall the bill pass with the emergency clause attached?,2012-04-05 00:00:00,passage,49,0,0
ne,102,upper,LB 41,NEV00000384,upper,Shall the bill pass?,2011-04-08 00:00:00,passage,44,0,5
ne,102,upper,LB 42,NEV00000385,upper,Shall the bill pass?,2012-03-27 00:00:00,passage,46,0,3
ne,102,upper,LB 43,NEV00000386,upper,Shall the bill pass?,2011-03-04 00:00:00,passage,45,0,4
