state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ne,102,upper,LB 1,Revisor bill to repeal an obsolete statute relating to the Republican River,2011-09-22 17:37:49.820000,2012-10-18 01:04:37.289000,bill,
ne,102,upper,LB 10,Revisor bill to clarify reference to the Nebraska Retirement Systems Committee,2011-09-22 17:37:49.936000,2012-10-18 01:04:37.623000,bill,
ne,102,upper,LB 100,Change provisions relating to the criminal responsibility of intoxicated persons and the insanity defense,2011-09-22 17:37:50.988000,2012-09-01 01:30:57.746000,bill,
ne,102,upper,LB 1000,Change certain marriage related fees,2012-08-31 01:32:29.972000,2012-09-01 01:31:12.139000,bill,
ne,102,upper,LB 1001,Eliminate provisions relating to the state building code,2012-08-31 01:32:30.014000,2012-09-01 01:31:12.144000,bill,
ne,102,upper,LB 1002,Change long-term care bed moratorium provisions,2012-08-31 01:32:30.024000,2012-11-01 01:02:33.367000,bill,
ne,102,upper,LB 1003,Change motor vehicle liability insurance and financial responsibility requirements,2012-08-31 01:32:30.033000,2012-09-01 01:31:12.152000,bill,
ne,102,upper,LB 1004,Authorize credit unions to receive deposits of public funds,2012-08-31 01:32:30.041000,2012-09-01 01:31:12.155000,bill,
ne,102,upper,LB 1005,Include state emergency response teams under the Volunteer Emergency Responders Job Protection Act,2012-08-31 01:32:30.062000,2012-09-01 01:31:12.239000,bill,
ne,102,upper,LB 1006,Change bidding provisions relating to vendors who are blind or visually impaired,2012-08-31 01:32:30.077000,2012-09-01 01:31:12.247000,bill,
ne,102,upper,LB 1007,Require production costs of reports submitted to the Legislature to be stated on the reports,2012-08-31 01:32:30.091000,2012-09-01 01:31:12.250000,bill,
ne,102,upper,LB 1008,Provide for utilization and treatment guidelines for medical services under the Nebraska Workers' Compensation Act,2012-08-31 01:32:30.100000,2012-09-01 01:31:12.253000,bill,
ne,102,upper,LB 1009,Provide that probation records are not subject to disclosure,2012-08-31 01:32:30.111000,2012-09-01 01:31:12.257000,bill,
ne,102,upper,LB 101,Eliminate daylight savings time,2011-09-22 17:37:50.997000,2012-09-01 01:30:57.830000,bill,
