id,state,chamber,committee,subcommittee,parent_id
NEC000023,ne,upper,Legislative Performance Audit,,
NEC000025,ne,upper,State Tribal Relations,,
NEC000004,ne,upper,Business and Labor,,
NEC000012,ne,upper,Revenue,,
NEC000022,ne,upper,Building Maintenance,,
NEC000002,ne,upper,Appropriations,,
NEC000003,ne,upper,"Banking, Commerce and Insurance",,
NEC000005,ne,upper,Education,,
NEC000006,ne,upper,General Affairs,,
NEC000008,ne,upper,Health and Human Services,,
NEC000009,ne,upper,Judiciary,,
NEC000010,ne,upper,Natural Resources,,
NEC000011,ne,upper,Nebraska Retirement Systems,,
NEC000013,ne,upper,Transportation and Telecommunications,,
NEC000015,ne,upper,Committee on Committees,,
NEC000016,ne,upper,Enrollment and Review,,
NEC000021,ne,upper,Executive Board of the Legislative Council,,
NEC000001,ne,upper,Agriculture,,
NEC000007,ne,upper,"Government, Military and Veterans Affairs",,
NEC000014,ne,upper,Urban Affairs,,
NEC000017,ne,upper,Rules,,
NEC000024,ne,upper,Legislature's Planning Committee,,
