state,session,chamber,bill_id,date,action,actor,type
nh,2011,lower,CACR 1,2010-12-30 12:40:35,"Introduced 1/5/2011 and Referred to Election Law; HJ 8, PG.131",lower,bill:introduced|committee:referred
nh,2011,lower,CACR 1,2011-01-13 11:21:53,Public Hearing: 1/18/2011 2:00 PM LOB 308,lower,other
nh,2011,lower,CACR 1,2011-01-26 12:19:39,Executive Session: 2/1/2011 10:30 AM LOB 308,lower,other
nh,2011,lower,CACR 1,2011-02-03 12:49:30,"Committee Report: Inexpedient to Legislate for Feb 9 (Vote 18-0; CC); HC 12, PG.201",lower,committee:passed:unfavorable
nh,2011,lower,CACR 1,2011-02-09 12:28:59,"Inexpedient to Legislate: MA VV; HJ 16, PG.311",lower,committee:passed:unfavorable
nh,2011,lower,CACR 10,2011-01-25 01:48:44,"Introduced 1/6/2011 and Referred to Ways and Means; HJ 11, PG. 196",lower,bill:introduced|committee:referred
nh,2011,lower,CACR 10,2011-02-09 03:00:36,Public Hearing: 2/24/2011 11:00 AM LOB 202,lower,other
nh,2011,lower,CACR 10,2011-02-23 11:00:06,Executive Session: 3/9/2011 1:00 PM LOB 202  ==TIME CHANGE (Orig 2:00 PM)==,lower,other
nh,2011,lower,CACR 10,2011-03-09 02:39:58,"Committee Report: Inexpedient to Legislate for Mar 15 (Vote 19-0; CC); HC 22, PG.543",lower,committee:passed:unfavorable
nh,2011,lower,CACR 10,2011-03-15 05:05:36,"Inexpedient to Legislate: MA VV; HJ 26, PG.741",lower,committee:passed:unfavorable
nh,2011,lower,CACR 11,2011-01-25 11:57:29,"Introduced 1/6/2011 and Referred to Judiciary; HJ 11, PG. 196",lower,bill:introduced|committee:referred
nh,2011,lower,CACR 11,2011-02-16 10:04:56,Public Hearing: 2/22/2011 1:00 PM LOB 208,lower,other
nh,2011,lower,CACR 11,2011-02-23 09:59:04,Executive Session: 3/1/2011 1:00 PM LOB 208,lower,other
nh,2011,lower,CACR 11,2011-03-01 09:14:19,"Retained in Committee; HC 27, PG.824",lower,other
nh,2011,lower,CACR 11,2011-09-15 10:41:53,Retained Bill - Subcommittee Work Session: 10/4/2011 11:00 AM LOB 208,lower,other
nh,2011,lower,CACR 11,2011-09-15 03:27:45,Retained Bill - Executive Session: 10/25/2011 11:00 AM LOB 208,lower,other
nh,2011,lower,CACR 11,2011-11-02 12:46:16,"Committee Report: Inexpedient to Legislate for Jan 4 (Vote 10-6; RC); HC 70, PG.2221",lower,committee:passed:unfavorable
nh,2011,lower,CACR 12,2011-01-25 11:49:41,"Introduced 1/6/2011 and Referred to Special Committee on Education Funding Reform; HJ 11, PG. 196",lower,bill:introduced|committee:referred
nh,2011,lower,CACR 12,2011-02-08 01:55:37,Public Hearing: 2/18/2011 11:00 AM LOB 205-207  ==RECESSED==,lower,other
nh,2011,lower,CACR 12,2011-02-24 08:22:45,==CANCELLED== Continued Public Hearing: 3/3/2011 9:30 AM LOB 305,lower,other
nh,2011,lower,CACR 12,2011-02-24 02:08:39,Full Committee Work Session: 3/4/2011 9:30 AM LOB 207,lower,other
nh,2011,lower,CACR 12,2011-02-24 03:10:01,==CANCELLED== Executive Session: 3/4/2011 10:00 AM LOB 207,lower,other
nh,2011,lower,CACR 12,2011-03-02 11:04:15,Continued Public Hearing: 3/9/2011 9:30 AM LOB 203 ==Executive session to follow==,lower,other
