state,session,chamber,bill_id,type,name,leg_id
nh,2011,lower,CACR 1,primary,Charles E Sova,NHL000364
nh,2011,lower,CACR 10,primary,Robert J Malone,NHL000229
nh,2011,lower,CACR 11,primary,Harold T Reilly,NHL000311
nh,2011,lower,CACR 11,cosponsor,Paul H Simard,NHL000351
nh,2011,lower,CACR 11,cosponsor,William B Tobin,NHL000389
nh,2011,lower,CACR 11,cosponsor,Charles J Brosseau,NHL000058
nh,2011,lower,CACR 12,primary,David W Hess,NHL000166
nh,2011,lower,CACR 12,cosponsor,John A Graham,NHL000150
nh,2011,lower,CACR 12,cosponsor,Sherman A Packard,NHL000273
nh,2011,lower,CACR 12,cosponsor,Shawn N Jasper,NHL000187
nh,2011,lower,CACR 12,cosponsor,Neal M Kurk,NHL000206
nh,2011,lower,CACR 12,cosponsor,David J Bettencourt,NHL000050
nh,2011,lower,CACR 13,primary,Paul Mirski,NHL000250
nh,2011,lower,CACR 13,cosponsor,David J Bettencourt,NHL000050
nh,2011,lower,CACR 13,cosponsor,Daniel J Tamburello,NHL000379
nh,2011,lower,CACR 13,cosponsor,William L O'Brien,NHL000263
nh,2011,lower,CACR 13,cosponsor,Jeb Bradley,NHL000003
nh,2011,lower,CACR 13,cosponsor,Chuck W Morse,NHL000018
nh,2011,lower,CACR 13,cosponsor,Kenneth L Weyler,NHL000415
nh,2011,lower,CACR 13,cosponsor,David R Boutin,NHL000002
nh,2011,lower,CACR 2,primary,Charles E Sova,NHL000364
nh,2011,lower,CACR 2,cosponsor,Paul Mirski,NHL000250
nh,2011,lower,CACR 2,cosponsor,Tony F Soltani,NHL000360
nh,2011,lower,CACR 3,primary,Jerry E Bergevin,NHL000048
nh,2011,lower,CACR 3,cosponsor,Kathleen F Souza,NHL000363
nh,2011,lower,CACR 3,cosponsor,William J Infantine,NHL000183
nh,2011,lower,CACR 3,cosponsor,Phil J Greazzo,NHL000152
nh,2011,lower,CACR 3,cosponsor,Connie M Soucy,NHL000362
nh,2011,lower,CACR 4,primary,Alfred P Baldasaro,NHL000037
nh,2011,lower,CACR 4,cosponsor,Jennifer R Coffey,NHL000086
nh,2011,lower,CACR 4,cosponsor,Daniel C Itse,NHL000186
nh,2011,lower,CACR 6,primary,Jordan G Ulery,NHL000396
nh,2011,lower,CACR 6,cosponsor,Andrew Renzullo,NHL000313
nh,2011,lower,CACR 7,primary,Gary B Richardson,NHL000317
nh,2011,lower,CACR 7,cosponsor,David B Campbell,NHL000071
nh,2011,lower,CACR 8,primary,Daniel C Itse,NHL000186
nh,2011,lower,CACR 8,cosponsor,Paul C Ingbretson,NHL000184
nh,2011,lower,CACR 8,cosponsor,Timothy P Comerford,NHL000088
nh,2011,lower,CACR 8,cosponsor,Paul Mirski,NHL000250
nh,2011,lower,CACR 8,cosponsor,Gregory M Sorg,NHL000361
nh,2011,lower,CACR 8,cosponsor,"John S Barnes, Jr.",NHL000001
nh,2011,lower,CACR 9,primary,Daniel C Itse,NHL000186
nh,2011,lower,CACR 9,cosponsor,Paul C Ingbretson,NHL000184
nh,2011,lower,CACR 9,cosponsor,Timothy P Comerford,NHL000088
nh,2011,lower,CACR 9,cosponsor,Paul Mirski,NHL000250
nh,2011,lower,CACR 9,cosponsor,Andrew J Manuse,NHL000231
nh,2011,lower,CACR 9,cosponsor,Carl W Seidel,NHL000343
nh,2011,lower,HB 1,primary,Kenneth L Weyler,NHL000415
nh,2011,lower,HB 101,primary,Derek Owen,NHL000272
nh,2011,lower,HB 101,cosponsor,Tara A Sad,NHL000329
nh,2011,lower,HB 102,primary,Marshall E Quandt,NHL000302
nh,2011,lower,HB 102,cosponsor,Matt J Quandt,NHL000303
nh,2011,lower,HB 102,cosponsor,Wyman E Shuler,NHL000348
nh,2011,lower,HB 102,cosponsor,Sharon M Carson,NHL000005
nh,2011,lower,HB 103,primary,Harold T Reilly,NHL000311
nh,2011,lower,HB 103,cosponsor,Paul H Simard,NHL000351
nh,2011,lower,HB 104,primary,Timothy O Horrigan,NHL000178
nh,2011,lower,HB 105,primary,Rick M Ladd,NHL000208
nh,2011,lower,HB 105,cosponsor,Ralph G Boehm,NHL000053
nh,2011,lower,HB 105,cosponsor,Joseph W Fleck,NHL000128
nh,2011,lower,HB 106,primary,Kenneth   Hawkins,NHL000164
nh,2011,lower,HB 106,cosponsor,John A Graham,NHL000150
nh,2011,lower,HB 107,primary,John B Hunt,NHL000180
nh,2011,lower,HB 108,primary,Kenneth W Sheffert,NHL000347
nh,2011,lower,HB 108,cosponsor,Chris F Nevins,NHL000258
nh,2011,lower,HB 108,cosponsor,Nancy F Stiles,NHL000023
nh,2011,lower,HB 109,primary,John B Hunt,NHL000180
nh,2011,lower,HB 110,primary,Rick M Ladd,NHL000208
nh,2011,lower,HB 110,cosponsor,Susan   Emerson,NHL000120
nh,2011,lower,HB 110,cosponsor,Stephen J Shurtleff,NHL000349
nh,2011,lower,HB 111,primary,Sandra B Keans,NHL000198
nh,2011,lower,HB 111,cosponsor,Frank G Case,NHL000074
nh,2011,lower,HB 111,cosponsor,Alida I Millham,NHL000249
nh,2011,lower,HB 111,cosponsor,Donna L Schlachman,NHL000335
nh,2011,lower,HB 112,primary,J. David Knox,NHL000201
nh,2011,lower,HB 112,cosponsor,Betsey L Patten,NHL000283
nh,2011,lower,HB 112,cosponsor,Christopher J Ahlgren,NHL000028
nh,2011,lower,HB 112,cosponsor,Stephen J Schmidt,NHL000338
nh,2011,lower,HB 112,cosponsor,Jeffrey L St. Cyr,NHL000368
nh,2011,lower,HB 112,cosponsor,Jeb Bradley,NHL000003
nh,2011,lower,HB 113,primary,Steve Vaillancourt,NHL000398
nh,2011,lower,HB 114,primary,Janet G Wall,NHL000403
nh,2011,lower,HB 115,primary,Jordan G Ulery,NHL000396
nh,2011,lower,HB 115,cosponsor,Carl W Seidel,NHL000343
nh,2011,lower,HB 115,cosponsor,David A Welch,NHL000414
nh,2011,lower,HB 116,primary,Betsey L Patten,NHL000283
nh,2011,lower,HB 116,cosponsor,J. David Knox,NHL000201
nh,2011,lower,HB 117,primary,Brian D Rhodes,NHL000314
nh,2011,lower,HB 117,cosponsor,Gary E Lambert,NHL000014
nh,2011,lower,HB 117,cosponsor,Richard W Hinch,NHL000169
nh,2011,lower,HB 118,primary,Brian D Rhodes,NHL000314
nh,2011,lower,HB 118,cosponsor,Ted Rokas,NHL000325
nh,2011,lower,HB 118,cosponsor,Richard W Hinch,NHL000169
nh,2011,lower,HB 118,cosponsor,Gary E Lambert,NHL000014
nh,2011,lower,HB 119,primary,Charles L Townsend,NHL000390
nh,2011,lower,HB 119,cosponsor,Naida L Kaen,NHL000193
nh,2011,lower,HB 120,primary,Rich T DiPentima,NHL000110
nh,2011,lower,HB 120,cosponsor,Alida I Millham,NHL000249
nh,2011,lower,HB 121,primary,Shawn N Jasper,NHL000187
nh,2011,lower,HB 122,primary,James R MacKay,NHL000226
nh,2011,lower,HB 122,cosponsor,James P Pilliod,NHL000294
nh,2011,lower,HB 122,cosponsor,Daniel C Itse,NHL000186
nh,2011,lower,HB 122,cosponsor,Sharon M Carson,NHL000005
nh,2011,lower,HB 123,primary,Steven W Lindsey,NHL000218
nh,2011,lower,HB 124,primary,Jordan G Ulery,NHL000396
nh,2011,lower,HB 124,cosponsor,Andrew Renzullo,NHL000313
nh,2011,lower,HB 124,cosponsor,Robert H Haefner,NHL000156
nh,2011,lower,HB 125,primary,Daniel C Itse,NHL000186
nh,2011,lower,HB 125,cosponsor,Timothy P Comerford,NHL000088
