state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nh,2012,upper,SB 409,NHV00000788,upper,Ought to Pass with Amendment,2012-03-28 00:00:00,other,13,11,0
nh,2011,upper,SB 27,NHV00000001,lower,ITL,2011-05-18 02:26:00,other,276,75,42
nh,2011,upper,SB 27,NHV00000002,upper,Ought to Pass with Amendment,2011-03-23 12:00:00,other,13,11,0
nh,2011,upper,SB 146,NHV00000003,lower,OTP/AM 1883H,2011-05-18 11:18:00,other,257,101,39
nh,2011,upper,SB 146,NHV00000004,upper,Ought to Pass,2011-03-09 12:00:00,other,22,1,1
nh,2011,upper,SB 91,NHV00000005,lower,OTP/AM 1415H,2011-04-27 02:50:00,other,223,91,73
nh,2011,upper,SB 192,NHV00000006,lower,ITL,2011-05-25 11:34:00,other,273,105,19
nh,2011,upper,SB 183,NHV00000007,lower,OTP/AM 1982H (NT),2011-06-01 12:04:00,other,260,110,24
nh,2011,upper,SB 40,NHV00000008,lower,FLAM 2163H(NT) (REP WEYLER),2011-05-25 12:26:00,other,272,108,19
nh,2011,upper,SB 40,NHV00000009,upper,Non-concur with House Amendment,2011-06-01 12:00:00,other,13,11,0
nh,2011,upper,SB 88,NHV00000010,lower,LAY FLAM 2235H (NT) ON TABLE (REP SWINFORD),2011-06-01 09:32:00,other,257,92,50
nh,2011,upper,SB 88,NHV00000011,lower,OTP/AM 2156H (NT),2011-06-01 09:43:00,other,248,111,38
nh,2011,upper,SB 88,NHV00000012,upper,Ought to Pass with Amendment,2011-03-30 12:00:00,other,17,7,0
nh,2011,upper,SB 78,NHV00000013,lower,AM 1519H(NT),2011-04-27 03:16:00,other,201,108,80
nh,2011,upper,SB 78,NHV00000014,lower,OTP/AM 1519H(NT),2011-04-27 03:33:00,other,208,98,82
nh,2011,upper,SB 78,NHV00000015,upper,Ought to Pass,2011-03-23 12:00:00,other,19,5,0
nh,2011,upper,SB 156,NHV00000016,lower,FLAM 1609H(NT) (REP K.MURPHY),2011-04-27 11:30:00,other,130,218,50
nh,2011,upper,SB 156,NHV00000017,lower,LAY ON THE TABLE (REP STEVEN SMITH),2011-04-27 12:19:00,other,97,249,52
nh,2011,upper,SB 156,NHV00000018,lower,OTP/AM 1534H,2011-04-27 12:43:00,other,176,166,53
nh,2011,upper,SB 156,NHV00000019,lower,RECONSIDERATION (REP BETTENCOURT),2011-04-27 12:45:00,other,131,211,53
nh,2011,upper,SB 160,NHV00000020,lower,OTP,2011-05-04 12:12:00,other,179,186,29
nh,2011,upper,SB 160,NHV00000021,lower,LAY ON THE TABLE (REP BETTENCOURT),2011-05-04 12:15:00,other,160,206,29
nh,2011,upper,SB 160,NHV00000022,lower,ITL (REP SOLTANI),2011-05-04 12:21:00,other,183,184,28
nh,2011,upper,SB 160,NHV00000023,upper,Ought to Pass with Amendment,2011-03-16 12:00:00,other,13,11,0
nh,2011,upper,SB 160,NHV00000024,upper,Ought to Pass,2011-03-30 12:00:00,other,13,11,0
nh,2011,upper,SB 58,NHV00000025,lower,OTP/AM 1580H,2011-05-04 04:17:00,other,281,47,56
nh,2011,upper,SB 164,NHV00000026,upper,Ought to Pass,2011-03-09 12:00:00,other,23,0,1
nh,2011,upper,CACR 14,NHV00000027,upper,Ought to Pass with Amendment,2011-03-30 12:00:00,other,16,8,0
nh,2011,upper,SB 195,NHV00000028,lower,LAY ON THE TABLE (REP TAMBURELLO),2011-05-04 04:44:00,other,150,163,64
nh,2011,upper,SB 195,NHV00000029,lower,OTP,2011-05-04 04:54:00,other,201,111,70
nh,2011,upper,SB 24,NHV00000030,upper,Laid on Table,2011-03-09 12:00:00,other,18,5,1
nh,2011,upper,SB 52,NHV00000031,upper,Ought to Pass with Amendment,2011-03-30 12:00:00,other,24,0,0
nh,2011,upper,SB 129,NHV00000032,lower,FLAM 1712H (REP BATES),2011-05-04 02:44:00,other,256,104,32
nh,2011,upper,SB 129,NHV00000033,lower,FLAM 1733H(NT) (REP PIERCE),2011-05-04 02:50:00,other,94,262,34
nh,2011,upper,SB 129,NHV00000034,lower,FLAM 1736H(NT) (REP PIERCE),2011-05-04 02:56:00,other,95,259,34
nh,2011,upper,SB 129,NHV00000035,lower,FLAM 1739H (REP PIERCE),2011-05-04 03:01:00,other,97,251,37
nh,2011,upper,SB 129,NHV00000036,lower,OTP/AM 1712H,2011-05-04 03:20:00,other,243,111,36
