state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
nh,2011,lower,CACR 1,relating to the election of state and county officers.  Providing that state and county officers shall be elected in odd-numbered years.,2011-06-21 18:50:05.220000,2011-12-01 21:30:12.399000,constitutional amendment,
nh,2011,lower,CACR 10,"relating to establishing a New Hampshire state reserve fund.  Providing that the New Hampshire state reserve fund shall be under the authority of the state treasurer and dedicated to offset the business profits tax, business enterprise tax, and the interest and dividends tax for purposes of lowering the rates of such taxes.",2011-06-21 18:50:06.811000,2011-12-01 21:30:14.517000,constitutional amendment,
nh,2011,lower,CACR 11,relating to terms for state judges.  Providing that all state judges be commissioned for renewable 5-year terms.,2011-06-21 18:50:07.020000,2011-12-01 21:30:14.889000,constitutional amendment,
nh,2011,lower,CACR 12,"relating to public education.  Providing that the general court shall have the authority to define standards for public education, establish standards of accountability, mitigate local disparities in educational opportunity and fiscal capacity, and have full discretion to determine the amount of state funding for education.",2011-06-21 18:50:07.090000,2011-12-01 21:30:14.976000,constitutional amendment,
nh,2011,lower,CACR 13,relating to prohibiting any new tax on personal income.  Providing that no new tax on personal income shall be levied by the state of New Hampshire.,2011-06-21 18:50:01.150000,2011-12-01 21:30:07.596000,constitutional amendment,
nh,2011,lower,CACR 2,relating to the tenure of judges.  Providing that the general court may specify the term of office served by a judge.,2011-06-21 18:50:05.204000,2011-12-01 21:30:12.357000,constitutional amendment,
nh,2011,lower,CACR 3,relating to initiative petitions. Providing that referenda to enact laws may be initiated by petition.,2011-06-21 18:50:01.954000,2011-12-01 21:30:08.341000,constitutional amendment,
nh,2011,lower,CACR 4,relating to oaths of civil officers.  Providing that persons elected to the United States Senate and House of Representatives shall take the oath of civil officers prescribed by the constitution.,2011-06-21 18:50:04.645000,2011-12-01 21:30:11.757000,constitutional amendment,
nh,2011,lower,CACR 6,"2nd (New Title) relating to taxation.  Providing that a 3/5 vote is required to pass legislation imposing new or increased taxes or license fees, or to authorize the issuance of state bonds and providing that the general court shall appropriate funds for payment of interest and installments of principle of all state bonds.",2011-06-21 18:50:06.311000,2011-12-01 21:30:13.916000,constitutional amendment,
nh,2011,lower,CACR 7,relating to education funding.  Providing that the general court shall distribute funds in the manner that it determines will best promote an equal opportunity for an adequate education.,2011-06-21 18:50:01.911000,2011-12-01 21:30:08.285000,constitutional amendment,
nh,2011,lower,CACR 8,relating to education.  Providing that the legislature shall have the power to authorize schools.,2011-06-21 18:50:03.617000,2011-12-01 21:30:10.370000,constitutional amendment,
nh,2011,lower,CACR 9,"relating to parental rights.  Providing that parents have the natural right to control the health, education, and welfare of their children.",2011-06-21 18:50:03.654000,2011-12-01 21:30:10.391000,constitutional amendment,
nh,2011,lower,HB 1,"making appropriations for the expenses of certain departments of the state for fiscal years ending June 30, 2012 and June 30, 2013.",2011-06-21 18:50:01.748000,2011-12-01 21:30:08.178000,bill,
nh,2011,lower,HB 101,relative to industrial hemp and establishing an industrial hemp special program fund.,2011-06-21 18:50:01.988000,2011-12-01 21:30:08.446000,bill,
nh,2011,lower,HB 102,"establishing a committee to study certain issues relative to the insurance department, banking department, and bureau of securities regulation  of the office of the secretary of state.",2011-06-21 18:50:03.191000,2011-12-01 21:30:09.826000,bill,
nh,2011,lower,HB 103,requiring law enforcement agencies to take proper care of firearms seized pursuant to a domestic violence order for relief.,2011-06-21 18:50:07.027000,2011-12-01 21:30:14.908000,bill,
nh,2011,lower,HB 104,relative to the date for the state primary election.,2011-06-21 18:50:05.452000,2011-12-01 21:30:12.739000,bill,
nh,2011,lower,HB 105,relative to the required number of instructional days and instructional hours in a school district's calendar.,2011-06-21 18:50:03.996000,2011-12-01 21:30:10.846000,bill,
nh,2011,lower,HB 106,relative to filing for town offices.,2011-06-21 18:50:03.103000,2011-12-01 21:30:09.679000,bill,
nh,2011,lower,HB 107,relative to the creation of express trusts for payment of claims for materials and services in building projects.,2011-06-21 18:50:04.889000,2011-12-01 21:30:12.018000,bill,
nh,2011,lower,HB 108,authorizing the town of Hampton to appoint a tree warden.,2011-06-21 18:50:03.523000,2011-12-01 21:30:10.264000,bill,
nh,2011,lower,HB 109,relative to residential fire sprinklers.,2011-06-21 18:50:05.423000,2011-12-01 21:30:12.688000,bill,
nh,2011,lower,HB 110,requiring professional safety and security services personnel to report certain criminal offenses.,2011-06-21 18:50:05.497000,2011-12-01 21:30:12.832000,bill,
nh,2011,lower,HB 111,relative to redispensing unused drugs.,2011-06-21 18:50:06.480000,2011-12-01 21:30:14.151000,bill,
nh,2011,lower,HB 112,relative to the required number of instructional days and instructional hours in a school district's calendar.,2011-06-21 18:50:01.157000,2011-12-01 21:30:07.612000,bill,
nh,2011,lower,HB 113,prohibiting the use of state funds for New Hampshire public television.,2011-06-21 18:50:05.417000,2011-12-01 21:30:12.664000,bill,
nh,2011,lower,HB 114,reinstating and expanding the duties of the joint legislative historical committee.,2011-06-21 18:50:05.161000,2011-12-01 21:30:12.319000,bill,
nh,2011,lower,HB 115,relative to the temporary removal or transfer of prisoners from a county correctional facility.,2011-06-21 18:50:06.807000,2011-12-01 21:30:14.509000,bill,
nh,2011,lower,HB 116,relative to the rulemaking requirement for establishing operating restrictions on certain bodies of water.,2011-06-21 18:50:03.925000,2011-12-01 21:30:10.765000,bill,
nh,2011,lower,HB 117,allowing additional weight for vehicles using idle reduction technology in order to promote reduction of fuel use and emissions.,2011-06-21 18:50:03.961000,2011-12-01 21:30:10.822000,bill,
nh,2011,lower,HB 118,relative to reporting a person as medically unfit to drive.,2011-06-21 18:50:03.921000,2011-12-01 21:30:10.758000,bill,
nh,2011,lower,HB 119,relative to agency membership on the information technology council.,2011-06-21 18:50:04.944000,2011-12-01 21:30:12.085000,bill,
nh,2011,lower,HB 120,extending the public health services improvement council.,2011-06-21 18:50:07.006000,2011-12-01 21:30:14.856000,bill,
nh,2011,lower,HB 121,establishing a committee to study eligibility for property tax exemptions for the permanently and totally disabled.,2011-06-21 18:50:05.916000,2011-12-01 21:30:13.528000,bill,
nh,2011,lower,HB 122,establishing a commission to study the effectiveness of the sex offender registry.,2011-06-21 18:50:04.825000,2011-12-01 21:30:11.924000,bill,
nh,2011,lower,HB 123,prohibiting an electric utility from disconnecting service from a residence or building in which a person is using life-sustaining medical equipment.,2011-06-21 18:50:04.447000,2011-12-01 21:30:11.419000,bill,
nh,2011,lower,HB 124,allowing any person to request conviction information regarding public officials.,2011-06-21 18:50:06.432000,2011-12-01 21:30:13.988000,bill,
nh,2011,lower,HB 125,"relative to lawful commerce in firearms, including manufacture and sale, in New Hampshire.",2011-06-21 18:50:04.812000,2011-12-01 21:30:11.892000,bill,
nh,2011,lower,HB 126,prohibiting interference with access to medical services and health insurance of New Hampshire citizens.,2011-06-21 18:50:03.667000,2011-12-01 21:30:10.415000,bill,
nh,2011,lower,HB 127,relative to the definition of oral communication.,2011-06-21 18:50:02.591000,2011-12-01 21:30:09.132000,bill,
nh,2011,lower,HB 128,requiring tenants to execute a financial affidavit as part of the eviction process.,2011-06-21 18:50:02.258000,2011-12-01 21:30:08.632000,bill,
nh,2011,lower,HB 129,relative to the licensure of attorneys as real estate brokers by the real estate commission.,2011-06-21 18:50:02.664000,2011-12-01 21:30:09.249000,bill,
nh,2011,lower,HB 130,relative to accountability for the opportunity for an adequate education and relative to an exception for the election of school board members by the Concord school district.,2011-06-21 18:50:03.091000,2011-12-01 21:30:09.652000,bill,
nh,2011,lower,HB 131,relative to indemnification of volunteers performing duties in the state park system.,2011-06-21 18:50:04.617000,2011-12-01 21:30:11.695000,bill,
nh,2011,lower,HB 132,adopting and implementing the United States flag code.,2011-06-21 18:50:04.429000,2011-12-01 21:30:11.377000,bill,
nh,2011,lower,HB 133,relative to the minimum wage.,2011-06-21 18:50:03.208000,2011-12-01 21:30:09.848000,bill,
nh,2011,lower,HB 134,relative to eligibility for walking disability plates.,2011-06-21 18:50:03.215000,2011-12-01 21:30:09.863000,bill,
nh,2011,lower,HB 135,relative to state employee reimbursement for use of a personal vehicle.,2011-06-21 18:50:03.670000,2011-12-01 21:30:10.423000,bill,
nh,2011,lower,HB 136,repealing the uniform athlete agents act.,2011-06-21 18:50:06.628000,2011-12-01 21:30:14.347000,bill,
nh,2011,lower,HB 137,relative to the state fire code and the state building code.,2011-06-21 18:50:05.761000,2011-12-01 21:30:13.226000,bill,
nh,2011,lower,HB 138,relative to the cold case homicide unit.,2011-06-21 18:50:01.914000,2011-12-01 21:30:08.301000,bill,
nh,2011,lower,HB 139,establishing a committee to study merging the New Hampshire turnpike system and the state highway system.,2011-06-21 18:50:06.791000,2011-12-01 21:30:14.475000,bill,
nh,2011,lower,HB 140,establishing an exemption from the civil filing fee surcharge.,2011-06-21 18:50:01.294000,2011-12-01 21:30:07.839000,bill,
nh,2011,lower,HB 141,relative to protected utility services.,2011-06-21 18:50:03.264000,2011-12-01 21:30:09.899000,bill,
nh,2011,lower,HB 142,relative to sales of artificial flowers and miniature flags.,2011-06-21 18:50:04.441000,2011-12-01 21:30:11.401000,bill,
nh,2011,lower,HB 143,relative to the sale of stove polish.,2011-06-21 18:50:03.272000,2011-12-01 21:30:09.919000,bill,
nh,2011,lower,HB 144,relative to energy efficiency and clean energy districts.,2011-06-21 18:50:03.276000,2011-12-01 21:30:09.931000,bill,
nh,2011,lower,HB 145,permitting the audio and video recording of a law enforcement officer while in the course of his or her official duties.,2011-06-21 18:50:05.046000,2011-12-01 21:30:12.176000,bill,
nh,2011,lower,HB 146,relative to the right of a jury to judge the application of the law in relationship to the facts in controversy.,2011-06-21 18:50:02.596000,2011-12-01 21:30:09.140000,bill,
nh,2011,lower,HB 147,making the commission of certain offenses punishable under the capital murder statute.,2011-06-21 18:50:06.725000,2011-12-01 21:30:14.418000,bill,
nh,2011,lower,HB 148,relative to federal funding for motorcycle-only roadside checkpoints.,2011-06-21 18:50:07.386000,2011-12-01 21:30:15.496000,bill,
nh,2011,lower,HB 149,"designating segments of the Lamprey, North Branch, Pawtuckaway, North, Little, and Piscassic Rivers as protected rivers and exempting certain portions of the Lamprey River from the provisions of the comprehensive shoreland protection act.",2011-06-21 18:50:06.672000,2011-12-01 21:30:14.380000,bill,
nh,2011,lower,HB 150,relative to benefits of judicial branch employees who transfer from the judicial branch to state service in the executive branch or the legislative branch.,2011-06-21 18:50:05.716000,2011-12-01 21:30:13.123000,bill,
nh,2011,lower,HB 151,relative to appointments and reappointments of marital masters.,2011-06-21 18:50:05.083000,2011-12-01 21:30:12.265000,bill,
