leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
NHL000072,member,2011-2012,Cheshire 4,lower,nh,Democratic,,,,,
NHL000072,committee member,2011-2012,,lower,nh,,NHC000011,FISH AND GAME AND MARINE RESOURCES,,,
NHL000288,member,2011-2012,Hillsborough 11,lower,nh,Republican,,,,,
NHL000288,committee member,2011-2012,,lower,nh,,NHC000011,FISH AND GAME AND MARINE RESOURCES,,,
NHL000299,member,2011-2012,Rockingham 16,lower,nh,Democratic,,,,,2012-02-22 00:00:00
NHL000299,committee member,2011-2012,,lower,nh,,NHC000017,ENVIRONMENT AND AGRICULTURE,,,
NHL000007,member,2011-2012,18,upper,nh,Republican,,,,,
NHL000007,committee member,2011-2012,,upper,nh,,NHC000033,COMMERCE,,,
NHL000007,committee member,2011-2012,,upper,nh,,NHC000038,HEALTH AND HUMAN SERVICES,,,
NHL000024,member,2011-2012,9,upper,nh,Republican,,,,,
NHL000024,committee member,2011-2012,,upper,nh,,NHC000033,COMMERCE,,,
NHL000024,committee member,2011-2012,,upper,nh,,NHC000031,EXECUTIVE DEPARTMENTS AND ADMINISTRATION,,,
NHL000026,member,2011-2012,Belknap 4,lower,nh,Republican,,,,,
NHL000026,committee member,2011-2012,,lower,nh,,NHC000015,MUNICIPAL AND COUNTY GOVERNMENT,,,
NHL000032,member,2011-2012,Rockingham 9,lower,nh,Republican,,,,,
NHL000032,committee member,2011-2012,,lower,nh,,NHC000009,CRIMINAL JUSTICE AND PUBLIC SAFETY,,,
NHL000033,member,2011-2012,Hillsborough 20,lower,nh,Republican,,,,,
NHL000033,committee member,2011-2012,,lower,nh,,NHC000028,REDRESS OF GRIEVANCES,,,
NHL000033,committee member,2011-2012,,lower,nh,,NHC000002,SPECIAL COMMITTEE PUBLIC EMPLOYEE PENSIONS REFORM,,,
NHL000036,member,2011-2012,Hillsborough 21,lower,nh,Republican,,,,,
NHL000036,committee member,2011-2012,,lower,nh,,NHC000026,EDUCATION,,,
NHL000036,committee member,2011-2012,,lower,nh,,NHC000023,SPECIAL COMMITTEE ON EDUCATION FUNDING REFORM,,,
NHL000038,member,2011-2012,Hillsborough 9,lower,nh,Republican,,,,,
NHL000038,committee member,2011-2012,,lower,nh,,NHC000016,LEGISLATIVE ADMINISTRATION,,,
NHL000039,member,2011-2012,Hillsborough 13,lower,nh,Democratic,,,,,
NHL000039,committee member,2011-2012,,lower,nh,,NHC000020,FINANCE,,,
NHL000039,committee member,2011-2012,,lower,nh,,NHC000021,FINANCE - DIVISION I,,,
NHL000039,committee member,2011-2012,,lower,nh,,NHC000002,SPECIAL COMMITTEE PUBLIC EMPLOYEE PENSIONS REFORM,,,
NHL000042,member,2011-2012,Rockingham 4,lower,nh,Republican,,,,,
NHL000042,committee member,2011-2012,,lower,nh,,NHC000012,ELECTION LAW,,,
NHL000042,committee member,2011-2012,,lower,nh,,NHC000025,SPECIAL COMMITTEE ON REDISTRICTING,,,
NHL000043,member,2011-2012,Hillsborough 17,lower,nh,Republican,,,,,
NHL000043,committee member,2011-2012,,lower,nh,,NHC000016,LEGISLATIVE ADMINISTRATION,,,
