state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nj,215,upper,S 872,NJV00007753,upper,Reported favorably out of committee,2012-02-27 00:00:00,other,3,2,0
nj,215,upper,S 876,NJV00007654,upper,Reported favorably out of committee,2012-02-06 00:00:00,other,4,0,1
nj,215,upper,S 897,NJV00007848,upper,Reported favorably out of committee,2012-03-08 00:00:00,other,3,0,2
nj,215,upper,S 1152,NJV00009110,upper,Reported favorably out of committee,2012-10-15 00:00:00,other,3,0,2
nj,215,lower,A 1578,NJV00009112,lower,Reported favorably out of committee,2012-10-15 00:00:00,other,6,3,0
nj,215,upper,S 2185,NJV00009113,upper,Reported out of Senate committee with amendments,2012-10-11 00:00:00,other,5,0,0
nj,215,lower,A 1827,NJV00009150,upper,Reported favorably out of committee,2012-10-15 00:00:00,other,10,0,0
nj,215,lower,A 3310,NJV00009114,lower,Reported out of Assembly committee with amendments,2012-10-15 00:00:00,other,8,1,0
nj,215,upper,S 2236,NJV00009115,upper,Reported out of Senate committee with amendments,2012-10-11 00:00:00,other,5,0,0
nj,215,lower,A 2610,NJV00009116,upper,Reported out of Senate committee with amendments,2012-10-11 00:00:00,other,5,0,0
nj,215,lower,A 3334,NJV00009098,lower,Reported out of Assembly committee with amendments,2012-10-11 00:00:00,other,4,2,1
nj,215,upper,S 960,NJV00009117,upper,Reported out of Senate committee with amendments,2012-10-15 00:00:00,other,4,0,1
nj,215,upper,S 2250,NJV00009305,upper,Reported out of Senate committee with amendments,2012-11-19 00:00:00,other,4,0,1
nj,215,lower,A 1098,NJV00009317,lower,Reported favorably out of committee,2012-11-19 00:00:00,other,5,0,0
nj,215,lower,A 606,NJV00009120,lower,Reported out of Assembly committee with amendments,2012-10-15 00:00:00,other,5,0,0
nj,215,upper,SR 39,NJV00009121,upper,Reported favorably out of committee,2012-10-11 00:00:00,other,4,0,1
nj,215,lower,A 3262,NJV00009122,lower,Reported favorably out of committee,2012-10-15 00:00:00,other,6,0,1
nj,215,lower,A 3269,NJV00009090,lower,Reported out of Assembly committee with amendments,2012-10-11 00:00:00,other,5,1,2
nj,215,upper,S 598,NJV00009125,upper,Reported out of Senate committee with amendments,2012-10-15 00:00:00,other,4,0,1
nj,215,upper,S 316,NJV00009123,upper,Reported favorably out of committee,2012-10-15 00:00:00,other,4,0,1
nj,215,upper,S 1471,NJV00009124,upper,Reported favorably out of committee,2012-10-11 00:00:00,other,3,0,2
nj,215,upper,S 1665,NJV00009126,upper,Reported favorably out of committee,2012-10-15 00:00:00,other,4,0,1
