leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
NJL000012,member,2010-2011,4,lower,nj,Republican,,,,,
NJL000012,committee member,2010-2011,,lower,nj,,NJC000044,Commerce and Economic Development,,,
NJL000012,committee member,2010-2011,,lower,nj,,NJC000045,Consumer Affairs,,,
NJL000126,member,2010-2011,8,lower,nj,Republican,,,,,
NJL000127,member,2010-2011,36,lower,nj,Democratic,,,,,
NJL000127,committee member,2010-2011,,lower,nj,,NJC000050,Housing and Local Government,,,
NJL000127,committee member,2010-2011,,lower,nj,,NJC000059,Telecommunications and Utilities,,,
NJL000130,member,2010-2011,8,lower,nj,Republican,,,,,
NJL000130,committee member,2010-2011,,lower,nj,,NJC000041,Appropriations,,,
NJL000132,member,2008-2009,3,lower,nj,Democratic,,,,,
NJL000133,member,2008-2009,4,lower,nj,Democratic,,,,,
NJL000134,member,2008-2009,5,upper,nj,Democratic,,,,,
NJL000135,member,2008-2009,5,lower,nj,Democratic,,,,,
NJL000136,member,2008-2009,5,lower,nj,Democratic,,,,,
NJL000137,member,2008-2009,6,upper,nj,Democratic,,,,,
NJL000138,member,2008-2009,9,lower,nj,Republican,,,,,
NJL000139,member,2008-2009,19,lower,nj,Democratic,,,,,
NJL000140,member,2008-2009,20,lower,nj,Democratic,,,,,
NJL000141,member,2008-2009,21,lower,nj,Republican,,,,,
NJL000142,member,2008-2009,23,upper,nj,Republican,,,,,
NJL000143,member,2008-2009,23,upper,nj,Republican,,,,,
NJL000146,member,2008-2009,25,lower,nj,Republican,,,,,
NJL000147,member,2008-2009,31,lower,nj,Democratic,,,,,
NJL000148,member,2008-2009,39,lower,nj,Republican,,,,,
NJL000015,member,2010-2011,5,lower,nj,Democratic,,,,,
NJL000023,member,2010-2011,8,upper,nj,Republican,,,,,
NJL000023,committee member,2010-2011,,upper,nj,,NJC000060,Budget and Appropriations,,,
NJL000023,committee member,2010-2011,,upper,nj,,NJC000062,Community and Urban Affairs,,,
NJL000023,member,2008-2009,8,upper,nj,Republican,,,,,
NJL000042,member,2010-2011,14,upper,nj,Republican,,,,,
NJL000049,member,2010-2011,16,lower,nj,Republican,,,,,
NJL000049,committee member,2010-2011,,lower,nj,,NJC000054,Regulated Professions,,,
NJL000049,member,2008-2009,16,lower,nj,Republican,,,,,
NJL000094,member,2010-2011,31,lower,nj,Democratic,,,,,
NJL000094,member,2008-2009,31,lower,nj,Democratic,,,,,
NJL000102,member,2010-2011,33,lower,nj,Democratic,,,,,
NJL000102,committee member,2010-2011,,lower,nj,,NJC000052,Human Services,,,
NJL000102,committee member,2010-2011,,lower,nj,,NJC000058,"Transportation, Public Works and Independent Authorities",,,
NJL000102,member,2008-2009,33,lower,nj,Democratic,,,,,
NJL000006,member,2010-2011,2,lower,nj,Republican,,,,,
NJL000006,committee member,2010-2011,,lower,nj,,NJC000048,Health and Senior Services,,,
NJL000006,committee member,2010-2011,,lower,nj,,NJC000053,Regulatory Oversight and Gaming,,,
NJL000006,committee member,2010-2011,,lower,nj,,NJC000071,Tourism and Gaming,,,
NJL000006,member,2008-2009,2,lower,nj,Republican,,,,,
NJL000021,member,2010-2011,7,lower,nj,Democratic,,,,,
NJL000021,committee member,2010-2011,,lower,nj,,NJC000047,Financial Institutions and Insurance,,,
NJL000021,committee member,2010-2011,,lower,nj,,NJC000018,Military and Veterans' Affairs,,,
NJL000021,committee member,2010-2011,,lower,nj,,NJC000056,State Government,,,
NJL000021,member,2008-2009,7,lower,nj,Democratic,,,,,
NJL000029,member,2010-2011,10,upper,nj,Republican,,,,,
NJL000029,committee member,2010-2011,,upper,nj,,NJC000037,Law and Public Safety,,,
NJL000029,committee member,2010-2011,,upper,nj,,NJC000068,Transportation,,,
NJL000029,committee member,2010-2011,,upper,nj,,NJC000072,Environment,,,
NJL000029,member,2008-2009,10,upper,nj,Republican,,,,,
NJL000041,member,2010-2011,14,upper,nj,Republican,,,,,
NJL000041,committee member,2010-2011,,upper,nj,,NJC000065,"Health, Human Services and Senior Citizens",,,
NJL000041,committee member,2010-2011,,upper,nj,,NJC000035,Judiciary,,,
NJL000041,committee member,2010-2011,,upper,nj,,NJC000075,"Wagering, Tourism & Historic Preservation",,,
NJL000041,member,2008-2009,14,upper,nj,Republican,,,,,
NJL000050,member,2010-2011,16,lower,nj,Republican,,,,,
NJL000050,committee member,2010-2011,,lower,nj,,NJC000046,Environment and Solid Waste,,,
NJL000050,committee member,2010-2011,,lower,nj,,NJC000047,Financial Institutions and Insurance,,,
NJL000050,committee member,2010-2011,,lower,nj,,NJC000052,Human Services,,,
NJL000050,member,2008-2009,16,lower,nj,Republican,,,,,
NJL000079,member,2010-2011,26,lower,nj,Republican,,,,,
NJL000079,committee member,2010-2011,,lower,nj,,NJC000042,Bipartisan Leadership Committee,,,
NJL000079,member,2008-2009,26,lower,nj,Republican,,,,,
NJL000079,member,2012-2013,26,lower,nj,Republican,,,,,2011-08-25 00:00:00
NJL000091,member,2010-2011,30,lower,nj,Republican,,,,,
NJL000091,committee member,2010-2011,,lower,nj,,NJC000042,Bipartisan Leadership Committee,,,
NJL000091,committee member,2010-2011,,lower,nj,,NJC000007,Education,,,
NJL000091,committee member,2010-2011,,lower,nj,,NJC000055,Special Committee on Economic Development,,,
NJL000091,committee member,2010-2011,,lower,nj,,NJC000059,Telecommunications and Utilities,,,
NJL000091,committee member,2010-2011,,lower,nj,,NJC000043,Budget,,,
NJL000091,committee member,2010-2011,,lower,nj,,NJC000070,Budget Committee (Budget Hearings Only),,,
NJL000091,member,2008-2009,30,lower,nj,Republican,,,,,
NJL000098,member,2010-2011,32,lower,nj,Democratic,,,,,
NJL000098,committee member,2010-2011,,lower,nj,,NJC000042,Bipartisan Leadership Committee,,,
NJL000098,committee member,2010-2011,,lower,nj,,NJC000043,Budget,,,
NJL000098,committee member,2010-2011,,lower,nj,,NJC000044,Commerce and Economic Development,,,
NJL000098,committee member,2010-2011,,lower,nj,,NJC000048,Health and Senior Services,,,
NJL000098,committee member,2010-2011,,lower,nj,,NJC000070,Budget Committee (Budget Hearings Only),,,
NJL000098,committee member,2010-2011,,lower,nj,,NJC000056,State Government,,,
NJL000098,member,2008-2009,32,lower,nj,Democratic,,,,,
NJL000106,member,2010-2011,35,upper,nj,Democratic,,,,,
NJL000106,committee member,2010-2011,,upper,nj,,NJC000035,Judiciary,,,
NJL000106,committee member,2010-2011,,upper,nj,,NJC000037,Law and Public Safety,,,
NJL000106,committee member,2010-2011,,upper,nj,,NJC000068,Transportation,,,
NJL000106,committee member,2010-2011,,upper,nj,,NJC000073,Law and Public Safety and Veterans' Affairs,,,
NJL000106,committee member,2010-2011,,upper,nj,,NJC000075,"Wagering, Tourism & Historic Preservation",,,
NJL000106,member,2008-2009,35,upper,nj,Democratic,,,,,
NJL000108,member,2010-2011,35,lower,nj,Democratic,,,,,
NJL000108,committee member,2010-2011,,lower,nj,,NJC000007,Education,,,
NJL000108,committee member,2010-2011,,lower,nj,,NJC000016,Labor,,,
NJL000108,committee member,2010-2011,,lower,nj,,NJC000017,Law and Public Safety,,,
NJL000108,committee member,2010-2011,,lower,nj,,NJC000055,Special Committee on Economic Development,,,
NJL000108,committee member,2010-2011,,lower,nj,,NJC000052,Human Services,,,
NJL000108,member,2008-2009,35,lower,nj,Democratic,,,,,
NJL000110,member,2010-2011,36,lower,nj,Democratic,,,,,
NJL000110,committee member,2010-2011,,lower,nj,,NJC000050,Housing and Local Government,,,
NJL000110,committee member,2010-2011,,lower,nj,,NJC000051,Homeland Security and State Preparedness,,,
NJL000110,committee member,2010-2011,,lower,nj,,NJC000016,Labor,,,
NJL000110,member,2008-2009,36,lower,nj,Democratic,,,,,
NJL000116,member,2010-2011,38,lower,nj,Democratic,,,,,
NJL000116,committee member,2010-2011,,lower,nj,,NJC000007,Education,,,
NJL000116,committee member,2010-2011,,lower,nj,,NJC000049,Higher Education,,,
NJL000116,committee member,2010-2011,,lower,nj,,NJC000054,Regulated Professions,,,
NJL000116,member,2008-2009,38,lower,nj,Democratic,,,,,
NJL000119,member,2010-2011,39,lower,nj,Republican,,,,,
NJL000119,committee member,2010-2011,,lower,nj,,NJC000049,Higher Education,,,
NJL000119,committee member,2010-2011,,lower,nj,,NJC000050,Housing and Local Government,,,
NJL000119,committee member,2010-2011,,lower,nj,,NJC000045,Consumer Affairs,,,
NJL000119,member,2008-2009,39,lower,nj,Republican,,,,,
NJL000062,member,2012-2013,20,lower,nj,Democratic,,,,,
NJL000062,committee member,2012-2013,,lower,nj,,NJC000050,Housing and Local Government,,,
NJL000062,committee member,2012-2013,,lower,nj,,NJC000051,Homeland Security and State Preparedness,,,
NJL000062,committee member,2012-2013,,lower,nj,,NJC000015,Judiciary,,,
NJL000062,member,2010-2011,20,lower,nj,Democratic,,,,,
NJL000062,committee member,2010-2011,,lower,nj,,NJC000051,Homeland Security and State Preparedness,,,
NJL000062,committee member,2010-2011,,lower,nj,,NJC000015,Judiciary,,,
NJL000062,committee member,2010-2011,,lower,nj,,NJC000053,Regulatory Oversight and Gaming,,,
NJL000062,committee member,2010-2011,,lower,nj,,NJC000016,Labor,,,
NJL000062,committee member,2010-2011,,lower,nj,,NJC000059,Telecommunications and Utilities,,,
NJL000062,member,2008-2009,20,lower,nj,Democratic,,,,,
NJL000169,member,2012-2013,16,lower,nj,Republican,,,,,
NJL000169,committee member,2012-2013,,lower,nj,,NJC000056,State Government,,,
NJL000169,committee member,2012-2013,,lower,nj,,NJC000059,Telecommunications and Utilities,,,
NJL000003,member,2012-2013,1,lower,nj,Democratic,,,,,
NJL000003,committee member,2012-2013,,lower,nj,,NJC000046,Environment and Solid Waste,,,
NJL000003,committee member,2012-2013,,lower,nj,,NJC000018,Military and Veterans' Affairs,,,
NJL000003,committee member,2012-2013,,lower,nj,,NJC000057,Tourism and the Arts,,,
NJL000003,member,2010-2011,1,lower,nj,Democratic,,,,,
NJL000003,committee member,2010-2011,,lower,nj,,NJC000057,Tourism and the Arts,,,
NJL000003,committee member,2010-2011,,lower,nj,,NJC000058,"Transportation, Public Works and Independent Authorities",,,
NJL000003,committee member,2010-2011,,lower,nj,,NJC000046,Environment and Solid Waste,,,
NJL000003,committee member,2010-2011,,lower,nj,,NJC000071,Tourism and Gaming,,,
