state,session,chamber,bill_id,date,action,actor,type
nm,2011,lower,HB 1,2011-01-18 00:00:00,Sent to House Appropriations and Finance Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 1,2011-01-19 00:00:00,DO PASS committee report adopted,lower,committee:passed:favorable
nm,2011,lower,HB 1,2011-01-19 00:00:00,passed House,upper,bill:passed
nm,2011,lower,HB 1,2011-01-19 00:00:00,Sent to Senate Finance Committee,upper,bill:introduced|committee:referred
nm,2011,lower,HB 1,2011-01-20 00:00:00,DO PASS committee report adopted,upper,committee:passed:favorable
nm,2011,lower,HB 1,2011-01-20 00:00:00,passed Senate,executive,bill:passed
nm,2011,lower,HB 1,2011-01-27 00:00:00,Signed,executive,governor:signed
nm,2011,lower,HB 10,2011-01-19 00:00:00,Sent to House Consumer and Public Affairs Committee & House Health and Government Affairs Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 100,2011-01-19 00:00:00,Sent to House Consumer and Public Affairs Committee & House Education Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 100,2011-02-04 00:00:00,DO PASS committee report adopted,lower,committee:passed:favorable
nm,2011,lower,HB 100,2011-02-26 00:00:00,Succeeding entries,other,other
nm,2011,lower,HB 101,2011-01-20 00:00:00,Sent to House Consumer and Public Affairs Committee & House Labor and Human Resources Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 102,2011-01-20 00:00:00,Sent to House Business and Industry Committee & House Taxation and Revenue Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 103,2011-01-20 00:00:00,Sent to House Health and Government Affairs Committee & House Education Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 103,2011-02-03 00:00:00,DO PASS committee report adopted,lower,committee:passed:favorable
nm,2011,lower,HB 103,2011-02-25 00:00:00,"DO PASS, as amended, committee report adopted, placed on Speaker's table",lower,committee:passed:favorable
nm,2011,lower,HB 103,2011-02-28 00:00:00,passed House,upper,bill:passed
nm,2011,lower,HB 103,2011-03-01 00:00:00,Sent to Senate Education Committee & Senate Public Affairs Committee,upper,bill:introduced|committee:referred
nm,2011,lower,HB 103,2011-03-04 00:00:00,DO PASS committee report adopted,upper,committee:passed:favorable
nm,2011,lower,HB 103,2011-03-10 00:00:00,DO PASS committee report adopted,upper,committee:passed:favorable
nm,2011,lower,HB 104,2011-01-20 00:00:00,Sent to House Labor and Human Resources Committee & House Education Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 104,2011-02-09 00:00:00,"DO PASS, as amended, committee report adopted",lower,committee:passed:favorable
nm,2011,lower,HB 105,2011-01-20 00:00:00,Sent to House Consumer and Public Affairs Committee & House Voters and Elections Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 105,2011-02-11 00:00:00,"DO NOT PASS, replaced with committee substitute",lower,committee:passed
nm,2011,lower,HB 105,2011-02-22 00:00:00,DO PASS committee report adopted,lower,committee:passed:favorable
nm,2011,lower,HB 106,2011-01-20 00:00:00,Sent to House Health and Government Affairs Committee & House Business and Industry Committee,lower,bill:introduced|committee:referred
nm,2011,lower,HB 106,2011-02-03 00:00:00,DO PASS committee report adopted,lower,committee:passed:favorable
nm,2011,lower,HB 106,2011-03-09 00:00:00,"DO PASS committee report adopted, placed on Speaker's table",lower,committee:passed:favorable
nm,2011,lower,HB 106,2011-03-11 00:00:00,passed House,upper,bill:passed
nm,2011,lower,HB 106,2011-03-11 00:00:00,Sent to Senate Rules Committee,upper,bill:introduced|committee:referred
