vote_id,leg_id,name,vote
NMV00001439,NML000019,WILSONBEFFORT,yes
NMV00001439,NML000002,NEVILLE,yes
NMV00001439,NML000012,ORTIZYPINO,yes
NMV00001439,NML000008,CAMPOS,yes
NMV00001439,NML000132,PADILLA,yes
NMV00001439,NML000137,CANDELARIA,yes
NMV00001439,NML000038,PAPEN,yes
NMV00001439,NML000094,CERVANTES,yes
NMV00001439,NML000006,CISNEROS,yes
NMV00001439,NML000143,COTTER,yes
NMV00001439,NML000140,PIRTLE,yes
NMV00001439,NML000039,GRIEGO,yes
NMV00001439,NML000024,RODRIGUEZ,yes
NMV00001439,NML000142,GRIGGS,yes
NMV00001439,NML000023,RUE,yes
NMV00001439,NML000027,INGLE,yes
NMV00001439,NML000010,RYAN,yes
NMV00001439,NML000017,KELLER,yes
NMV00001439,NML000029,"SANCHEZ,M.",yes
NMV00001439,NML000042,KERNAN,yes
NMV00001439,NML000009,SAPIEN,yes
NMV00001439,NML000041,LEAVELL,yes
NMV00001439,NML000001,SHARER,yes
NMV00001439,NML000011,LOPEZ,yes
NMV00001439,NML000136,SHENDO,yes
NMV00001439,NML000005,MARTINEZ,yes
NMV00001439,NML000035,SMITH,yes
NMV00001439,NML000016,MCSORLEY,yes
NMV00001439,NML000144,SOULES,yes
NMV00001439,NML000135,MOORES,yes
NMV00001439,NML000134,TORRACO,yes
NMV00001439,NML000028,MORALES,yes
NMV00001439,NML000025,WIRTH,yes
NMV00001439,NML000004,MUNOZ,yes
NMV00001439,NML000130,WOODS,yes
NMV00001439,NML000040,BURT,other
NMV00001439,NML000020,PAYNE,other
NMV00001439,NML000003,PINTO,other
NMV00001440,NML000019,WILSONBEFFORT,yes
NMV00001440,NML000002,NEVILLE,yes
NMV00001440,NML000040,BURT,yes
NMV00001440,NML000012,ORTIZYPINO,yes
NMV00001440,NML000008,CAMPOS,yes
NMV00001440,NML000132,PADILLA,yes
NMV00001440,NML000137,CANDELARIA,yes
NMV00001440,NML000038,PAPEN,yes
NMV00001440,NML000094,CERVANTES,yes
NMV00001440,NML000020,PAYNE,yes
NMV00001440,NML000006,CISNEROS,yes
NMV00001440,NML000003,PINTO,yes
NMV00001440,NML000143,COTTER,yes
NMV00001440,NML000140,PIRTLE,yes
NMV00001440,NML000039,GRIEGO,yes
NMV00001440,NML000024,RODRIGUEZ,yes
NMV00001440,NML000142,GRIGGS,yes
NMV00001440,NML000027,INGLE,yes
NMV00001440,NML000010,RYAN,yes
NMV00001440,NML000017,KELLER,yes
NMV00001440,NML000029,"SANCHEZ,M.",yes
NMV00001440,NML000042,KERNAN,yes
NMV00001440,NML000009,SAPIEN,yes
NMV00001440,NML000041,LEAVELL,yes
NMV00001440,NML000001,SHARER,yes
NMV00001440,NML000011,LOPEZ,yes
NMV00001440,NML000136,SHENDO,yes
NMV00001440,NML000005,MARTINEZ,yes
NMV00001440,NML000035,SMITH,yes
NMV00001440,NML000016,MCSORLEY,yes
NMV00001440,NML000144,SOULES,yes
NMV00001440,NML000135,MOORES,yes
NMV00001440,NML000134,TORRACO,yes
NMV00001440,NML000028,MORALES,yes
NMV00001440,NML000025,WIRTH,yes
NMV00001440,NML000004,MUNOZ,yes
NMV00001440,NML000130,WOODS,yes
NMV00001440,NML000023,RUE,other
NMV00001129,NML000048,"Alcon,",yes
NMV00001129,NML000072,"Gentry,",yes
NMV00001129,NML000109,"Roch, D.",yes
NMV00001129,NML000071,"Anderson, T.",yes
NMV00001129,NML000084,"Gonzales, R.",yes
NMV00001129,NML000083,"Rodella, D.",yes
NMV00001129,NML000156,"Archuleta, P.",yes
NMV00001129,NML000096,"Gray, W.",yes
NMV00001129,NML000148,"Roybal Caballero, P.",yes
NMV00001129,NML000050,"Baldonado, A.",yes
NMV00001129,NML000070,"Hall, J.",yes
NMV00001129,NML000052,"Saavedra, H.",yes
NMV00001129,NML000045,"Bandy, P.",yes
NMV00001129,NML000080,"Hamilton, D.",yes
NMV00001129,,"Salazar,",yes
NMV00001129,NML000104,"Bratton, D.",yes
NMV00001129,NML000162,"Harper, J.",yes
NMV00001129,NML000165,"Salazar, T.",yes
NMV00001129,NML000097,"Brown, C.",yes
NMV00001129,NML000093,"Herrell,",yes
NMV00001129,NML000060,"Chasey, G.",yes
NMV00001129,NML000074,"Irwin, D.",yes
NMV00001129,NML000064,"Smith, J.",yes
NMV00001129,NML000054,"Chavez,",yes
NMV00001129,NML000047,"Jeff, S.",yes
NMV00001129,NML000061,"Stapleton, S.",yes
NMV00001129,NML000146,Clahchischilliage,yes
NMV00001129,NML000149,"Kane,",yes
NMV00001129,NML000155,"Steinborn, J.",yes
NMV00001129,NML000098,"Cook, Z.",yes
NMV00001129,NML000069,"Larranaga, L.",yes
NMV00001129,NML000063,"Stewart, M.",yes
NMV00001129,NML000102,"Lewis, T.",yes
NMV00001129,NML000044,"Strickler, J.",yes
NMV00001129,NML000106,"Crook, A.",yes
NMV00001129,NML000153,"Louis, G.",yes
NMV00001129,NML000043,"Taylor, T.",yes
NMV00001129,NML000105,"Dodge, G.",yes
NMV00001129,NML000051,"Lundstrom, P.",yes
NMV00001129,NML000151,"Thomson,",yes
NMV00001129,NML000159,"Easley, S.",yes
NMV00001129,NML000107,"Madalena, J. R.",yes
NMV00001129,NML000091,"Tripp, D.",yes
NMV00001129,NML000089,"Egolf, B.",yes
NMV00001129,NML000058,"Maestas, A.",yes
NMV00001129,NML000158,"Trujillo, CA",yes
NMV00001129,NML000101,"Espinoza,",yes
NMV00001129,NML000081,"Martinez, R.",yes
NMV00001129,NML000152,"Trujillo, CH",yes
NMV00001129,NML000100,"Ezzell, C.",yes
NMV00001129,NML000111,"Martinez, W. K.",yes
NMV00001129,NML000087,"Trujillo, J.",yes
NMV00001129,NML000147,"Fajardo, K.",yes
NMV00001129,NML000154,"McCamley, B.",yes
NMV00001129,NML000090,"Varela, L.",yes
NMV00001129,NML000163,"Gallegos, D.M.",yes
NMV00001129,NML000079,"McMillan, T.",yes
NMV00001129,NML000160,"Gallegos, D.Y.",yes
NMV00001129,NML000053,"Miera, R.",yes
NMV00001129,NML000108,"Wooley, B.",yes
NMV00001129,NML000076,"Garcia, M.H.",yes
NMV00001129,NML000150,"Pacheco, P.",yes
NMV00001129,NML000164,"Youngblood, M.",yes
NMV00001129,NML000056,"Garcia, M.P.",yes
NMV00001129,NML000086,"Powdrell-Culbert, J.",yes
NMV00001129,NML000157,Garcia Richard,yes
NMV00001129,NML000073,"Rehm, W.",yes
NMV00001129,NML000059,"Sandoval,",other
NMV00001129,NML000161,"Cote,",other
NMV00001129,NML000062,"White, J.",other
NMV00001131,NML000048,"Alcon,",yes
NMV00001131,NML000072,"Gentry,",yes
NMV00001131,NML000109,"Roch, D.",yes
NMV00001131,NML000071,"Anderson, T.",yes
NMV00001131,NML000084,"Gonzales, R.",yes
NMV00001131,NML000083,"Rodella, D.",yes
NMV00001131,NML000156,"Archuleta, P.",yes
NMV00001131,NML000096,"Gray, W.",yes
NMV00001131,NML000148,"Roybal Caballero, P.",yes
NMV00001131,NML000050,"Baldonado, A.",yes
NMV00001131,NML000070,"Hall, J.",yes
NMV00001131,NML000052,"Saavedra, H.",yes
NMV00001131,NML000045,"Bandy, P.",yes
NMV00001131,NML000080,"Hamilton, D.",yes
NMV00001131,,"Salazar,",yes
NMV00001131,NML000104,"Bratton, D.",yes
NMV00001131,NML000162,"Harper, J.",yes
NMV00001131,NML000165,"Salazar, T.",yes
NMV00001131,NML000097,"Brown, C.",yes
NMV00001131,NML000093,"Herrell,",yes
NMV00001131,NML000059,"Sandoval,",yes
NMV00001131,NML000060,"Chasey, G.",yes
NMV00001131,NML000074,"Irwin, D.",yes
NMV00001131,NML000064,"Smith, J.",yes
NMV00001131,NML000054,"Chavez,",yes
NMV00001131,NML000047,"Jeff, S.",yes
NMV00001131,NML000061,"Stapleton, S.",yes
NMV00001131,NML000146,Clahchischilliage,yes
NMV00001131,NML000149,"Kane,",yes
NMV00001131,NML000155,"Steinborn, J.",yes
NMV00001131,NML000098,"Cook, Z.",yes
NMV00001131,NML000069,"Larranaga, L.",yes
NMV00001131,NML000063,"Stewart, M.",yes
NMV00001131,NML000161,"Cote,",yes
NMV00001131,NML000102,"Lewis, T.",yes
NMV00001131,NML000044,"Strickler, J.",yes
NMV00001131,NML000106,"Crook, A.",yes
NMV00001131,NML000153,"Louis, G.",yes
NMV00001131,NML000043,"Taylor, T.",yes
NMV00001131,NML000105,"Dodge, G.",yes
NMV00001131,NML000051,"Lundstrom, P.",yes
NMV00001131,NML000151,"Thomson,",yes
NMV00001131,NML000159,"Easley, S.",yes
NMV00001131,NML000107,"Madalena, J. R.",yes
NMV00001131,NML000091,"Tripp, D.",yes
NMV00001131,NML000089,"Egolf, B.",yes
NMV00001131,NML000058,"Maestas, A.",yes
NMV00001131,NML000158,"Trujillo, CA",yes
NMV00001131,NML000101,"Espinoza,",yes
NMV00001131,NML000081,"Martinez, R.",yes
NMV00001131,NML000152,"Trujillo, CH",yes
NMV00001131,NML000100,"Ezzell, C.",yes
NMV00001131,NML000111,"Martinez, W. K.",yes
NMV00001131,NML000087,"Trujillo, J.",yes
NMV00001131,NML000147,"Fajardo, K.",yes
NMV00001131,NML000154,"McCamley, B.",yes
NMV00001131,NML000090,"Varela, L.",yes
NMV00001131,NML000163,"Gallegos, D.M.",yes
NMV00001131,NML000079,"McMillan, T.",yes
NMV00001131,NML000062,"White, J.",yes
NMV00001131,NML000160,"Gallegos, D.Y.",yes
NMV00001131,NML000053,"Miera, R.",yes
NMV00001131,NML000108,"Wooley, B.",yes
NMV00001131,NML000076,"Garcia, M.H.",yes
NMV00001131,NML000150,"Pacheco, P.",yes
NMV00001131,NML000164,"Youngblood, M.",yes
NMV00001131,NML000056,"Garcia, M.P.",yes
NMV00001131,NML000086,"Powdrell-Culbert, J.",yes
NMV00001131,NML000157,Garcia Richard,yes
NMV00001131,NML000073,"Rehm, W.",yes
NMV00001133,NML000048,"Alcon,",yes
NMV00001133,NML000072,"Gentry,",yes
NMV00001133,NML000109,"Roch, D.",yes
NMV00001133,NML000071,"Anderson, T.",yes
NMV00001133,NML000084,"Gonzales, R.",yes
NMV00001133,NML000083,"Rodella, D.",yes
NMV00001133,NML000156,"Archuleta, P.",yes
NMV00001133,NML000096,"Gray, W.",yes
NMV00001133,NML000148,"Roybal Caballero, P.",yes
NMV00001133,NML000050,"Baldonado, A.",yes
NMV00001133,NML000070,"Hall, J.",yes
NMV00001133,NML000052,"Saavedra, H.",yes
NMV00001133,NML000045,"Bandy, P.",yes
NMV00001133,NML000080,"Hamilton, D.",yes
NMV00001133,,"Salazar,",yes
NMV00001133,NML000104,"Bratton, D.",yes
NMV00001133,NML000162,"Harper, J.",yes
NMV00001133,NML000165,"Salazar, T.",yes
NMV00001133,NML000097,"Brown, C.",yes
NMV00001133,NML000093,"Herrell,",yes
NMV00001133,NML000059,"Sandoval,",yes
NMV00001133,NML000060,"Chasey, G.",yes
NMV00001133,NML000074,"Irwin, D.",yes
NMV00001133,NML000064,"Smith, J.",yes
NMV00001133,NML000054,"Chavez,",yes
NMV00001133,NML000047,"Jeff, S.",yes
NMV00001133,NML000061,"Stapleton, S.",yes
NMV00001133,NML000146,Clahchischilliage,yes
NMV00001133,NML000149,"Kane,",yes
NMV00001133,NML000155,"Steinborn, J.",yes
NMV00001133,NML000098,"Cook, Z.",yes
NMV00001133,NML000069,"Larranaga, L.",yes
NMV00001133,NML000063,"Stewart, M.",yes
NMV00001133,NML000161,"Cote,",yes
NMV00001133,NML000102,"Lewis, T.",yes
NMV00001133,NML000044,"Strickler, J.",yes
NMV00001133,NML000106,"Crook, A.",yes
NMV00001133,NML000153,"Louis, G.",yes
NMV00001133,NML000043,"Taylor, T.",yes
NMV00001133,NML000105,"Dodge, G.",yes
NMV00001133,NML000051,"Lundstrom, P.",yes
NMV00001133,NML000151,"Thomson,",yes
NMV00001133,NML000159,"Easley, S.",yes
NMV00001133,NML000107,"Madalena, J. R.",yes
NMV00001133,NML000091,"Tripp, D.",yes
NMV00001133,NML000089,"Egolf, B.",yes
NMV00001133,NML000058,"Maestas, A.",yes
NMV00001133,NML000158,"Trujillo, CA",yes
NMV00001133,NML000101,"Espinoza,",yes
NMV00001133,NML000081,"Martinez, R.",yes
NMV00001133,NML000152,"Trujillo, CH",yes
NMV00001133,NML000100,"Ezzell, C.",yes
NMV00001133,NML000111,"Martinez, W. K.",yes
NMV00001133,NML000087,"Trujillo, J.",yes
NMV00001133,NML000147,"Fajardo, K.",yes
NMV00001133,NML000154,"McCamley, B.",yes
NMV00001133,NML000090,"Varela, L.",yes
NMV00001133,NML000163,"Gallegos, D.M.",yes
NMV00001133,NML000079,"McMillan, T.",yes
NMV00001133,NML000062,"White, J.",yes
NMV00001133,NML000160,"Gallegos, D.Y.",yes
NMV00001133,NML000053,"Miera, R.",yes
NMV00001133,NML000108,"Wooley, B.",yes
NMV00001133,NML000076,"Garcia, M.H.",yes
NMV00001133,NML000150,"Pacheco, P.",yes
NMV00001133,NML000164,"Youngblood, M.",yes
NMV00001133,NML000056,"Garcia, M.P.",yes
NMV00001133,NML000086,"Powdrell-Culbert, J.",yes
NMV00001133,NML000157,Garcia Richard,yes
NMV00001133,NML000073,"Rehm, W.",yes
NMV00001123,NML000048,"Alcon,",yes
NMV00001123,NML000072,"Gentry,",yes
NMV00001123,NML000109,"Roch, D.",yes
NMV00001123,NML000071,"Anderson, T.",yes
NMV00001123,NML000084,"Gonzales, R.",yes
NMV00001123,NML000083,"Rodella, D.",yes
NMV00001123,NML000156,"Archuleta, P.",yes
NMV00001123,NML000096,"Gray, W.",yes
NMV00001123,NML000148,"Roybal Caballero, P.",yes
NMV00001123,NML000050,"Baldonado, A.",yes
NMV00001123,NML000070,"Hall, J.",yes
NMV00001123,NML000052,"Saavedra, H.",yes
NMV00001123,NML000045,"Bandy, P.",yes
NMV00001123,NML000080,"Hamilton, D.",yes
NMV00001123,,"Salazar,",yes
NMV00001123,NML000104,"Bratton, D.",yes
NMV00001123,NML000162,"Harper, J.",yes
NMV00001123,NML000165,"Salazar, T.",yes
NMV00001123,NML000097,"Brown, C.",yes
NMV00001123,NML000093,"Herrell,",yes
NMV00001123,NML000059,"Sandoval,",yes
NMV00001123,NML000060,"Chasey, G.",yes
NMV00001123,NML000074,"Irwin, D.",yes
NMV00001123,NML000064,"Smith, J.",yes
NMV00001123,NML000054,"Chavez,",yes
NMV00001123,NML000047,"Jeff, S.",yes
NMV00001123,NML000061,"Stapleton, S.",yes
NMV00001123,NML000146,Clahchischilliage,yes
NMV00001123,NML000149,"Kane,",yes
NMV00001123,NML000155,"Steinborn, J.",yes
NMV00001123,NML000098,"Cook, Z.",yes
NMV00001123,NML000069,"Larranaga, L.",yes
NMV00001123,NML000063,"Stewart, M.",yes
NMV00001123,NML000161,"Cote,",yes
NMV00001123,NML000102,"Lewis, T.",yes
NMV00001123,NML000044,"Strickler, J.",yes
NMV00001123,NML000106,"Crook, A.",yes
NMV00001123,NML000153,"Louis, G.",yes
NMV00001123,NML000043,"Taylor, T.",yes
NMV00001123,NML000105,"Dodge, G.",yes
NMV00001123,NML000051,"Lundstrom, P.",yes
NMV00001123,NML000151,"Thomson,",yes
NMV00001123,NML000159,"Easley, S.",yes
NMV00001123,NML000107,"Madalena,J. R.",yes
NMV00001123,NML000091,"Tripp, D.",yes
NMV00001123,NML000089,"Egolf, B.",yes
NMV00001123,NML000058,"Maestas, A.",yes
NMV00001123,NML000158,"Trujillo, CA",yes
NMV00001123,NML000101,"Espinoza,",yes
NMV00001123,NML000081,"Martinez, R.",yes
NMV00001123,NML000152,"Trujillo, CH",yes
NMV00001123,NML000100,"Ezzell, C.",yes
NMV00001123,NML000111,"Martinez, W. K.",yes
NMV00001123,NML000087,"Trujillo, J.",yes
NMV00001123,NML000147,"Fajardo, K.",yes
NMV00001123,NML000154,"McCamley, B.",yes
NMV00001123,NML000090,"Varela, L.",yes
NMV00001123,NML000163,"Gallegos, D.M.",yes
NMV00001123,NML000079,"McMillan, T.",yes
NMV00001123,NML000062,"White, J.",yes
NMV00001123,NML000160,"Gallegos, D.Y.",yes
NMV00001123,NML000053,"Miera, R.",yes
NMV00001123,NML000108,"Wooley, B.",yes
NMV00001123,NML000076,"Garcia, M.H.",yes
NMV00001123,NML000150,"Pacheco, P.",yes
NMV00001123,NML000164,"Youngblood, M.",yes
NMV00001123,NML000056,"Garcia, M.P.",yes
NMV00001123,NML000086,"Powdrell-Culbert, J.",yes
NMV00001123,NML000157,Garcia Richard,yes
NMV00001123,NML000073,"Rehm, W.",yes
NMV00001134,NML000048,"Alcon,",yes
NMV00001134,NML000072,"Gentry,",yes
NMV00001134,NML000109,"Roch, D.",yes
NMV00001134,NML000071,"Anderson, T.",yes
NMV00001134,NML000084,"Gonzales, R.",yes
NMV00001134,NML000083,"Rodella, D.",yes
NMV00001134,NML000156,"Archuleta, P.",yes
NMV00001134,NML000096,"Gray, W.",yes
NMV00001134,NML000148,"Roybal Caballero, P.",yes
NMV00001134,NML000050,"Baldonado, A.",yes
NMV00001134,NML000070,"Hall, J.",yes
NMV00001134,NML000052,"Saavedra, H.",yes
NMV00001134,NML000045,"Bandy, P.",yes
NMV00001134,NML000080,"Hamilton, D.",yes
NMV00001134,,"Salazar,",yes
NMV00001134,NML000104,"Bratton, D.",yes
NMV00001134,NML000162,"Harper, J.",yes
NMV00001134,NML000165,"Salazar, T.",yes
NMV00001134,NML000097,"Brown, C.",yes
NMV00001134,NML000093,"Herrell,",yes
NMV00001134,NML000059,"Sandoval,",yes
NMV00001134,NML000060,"Chasey, G.",yes
NMV00001134,NML000074,"Irwin, D.",yes
NMV00001134,NML000064,"Smith, J.",yes
NMV00001134,NML000054,"Chavez,",yes
NMV00001134,NML000047,"Jeff, S.",yes
NMV00001134,NML000061,"Stapleton, S.",yes
NMV00001134,NML000146,Clahchischilliage,yes
NMV00001134,NML000149,"Kane,",yes
NMV00001134,NML000155,"Steinborn, J.",yes
NMV00001134,NML000098,"Cook, Z.",yes
NMV00001134,NML000069,"Larranaga, L.",yes
NMV00001134,NML000063,"Stewart, M.",yes
NMV00001134,NML000161,"Cote,",yes
NMV00001134,NML000102,"Lewis, T.",yes
NMV00001134,NML000044,"Strickler, J.",yes
NMV00001134,NML000106,"Crook, A.",yes
NMV00001134,NML000153,"Louis, G.",yes
