state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nm,2013,upper,SB 212,NMV00001439,upper,senate passage,2013-02-27 00:00:00,other,39,0,3
nm,2013,upper,SB 183,NMV00001440,upper,senate passage,2013-02-26 00:00:00,other,41,0,1
nm,2013,lower,HB 119,NMV00001129,lower,house passage,2013-01-28 00:00:00,other,67,0,3
nm,2013,lower,HJM 6,NMV00001131,lower,house passage,2013-01-28 00:00:00,other,70,0,0
nm,2013,lower,HM 9,NMV00001133,lower,house passage,2013-01-28 00:00:00,other,70,0,0
nm,2013,lower,HM 4,NMV00001123,lower,house passage,2013-01-23 00:00:00,other,70,0,0
nm,2013,lower,HM 5,NMV00001134,lower,house passage,2013-01-28 00:00:00,other,70,0,0
nm,2013,lower,HB 104,NMV00001135,lower,house passage,2013-01-28 00:00:00,other,61,2,7
nm,2013,lower,HJM 4,NMV00001130,lower,house passage,2013-01-25 00:00:00,other,70,0,0
nm,2013,lower,HM 12,NMV00001137,lower,house passage,2013-01-28 00:00:00,other,70,0,0
nm,2013,lower,HM 13,NMV00001138,lower,house passage,2013-01-25 00:00:00,other,70,0,0
nm,2013,lower,HJM 3,NMV00001132,lower,house passage,2013-01-28 00:00:00,other,65,0,5
nm,2013,lower,HJM 15,NMV00001136,lower,house passage,2013-01-28 00:00:00,other,66,0,4
nm,2013,lower,HJM 18,NMV00001124,lower,house passage,2013-01-23 00:00:00,other,70,0,0
nm,2011,upper,SB 429,NMV00000001,lower,house passage,2011-03-17 00:00:00,other,42,3,25
nm,2011,upper,SB 429,NMV00000002,upper,senate passage,2011-03-09 00:00:00,other,38,0,4
nm,2011,upper,SM 71,NMV00000003,upper,senate passage,2011-03-15 00:00:00,other,28,0,14
nm,2011,upper,SB 422,NMV00000004,lower,house passage,2011-03-18 00:00:00,other,61,4,5
nm,2011,upper,SB 422,NMV00000005,upper,senate passage,2011-03-04 00:00:00,other,30,0,12
nm,2011,upper,SB 427,NMV00000006,lower,house passage,2011-03-19 00:00:00,other,43,23,4
nm,2011,upper,SB 427,NMV00000007,upper,senate passage,2011-03-16 00:00:00,other,23,11,8
nm,2011,upper,SB 425,NMV00000008,upper,senate passage,2011-03-15 00:00:00,other,36,0,6
nm,2011,upper,SB 424,NMV00000009,lower,house passage,2011-03-19 00:00:00,other,61,0,9
nm,2011,upper,SB 424,NMV00000010,upper,senate passage,2011-03-15 00:00:00,other,32,0,10
nm,2011,upper,SM 58,NMV00000011,upper,senate passage,2011-03-02 00:00:00,other,43,0,0
nm,2011,upper,SM 70,NMV00000012,upper,senate passage,2011-03-13 00:00:00,other,31,0,11
nm,2011,upper,SB 417,NMV00000013,lower,house passage,2011-03-14 00:00:00,other,64,0,6
nm,2011,upper,SB 417,NMV00000014,upper,senate passage,2011-03-07 00:00:00,other,37,0,5
nm,2011,upper,SB 321,NMV00000015,lower,house passage,2011-03-18 00:00:00,other,41,26,3
nm,2011,upper,SB 321,NMV00000016,upper,senate passage,2011-03-10 00:00:00,other,21,3,18
nm,2011,upper,SB 323,NMV00000017,upper,senate passage,2011-03-12 00:00:00,other,27,6,9
nm,2011,upper,SB 325,NMV00000018,upper,senate passage,2011-03-03 00:00:00,other,33,4,5
nm,2011,upper,SB 326,NMV00000019,lower,house passage,2011-03-18 00:00:00,other,63,0,7
nm,2011,upper,SB 326,NMV00000020,upper,senate passage,2011-03-10 00:00:00,other,24,0,18
nm,2011,upper,SB 327,NMV00000021,lower,house passage,2011-03-18 00:00:00,other,54,0,16
nm,2011,upper,SB 327,NMV00000022,upper,senate passage,2011-03-07 00:00:00,other,40,0,2
nm,2011,upper,SB 329,NMV00000023,lower,house passage,2011-03-18 00:00:00,other,59,0,11
nm,2011,upper,SB 329,NMV00000024,upper,senate passage,2011-03-07 00:00:00,other,40,0,2
nm,2011,upper,SB 259,NMV00000025,upper,senate passage,2011-03-13 00:00:00,other,36,0,6
nm,2011,upper,SB 250,NMV00000026,lower,house passage,2011-03-17 00:00:00,other,44,0,26
nm,2011,upper,SB 250,NMV00000027,upper,senate passage,2011-03-04 00:00:00,other,36,0,6
nm,2011,upper,SB 44,NMV00000028,lower,house passage,2011-03-15 00:00:00,other,68,1,1
nm,2011,upper,SB 44,NMV00000029,upper,senate passage,2011-02-28 00:00:00,other,39,0,3
nm,2011,upper,SB 45,NMV00000030,lower,house passage,2011-03-16 00:00:00,other,66,1,3
nm,2011,upper,SB 45,NMV00000031,upper,senate passage,2011-02-21 00:00:00,other,36,1,5
nm,2011,upper,SB 47,NMV00000032,lower,house passage,2011-03-18 00:00:00,other,66,0,4
nm,2011,upper,SB 47,NMV00000033,upper,senate passage,2011-03-14 00:00:00,other,35,0,7
nm,2011,upper,SB 40,NMV00000034,lower,house passage,2011-03-15 00:00:00,other,45,24,1
nm,2011,upper,SB 40,NMV00000035,upper,senate passage,2011-03-07 00:00:00,other,38,2,2
nm,2011,upper,SB 41,NMV00000036,lower,house passage,2011-03-17 00:00:00,other,60,0,10
nm,2011,upper,SB 41,NMV00000037,upper,senate passage,2011-02-24 00:00:00,other,36,0,6
nm,2011,upper,SB 42,NMV00000038,upper,senate passage,2011-03-13 00:00:00,other,33,0,9
nm,2011,upper,SB 49,NMV00000039,upper,senate passage,2011-02-16 00:00:00,other,36,0,6
nm,2011,upper,SM 9,NMV00000040,upper,senate passage,2011-02-21 00:00:00,other,43,0,0
nm,2011,upper,SM 8,NMV00000041,upper,senate passage,2011-02-14 00:00:00,other,43,0,0
nm,2011,upper,SB 135,NMV00000042,upper,senate passage,2011-03-15 00:00:00,other,34,0,8
nm,2011,upper,SB 134,NMV00000043,lower,house passage,2011-03-17 00:00:00,other,64,0,6
nm,2011,upper,SB 134,NMV00000044,upper,senate passage,2011-03-04 00:00:00,other,31,5,6
nm,2011,upper,SB 130,NMV00000045,lower,house passage,2011-03-18 00:00:00,other,66,0,4
nm,2011,upper,SB 130,NMV00000046,upper,senate passage,2011-03-05 00:00:00,other,31,2,9
