state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
nm,2011,lower,HB 1,FEED BILL,2011-08-05 16:10:28.020000,2011-08-05 16:10:28.020000,bill,"Budget, Spending, and Taxes|Legislative Affairs"
nm,2011,lower,HB 10,REIMBURSEMENT OUTSIDE OF PREFERRED PROVIDERS,2011-08-05 16:10:26.614000,2011-08-05 16:10:26.614000,bill,Health|Insurance
nm,2011,lower,HB 100,NO 4TH GRADE WITHOUT READING PROFICIENCY,2011-08-05 16:10:25.658000,2011-08-05 16:10:25.658000,bill,Education
nm,2011,lower,HB 101,COLLECTIVE BARGAINING AS OPEN MEETINGS,2011-08-05 16:10:25.655000,2011-08-05 16:10:25.655000,bill,State Agencies|Other
nm,2011,lower,HB 102,INTERNET SALES GROSS RECEIPTS,2011-08-05 16:10:25.677000,2011-08-05 16:10:25.677000,bill,"Business and Consumers|Budget, Spending, and Taxes"
nm,2011,lower,HB 103,DEVELOP STATEWIDE NURSING PROGRAM,2011-08-05 16:10:25.674000,2011-08-05 16:10:25.674000,bill,Education|Health
nm,2011,lower,HB 104,REDUCE NONLICENSED SCHOOL EMPLOYEE PROBATION,2011-08-05 16:10:25.635000,2011-08-05 16:10:25.635000,bill,Education
nm,2011,lower,HB 105,ELECTRONIC VOTER REGISTRATION,2011-08-05 16:10:25.633000,2011-08-05 16:10:25.633000,bill,Campaign Finance and Election Issues|Municipal and County Issues
nm,2011,lower,HB 106,EXTEND CERTAIN BOARD & COMMISSION SUNSETS,2011-08-05 16:10:25.652000,2011-08-05 16:10:25.652000,bill,State Agencies
nm,2011,lower,HB 107,NAPRAPATHIC BOARD DUTIES TO MEDICAL BOARD,2011-08-05 16:10:25.644000,2011-08-05 16:10:25.644000,bill,State Agencies|Health
nm,2011,lower,HB 108,SERVICE MEMBER CHILD CUSTODY ACT,2011-08-05 16:10:25.697000,2011-08-05 16:10:25.697000,bill,Military|Family and Children Issues
nm,2011,lower,HB 109,APPEAL STATE ENGINEER DECISIONS IN COURT,2011-08-05 16:10:25.691000,2011-08-05 16:10:25.691000,bill,Environmental|Judiciary
nm,2011,lower,HB 11,MOTOR SCOOTER DEFINITION & OPERATION,2011-08-05 16:10:26.622000,2011-08-05 16:10:26.622000,bill,Transportation
nm,2011,lower,HB 110,LIMITED USE OF EMINENT DOMAIN,2011-08-05 16:10:24.083000,2011-08-05 16:10:24.083000,bill,Housing and Property|Municipal and County Issues
nm,2011,lower,HB 111,URANIUM LEGACY CLEANUP ACT,2011-08-05 16:10:24.085000,2011-08-05 16:10:24.085000,bill,Environmental|Energy
nm,2011,lower,HB 112,BROADBAND ACCESS & YOUTH ENTREPRENEURSHIP,2011-08-05 16:10:24.070000,2011-08-05 16:10:24.070000,bill,Education|Business and Consumers
nm,2011,lower,HB 113,CHARTER SCHOOL EXPENDITURE REPORTS,2011-08-05 16:10:27.127000,2011-08-05 16:10:27.127000,bill,Education
nm,2011,lower,HB 114,ALBUQUERQUE PUBLIC SCHOOLS LICENSE PLATE,2011-08-05 16:10:24.101000,2011-08-05 16:10:24.101000,bill,Education|Transportation
nm,2011,lower,HB 115,TITLE-1 SUPPLEMENTAL EDUCATION SERVICES,2011-08-05 16:10:24.109000,2011-08-05 16:10:24.109000,bill,Education
nm,2011,lower,HB 116,NM POISON & DRUG INFO CENTER,2011-08-05 16:10:24.093000,2011-08-05 16:10:24.093000,bill,Drugs|Health
nm,2011,lower,HB 117,CONSERVANCY DISTRICT POWERS OVER ACEQUIAS,2011-08-05 16:10:24.095000,2011-08-05 16:10:24.095000,bill,Environmental|Housing and Property
nm,2011,lower,HB 118,THRESHOLD FOR AUDITS OF NONPROFITS,2011-08-05 16:10:26.977000,2011-08-10 02:52:20.045000,bill,"State Agencies|Budget, Spending, and Taxes"
nm,2011,lower,HB 119,INCOME TAX EXEMPTION FOR PEOPLE OVER 65,2011-08-05 16:10:24.067000,2011-08-05 16:10:24.067000,bill,"Budget, Spending, and Taxes"
nm,2011,lower,HB 12,OWNER DUTIES FOR RECREATIONAL USE OF LAND,2011-08-05 16:10:26.021000,2011-08-05 16:10:26.021000,bill,Housing and Property|Recreation
nm,2011,lower,HB 120,NEW SCHOOL & SCHOOL BUILDING MORATORIUM,2011-08-05 16:10:23.707000,2011-08-05 16:10:23.707000,bill,Education
nm,2011,lower,HB 121,ONE SUBJECT IN A CONSTITUTIONAL CONVENTION,2011-08-05 16:10:27.767000,2011-08-05 16:10:27.767000,bill,Other
nm,2011,lower,HB 122,VETERANS' ENTERPRISE FUND,2011-08-05 16:10:27.764000,2011-08-05 16:10:27.764000,bill,Military
