id,state,chamber,committee,subcommittee,parent_id
NMC000085,nm,lower,Education,,
NMC000081,nm,lower,Consumer & Public Affairs,,
NMC000089,nm,lower,Transportation & Public Works,,
NMC000086,nm,lower,Judiciary,,
NMC000088,nm,lower,Business & Industry,,
NMC000092,nm,lower,Rules & Order Of Business,,
NMC000087,nm,lower,"Health, Government & Indian Affairs",,
NMC000094,nm,lower,Voters & Elections,,
NMC000095,nm,lower,Agriculture & Water Resources,,
NMC000083,nm,lower,Enrolling & Engrossing - B,,
NMC000082,nm,lower,Taxation & Revenue,,
NMC000093,nm,lower,Energy & Natural Resources,,
NMC000090,nm,lower,Enrolling & Engrossing - A,,
NMC000091,nm,lower,Labor & Human Resources,,
NMC000084,nm,lower,Appropriations & Finance,,
NMC000102,nm,upper,Corporations & Transportation,,
NMC000100,nm,upper,Education,,
NMC000098,nm,upper,Public Affairs,,
NMC000096,nm,upper,Senate Rules,,
NMC000097,nm,upper,Indian & Cultural Affairs,,
NMC000103,nm,upper,Committees' Committee,,
NMC000104,nm,upper,Finance,,
NMC000101,nm,upper,Judiciary,,
NMC000099,nm,upper,Conservation,,
