leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
NML000113,member,2011-2012,21,upper,nm,Democratic,,,,,
NML000113,committee member,2011-2012,,upper,nm,,,"COURTS, CORRECTIONS & JUSTICE COMMITTEE",,,
NML000113,committee member,2011-2012,,upper,nm,,,JUDICIARY,,,
NML000113,committee member,2011-2012,,upper,nm,,,PUBLIC AFFAIRS,,,
NML000018,member,2011-2012,18,upper,nm,Republican,,,,,
NML000018,committee member,2011-2012,,upper,nm,,,ECONOMIC & RURAL DEVELOPMENT COMMITTEE,,,
NML000018,committee member,2011-2012,,upper,nm,,,MORTGAGE FINANCE AUTHORITY ACT OVERSIGHT COMMITTEE,,,
NML000018,committee member,2011-2012,,upper,nm,,,REVENUE STABILIZATION & TAX POLICY COMMITTEE,,,
NML000018,committee member,2011-2012,,upper,nm,,,LEGISLATIVE EDUCATION STUDY COMMITTEE,,,
NML000018,committee member,2011-2012,,upper,nm,,,PUBLIC AFFAIRS,,,
NML000018,committee member,2011-2012,,upper,nm,,,CORPORATIONS & TRANSPORTATION,,,
NML000078,member,2011-2012,36,lower,nm,Independent,,,,,
NML000078,committee member,2011-2012,,lower,nm,,,WATER & NATURAL RESOURCES COMMITTEE,,,
NML000078,committee member,2011-2012,,lower,nm,,,NEW MEXICO FINANCE AUTHORITY OVERSIGHT COMMITTEE,,,
NML000078,committee member,2011-2012,,lower,nm,,,LEGISLATIVE COUNCIL,,,
NML000078,committee member,2011-2012,,lower,nm,,,ECONOMIC & RURAL DEVELOPMENT COMMITTEE,,,
NML000078,committee member,2011-2012,,lower,nm,,,EDUCATION,,,
NML000078,committee member,2011-2012,,lower,nm,,,TRANSPORTATION & PUBLIC WORKS,,,
NML000085,member,2011-2012,43,lower,nm,Republican,,,,,
NML000085,committee member,2011-2012,,lower,nm,,,"SCIENCE, TECHNOLOGY & TELECOMMUNICATIONS COMMITTEE",,,
NML000085,committee member,2011-2012,,lower,nm,,,TOBACCO SETTLEMENT REVENUE OVERSIGHT COMMITTEE,,,
NML000085,committee member,2011-2012,,lower,nm,,,LAND GRANT COMMITTEE,,,
NML000085,committee member,2011-2012,,lower,nm,,,RADIOACTIVE & HAZARDOUS MATERIALS COMMITTEE,,,
NML000085,committee member,2011-2012,,lower,nm,,,APPROPRIATIONS & FINANCE,,,
NML000085,committee member,2011-2012,,lower,nm,,,HEALTH & GOVERNMENT AFFAIRS,,,
NML000085,committee member,2011-2012,,lower,nm,,,PRINTING & SUPPLIES,,,
NML000095,member,2011-2012,53,lower,nm,Republican,,,,,
NML000095,committee member,2011-2012,,lower,nm,,,MORTGAGE FINANCE AUTHORITY ACT OVERSIGHT COMMITTEE,,,
NML000095,committee member,2011-2012,,lower,nm,,,NEW MEXICO FINANCE AUTHORITY OVERSIGHT COMMITTEE,,,
NML000095,committee member,2011-2012,,lower,nm,,,LABOR & HUMAN RESOURCES,,,
NML000095,committee member,2011-2012,,lower,nm,,,TRANSPORTATION & PUBLIC WORKS,,,
NML000095,committee member,2011-2012,,lower,nm,,,ENROLLING & ENGROSSING - A,,,
NML000007,member,2011-2012,7,upper,nm,Republican,,,,,2012-10-05 00:00:00
NML000007,committee member,2011-2012,,upper,nm,,,NEW MEXICO FINANCE AUTHORITY OVERSIGHT COMMITTEE,,,
NML000007,committee member,2011-2012,,upper,nm,,,REVENUE STABILIZATION & TAX POLICY COMMITTEE,,,
NML000007,committee member,2011-2012,,upper,nm,,,WATER & NATURAL RESOURCES COMMITTEE,,,
NML000007,committee member,2011-2012,,upper,nm,,,"COURTS, CORRECTIONS & JUSTICE COMMITTEE",,,
NML000007,committee member,2011-2012,,upper,nm,,,ECONOMIC & RURAL DEVELOPMENT COMMITTEE,,,
NML000007,committee member,2011-2012,,upper,nm,,,MILITARY & VETERANS' AFFAIRS COMMITTEE,,,
NML000007,committee member,2011-2012,,upper,nm,,,CONSERVATION,,,
NML000007,committee member,2011-2012,,upper,nm,,,JUDICIARY,,,
NML000013,member,2011-2012,13,upper,nm,Democratic,,,,,
NML000013,committee member,2011-2012,,upper,nm,,,LEGISLATIVE HEALTH & HUMAN SERVICES COMMITTEE,,,
NML000013,committee member,2011-2012,,upper,nm,,,"SCIENCE, TECHNOLOGY & TELECOMMUNICATIONS COMMITTEE",,,
NML000013,committee member,2011-2012,,upper,nm,,,TOBACCO SETTLEMENT REVENUE OVERSIGHT COMMITTEE,,,
NML000013,committee member,2011-2012,,upper,nm,,,SENATE RULES,,,
NML000013,committee member,2011-2012,,upper,nm,,,WATER & NATURAL RESOURCES COMMITTEE,,,
NML000013,committee member,2011-2012,,upper,nm,,,PUBLIC AFFAIRS,,,
NML000013,committee member,2011-2012,,upper,nm,,,SENATE RULES,,,
NML000014,member,2011-2012,14,upper,nm,Democratic,,,,,
NML000014,committee member,2011-2012,,upper,nm,,,INDIAN AFFAIRS COMMITTEE,,,
NML000014,committee member,2011-2012,,upper,nm,,,MILITARY & VETERANS' AFFAIRS COMMITTEE,,,
