state,session,chamber,bill_id,date,action,actor,type
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,Read first time.,lower,bill:reading:1
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,Referred to Committee of the Whole.,lower,other
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,To printer. From printer.,lower,other
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,To committee.,lower,other
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,"From committee: Amend, and do pass as amended.",lower,committee:passed
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,Declared an emergency measure under the Constitution.,lower,other
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,Read third time. Amended. (Amend. No. 1.),lower,bill:reading:3
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,Dispensed with reprinting.,lower,other
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,"Read third time. Passed, as amended. Title approved. (Yeas: 42, Nays: None.)",lower,bill:passed|bill:reading:3
nv,2010Special26,lower,AB 1,2010-02-24 00:00:00,To printer.,lower,other
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,From printer. To engrossment. Engrossed. First reprint.,lower,other
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,To Senate.,lower,other
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,In Senate.,upper,other
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,Read first time. Referred to Committee of the Whole. To committee.,upper,bill:reading:1|committee:referred
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,From committee: Do pass.,upper,committee:passed
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,Declared an emergency measure under the Constitution.,upper,other
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,"Read third time. Passed. Title approved. (Yeas: 21, Nays: None.) To Assembly.",upper,bill:passed|bill:reading:3
nv,2010Special26,lower,AB 1,2010-02-25 00:00:00,In Assembly. To enrollment.,lower,other
nv,2010Special26,lower,AB 1,2010-02-26 00:00:00,Enrolled and delivered to Governor.,executive,governor:received
nv,2010Special26,lower,AB 1,2010-02-28 00:00:00,Approved by the Governor. Chapter 2.,executive,governor:signed
nv,2010Special26,lower,AB 2,2010-02-24 00:00:00,Read first time.,lower,bill:reading:1
nv,2010Special26,lower,AB 2,2010-02-24 00:00:00,Referred to Committee of the Whole.,lower,other
nv,2010Special26,lower,AB 2,2010-02-24 00:00:00,To printer. From printer.,lower,other
nv,2010Special26,lower,AB 2,2010-02-24 00:00:00,To committee.,lower,other
nv,2010Special26,lower,AB 2,2010-02-28 00:00:00,"From committee: Amend, and do pass as amended.",lower,committee:passed
nv,2010Special26,lower,AB 2,2010-02-28 00:00:00,Declared an emergency measure under the Constitution.,lower,other
nv,2010Special26,lower,AB 2,2010-02-28 00:00:00,Read third time. Amended. (Amend. No. 8.),lower,bill:reading:3
