vote_id,leg_id,name,vote
NVV00000001,NVL000064,Paul Aizley,yes
NVV00000001,NVL000065,Bernie Anderson,yes
NVV00000001,NVL000066,Morse Arberry,yes
NVV00000001,NVL000067,Kelvin Atkinson,yes
NVV00000001,NVL000068,David Bobzien,yes
NVV00000001,NVL000069,Barbara Buckley,yes
NVV00000001,NVL000070,John Carpenter,yes
NVV00000001,NVL000071,Chad Christensen,yes
NVV00000001,NVL000072,Jerry Claborn,yes
NVV00000001,NVL000073,Tyrus Cobb,yes
NVV00000001,NVL000074,Marcus Conklin,yes
NVV00000001,NVL000075,Mo Denis,yes
NVV00000001,NVL000076,Marilyn Dondero Loop,yes
NVV00000001,NVL000077,Heidi Gansert,yes
NVV00000001,NVL000078,Edwin Goedhart,yes
NVV00000001,NVL000079,Pete Goicoechea,yes
NVV00000001,NVL000080,Tom Grady,yes
NVV00000001,NVL000081,Don Gustavson,yes
NVV00000001,NVL000082,John Hambrick,yes
NVV00000001,NVL000083,Joe Hardy,yes
NVV00000001,NVL000084,Joseph Hogan,yes
NVV00000001,NVL000085,William Horne,yes
NVV00000001,NVL000086,Ruben Kihuen,yes
NVV00000001,NVL000087,Marilyn Kirkpatrick,yes
NVV00000001,NVL000088,Ellen Koivisto,yes
NVV00000001,NVL000089,Sheila Leslie,yes
NVV00000001,NVL000090,Mark Manendo,yes
NVV00000001,NVL000091,April Mastroluca,yes
NVV00000001,NVL000092,Richard McArthur,yes
NVV00000001,NVL000093,Kathy McClain,yes
NVV00000001,NVL000094,Harry Mortenson,yes
NVV00000001,NVL000095,Harvey Munford,yes
NVV00000001,NVL000096,John Oceguera,yes
NVV00000001,NVL000097,James Ohrenschall,yes
NVV00000001,NVL000098,Bonnie Parnell,yes
NVV00000001,NVL000099,Peggy Pierce,yes
NVV00000001,NVL000100,Tick Segerblom,yes
NVV00000001,NVL000101,James Settelmeyer,yes
NVV00000001,NVL000102,Debbie Smith,yes
NVV00000001,NVL000103,Ellen Spiegel,yes
NVV00000001,NVL000104,Lynn Stewart,yes
NVV00000001,NVL000105,Melissa Woodbury,yes
NVV00000002,NVL000001,Mark Amodei,yes
NVV00000002,NVL000002,Shirley Breeden,yes
NVV00000002,NVL000003,Terry Care,yes
NVV00000002,NVL000004,Maggie Carlton,yes
NVV00000002,NVL000005,Barbara Cegavske,yes
NVV00000002,NVL000006,Bob Coffin,yes
NVV00000002,NVL000007,Allison Copening,yes
NVV00000002,NVL000009,Steven Horsford,yes
NVV00000002,NVL000010,John Lee,yes
NVV00000002,NVL000011,Bernice Mathews,yes
NVV00000002,NVL000012,Mike McGinness,yes
NVV00000002,NVL000013,Dennis Nolan,yes
NVV00000002,,Stan Olsen,yes
NVV00000002,NVL000014,David Parks,yes
NVV00000002,NVL000015,William Raggio,yes
NVV00000002,NVL000016,Dean Rhoads,yes
NVV00000002,NVL000017,Michael Schneider,yes
NVV00000002,NVL000018,Randolph Townsend,yes
NVV00000002,NVL000019,Maurice Washington,yes
NVV00000002,NVL000020,Valerie Wiener,yes
NVV00000002,NVL000021,Joyce Woodhouse,yes
NVV00000003,NVL000064,Paul Aizley,yes
NVV00000003,NVL000065,Bernie Anderson,yes
NVV00000003,NVL000066,Morse Arberry,yes
NVV00000003,NVL000067,Kelvin Atkinson,yes
NVV00000003,NVL000068,David Bobzien,yes
NVV00000003,NVL000069,Barbara Buckley,yes
NVV00000003,NVL000071,Chad Christensen,yes
NVV00000003,NVL000072,Jerry Claborn,yes
NVV00000003,NVL000073,Tyrus Cobb,yes
NVV00000003,NVL000074,Marcus Conklin,yes
NVV00000003,NVL000075,Mo Denis,yes
NVV00000003,NVL000076,Marilyn Dondero Loop,yes
NVV00000003,NVL000077,Heidi Gansert,yes
NVV00000003,NVL000078,Edwin Goedhart,yes
NVV00000003,NVL000079,Pete Goicoechea,yes
NVV00000003,NVL000080,Tom Grady,yes
NVV00000003,NVL000081,Don Gustavson,yes
NVV00000003,NVL000082,John Hambrick,yes
NVV00000003,NVL000083,Joe Hardy,yes
NVV00000003,NVL000084,Joseph Hogan,yes
NVV00000003,NVL000085,William Horne,yes
NVV00000003,NVL000086,Ruben Kihuen,yes
NVV00000003,NVL000087,Marilyn Kirkpatrick,yes
NVV00000003,NVL000088,Ellen Koivisto,yes
