state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
nv,2010Special26,lower,AB 1,NVV00000001,lower,"
        Assembly Final Passage",2010-02-24 00:00:00,other,42,0,0
nv,2010Special26,lower,AB 1,NVV00000002,upper,"
        Senate Final Passage",2010-02-25 00:00:00,other,21,0,0
nv,2010Special26,lower,AB 2,NVV00000003,lower,"
        Assembly Final Passage",2010-02-28 00:00:00,other,41,0,1
nv,2010Special26,lower,AB 2,NVV00000004,upper,"
        Senate Final Passage",2010-02-28 00:00:00,other,20,0,1
nv,2010Special26,lower,AB 3,NVV00000005,lower,"
        Assembly Final Passage",2010-02-25 00:00:00,other,41,1,0
nv,2010Special26,lower,AB 3,NVV00000006,upper,"
        Senate Final Passage",2010-02-25 00:00:00,other,17,3,1
nv,2010Special26,lower,AB 4,NVV00000007,lower,"
        Assembly Final Passage",2010-02-27 00:00:00,other,42,0,0
nv,2010Special26,lower,AB 4,NVV00000008,upper,"
        Senate Final Passage",2010-02-27 00:00:00,other,18,3,0
nv,2010Special26,lower,AB 5,NVV00000009,lower,"
        Assembly Final Passage",2010-02-27 00:00:00,other,42,0,0
nv,2010Special26,lower,AB 5,NVV00000010,upper,"
        Senate Final Passage",2010-02-27 00:00:00,other,21,0,0
nv,2010Special26,lower,AB 6,NVV00000011,lower,"
        Assembly Final Passage",2010-03-01 00:00:00,other,34,8,0
nv,2010Special26,lower,AB 6,NVV00000012,upper,"
        Senate Final Passage",2010-03-01 00:00:00,other,20,1,0
nv,2010Special26,upper,SB 1,NVV00000013,upper,"
        Senate Final Passage",2010-02-23 00:00:00,other,21,0,0
nv,2010Special26,upper,SB 1,NVV00000014,lower,"
        Assembly Final Passage",2010-02-23 00:00:00,other,42,0,0
nv,2010Special26,upper,SB 2,NVV00000015,upper,"
        Senate Final Passage",2010-02-24 00:00:00,other,16,5,0
nv,2010Special26,upper,SB 2,NVV00000016,lower,"
        Assembly Final Passage",2010-02-24 00:00:00,other,42,0,0
nv,2010Special26,upper,SB 3,NVV00000017,upper,"
        Senate Final Passage",2010-02-26 00:00:00,other,19,2,0
nv,2010Special26,upper,SB 3,NVV00000018,lower,"
        Assembly Final Passage",2010-02-27 00:00:00,other,41,1,0
nv,2010Special26,upper,SB 4,NVV00000019,upper,"
        Senate Final Passage",2010-02-27 00:00:00,other,20,1,0
nv,2010Special26,upper,SB 4,NVV00000020,lower,"
        Assembly Final Passage",2010-02-28 00:00:00,other,41,0,1
nv,2010Special26,upper,SB 5,NVV00000021,upper,"
        Senate Final Passage",2010-03-01 00:00:00,other,21,0,0
nv,2010Special26,upper,SB 5,NVV00000022,lower,"
        Assembly Final Passage",2010-03-01 00:00:00,other,37,5,0
nv,75,lower,AB 10,NVV00000023,lower,Assembly Final Passage,2009-04-20 00:00:00,other,41,0,1
nv,75,lower,AB 10,NVV00000024,upper,Senate Final Passage,2009-05-22 00:00:00,other,20,1,0
nv,75,lower,AB 100,NVV00000025,lower,Assembly Final Passage,2009-04-06 00:00:00,other,42,0,0
nv,75,lower,AB 100,NVV00000026,upper,Senate Final Passage,2009-05-18 00:00:00,other,21,0,0
nv,75,lower,AB 101,NVV00000027,lower,Assembly Final Passage,2009-04-20 00:00:00,other,42,0,0
nv,75,lower,AB 101,NVV00000028,upper,Senate Final Passage,2009-05-20 00:00:00,other,21,0,0
nv,75,lower,AB 102,NVV00000029,lower,Assembly Final Passage,2009-04-17 00:00:00,other,34,8,0
