state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ny,2011-2012,upper,S 3835,NYV00004655,upper,Children and Families Committee Vote,2011-06-01 00:00:00,other,6,0,0
ny,2011-2012,upper,S 1998,NYV00004567,upper,Judiciary Committee Vote,2012-01-18 00:00:00,other,23,0,0
ny,2011-2012,upper,S 6149,NYV00004676,upper,Transportation Committee Vote,2012-04-18 00:00:00,other,17,2,0
ny,2011-2012,upper,S 452,NYV00004648,upper,Finance Committee Vote,2011-05-10 00:00:00,other,33,1,1
ny,2011-2012,upper,S 6500,NYV00004681,upper,Health Committee Vote,2012-02-29 00:00:00,other,16,0,1
ny,2011-2012,upper,S 937,NYV00003528,upper,Civil Service and Pensions Committee Vote,2012-02-29 00:00:00,other,11,1,0
ny,2011-2012,upper,S 3222,NYV00004446,upper,"Veterans, Homeland Security and Military Affairs Committee Vote",2012-06-05 00:00:00,other,13,0,0
ny,2011-2012,upper,S 3998,NYV00004512,upper,Investigations and Government Operations Committee Vote,2012-05-22 00:00:00,other,7,1,0
ny,2011-2012,upper,S 3994,NYV00004518,upper,Civil Service and Pensions Committee Vote,2011-04-13 00:00:00,other,12,0,0
ny,2011-2012,upper,S 298,NYV00004522,upper,Consumer Protection Committee Vote,2011-03-23 00:00:00,other,6,4,0
ny,2011-2012,upper,S 295,NYV00004525,upper,Energy and Telecommunications Committee Vote,2011-03-29 00:00:00,other,11,1,0
ny,2011-2012,upper,S 5880,NYV00004384,upper,Health Committee Vote,2012-01-10 00:00:00,other,17,0,0
ny,2011-2012,upper,S 356,NYV00004402,upper,"Crime Victims, Crime and Correction Committee Vote",2012-04-18 00:00:00,other,13,1,0
ny,2011-2012,upper,S 3998,NYV00004510,upper,Investigations and Government Operations Committee Vote,2011-05-10 00:00:00,other,8,0,0
ny,2011-2012,upper,S 3996,NYV00004517,upper,Investigations and Government Operations Committee Vote,2011-05-03 00:00:00,other,8,0,0
ny,2011-2012,upper,S 7184,NYV00003211,upper,Energy and Telecommunications Committee Vote,2012-05-22 00:00:00,other,11,1,0
ny,2011-2012,upper,S 872,NYV00003216,upper,Transportation Committee Vote,2012-06-05 00:00:00,other,18,0,1
ny,2011-2012,upper,S 7454,NYV00003223,upper,Local Government Committee Vote,2012-06-06 00:00:00,other,8,0,0
ny,2011-2012,upper,S 392,NYV00003235,upper,"Corporations, Authorities and Commissions Committee Vote",2012-03-05 00:00:00,other,2,4,0
ny,2011-2012,upper,S 397,NYV00003237,upper,Local Government Committee Vote,2011-03-02 00:00:00,other,8,0,0
ny,2011-2012,upper,S 3744,NYV00003256,upper,"Crime Victims, Crime and Correction Committee Vote",2012-03-20 00:00:00,other,12,2,0
ny,2011-2012,upper,S 7213,NYV00003282,upper,Local Government Committee Vote,2012-05-16 00:00:00,other,8,0,0
ny,2011-2012,upper,S 7216,NYV00003287,upper,"Commerce, Economic Development and Small Business Committee Vote",2012-06-05 00:00:00,other,12,0,0
ny,2011-2012,upper,S 4293,NYV00003355,upper,Local Government Committee Vote,2011-05-25 00:00:00,other,8,0,0
ny,2011-2012,upper,S 5868,NYV00003374,upper,Labor Committee Vote,2012-03-01 00:00:00,other,16,0,0
ny,2011-2012,upper,S 2181,NYV00003377,upper,Aging Committee Vote,2011-05-23 00:00:00,other,11,0,1
ny,2011-2012,upper,S 2185,NYV00003381,upper,Aging Committee Vote,2012-05-30 00:00:00,other,11,0,1
ny,2011-2012,upper,S 152,NYV00003395,upper,Codes Committee Vote,2011-04-05 00:00:00,other,12,1,3
ny,2011-2012,upper,S 152,NYV00003396,upper,Codes Committee Vote,2012-01-18 00:00:00,other,15,1,0
ny,2011-2012,upper,S 2728,NYV00003406,upper,Investigations and Government Operations Committee Vote,2011-03-08 00:00:00,other,7,0,1
ny,2011-2012,upper,S 815,NYV00003427,upper,Children and Families Committee Vote,2011-03-14 00:00:00,other,5,0,0
ny,2011-2012,upper,S 1707,NYV00003442,upper,"Commerce, Economic Development and Small Business Committee Vote",2011-03-29 00:00:00,other,10,1,0
ny,2011-2012,upper,S 1707,NYV00003443,upper,"Cultural Affairs, Tourism, Parks and Recreation Committee Vote",2012-02-13 00:00:00,other,12,2,0
ny,2011-2012,upper,S 4575,NYV00003451,upper,Investigations and Government Operations Committee Vote,2011-05-03 00:00:00,other,6,2,0
ny,2011-2012,upper,S 3959,NYV00003456,upper,Local Government Committee Vote,2011-06-06 00:00:00,other,8,0,0
ny,2011-2012,upper,S 4190,NYV00003470,upper,Investigations and Government Operations Committee Vote,2011-04-12 00:00:00,other,6,0,2
ny,2011-2012,upper,S 6435,NYV00003491,upper,Local Government Committee Vote,2012-05-23 00:00:00,other,8,0,0
ny,2011-2012,upper,S 6431,NYV00003494,upper,Environmental Conservation Committee Vote,2012-06-05 00:00:00,other,13,1,0
ny,2011-2012,upper,S 6430,NYV00003495,upper,Local Government Committee Vote,2012-02-29 00:00:00,other,7,0,1
ny,2011-2012,upper,S 6438,NYV00003496,upper,Local Government Committee Vote,2012-06-06 00:00:00,other,8,0,0
