id,state,chamber,committee,subcommittee,parent_id
NYC000072,ny,lower,Social Services,,
NYC000043,ny,lower,Banks,,
NYC000044,ny,lower,Children and Families,,
NYC000048,ny,lower,"Corporations, Authorities and Commissions",,
NYC000051,ny,lower,Education,,
NYC000052,ny,lower,Election Law,,
NYC000053,ny,lower,Energy,,
NYC000054,ny,lower,Environmental Conservation,,
NYC000055,ny,lower,Ethics and Guidance,,
NYC000057,ny,lower,Governmental Operations,,
NYC000059,ny,lower,Higher Education,,
NYC000061,ny,lower,Insurance,,
NYC000070,ny,lower,Rules,,
NYC000073,ny,lower,"Tourism, Parks, Arts and Sports Development",,
NYC000076,ny,lower,Ways and Means,,
NYC000077,ny,lower,Agriculture Economic Development and Farmland Protection,,
NYC000078,ny,lower,Autism Retention,,
NYC000079,ny,lower,Banking in Underserved Communities,,
NYC000080,ny,lower,Catastrophic Natural Disasters,,
NYC000081,ny,lower,Child Product Safety,,
NYC000082,ny,lower,Criminal Procedure,,
NYC000083,ny,lower,Election Day Operations and Voter Disenfranchisement,,
NYC000084,ny,lower,Emerging Workforce,,
NYC000085,ny,lower,Export Trade,,
NYC000086,ny,lower,Foster Care,,
NYC000088,ny,lower,Mitchell-Lama,,
NYC000089,ny,lower,Outreach and Oversight of Senior Citizen Programs,,
NYC000090,ny,lower,Oversight of Minority and Women-Owned Business Enterprises (MWBEs),,
NYC000091,ny,lower,Oversight of the Department of Environmental Conservation,,
NYC000092,ny,lower,Regulated Mortgage Lenders,,
NYC000093,ny,lower,Renewable Energy,,
NYC000094,ny,lower,Retention of Homeownership and Stabilization of Affordable Housing,,
NYC000095,ny,lower,Students with Special Needs,,
NYC000096,ny,lower,Transitional Services,,
NYC000097,ny,lower,Trust and Estates,,
NYC000098,ny,lower,Tuition Assistance Program,,
NYC000099,ny,lower,Volunteer Emergency Services,,
NYC000100,ny,lower,Women Veterans,,
NYC000101,ny,lower,Women's Health,,
NYC000102,ny,lower,Workplace Safety,,
NYC000105,ny,lower,Solid Waste Management,,
NYC000108,ny,lower,"Food, Farm & Nutrition Policy",,
NYC000109,ny,lower,New Americans,,
NYC000110,ny,lower,People with Disabilities,,
NYC000112,ny,lower,State-Federal Relations,,
NYC000113,ny,lower,University-Industry Cooperation,,
NYC000114,ny,lower,Women's Issues,,
NYC000121,ny,lower,Science and Technology,,
NYC000122,ny,lower,Skills Development and Career Education,,
NYC000123,ny,lower,Water Resource Needs of NYS & Long Island,,
NYC000124,ny,lower,Joint Advisory Board on Broadcast of State Government Proceedings,,
NYC000045,ny,lower,Cities,,
NYC000068,ny,lower,Racing and Wagering,,
NYC000069,ny,lower,Real Property Taxation,,
NYC000071,ny,lower,Small Business,,
NYC000074,ny,lower,Transportation,,
NYC000041,ny,lower,Agriculture,,
NYC000042,ny,lower,Alcoholism and Drug Abuse,,
NYC000046,ny,lower,Codes,,
NYC000047,ny,lower,Consumer Affairs and Protection,,
NYC000049,ny,lower,Correction,,
NYC000050,ny,lower,"Economic Development, Job Creation, Commerce and Industry",,
NYC000056,ny,lower,Governmental Employees,,
NYC000058,ny,lower,Health,,
NYC000062,ny,lower,Judiciary,,
NYC000063,ny,lower,Labor,,
NYC000064,ny,lower,Libraries and Education Technology,,
NYC000065,ny,lower,Local Governments,,
NYC000067,ny,lower,"Oversight, Analysis and Investigation",,
NYC000075,ny,lower,Veterans' Affairs,,
NYC000104,ny,lower,Rural Resources,,
NYC000040,ny,lower,Aging,,
NYC000066,ny,lower,Mental Health,,
NYC000131,ny,lower,Demographic Research and Reapportionment,,
NYC000111,ny,lower,Puerto Rican/Hispanic,,
NYC000060,ny,lower,Housing,,
NYC000120,ny,lower,Administrative Regulations Review,,
NYC000130,ny,lower,Government Administration,,
NYC000007,ny,upper,Civil Service and Pensions,,
NYC000001,ny,upper,Aging,,
NYC000005,ny,upper,Children and Families,,
NYC000008,ny,upper,Codes,,
NYC000013,ny,upper,"Cultural Affairs, Tourism, Parks and Recreation",,
NYC000025,ny,upper,Judiciary,,
NYC000026,ny,upper,Labor,,
NYC000028,ny,upper,Mental Health and Developmental Disabilities,,
NYC000002,ny,upper,Agriculture,,
NYC000006,ny,upper,Cities,,
NYC000009,ny,upper,"Commerce, Economic Development and Small Business",,
NYC000010,ny,upper,Consumer Protection,,
NYC000011,ny,upper,"Corporations, Authorities and Commissions",,
NYC000012,ny,upper,"Crime Victims, Crime and Correction",,
NYC000015,ny,upper,Elections,,
NYC000016,ny,upper,Energy and Telecommunications,,
NYC000017,ny,upper,Environmental Conservation,,
NYC000018,ny,upper,Ethics,,
NYC000020,ny,upper,Health,,
NYC000023,ny,upper,Insurance,,
NYC000027,ny,upper,Local Government,,
NYC000029,ny,upper,"Racing, Gaming and Wagering",,
NYC000031,ny,upper,Social Services,,
NYC000032,ny,upper,Transportation,,
NYC000033,ny,upper,"Veterans, Homeland Security and Military Affairs",,
NYC000117,ny,upper,Legislative Task Force on Demographic Research and Reapportionment,,
NYC000126,ny,upper,New York State Conference of Black Senators,,
NYC000127,ny,upper,Puerto Rican/Latino Caucus,,
NYC000129,ny,upper,Libraries,,
NYC000116,ny,upper,State-Native American Relations,,
NYC000014,ny,upper,Education,,
NYC000118,ny,upper,"Housing, Construction and Community Development",,
NYC000024,ny,upper,Investigations and Government Operations,,
NYC000128,ny,upper,"The New York State Black, Puerto Rican, Hispanic and Asian Legislative Caucus",,
NYC000004,ny,upper,Banks,,
NYC000021,ny,upper,Higher Education,,
NYC000030,ny,upper,Rules,,
NYC000019,ny,upper,Finance,,
NYC000132,ny,upper,Infrastructure and Capital Investment,,
NYC000133,ny,upper,New York City Education Subcommittee,,
NYC000134,ny,upper,Alcoholism and Drug Abuse,,
