leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
NYL000084,member,2011-2012,106,lower,ny,Unknown,,,,,
NYL000189,member,2011-2012,113,lower,ny,Unknown,,,,,
NYL000154,committee member,2013-2014,,upper,ny,,NYC000128,"The New York State Black, Puerto Rican, Hispanic and Asian Legislative Caucus",,,
NYL000154,member,2011-2012,22,lower,ny,Unknown,,,,,
NYL000152,committee member,2013-2014,,lower,ny,,NYC000131,Demographic Research and Reapportionment,,,
NYL000152,member,2011-2012,104,lower,ny,Unknown,,,,,
NYL000156,member,2011-2012,102,lower,ny,Unknown,,,,,
NYL000117,member,2011-2012,130,lower,ny,Unknown,,,,,
NYL000119,member,2011-2012,148,lower,ny,Unknown,,,,,2011-09-06 00:00:00
NYL000119,committee member,2011-2012,,lower,ny,,NYC000070,Rules,,,
NYL000119,committee member,2011-2012,,lower,ny,,NYC000076,Ways and Means,,,
NYL000133,member,2011-2012,100,lower,ny,Unknown,,,,,2011-11-29 00:00:00
NYL000133,committee member,2011-2012,,lower,ny,,NYC000049,Correction,,,
NYL000133,committee member,2011-2012,,lower,ny,,NYC000067,"Oversight, Analysis and Investigation",,,
NYL000224,member,2011-2012,27,upper,ny,Republican,,,,,
NYL000155,member,2011-2012,121,lower,ny,Unknown,,,,,
NYL000196,member,2011-2012,146,lower,ny,Unknown,,,,,
NYL000090,member,2011-2012,10,lower,ny,Unknown,,,,,
NYL000163,member,2011-2012,3,lower,ny,Unknown,,,,,
NYL000179,member,2011-2012,109,lower,ny,Unknown,,,,,
NYL000085,member,2011-2012,89,lower,ny,Unknown,,,,,
NYL000079,member,2011-2012,147,lower,ny,Unknown,,,,,
NYL000082,member,2011-2012,96,lower,ny,Unknown,,,,,
NYL000065,member,2011-2012,105,lower,ny,Unknown,,,,,
NYL000127,committee member,2013-2014,,upper,ny,,NYC000128,"The New York State Black, Puerto Rican, Hispanic and Asian Legislative Caucus",,,
NYL000127,member,2011-2012,57,lower,ny,Unknown,,,,,
NYL000205,member,2011-2012,62,lower,ny,Unknown,,,,,
NYL000135,committee member,2013-2014,,lower,ny,,NYC000111,Puerto Rican/Hispanic,,,
NYL000135,member,2011-2012,25,lower,ny,Unknown,,,,,
NYL000140,committee member,2013-2014,,upper,ny,,NYC000128,"The New York State Black, Puerto Rican, Hispanic and Asian Legislative Caucus",,,
NYL000140,member,2011-2012,72,lower,ny,Unknown,,,,,
NYL000181,committee member,2013-2014,,upper,ny,,NYC000128,"The New York State Black, Puerto Rican, Hispanic and Asian Legislative Caucus",,,
NYL000181,member,2011-2012,80,lower,ny,Unknown,,,,,
NYL000012,committee member,2013-2014,,upper,ny,,NYC000005,Children and Families,,,
NYL000012,committee member,2013-2014,,upper,ny,,NYC000008,Codes,,,
NYL000012,committee member,2013-2014,,upper,ny,,NYC000013,"Cultural Affairs, Tourism, Parks and Recreation",,,
NYL000012,committee member,2013-2014,,upper,ny,,NYC000019,Finance,,,
NYL000012,committee member,2013-2014,,upper,ny,,NYC000020,Health,,,
NYL000012,committee member,2013-2014,,upper,ny,,NYC000028,Mental Health and Developmental Disabilities,,,
NYL000012,committee member,2013-2014,,upper,ny,,NYC000030,Rules,,,
NYL000012,member,2011-2012,29,upper,ny,Democratic,,,,,
NYL000012,committee member,2011-2012,,upper,ny,,NYC000005,Children and Families,,,
NYL000012,committee member,2011-2012,,upper,ny,,NYC000008,Codes,,,
NYL000012,committee member,2011-2012,,upper,ny,,NYC000013,"Cultural Affairs, Tourism, Parks and Recreation",,,
NYL000012,committee member,2011-2012,,upper,ny,,NYC000019,Finance,,,
NYL000012,committee member,2011-2012,,upper,ny,,NYC000020,Health,,,
NYL000012,committee member,2011-2012,,upper,ny,,NYC000028,Mental Health and Developmental Disabilities,,,
NYL000012,committee member,2011-2012,,upper,ny,,NYC000030,Rules,,,
NYL000182,committee member,2013-2014,,lower,ny,,NYC000111,Puerto Rican/Hispanic,,,
NYL000182,member,2011-2012,76,lower,ny,Unknown,,,,,
NYL000182,committee member,2011-2012,,lower,ny,,NYC000041,Agriculture,,,
NYL000182,committee member,2011-2012,,lower,ny,,NYC000047,Consumer Affairs and Protection,,,
NYL000182,committee member,2011-2012,,lower,ny,,NYC000062,Judiciary,,,
NYL000182,committee member,2011-2012,,lower,ny,,NYC000070,Rules,,,
NYL000182,committee member,2011-2012,,lower,ny,,NYC000111,Puerto Rican/Hispanic,,,
NYL000029,member,2011-2012,27,upper,ny,Democratic,,,,,2011-12-20 00:00:00
NYL000029,committee member,2011-2012,,upper,ny,,NYC000001,Aging,,,
NYL000029,committee member,2011-2012,,upper,ny,,NYC000004,Banks,,,
NYL000029,committee member,2011-2012,,upper,ny,,NYC000012,"Crime Victims, Crime and Correction",,,
NYL000029,committee member,2011-2012,,upper,ny,,NYC000016,Energy and Telecommunications,,,
NYL000029,committee member,2011-2012,,upper,ny,,NYC000019,Finance,,,
NYL000029,committee member,2011-2012,,upper,ny,,NYC000020,Health,,,
NYL000029,committee member,2011-2012,,upper,ny,,NYC000023,Insurance,,,
NYL000071,member,2011-2012,73,lower,ny,Unknown,,,,,2011-09-01 00:00:00
NYL000071,committee member,2011-2012,,lower,ny,,NYC000058,Health,,,
NYL000071,committee member,2011-2012,,lower,ny,,NYC000060,Housing,,,
NYL000071,committee member,2011-2012,,lower,ny,,NYC000061,Insurance,,,
NYL000071,committee member,2011-2012,,lower,ny,,NYC000062,Judiciary,,,
NYL000071,committee member,2011-2012,,lower,ny,,NYC000067,"Oversight, Analysis and Investigation",,,
NYL000071,committee member,2011-2012,,lower,ny,,NYC000072,Social Services,,,
NYL000071,committee member,2011-2012,,lower,ny,,NYC000073,"Tourism, Parks, Arts and Sports Development",,,
NYL000099,member,2011-2012,116,lower,ny,Unknown,,,,,2011-10-01 00:00:00
NYL000099,committee member,2011-2012,,lower,ny,,NYC000040,Aging,,,
NYL000099,committee member,2011-2012,,lower,ny,,NYC000041,Agriculture,,,
NYL000099,committee member,2011-2012,,lower,ny,,NYC000050,"Economic Development, Job Creation, Commerce and Industry",,,
NYL000099,committee member,2011-2012,,lower,ny,,NYC000057,Governmental Operations,,,
NYL000099,committee member,2011-2012,,lower,ny,,NYC000076,Ways and Means,,,
NYL000124,member,2011-2012,144,lower,ny,Unknown,,,,,2011-06-30 00:00:00
NYL000124,committee member,2011-2012,,lower,ny,,NYC000045,Cities,,,
NYL000124,committee member,2011-2012,,lower,ny,,NYC000053,Energy,,,
NYL000124,committee member,2011-2012,,lower,ny,,NYC000073,"Tourism, Parks, Arts and Sports Development",,,
NYL000124,committee member,2011-2012,,lower,ny,,NYC000074,Transportation,,,
NYL000124,committee member,2011-2012,,lower,ny,,NYC000076,Ways and Means,,,
NYL000124,committee member,2011-2012,,lower,ny,,NYC000111,Puerto Rican/Hispanic,,,
NYL000124,committee member,2011-2012,,lower,ny,,NYC000114,Women's Issues,,,
NYL000159,member,2011-2012,103,lower,ny,Unknown,,,,,2012-01-01 00:00:00
NYL000159,committee member,2011-2012,,lower,ny,,NYC000052,Election Law,,,
NYL000159,committee member,2011-2012,,lower,ny,,NYC000060,Housing,,,
NYL000159,committee member,2011-2012,,lower,ny,,NYC000064,Libraries and Education Technology,,,
NYL000159,committee member,2011-2012,,lower,ny,,NYC000065,Local Governments,,,
NYL000159,committee member,2011-2012,,lower,ny,,NYC000076,Ways and Means,,,
NYL000159,committee member,2011-2012,,lower,ny,,NYC000099,Volunteer Emergency Services,,,
NYL000172,member,2011-2012,23,lower,ny,Unknown,,,,,2012-01-01 00:00:00
NYL000172,committee member,2011-2012,,lower,ny,,NYC000040,Aging,,,
NYL000172,committee member,2011-2012,,lower,ny,,NYC000047,Consumer Affairs and Protection,,,
NYL000172,committee member,2011-2012,,lower,ny,,NYC000056,Governmental Employees,,,
NYL000172,committee member,2011-2012,,lower,ny,,NYC000059,Higher Education,,,
NYL000172,committee member,2011-2012,,lower,ny,,NYC000075,Veterans' Affairs,,,
NYL000172,committee member,2011-2012,,lower,ny,,NYC000100,Women Veterans,,,
NYL000193,member,2011-2012,145,lower,ny,Unknown,,,,,2012-01-01 00:00:00
NYL000193,committee member,2011-2012,,lower,ny,,NYC000061,Insurance,,,
NYL000193,committee member,2011-2012,,lower,ny,,NYC000065,Local Governments,,,
NYL000193,committee member,2011-2012,,lower,ny,,NYC000066,Mental Health,,,
NYL000193,committee member,2011-2012,,lower,ny,,NYC000067,"Oversight, Analysis and Investigation",,,
NYL000193,committee member,2011-2012,,lower,ny,,NYC000071,Small Business,,,
NYL000193,committee member,2011-2012,,lower,ny,,NYC000075,Veterans' Affairs,,,
NYL000193,committee member,2011-2012,,lower,ny,,NYC000078,Autism Retention,,,
NYL000193,committee member,2011-2012,,lower,ny,,NYC000080,Catastrophic Natural Disasters,,,
NYL000042,committee member,2013-2014,,upper,ny,,NYC000006,Cities,,,
NYL000042,committee member,2013-2014,,upper,ny,,NYC000014,Education,,,
NYL000042,committee member,2013-2014,,upper,ny,,NYC000017,Environmental Conservation,,,
NYL000042,committee member,2013-2014,,upper,ny,,NYC000019,Finance,,,
NYL000042,committee member,2013-2014,,upper,ny,,NYC000021,Higher Education,,,
NYL000042,committee member,2013-2014,,upper,ny,,NYC000027,Local Government,,,
NYL000042,member,2011-2012,37,upper,ny,Democratic,,,,,
NYL000042,committee member,2011-2012,,upper,ny,,NYC000006,Cities,,,
NYL000042,committee member,2011-2012,,upper,ny,,NYC000014,Education,,,
NYL000042,committee member,2011-2012,,upper,ny,,NYC000017,Environmental Conservation,,,
NYL000042,committee member,2011-2012,,upper,ny,,NYC000019,Finance,,,
NYL000042,committee member,2011-2012,,upper,ny,,NYC000021,Higher Education,,,
NYL000042,committee member,2011-2012,,upper,ny,,NYC000027,Local Government,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000002,Agriculture,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000003,Alcoholism and Drug Abuse,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000008,Codes,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000010,Consumer Protection,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000014,Education,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000028,Mental Health and Developmental Disabilities,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000029,"Racing, Gaming and Wagering",,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000031,Social Services,,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000128,"The New York State Black, Puerto Rican, Hispanic and Asian Legislative Caucus",,,
NYL000024,committee member,2013-2014,,upper,ny,,NYC000116,State-Native American Relations,,,
NYL000024,member,2011-2012,10,upper,ny,Democratic,,,,,
NYL000024,committee member,2011-2012,,upper,ny,,NYC000002,Agriculture,,,
NYL000024,committee member,2011-2012,,upper,ny,,NYC000003,Alcoholism and Drug Abuse,,,
NYL000024,committee member,2011-2012,,upper,ny,,NYC000008,Codes,,,
