state,session,chamber,bill_id,date,action,actor,type
oh,129,lower,HB 1,2011-01-11 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 1,2011-02-01 00:00:00,  Report,lower,other
oh,129,lower,HB 1,2011-02-01 00:00:00,3rd Consideration,lower,bill:reading:3|bill:passed
oh,129,lower,HB 1,2011-02-02 00:00:00,Senate Introduced,upper,bill:introduced
oh,129,lower,HB 1,2011-02-16 00:00:00,  Report,upper,other
oh,129,lower,HB 1,2011-02-16 00:00:00,3rd Consideration,upper,bill:reading:3|bill:passed
oh,129,lower,HB 1,2011-02-16 00:00:00,Concurrence,upper,other
oh,129,lower,HB 1,2011-02-18 00:00:00,Signed By Governor,executive,governor:signed
oh,129,lower,HB 1,2011-02-18 00:00:00,Effective,executive,other
oh,129,lower,HB 10,2011-01-11 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 100,2011-02-15 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 100,2011-06-22 00:00:00,  Report,lower,other
oh,129,lower,HB 101,2011-02-15 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 102,2011-02-15 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 102,2011-05-17 00:00:00,  Report,lower,other
oh,129,lower,HB 103,2011-02-15 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 104,2011-02-15 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 104,2011-03-24 00:00:00,  Report,lower,other
oh,129,lower,HB 105,2011-02-16 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 106,2011-02-16 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 107,2011-02-16 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 108,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 108,2011-09-21 00:00:00,  Report,lower,other
oh,129,lower,HB 108,2012-02-15 00:00:00,3rd Consideration,lower,bill:reading:3|bill:passed
oh,129,lower,HB 108,2012-02-21 00:00:00,Senate Introduced,upper,bill:introduced
oh,129,lower,HB 108,2012-05-22 00:00:00,  Report,upper,other
oh,129,lower,HB 109,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 11,2011-01-11 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 110,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 111,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 112,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 112,2011-05-24 00:00:00,  Report,lower,other
oh,129,lower,HB 113,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 114,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 114,2011-03-09 00:00:00,  Report,lower,other
oh,129,lower,HB 114,2011-03-10 00:00:00,3rd Consideration,lower,bill:reading:3|bill:passed
oh,129,lower,HB 114,2011-03-15 00:00:00,Senate Introduced,upper,bill:introduced
oh,129,lower,HB 114,2011-03-23 00:00:00,  Report,upper,other
oh,129,lower,HB 114,2011-03-23 00:00:00,3rd Consideration,upper,bill:reading:3|bill:passed
oh,129,lower,HB 114,2011-03-23 00:00:00,Concurrence,upper,other
oh,129,lower,HB 114,2011-03-30 00:00:00,Signed By Governor,executive,governor:signed
oh,129,lower,HB 114,2011-06-29 00:00:00,Effective,executive,other
oh,129,lower,HB 115,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 116,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 116,2011-06-09 00:00:00,  Report,lower,other
oh,129,lower,HB 116,2011-06-21 00:00:00,3rd Consideration,lower,bill:reading:3|bill:passed
oh,129,lower,HB 116,2011-06-22 00:00:00,Senate Introduced,upper,bill:introduced
oh,129,lower,HB 116,2012-01-10 00:00:00,  Report,upper,other
oh,129,lower,HB 116,2012-01-18 00:00:00,3rd Consideration,upper,bill:reading:3|bill:passed
oh,129,lower,HB 116,2012-01-26 00:00:00,Concurrence,upper,other
oh,129,lower,HB 116,2012-02-02 00:00:00,Signed By Governor,executive,governor:signed
oh,129,lower,HB 116,2012-05-04 00:00:00,Effective,executive,other
oh,129,lower,HB 117,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 118,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 118,2012-01-25 00:00:00,  Report,lower,other
oh,129,lower,HB 118,2012-05-08 00:00:00,3rd Consideration,lower,bill:reading:3|bill:passed
oh,129,lower,HB 118,2012-05-09 00:00:00,Senate Introduced,upper,bill:introduced
oh,129,lower,HB 119,2011-02-22 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 12,2011-01-11 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 120,2011-02-23 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 120,2011-05-26 00:00:00,  Report,lower,other
oh,129,lower,HB 120,2011-06-22 00:00:00,3rd Consideration,lower,bill:reading:3|bill:passed
oh,129,lower,HB 120,2011-06-24 00:00:00,Senate Introduced,upper,bill:introduced
oh,129,lower,HB 121,2011-02-23 00:00:00,House Introduced,lower,bill:introduced
oh,129,lower,HB 121,2011-04-14 00:00:00,  Report,lower,other
oh,129,lower,HB 121,2011-05-10 00:00:00,3rd Consideration,lower,bill:reading:3|bill:passed
oh,129,lower,HB 121,2011-05-12 00:00:00,Senate Introduced,upper,bill:introduced
oh,129,lower,HB 121,2011-05-24 00:00:00,  Report,upper,other
oh,129,lower,HB 121,2011-05-25 00:00:00,3rd Consideration,upper,bill:reading:3|bill:passed
oh,129,lower,HB 121,2011-06-01 00:00:00,Concurrence,upper,other
oh,129,lower,HB 121,2011-06-09 00:00:00,Signed By Governor,executive,governor:signed
