vote_id,leg_id,name,vote
OHV00000303,OHL000111,Adams J.,yes
OHV00000303,OHL000112,Adams R.,yes
OHV00000303,OHL000036,Amstutz,yes
OHV00000303,OHL000050,Anielski,yes
OHV00000303,OHL000049,Baker,yes
OHV00000303,OHL000127,Balderson,yes
OHV00000303,OHL000100,Beck,yes
OHV00000303,OHL000071,Blair,yes
OHV00000303,OHL000062,Blessing,yes
OHV00000303,OHL000091,Boose,yes
OHV00000303,OHL000035,Brenner,yes
OHV00000303,OHL000121,Bubp,yes
OHV00000303,OHL000110,Buchy,yes
OHV00000303,OHL000116,Burke,yes
OHV00000303,OHL000070,Butler,yes
OHV00000303,OHL000120,Carey,yes
OHV00000303,OHL000087,Combs,yes
OHV00000303,OHL000137,Conditt,yes
OHV00000303,OHL000114,Damschroder,yes
OHV00000303,OHL000086,Derickson,yes
OHV00000303,OHL000051,Dovilla,yes
OHV00000303,OHL000054,Duffey,yes
OHV00000303,OHL000039,Gardner,yes
OHV00000303,OHL000128,Gentile,yes
OHV00000303,OHL000052,Gonzales,yes
OHV00000303,OHL000107,Goodwin,yes
OHV00000303,OHL000056,Grossman,yes
OHV00000303,OHL000117,Hackett,yes
OHV00000303,,Hagan,yes
OHV00000303,,C.,yes
OHV00000303,OHL000130,Hall,yes
OHV00000303,OHL000124,Hayes,yes
OHV00000303,OHL000069,Henne,yes
OHV00000303,OHL000131,Hollington,yes
OHV00000303,OHL000104,Hottinger,yes
OHV00000303,OHL000037,Huffman,yes
OHV00000303,OHL000122,Johnson,yes
OHV00000303,OHL000132,Kozlowski,yes
OHV00000303,OHL000129,Landis,yes
OHV00000303,OHL000068,Maag,yes
OHV00000303,OHL000103,Martin,yes
OHV00000303,OHL000115,McClain,yes
OHV00000303,OHL000105,McGregor,yes
OHV00000303,OHL000063,Mecklenborg,yes
OHV00000303,OHL000034,Newbold,yes
OHV00000303,OHL000098,O'Brien,yes
OHV00000303,OHL000118,Peterson,yes
OHV00000303,OHL000125,Phillips,yes
OHV00000303,OHL000075,Roegner,yes
OHV00000303,OHL000119,Rosenberger,yes
OHV00000303,OHL000123,Ruhl,yes
OHV00000303,OHL000084,Schuring,yes
OHV00000303,OHL000079,Sears,yes
OHV00000303,OHL000162,Slaby,yes
OHV00000303,OHL000109,Sprague,yes
OHV00000303,OHL000067,Stautberg,yes
OHV00000303,OHL000038,Stebelton,yes
OHV00000303,OHL000126,Thompson,yes
OHV00000303,OHL000099,Uecker,yes
OHV00000303,OHL000108,Wachtmann,yes
OHV00000303,OHL000096,Young,yes
OHV00000303,OHL000102,Batchelder,yes
OHV00000303,OHL000046,Antonio,no
OHV00000303,OHL000045,Barnes,no
OHV00000303,OHL000042,Boyd,no
OHV00000303,OHL000041,Budish,no
OHV00000303,OHL000055,Carney,no
OHV00000303,OHL000057,Celeste,no
OHV00000303,OHL000101,Clyde,no
OHV00000303,OHL000048,DeGeeter,no
OHV00000303,OHL000064,Driehaus,no
OHV00000303,OHL000080,Fedor,no
OHV00000303,OHL000047,Foley,no
OHV00000303,OHL000053,Garland,no
OHV00000303,OHL000092,Gerberry,no
OHV00000303,OHL000106,Goyal,no
OHV00000303,OHL000059,Heard,no
OHV00000303,OHL000097,Letson,no
OHV00000303,OHL000072,Luckie,no
OHV00000303,OHL000090,Lundy,no
OHV00000303,OHL000065,Mallory,no
OHV00000303,OHL000078,Milkovich,no
OHV00000303,OHL000113,Murray,no
OHV00000303,OHL000094,Okey,no
OHV00000303,OHL000043,Patmon,no
OHV00000303,OHL000061,Pillich,no
OHV00000303,OHL000089,Ramos,no
OHV00000303,OHL000066,Reece,no
OHV00000303,OHL000085,Slesnick,no
OHV00000303,OHL000058,Stinziano,no
OHV00000303,OHL000077,Sykes,no
OHV00000303,OHL000082,Szollosi,no
OHV00000303,OHL000060,Weddington,no
OHV00000303,OHL000044,Williams,no
OHV00000303,OHL000073,Winburn,no
OHV00000303,OHL000040,Yuko,no
OHV00000844,OHL000111,Adams J.,yes
OHV00000844,OHL000112,Adams R.,yes
OHV00000844,OHL000036,Amstutz,yes
OHV00000844,OHL000050,Anielski,yes
OHV00000844,OHL000049,Baker,yes
OHV00000844,OHL000100,Beck,yes
OHV00000844,OHL000071,Blair,yes
OHV00000844,OHL000035,Brenner,yes
OHV00000844,OHL000121,Bubp,yes
