state,session,chamber,bill_id,type,name,leg_id
oh,129,lower,HB 1,primary,Duffey,OHL000054
oh,129,lower,HB 10,primary,Sears,OHL000079
oh,129,lower,HB 100,primary,Williams,OHL000044
oh,129,lower,HB 101,primary,Williams,OHL000044
oh,129,lower,HB 102,primary,Young,OHL000096
oh,129,lower,HB 103,primary,Clyde,OHL000101
oh,129,lower,HB 103,cosponsor,Stinziano,OHL000058
oh,129,lower,HB 104,primary,Gardner,OHL000039
oh,129,lower,HB 105,primary,Murray,OHL000113
oh,129,lower,HB 106,primary,Pillich,OHL000061
oh,129,lower,HB 107,primary,Damschroder,OHL000114
oh,129,lower,HB 107,cosponsor,Slesnick,OHL000085
oh,129,lower,HB 108,primary,Gerberry,OHL000092
oh,129,lower,HB 108,cosponsor,Hagan R,OHL000093
oh,129,lower,HB 109,primary,Williams,OHL000044
oh,129,lower,HB 11,primary,Sears,OHL000079
oh,129,lower,HB 11,cosponsor,Maag,OHL000068
oh,129,lower,HB 110,primary,Williams,OHL000044
oh,129,lower,HB 111,primary,Williams,OHL000044
oh,129,lower,HB 112,primary,Grossman,OHL000056
oh,129,lower,HB 112,cosponsor,Letson,OHL000097
oh,129,lower,HB 113,primary,Lundy,OHL000090
oh,129,lower,HB 114,primary,McGregor,OHL000105
oh,129,lower,HB 115,primary,Stebelton,OHL000038
oh,129,lower,HB 116,primary,Barnes,OHL000045
oh,129,lower,HB 117,primary,Barnes,OHL000045
oh,129,lower,HB 118,primary,Fende,OHL000095
oh,129,lower,HB 119,primary,Combs,OHL000087
oh,129,lower,HB 119,cosponsor,Fende,OHL000095
oh,129,lower,HB 12,primary,Sears,OHL000079
oh,129,lower,HB 120,primary,Carey,OHL000120
oh,129,lower,HB 120,cosponsor,Gentile,OHL000128
oh,129,lower,HB 121,primary,Rosenberger,OHL000119
oh,129,lower,HB 122,primary,Hottinger,OHL000104
oh,129,lower,HB 123,primary,Hottinger,OHL000104
oh,129,lower,HB 124,primary,Hottinger,OHL000104
oh,129,lower,HB 125,primary,Wachtmann,OHL000108
oh,129,lower,HB 126,primary,Grossman,OHL000056
oh,129,lower,HB 126,cosponsor,Gonzales,OHL000052
oh,129,lower,HB 127,primary,Luckie,OHL000072
oh,129,lower,HB 128,primary,Carey,OHL000120
oh,129,lower,HB 128,cosponsor,Peterson,OHL000118
oh,129,lower,HB 129,primary,Mallory,OHL000065
oh,129,lower,HB 13,primary,Sears,OHL000079
oh,129,lower,HB 130,primary,Mallory,OHL000065
oh,129,lower,HB 131,primary,Reece,OHL000066
oh,129,lower,HB 132,primary,DeGeeter,OHL000048
oh,129,lower,HB 133,primary,Adams J,OHL000111
oh,129,lower,HB 134,primary,Schuring,OHL000084
oh,129,lower,HB 135,primary,Burke,OHL000116
oh,129,lower,HB 136,primary,Huffman,OHL000037
oh,129,lower,HB 137,primary,Phillips,OHL000125
oh,129,lower,HB 137,cosponsor,Driehaus,OHL000064
oh,129,lower,HB 138,primary,Gerberry,OHL000092
oh,129,lower,HB 139,primary,McKenney,OHL000076
oh,129,lower,HB 14,primary,Sears,OHL000079
oh,129,lower,HB 140,primary,Hagan R,OHL000093
oh,129,lower,HB 141,primary,Goodwin,OHL000107
oh,129,lower,HB 141,cosponsor,Boyd,OHL000042
oh,129,lower,HB 142,primary,Lundy,OHL000090
oh,129,lower,HB 143,primary,Stinziano,OHL000058
oh,129,lower,HB 143,cosponsor,O'Brien,OHL000098
oh,129,lower,HB 144,primary,Dovilla,OHL000051
oh,129,lower,HB 144,cosponsor,Baker,OHL000049
oh,129,lower,HB 145,primary,Weddington,OHL000060
oh,129,lower,HB 145,cosponsor,Derickson,OHL000086
oh,129,lower,HB 146,primary,Weddington,OHL000060
oh,129,lower,HB 147,primary,Weddington,OHL000060
oh,129,lower,HB 148,primary,Letson,OHL000097
oh,129,lower,HB 148,cosponsor,Anielski,OHL000050
oh,129,lower,HB 149,primary,Letson,OHL000097
oh,129,lower,HB 15,primary,Sears,OHL000079
oh,129,lower,HB 150,primary,Gardner,OHL000039
oh,129,lower,HB 150,cosponsor,Sears,OHL000079
oh,129,lower,HB 151,primary,McGregor,OHL000105
oh,129,lower,HB 151,cosponsor,Carney,OHL000055
oh,129,lower,HB 152,primary,Mallory,OHL000065
oh,129,lower,HB 153,primary,Amstutz,OHL000036
oh,129,lower,HB 154,primary,Slesnick,OHL000085
oh,129,lower,HB 154,cosponsor,Driehaus,OHL000064
oh,129,lower,HB 155,primary,Fedor,OHL000080
oh,129,lower,HB 155,cosponsor,Garland,OHL000053
oh,129,lower,HB 156,primary,Yuko,OHL000040
oh,129,lower,HB 156,cosponsor,McGregor,OHL000105
oh,129,lower,HB 157,primary,Schuring,OHL000084
oh,129,lower,HB 157,cosponsor,Letson,OHL000097
oh,129,lower,HB 158,primary,Stebelton,OHL000038
oh,129,lower,HB 158,cosponsor,Okey,OHL000094
oh,129,lower,HB 159,primary,Mecklenborg,OHL000063
oh,129,lower,HB 159,cosponsor,Blessing,OHL000062
oh,129,lower,HB 16,primary,Sears,OHL000079
oh,129,lower,HB 160,primary,Celeste,OHL000057
oh,129,lower,HB 160,cosponsor,Antonio,OHL000046
oh,129,lower,HB 161,primary,Gerberry,OHL000092
oh,129,lower,HB 162,primary,Stebelton,OHL000038
oh,129,lower,HB 162,cosponsor,Bubp,OHL000121
oh,129,lower,HB 163,primary,Balderson,OHL000127
oh,129,lower,HB 164,primary,Blessing,OHL000062
oh,129,lower,HB 164,cosponsor,Weddington,OHL000060
oh,129,lower,HB 165,primary,Goodwin,OHL000107
oh,129,lower,HB 165,cosponsor,Lundy,OHL000090
oh,129,lower,HB 166,primary,Phillips,OHL000125
oh,129,lower,HB 167,primary,Derickson,OHL000086
oh,129,lower,HB 167,cosponsor,Mallory,OHL000065
oh,129,lower,HB 168,primary,Carey,OHL000120
oh,129,lower,HB 169,primary,Williams,OHL000044
oh,129,lower,HB 17,primary,Baker,OHL000049
oh,129,lower,HB 170,primary,Mecklenborg,OHL000063
oh,129,lower,HB 171,primary,Thompson,OHL000126
oh,129,lower,HB 171,cosponsor,Johnson,OHL000122
oh,129,lower,HB 172,primary,Hagan R,OHL000093
oh,129,lower,HB 173,primary,Gonzales,OHL000052
oh,129,lower,HB 173,cosponsor,Huffman,OHL000037
oh,129,lower,HB 174,primary,Batchelder,OHL000102
oh,129,lower,HB 175,primary,Peterson,OHL000118
oh,129,lower,HB 176,primary,Beck,OHL000100
oh,129,lower,HB 177,primary,Stebelton,OHL000038
oh,129,lower,HB 177,cosponsor,Gonzales,OHL000052
oh,129,lower,HB 178,primary,Young,OHL000096
oh,129,lower,HB 179,primary,Murray,OHL000113
oh,129,lower,HB 18,primary,Baker,OHL000049
oh,129,lower,HB 180,primary,Schuring,OHL000084
oh,129,lower,HB 181,primary,Celeste,OHL000057
oh,129,lower,HB 181,cosponsor,Foley,OHL000047
oh,129,lower,HB 182,primary,Foley,OHL000047
oh,129,lower,HB 182,cosponsor,Antonio,OHL000046
oh,129,lower,HB 183,primary,Williams,OHL000044
oh,129,lower,HB 184,primary,Martin,OHL000103
oh,129,lower,HB 185,primary,Carey,OHL000120
oh,129,lower,HB 185,cosponsor,O'Brien,OHL000098
oh,129,lower,HB 186,primary,Adams R,OHL000112
oh,129,lower,HB 187,primary,Driehaus,OHL000064
oh,129,lower,HB 187,cosponsor,Foley,OHL000047
oh,129,lower,HB 188,primary,Batchelder,OHL000102
oh,129,lower,HB 189,primary,Coley,OHL000135
oh,129,lower,HB 189,cosponsor,DeGeeter,OHL000048
oh,129,lower,HB 19,primary,Goodwin,OHL000107
