state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
oh,129,upper,SB 17,OHV00000303,lower,Motion to Table Amendment,2011-06-15 00:00:00,other,62,34,0
oh,129,upper,SB 315,OHV00000844,lower,Motion to Table Amendment,2012-05-24 00:00:00,other,56,39,0
oh,129,lower,HB 45,OHV00000192,lower,Motion to Table Amendment,2011-05-11 00:00:00,other,59,39,0
oh,129,upper,SB 37,OHV00000937,lower,Third Consideration,2012-12-12 00:00:00,other,95,0,0
oh,129,upper,SB 37,OHV00000938,lower,Amendment,2012-12-12 00:00:00,other,95,0,0
oh,129,upper,SB 40,OHV00000939,lower,Third Consideration,2012-11-27 00:00:00,other,95,0,0
oh,129,upper,SB 70,OHV00000940,lower,Third Consideration,2012-11-28 00:00:00,other,93,2,0
oh,129,upper,SB 70,OHV00000941,lower,Amendment,2012-11-28 00:00:00,other,92,3,0
oh,129,upper,SB 70,OHV00000942,lower,Motion to Table Amendment,2012-11-28 00:00:00,other,57,37,0
oh,129,upper,SB 70,OHV00000943,lower,Amendment,2012-11-28 00:00:00,other,95,0,0
oh,129,upper,SB 70,OHV00000946,lower,Conference Committee Report,2012-12-13 00:00:00,other,91,0,0
oh,129,upper,SB 114,OHV00000947,lower,Third Consideration,2012-12-12 00:00:00,other,86,8,0
oh,129,upper,SB 130,OHV00000949,lower,Third Consideration,2012-11-14 00:00:00,other,93,5,0
oh,129,upper,SB 135,OHV00000951,lower,Third Consideration,2012-11-27 00:00:00,other,94,0,0
oh,129,upper,SB 139,OHV00000952,lower,Third Consideration,2012-12-11 00:00:00,other,94,0,0
oh,129,upper,SB 139,OHV00000953,lower,Motion to Table Amendment,2012-12-11 00:00:00,other,58,37,0
oh,129,upper,SB 141,OHV00000955,lower,Third Consideration,2012-11-27 00:00:00,other,95,0,0
oh,129,upper,SB 160,OHV00000957,lower,Third Consideration,2012-12-13 00:00:00,other,91,0,0
oh,129,upper,SB 160,OHV00000958,lower,Amendment,2012-12-13 00:00:00,other,89,0,0
oh,129,upper,SB 199,OHV00000960,lower,Third Consideration,2012-11-27 00:00:00,other,95,0,0
oh,129,upper,SB 222,OHV00000962,lower,Third Consideration,2012-12-12 00:00:00,other,94,0,0
oh,129,upper,SB 287,OHV00000963,lower,Third Consideration,2012-11-29 00:00:00,other,84,0,0
oh,129,upper,SB 298,OHV00000966,lower,Third Consideration,2012-12-12 00:00:00,other,91,2,0
oh,129,upper,SB 300,OHV00000968,lower,Third Consideration,2012-11-14 00:00:00,other,98,0,0
oh,129,upper,SB 301,OHV00000970,lower,Third Consideration,2012-11-14 00:00:00,other,98,0,0
oh,129,upper,SB 304,OHV00000972,lower,Third Consideration,2012-12-11 00:00:00,other,92,0,0
oh,129,upper,SB 333,OHV00000975,lower,Third Consideration,2012-12-04 00:00:00,other,92,1,0
oh,129,upper,SB 333,OHV00000976,lower,Motion to Table Amendment,2012-12-04 00:00:00,other,56,37,0
oh,129,upper,SCR 15,OHV00000981,lower,Resolution Adoption,2012-12-11 00:00:00,other,95,0,0
oh,129,lower,HB 27,OHV00000982,lower,Third Consideration,2012-11-28 00:00:00,other,95,0,0
oh,129,lower,HB 50,OHV00000985,lower,Senate Amendments,2012-12-13 00:00:00,other,88,3,0
oh,129,lower,HB 62,OHV00000987,lower,Senate Amendments,2012-11-29 00:00:00,other,84,3,0
oh,129,lower,HB 143,OHV00000989,lower,Senate Amendments,2012-12-05 00:00:00,other,93,2,0
oh,129,lower,HB 153,OHV00000385,lower,Conference Committee Report,2011-06-29 00:00:00,other,60,41,0
oh,129,lower,HB 191,OHV00000991,lower,Third Consideration,2012-11-28 00:00:00,other,54,39,0
oh,129,lower,HB 197,OHV00000992,lower,Third Consideration,2012-11-27 00:00:00,other,84,11,0
oh,129,lower,HB 197,OHV00000993,lower,Amendment,2012-11-27 00:00:00,other,95,0,0
oh,129,lower,HB 197,OHV00000994,lower,Amendment,2012-11-27 00:00:00,other,95,0,0
oh,129,lower,HB 197,OHV00000995,lower,Amendment,2012-11-27 00:00:00,other,95,0,0
oh,129,lower,HB 197,OHV00000997,lower,Senate Amendments,2012-12-13 00:00:00,other,86,5,0
oh,129,lower,HB 247,OHV00000998,lower,Senate Amendments,2012-12-13 00:00:00,other,90,0,0
oh,129,lower,HB 251,OHV00001002,lower,Senate Amendments,2012-12-12 00:00:00,other,95,0,0
oh,129,lower,HB 274,OHV00001003,lower,Third Consideration,2012-11-27 00:00:00,other,94,0,0
oh,129,lower,HB 274,OHV00001005,lower,Senate Amendments,2012-12-13 00:00:00,other,91,0,0
oh,129,lower,HB 278,OHV00001006,lower,Third Consideration,2012-12-04 00:00:00,other,87,7,0
oh,129,lower,HB 278,OHV00001007,lower,Senate Amendments,2012-12-13 00:00:00,other,86,4,0
oh,129,lower,HB 279,OHV00001009,lower,Third Consideration,2012-11-14 00:00:00,other,96,2,0
oh,129,lower,HB 279,OHV00001010,lower,Amendment,2012-11-14 00:00:00,other,96,0,0
oh,129,lower,HB 279,OHV00001013,lower,Senate Amendments,2012-12-13 00:00:00,other,91,0,0
oh,129,lower,HB 279,OHV00001014,lower,Senate Amendments,2012-12-13 00:00:00,other,89,2,0
oh,129,lower,HB 280,OHV00001016,lower,Senate Amendments,2012-12-13 00:00:00,other,91,0,0
oh,129,lower,HB 284,OHV00001017,lower,Third Consideration,2012-11-28 00:00:00,other,92,3,0
oh,129,lower,HB 284,OHV00001019,lower,Senate Amendments,2012-12-13 00:00:00,other,66,25,0
oh,129,lower,HB 303,OHV00001022,lower,Senate Amendments,2012-12-12 00:00:00,other,78,17,0
oh,129,lower,HB 303,OHV00001023,lower,Senate Amendments,2012-12-12 00:00:00,other,88,7,0
oh,129,lower,HB 325,OHV00001025,lower,Senate Amendments,2012-12-05 00:00:00,other,95,0,0
oh,129,lower,HB 334,OHV00001028,lower,Senate Amendments,2012-12-05 00:00:00,other,96,0,0
oh,129,lower,HB 334,OHV00001029,lower,Senate Amendments,2012-12-05 00:00:00,other,95,0,0
oh,129,lower,HB 347,OHV00001031,lower,Senate Amendments,2012-12-12 00:00:00,other,94,0,0
oh,129,lower,HB 360,OHV00001034,lower,Senate Amendments,2012-12-11 00:00:00,other,90,4,0
oh,129,lower,HB 360,OHV00001035,lower,Senate Amendments,2012-12-11 00:00:00,other,86,8,0
oh,129,lower,HB 367,OHV00001039,lower,Senate Amendments,2012-11-29 00:00:00,other,2,86,0
oh,129,lower,HB 367,OHV00001040,lower,Senate Amendments,2012-11-29 00:00:00,other,70,17,0
oh,129,lower,HB 380,OHV00001045,lower,Senate Amendments,2012-12-11 00:00:00,other,58,36,0
oh,129,lower,HB 387,OHV00001046,lower,Third Consideration,2012-11-27 00:00:00,other,86,7,0
oh,129,lower,HB 387,OHV00001047,lower,Amendment,2012-11-27 00:00:00,other,92,1,0
oh,129,lower,HB 387,OHV00001048,lower,Amendment,2012-11-27 00:00:00,other,66,29,0
oh,129,lower,HB 393,OHV00001049,lower,Third Consideration,2012-12-13 00:00:00,other,91,0,0
oh,129,lower,HB 414,OHV00001050,lower,Third Consideration,2012-11-14 00:00:00,other,85,12,0
oh,129,lower,HB 417,OHV00001052,lower,Senate Amendments,2012-12-11 00:00:00,other,95,0,0
oh,129,lower,HB 420,OHV00001054,lower,Senate Amendments,2012-12-11 00:00:00,other,92,3,0
oh,129,lower,HB 458,OHV00001056,lower,Third Consideration,2012-12-05 00:00:00,other,91,0,0
oh,129,lower,HB 461,OHV00001060,lower,Senate Amendments,2012-12-04 00:00:00,other,90,2,0
oh,129,lower,HB 462,OHV00001061,lower,Third Consideration,2012-12-05 00:00:00,other,92,0,0
oh,129,lower,HB 472,OHV00001064,lower,Senate Amendments,2012-12-13 00:00:00,other,91,0,0
oh,129,lower,HB 472,OHV00001065,lower,Senate Amendments,2012-12-13 00:00:00,other,88,0,0
oh,129,lower,HB 479,OHV00001067,lower,Senate Amendments,2012-12-12 00:00:00,other,95,0,0
oh,129,lower,HB 481,OHV00001069,lower,Senate Amendments,2012-12-12 00:00:00,other,95,0,0
oh,129,lower,HB 492,OHV00001071,lower,Senate Amendments,2012-12-13 00:00:00,other,91,0,0
oh,129,lower,HB 495,OHV00001072,lower,Senate Amendments,2012-12-13 00:00:00,other,67,24,0
oh,129,lower,HB 496,OHV00001074,lower,Third Consideration,2012-12-04 00:00:00,other,94,0,0
oh,129,lower,HB 501,OHV00001075,lower,Third Consideration,2012-11-28 00:00:00,other,95,0,0
oh,129,lower,HB 510,OHV00001077,lower,Senate Amendments,2012-12-11 00:00:00,other,78,17,0
oh,129,lower,HB 532,OHV00001078,lower,Third Consideration,2012-11-29 00:00:00,other,87,0,0
oh,129,lower,HB 532,OHV00001079,lower,Motion to Table Amendment,2012-11-29 00:00:00,other,56,32,0
oh,129,lower,HB 532,OHV00001081,lower,Senate Amendments,2012-12-13 00:00:00,other,90,0,0
oh,129,lower,HB 555,OHV00001083,lower,Third Consideration,2012-11-29 00:00:00,other,60,27,0
oh,129,lower,HB 555,OHV00001084,lower,Motion to Table Amendment,2012-11-29 00:00:00,other,57,30,0
oh,129,lower,HB 555,OHV00001085,lower,Motion to Table Amendment,2012-11-29 00:00:00,other,56,31,0
oh,129,lower,HB 555,OHV00001086,lower,Motion to Table Amendment,2012-11-29 00:00:00,other,58,29,0
oh,129,lower,HB 555,OHV00001088,lower,Senate Amendments,2012-12-13 00:00:00,other,59,32,0
oh,129,lower,HB 567,OHV00001089,lower,Third Consideration,2012-12-04 00:00:00,other,93,1,0
oh,129,lower,HB 605,OHV00001090,lower,Third Consideration,2012-12-05 00:00:00,other,65,30,0
oh,129,lower,HB 606,OHV00001091,lower,Third Consideration,2012-12-05 00:00:00,other,79,12,0
oh,129,lower,HB 606,OHV00001093,lower,Senate Amendments,2012-12-13 00:00:00,other,74,16,0
oh,129,lower,HB 613,OHV00001094,lower,Third Consideration,2012-12-05 00:00:00,other,57,34,0
oh,129,lower,HB 613,OHV00001095,lower,Motion to Table Amendment,2012-12-05 00:00:00,other,56,35,0
oh,129,lower,HCR 21,OHV00001096,lower,Resolution Adoption,2012-12-13 00:00:00,other,91,0,0
oh,129,lower,HCR 56,OHV00001097,lower,Resolution Adoption,2012-11-27 00:00:00,other,95,0,0
oh,129,upper,SB 2,OHV00000036,upper,Third Consideration,2011-02-23 00:00:00,other,32,1,0
oh,129,upper,SB 2,OHV00000037,upper,House Amendments,2011-03-02 00:00:00,other,31,1,0
oh,129,upper,SB 2,OHV00000038,lower,Third Consideration,2011-03-02 00:00:00,other,82,15,0
oh,129,upper,SB 2,OHV00000039,lower,Amendment,2011-03-02 00:00:00,other,39,58,0
oh,129,upper,SB 2,OHV00000040,lower,Amendment,2011-03-02 00:00:00,other,40,57,0
oh,129,upper,SB 4,OHV00000041,upper,Third Consideration,2011-02-23 00:00:00,other,33,0,0
oh,129,upper,SB 4,OHV00000087,lower,Third Consideration,2011-03-23 00:00:00,other,98,0,0
oh,129,upper,SB 4,OHV00000108,upper,House Amendments,2011-03-30 00:00:00,other,33,0,0
oh,129,upper,SB 5,OHV00000043,upper,Amendment,2011-03-02 00:00:00,other,19,14,0
oh,129,upper,SB 5,OHV00000044,upper,Motion to Table Amendment,2011-03-02 00:00:00,other,15,18,0
oh,129,upper,SB 5,OHV00000109,upper,House Amendments,2011-03-30 00:00:00,other,17,16,0
