state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
oh,129,lower,HB 1,JobsOhio-Governor may create as economic development corporation,2011-02-22 21:25:59.029000,2013-01-31 21:41:29.509000,bill,
oh,129,lower,HB 10,Environmental voluntary actions-tax credit/exemption from fees/penalties,2011-02-22 21:25:59.075000,2012-08-22 02:27:08.043000,bill,
oh,129,lower,HB 100,Lupus Education and Awareness Program,2011-02-22 21:25:59.300000,2012-08-22 02:27:10.040000,bill,
oh,129,lower,HB 101,Job creation/retention tax credit-for employees who work at home-trial period,2011-02-22 21:25:59.302000,2012-08-22 02:27:10.048000,bill,
oh,129,lower,HB 102,Certain labor requirements-cannot require or prohibit on public works,2011-02-22 21:25:59.303000,2012-08-22 02:27:10.051000,bill,
oh,129,lower,HB 103,Confidentiality of personal information,2011-02-22 21:25:59.305000,2012-08-22 02:27:10.060000,bill,
oh,129,lower,HB 104,Income tax refunds-contribute part to Ohio Historical Society,2011-02-22 21:25:59.307000,2012-08-22 02:27:10.069000,bill,
oh,129,lower,HB 105,Victims of domestic violence-rights,2011-02-22 21:25:59.309000,2012-08-22 02:27:10.071000,bill,
oh,129,lower,HB 106,Armed forces members-terminate rental agreements-change in deployment,2011-02-22 21:25:59.312000,2012-08-22 02:27:10.074000,bill,
oh,129,lower,HB 107,Motor vehicles-one license plate displayed on rear of vehicle,2011-02-22 21:25:59.313000,2013-01-31 21:41:30.984000,bill,
oh,129,lower,HB 108,Kennel owner-cruel treatment of dogs-a crime/prosecutorial discretion,2011-02-26 00:16:22.694000,2013-01-31 21:41:30.990000,bill,
oh,129,lower,HB 109,Continuous improvement or lower-require parents attend parent-teacher conference,2011-02-26 00:16:22.707000,2012-08-22 02:27:10.109000,bill,
oh,129,lower,HB 11,Patient Protection & Affordable Care Act-limit state implementation/enforcement,2011-02-22 21:25:59.077000,2012-08-22 02:27:08.046000,bill,
oh,129,lower,HB 110,Unclaimed funds-withhold finder fees & pay over directly to finder,2011-02-26 00:16:22.709000,2012-08-22 02:27:10.188000,bill,
oh,129,lower,HB 111,Tax deduction-small business-reinvestment/ employee training/research & development,2011-02-26 00:16:22.711000,2012-08-22 02:27:10.191000,bill,
oh,129,lower,HB 112,Engine coolant/antifreeze-include bittering agent,2011-02-26 00:16:22.712000,2012-08-22 02:27:10.195000,bill,
oh,129,lower,HB 113,Taxpayer's Right to Know Act-open records/open meetings,2011-02-26 00:16:22.714000,2012-08-22 02:27:10.200000,bill,
oh,129,lower,HB 114,Appropriations-transportation & public safety-FY 2012 & 2013,2011-02-26 00:16:22.716000,2013-01-31 21:41:31.052000,bill,
oh,129,lower,HB 115,Educational Choice Scholarships-gradually increase number,2011-02-26 00:16:22.718000,2012-08-22 02:27:10.312000,bill,
oh,129,lower,HB 116,Schools-harassment/intimidation/bullying policies-instruction on/parental notice of,2011-02-26 00:16:22.719000,2013-01-31 21:41:31.098000,bill,
oh,129,lower,HB 117,Corporal Brad Anthony Davis Memorial Hwy-part I-480 within Garfield Heights,2011-02-26 00:16:22.721000,2012-08-22 02:27:10.342000,bill,
oh,129,lower,HB 118,Judge/magistrate a victim-increase penalty/probation officer-personal info secret,2011-02-26 00:16:22.725000,2013-01-31 21:41:31.117000,bill,
oh,129,lower,HB 119,Tanning chemicals/services-regulate use of by persons under 18,2011-02-26 00:16:22.728000,2012-08-22 02:27:10.400000,bill,
oh,129,lower,HB 12,Medicaid-revise requirements,2011-02-22 21:25:59.079000,2012-08-22 02:27:08.049000,bill,
oh,129,lower,HB 120,Water Access To Every Residence Task Force,2011-02-26 00:16:22.730000,2013-01-31 21:41:31.129000,bill,
oh,129,lower,HB 121,Child custody/visitation rights-parents called to active military service,2011-02-26 00:16:22.732000,2013-01-31 21:41:31.143000,bill,
oh,129,lower,HB 122,Surplus lines insurance-regulation,2011-02-26 00:16:22.733000,2013-01-31 21:41:31.196000,bill,
oh,129,lower,HB 123,Appropriations-Workers' Compensation-FY 2012-2013,2011-02-26 00:16:22.735000,2013-01-31 21:41:31.213000,bill,
oh,129,lower,HB 124,Appropriations-Industrial Commission-FY 2012-2013,2011-02-26 00:16:22.736000,2013-01-31 21:41:31.229000,bill,
oh,129,lower,HB 125,Prohibit abortion-unborn human with detectable fetal heartbeat,2011-02-26 00:16:22.742000,2013-01-31 21:41:31.309000,bill,
oh,129,lower,HB 126,Driver's license/state id card-permit inclusion of next of kin,2011-03-05 00:23:15.904000,2012-08-22 02:27:10.594000,bill,
