state,session,chamber,bill_id,type,name,leg_id
ok,2011-2012,lower,HB 1001,primary,Reynolds,OKL000119
ok,2011-2012,lower,HB 1002,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1002,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1003,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1003,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1004,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1004,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1005,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1005,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1006,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1006,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1007,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1007,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1008,primary,McNiel,OKL000099
ok,2011-2012,lower,HB 1008,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1009,primary,McNiel,OKL000099
ok,2011-2012,lower,HB 1010,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1010,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1011,primary,McDaniel (Randy),OKL000098
ok,2011-2012,lower,HB 1011,primary,Mazzei,OKL000032
ok,2011-2012,lower,HB 1012,primary,Reynolds,OKL000119
ok,2011-2012,lower,HB 1013,primary,Pruett,OKL000116
ok,2011-2012,lower,HB 1014,primary,Pruett,OKL000116
ok,2011-2012,lower,HB 1015,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1015,primary,Aldridge,OKL000002
ok,2011-2012,lower,HB 1016,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1016,primary,Aldridge,OKL000002
ok,2011-2012,lower,HB 1017,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1017,primary,Aldridge,OKL000002
ok,2011-2012,lower,HB 1018,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1018,primary,Aldridge,OKL000002
ok,2011-2012,lower,HB 1019,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1019,primary,Aldridge,OKL000002
ok,2011-2012,lower,HB 1020,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1021,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1022,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1023,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1024,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1025,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1026,primary,Faught,OKL000071
ok,2011-2012,lower,HB 1026,primary,Aldridge,OKL000002
ok,2011-2012,lower,HB 1027,primary,Glenn,OKL000073
ok,2011-2012,lower,HB 1027,primary,Wyrick,OKL000048
