state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ok,2011-2012,upper,SJR 52,OKV00007137,lower,ADOPT CCR,2012-05-24 00:00:00,other,54,41,3
ok,2011-2012,upper,SJR 52,OKV00006911,lower,THIRD READING,2012-04-25 00:00:00,other,89,0,9
ok,2011-2012,upper,SB 46,OKV00007049,upper,Fourth Reading,2012-05-03 00:00:00,other,37,0,11
ok,2011-2012,upper,SB 110,OKV00007142,upper,Fourth Reading,2012-05-21 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 132,OKV00007143,upper,Fourth Reading,2012-05-22 00:00:00,other,42,0,6
ok,2011-2012,upper,SB 134,OKV00007144,upper,Fourth Reading,2012-05-22 00:00:00,other,41,0,7
ok,2011-2012,upper,SB 134,OKV00006092,upper,Third Reading,2012-03-07 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 138,OKV00007118,upper,Fourth Reading,2012-05-14 00:00:00,other,47,0,1
ok,2011-2012,upper,SB 182,OKV00006094,upper,Third Reading,2012-03-13 00:00:00,other,22,20,5
ok,2011-2012,upper,SB 221,OKV00006095,upper,Third Reading,2012-03-14 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 222,OKV00006096,upper,Third Reading,2012-03-14 00:00:00,other,34,6,7
ok,2011-2012,upper,SB 223,OKV00006097,upper,Third Reading,2012-03-14 00:00:00,other,37,0,10
ok,2011-2012,upper,SB 243,OKV00007078,upper,Fourth Reading,2012-05-07 00:00:00,other,39,0,9
ok,2011-2012,upper,SB 259,OKV00007149,upper,Fourth Reading,2012-05-17 00:00:00,other,39,4,5
ok,2011-2012,upper,SB 397,OKV00007150,upper,Fourth Reading,2012-05-23 00:00:00,other,44,0,4
ok,2011-2012,upper,SB 447,OKV00007151,upper,Fourth Reading,2012-05-25 00:00:00,other,39,0,9
ok,2011-2012,upper,SB 448,OKV00007012,upper,Fourth Reading,2012-05-01 00:00:00,other,42,0,6
ok,2011-2012,upper,SB 456,OKV00007153,upper,Fourth Reading,2012-05-21 00:00:00,other,43,0,5
ok,2011-2012,upper,SB 456,OKV00006100,upper,Third Reading,2012-03-07 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 544,OKV00006101,upper,Third Reading,2012-03-13 00:00:00,other,19,19,9
ok,2011-2012,upper,SB 616,OKV00006102,upper,Third Reading,2012-03-14 00:00:00,other,39,0,8
ok,2011-2012,upper,SB 671,OKV00007154,upper,Fourth Reading,2012-05-24 00:00:00,other,40,3,5
ok,2011-2012,upper,SB 747,OKV00006103,upper,Third Reading,2012-03-14 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 963,OKV00006104,upper,Third Reading,2012-03-14 00:00:00,other,21,17,9
ok,2011-2012,upper,SB 987,OKV00007050,upper,Fourth Reading,2012-05-02 00:00:00,other,40,3,5
ok,2011-2012,upper,SB 990,OKV00006106,upper,Third Reading,2012-03-07 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 992,OKV00005668,upper,Third Reading,2012-02-28 00:00:00,other,46,0,1
ok,2011-2012,upper,SB 994,OKV00005669,upper,Third Reading,2012-02-27 00:00:00,other,42,0,5
ok,2011-2012,upper,SB 1000,OKV00005899,upper,Third Reading,2012-03-06 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 1001,OKV00007156,upper,Fourth Reading,2012-05-17 00:00:00,other,43,0,5
ok,2011-2012,upper,SB 1001,OKV00006107,upper,RECONSIDER,2012-03-13 00:00:00,other,39,5,3
ok,2011-2012,upper,SB 1001,OKV00006108,upper,Third Reading,2012-03-13 00:00:00,other,14,30,3
ok,2011-2012,upper,SB 1001,OKV00006109,upper,Third Reading,2012-03-13 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1006,OKV00005670,upper,Third Reading,2012-02-27 00:00:00,other,42,0,5
ok,2011-2012,upper,SB 1008,OKV00005671,upper,Third Reading,2012-02-28 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1009,OKV00005672,upper,Third Reading,2012-02-28 00:00:00,other,46,0,1
ok,2011-2012,upper,SB 1012,OKV00005673,upper,Third Reading,2012-03-05 00:00:00,other,45,1,1
ok,2011-2012,upper,SB 1016,OKV00005674,upper,Third Reading,2012-02-27 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1019,OKV00007079,upper,Fourth Reading,2012-05-07 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 1031,OKV00006111,upper,Third Reading,2012-03-15 00:00:00,other,36,0,11
ok,2011-2012,upper,SB 1035,OKV00006112,upper,Third Reading,2012-03-08 00:00:00,other,42,0,5
ok,2011-2012,upper,SB 1036,OKV00005675,upper,Third Reading,2012-02-28 00:00:00,other,46,1,0
ok,2011-2012,upper,SB 1040,OKV00007157,upper,Fourth Reading,2012-05-25 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 1040,OKV00006113,upper,Third Reading,2012-03-15 00:00:00,other,37,0,10
ok,2011-2012,upper,SB 1041,OKV00006114,upper,Third Reading,2012-03-13 00:00:00,other,33,0,14
ok,2011-2012,upper,SB 1043,OKV00006115,upper,Third Reading,2012-03-15 00:00:00,other,37,0,10
ok,2011-2012,upper,SB 1046,OKV00006116,upper,Third Reading,2012-03-14 00:00:00,other,39,4,4
ok,2011-2012,upper,SB 1051,OKV00006117,upper,Third Reading,2012-03-14 00:00:00,other,37,0,10
ok,2011-2012,upper,SB 1052,OKV00006118,upper,Third Reading,2012-03-12 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1053,OKV00007080,upper,Fourth Reading,2012-05-07 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 1055,OKV00007158,upper,Fourth Reading,2012-05-16 00:00:00,other,40,2,6
ok,2011-2012,upper,SB 1055,OKV00006120,upper,Third Reading,2012-03-13 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1056,OKV00006121,upper,Third Reading,2012-03-12 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1059,OKV00005900,upper,Third Reading,2012-03-06 00:00:00,other,30,10,7
ok,2011-2012,upper,SB 1060,OKV00006122,upper,Third Reading,2012-03-13 00:00:00,other,27,17,3
ok,2011-2012,upper,SB 1060,OKV00006123,upper,Table,2012-03-13 00:00:00,other,35,10,2
ok,2011-2012,upper,SB 1065,OKV00005678,upper,Third Reading,2012-02-29 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1067,OKV00007159,upper,Fourth Reading,2012-05-23 00:00:00,other,45,1,2
ok,2011-2012,upper,SB 1067,OKV00005679,upper,Third Reading,2012-02-27 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1068,OKV00005680,upper,Third Reading,2012-02-27 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1071,OKV00007051,upper,Fourth Reading,2012-05-02 00:00:00,other,36,2,10
ok,2011-2012,upper,SB 1072,OKV00006124,upper,Third Reading,2012-03-07 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1075,OKV00007013,upper,Fourth Reading,2012-05-01 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 1083,OKV00005902,upper,Third Reading,2012-03-06 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 1090,OKV00006126,upper,Third Reading,2012-03-08 00:00:00,other,35,1,11
ok,2011-2012,upper,SB 1095,OKV00007052,upper,Fourth Reading,2012-05-02 00:00:00,other,43,0,5
ok,2011-2012,upper,SB 1096,OKV00007053,upper,Fourth Reading,2012-05-02 00:00:00,other,42,0,6
ok,2011-2012,upper,SB 1100,OKV00006129,upper,Third Reading,2012-03-14 00:00:00,other,38,0,9
ok,2011-2012,upper,SB 1102,OKV00007160,upper,Fourth Reading,2012-05-24 00:00:00,other,45,0,3
ok,2011-2012,upper,SB 1102,OKV00005683,upper,Third Reading,2012-03-05 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1106,OKV00006130,upper,Third Reading,2012-03-15 00:00:00,other,38,0,9
ok,2011-2012,upper,SB 1108,OKV00007119,upper,Fourth Reading,2012-05-14 00:00:00,other,44,0,4
ok,2011-2012,upper,SB 1111,OKV00007081,upper,Fourth Reading,2012-05-08 00:00:00,other,42,0,6
ok,2011-2012,upper,SB 1119,OKV00006132,upper,Third Reading,2012-03-14 00:00:00,other,37,3,7
ok,2011-2012,upper,SB 1120,OKV00006133,upper,Third Reading,2012-03-07 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 1127,OKV00006134,upper,Third Reading,2012-03-13 00:00:00,other,36,0,11
ok,2011-2012,upper,SB 1131,OKV00007120,upper,Fourth Reading,2012-05-14 00:00:00,other,44,0,4
ok,2011-2012,upper,SB 1131,OKV00006136,upper,Reconsider,2012-03-07 00:00:00,other,35,7,5
ok,2011-2012,upper,SB 1131,OKV00005685,upper,Third Reading,2012-03-05 00:00:00,other,17,28,2
ok,2011-2012,upper,SB 1134,OKV00006137,upper,Third Reading,2012-03-07 00:00:00,other,40,0,7
ok,2011-2012,upper,SB 1138,OKV00006138,upper,Third Reading,2012-03-14 00:00:00,other,39,0,8
ok,2011-2012,upper,SB 1142,OKV00005686,upper,Third Reading,2012-02-29 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1144,OKV00006139,upper,Third Reading,2012-03-12 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1152,OKV00005688,upper,Third Reading,2012-02-29 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1156,OKV00006140,upper,Third Reading,2012-03-13 00:00:00,other,27,17,3
ok,2011-2012,upper,SB 1159,OKV00007162,upper,Fourth Reading,2012-05-23 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 1159,OKV00005689,upper,Third Reading,2012-02-29 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1162,OKV00005690,upper,Third Reading,2012-03-05 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1164,OKV00005691,upper,Third Reading,2012-02-28 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 1170,OKV00007014,upper,Fourth Reading,2012-05-01 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 1178,OKV00006141,upper,Third Reading,2012-03-08 00:00:00,other,35,3,9
ok,2011-2012,upper,SB 1179,OKV00006142,upper,Third Reading,2012-03-13 00:00:00,other,43,1,3
ok,2011-2012,upper,SB 1180,OKV00005692,upper,Third Reading,2012-02-27 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 1182,OKV00007054,upper,Fourth Reading,2012-05-03 00:00:00,other,37,0,11
ok,2011-2012,upper,SB 1183,OKV00007082,upper,Fourth Reading,2012-05-07 00:00:00,other,41,0,7
ok,2011-2012,upper,SB 1187,OKV00005693,upper,Third Reading,2012-03-05 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1188,OKV00005694,upper,Third Reading,2012-03-05 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1189,OKV00007102,upper,Fourth Reading,2012-05-09 00:00:00,other,44,0,4
ok,2011-2012,upper,SB 1191,OKV00005695,upper,Third Reading,2012-03-01 00:00:00,other,39,0,8
ok,2011-2012,upper,SB 1192,OKV00007163,upper,Fourth Reading,2012-05-16 00:00:00,other,42,0,6
ok,2011-2012,upper,SB 1192,OKV00006146,upper,Third Reading,2012-03-14 00:00:00,other,40,0,7
ok,2011-2012,upper,SB 1196,OKV00007126,upper,Fourth Reading,2012-05-15 00:00:00,other,39,0,9
ok,2011-2012,upper,SB 1198,OKV00005696,upper,Third Reading,2012-03-05 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1199,OKV00007083,upper,Fourth Reading,2012-05-08 00:00:00,other,42,0,6
ok,2011-2012,upper,SB 1201,OKV00005698,upper,Third Reading,2012-03-05 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1204,OKV00006148,upper,Third Reading,2012-03-14 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 1209,OKV00006149,upper,Third Reading,2012-03-08 00:00:00,other,35,2,10
ok,2011-2012,upper,SB 1210,OKV00005699,upper,Third Reading,2012-02-27 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1213,OKV00005700,upper,Third Reading,2012-02-29 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1214,OKV00005701,upper,Third Reading,2012-02-27 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1215,OKV00005702,upper,Third Reading,2012-03-05 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1218,OKV00007015,upper,Fourth Reading,2012-05-01 00:00:00,other,40,0,8
ok,2011-2012,upper,SB 1222,OKV00006151,upper,Third Reading,2012-03-13 00:00:00,other,41,0,6
ok,2011-2012,upper,SB 1228,OKV00005703,upper,Third Reading,2012-02-29 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1229,OKV00006152,upper,Third Reading,2012-03-13 00:00:00,other,42,0,5
ok,2011-2012,upper,SB 1230,OKV00005704,upper,Third Reading,2012-02-29 00:00:00,other,45,0,2
ok,2011-2012,upper,SB 1231,OKV00005705,upper,Third Reading,2012-03-05 00:00:00,other,46,0,1
ok,2011-2012,upper,SB 1232,OKV00005706,upper,Third Reading,2012-03-05 00:00:00,other,44,0,3
ok,2011-2012,upper,SB 1233,OKV00005904,upper,Third Reading,2012-03-06 00:00:00,other,36,3,8
ok,2011-2012,upper,SB 1234,OKV00006153,upper,Third Reading,2012-03-14 00:00:00,other,40,1,6
ok,2011-2012,upper,SB 1235,OKV00007165,upper,Fourth Reading,2012-05-21 00:00:00,other,43,0,5
ok,2011-2012,upper,SB 1235,OKV00005905,upper,Third Reading,2012-03-06 00:00:00,other,42,0,5
ok,2011-2012,upper,SB 1239,OKV00006154,upper,Third Reading,2012-03-07 00:00:00,other,43,0,4
ok,2011-2012,upper,SB 1239,OKV00006155,upper,MOTION,2012-03-07 00:00:00,other,1,34,12
ok,2011-2012,upper,SB 1242,OKV00007166,upper,Fourth Reading,2012-05-24 00:00:00,other,38,0,10
ok,2011-2012,upper,SB 1242,OKV00005707,upper,Third Reading,2012-02-27 00:00:00,other,41,2,4
ok,2011-2012,upper,SB 1246,OKV00007084,upper,Fourth Reading,2012-05-08 00:00:00,other,42,0,6
ok,2011-2012,upper,SB 1247,OKV00007167,upper,Fourth Reading,2012-05-16 00:00:00,other,38,0,10
