state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ok,2011-2012,lower,HB 1001,Schools; creating the Religious Viewpoints Antidiscrimination Act; codification; effective date; emergency.,2012-02-03 18:51:32.670000,2012-10-26 03:09:37.797000,bill,Education
ok,2011-2012,lower,HB 1002,Public retirement systems; relating to the Teachers' Retirement System of Oklahoma; modifying provisions of certain funds; modifying certain provisions related to transfer of monies between funds; submission of required reports; effective date.,2012-02-03 18:51:32.701000,2012-10-26 03:09:37.819000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1003,Public retirement systems; enacting the Save Oklahoma Act of 2011; codification; noncodification; effective date.,2012-02-03 18:51:32.713000,2012-10-26 03:09:37.897000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1004,Public retirement systems; Leadership by Example Act; codification; noncodification.,2012-02-03 18:51:32.724000,2012-10-26 03:09:37.901000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1005,Public retirement systems; creating the Task Force on Pension Benefit Funding and Security.  Emergency.,2012-02-03 18:51:32.737000,2012-10-26 03:09:37.907000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1006,Public retirement systems; enacting the Pension Financial Responsibility Act; prohibiting legislatively authorized cost-of-living adjustments; codification; noncodification; effective date; emergency.,2012-02-03 18:51:32.747000,2012-10-26 03:09:37.917000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1007,Public retirement systems; Pension Funding Accountability Act; noncodification; effective date.,2012-02-03 18:51:32.769000,2012-10-26 03:09:37.931000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1008,Revenue and taxation; relating to income tax credits; modifying reference to certain taxable years; modifying the time period during which certain tax credits may be claimed; effective date.,2012-02-03 18:51:32.796000,2012-10-26 03:09:37.989000,bill,"Budget, Spending, and Taxes"
ok,2011-2012,lower,HB 1009,Revenue and taxation; Venture Capital Formation Tax Incentive Modification Act of 2011; noncodification; effective date.,2012-02-03 18:51:32.809000,2012-10-26 03:09:38.009000,bill,"Budget, Spending, and Taxes"
ok,2011-2012,lower,HB 1010,Public retirement systems; relating to The Uniform Retirement System for Justices and Judges; modifying provisions related to normal retirement age; effective date.,2012-02-03 18:51:32.832000,2012-10-26 03:09:38.023000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1011,Public retirement systems; Teachers' Retirement System Cost-of-Living Adjustment Funding Source Act of 2011; codification; noncodification; effective date.,2012-02-03 18:51:32.844000,2012-10-26 03:09:38.043000,bill,Senior Issues|Labor and Employment
ok,2011-2012,lower,HB 1012,Public health and safety; creating the Protection of Human Life Act of 2011; making certain actions with a human embryo unlawful; codification; effective date; emergency.,2012-02-03 18:51:32.854000,2012-10-26 03:09:38.047000,bill,Health|Legislative Affairs|Crime
ok,2011-2012,lower,HB 1013,Elections; opening primaries to voters of other parties and Independent voters; effective date.,2012-02-03 18:51:32.863000,2012-10-26 03:09:38.050000,bill,Campaign Finance and Election Issues
ok,2011-2012,lower,HB 1014,Elections; absentee voting; modifying days for in-person absentee voting; effective date.,2012-02-03 18:51:32.872000,2012-10-26 03:09:38.054000,bill,Campaign Finance and Election Issues
ok,2011-2012,lower,HB 1015,Sunset; omnibus; re-creating certain entities; modifying termination date.,2012-02-03 18:51:32.887000,2012-10-26 03:09:38.064000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1016,Sunset; Polygraph Examiners Board; re-creating the Board; modifying termination date.,2012-02-03 18:51:32.906000,2012-10-26 03:09:38.108000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1017,Sunset; State Board of Osteopathic Examiners; re-creating the Board; modifying termination date.,2012-02-03 18:51:32.923000,2012-10-26 03:09:38.124000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1018,Sunset; Board of Podiatric Medical Examiners; re-creating the Board; modifying termination date.,2012-02-03 18:51:32.939000,2012-10-26 03:09:38.140000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1019,Sunset; Oklahoma State Athletic Commission; re-creating the Commission; modifying termination date.,2012-02-03 18:51:32.958000,2012-10-26 03:09:38.156000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1020,Sunset; Minority Teacher Recruitment Advisory Committee; re-creating the Committee; modifying termination date.,2012-02-03 18:51:32.968000,2012-10-26 03:09:38.166000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1021,State government; Sunset Law; clarifying language; effective date.,2012-02-03 18:51:32.978000,2012-10-26 03:09:38.170000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1022,State government; Sunset Law; clarifying language; effective date.,2012-02-03 18:51:32.987000,2012-10-26 03:09:38.175000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1023,State government; Sunset Law; clarifying language; effective date.,2012-02-03 18:51:32.995000,2012-10-26 03:09:38.178000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1024,State government; Sunset Law; clarifying language; effective date.,2012-02-03 18:51:33.004000,2012-10-26 03:09:38.181000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1025,State government; Sunset Law; clarifying language; effective date.,2012-02-03 18:51:33.013000,2012-10-26 03:09:38.185000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1026,Sunset; omnibus; re-creating certain entities; modifying list of statutory entities subject to re-creation.,2012-02-03 18:51:33.029000,2012-10-26 03:09:38.192000,bill,"Federal, State, and Local Relations|Legislative Affairs"
ok,2011-2012,lower,HB 1027,Motor vehicles; modifying penalty for failure to comply with the Compulsory Insurance Law; effective date.,2012-02-03 18:51:33.044000,2012-10-26 03:09:38.224000,bill,Transportation|Insurance
ok,2011-2012,lower,HB 1028,Higher education; Freedom to Choose Where You Live Act; emergency.,2012-02-03 18:51:33.054000,2012-10-26 03:09:38.234000,bill,Education
ok,2011-2012,lower,HB 1029,Schools; creating the Parental Choice in Education Act; codification; effective date; emergency.,2012-02-03 18:51:33.064000,2012-10-26 03:09:38.237000,bill,Education
