leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
OKL000029,member,2011-2012,17,upper,ok,Democratic,,,,,
OKL000029,committee member,2011-2012,,upper,ok,,OKC000002,Appropriations,,,
OKL000029,committee member,2011-2012,,upper,ok,,OKC000004,Business and Commerce,,,
OKL000029,committee member,2011-2012,,upper,ok,,OKC000005,Education,,,
OKL000029,committee member,2011-2012,,upper,ok,,OKC000010,Judiciary,,,
OKL000030,member,2011-2012,7,upper,ok,Democratic,,,,,
OKL000030,committee member,2011-2012,,upper,ok,,OKC000002,Appropriations,,,
OKL000030,committee member,2011-2012,,upper,ok,,OKC000005,Education,,,
OKL000030,committee member,2011-2012,,upper,ok,,OKC000006,Energy,,,
OKL000030,committee member,2011-2012,,upper,ok,,OKC000010,Judiciary,,,
OKL000039,member,2011-2012,45,upper,ok,Republican,,,,,
OKL000039,committee member,2011-2012,,upper,ok,,OKC000002,Appropriations,,,
OKL000039,committee member,2011-2012,,upper,ok,,OKC000007,Finance,,,
OKL000039,committee member,2011-2012,,upper,ok,,OKC000009,Health and Human Services,,,
OKL000039,committee member,2011-2012,,upper,ok,,OKC000011,Public Safety,,,
OKL000039,committee member,2011-2012,,upper,ok,,OKC000016,Veterans and Military Affairs,,,
OKL000001,member,2011-2012,33,upper,ok,Democratic,,,,,
OKL000001,committee member,2011-2012,,upper,ok,,OKC000002,Appropriations,,,
OKL000001,committee member,2011-2012,,upper,ok,,OKC000006,Energy,,,
OKL000001,committee member,2011-2012,,upper,ok,,OKC000007,Finance,,,
OKL000001,committee member,2011-2012,,upper,ok,,OKC000008,General Government,,,
OKL000001,committee member,2011-2012,,upper,ok,,OKC000012,Retirement and Insurance,,,
OKL000001,committee member,2011-2012,,upper,ok,,OKC000016,Veterans and Military Affairs,,,
OKL000151,member,2011-2012,43,upper,ok,Republican,,,,,
OKL000151,committee member,2011-2012,,upper,ok,,OKC000002,Appropriations,,,
OKL000151,committee member,2011-2012,,upper,ok,,OKC000004,Business and Commerce,,,
OKL000151,committee member,2011-2012,,upper,ok,,OKC000005,Education,,,
OKL000151,committee member,2011-2012,,upper,ok,,OKC000007,Finance,,,
OKL000151,committee member,2011-2012,,upper,ok,,OKC000016,Veterans and Military Affairs,,,
OKL000080,member,2011-2012,51,lower,ok,Republican,,,,,
OKL000080,committee member,2011-2012,,lower,ok,,OKC000020,Appropriations & Budget,Education,,
OKL000080,committee member,2011-2012,,lower,ok,,OKC000028,Common Education,,,
OKL000080,committee member,2011-2012,,lower,ok,,OKC000029,"Economic Development, Tourism & Financial Services",,,
OKL000080,committee member,2011-2012,,lower,ok,,OKC000038,Public Health,,,
OKL000080,committee member,2011-2012,,joint,ok,,OKC000053,Joint Immigration Reform Committee,,,
OKL000080,committee member,2011-2012,,lower,ok,,OKC000052,Pension Oversight Committee,,,
OKL000139,member,2011-2012,53,lower,ok,Republican,,,,,
OKL000139,committee member,2011-2012,,lower,ok,,OKC000021,Appropriations & Budget,General Government & Transportation,,
OKL000139,committee member,2011-2012,,lower,ok,,OKC000031,General Government,,,
OKL000139,committee member,2011-2012,,lower,ok,,OKC000032,Government Modernization,,,
OKL000139,committee member,2011-2012,,lower,ok,,OKC000033,Higher Education & Career Tech,,,
OKL000120,member,2011-2012,56,lower,ok,Republican,,,,,
OKL000120,committee member,2011-2012,,lower,ok,,OKC000018,"Agriculture, Wildlife & Environment",,,
OKL000120,committee member,2011-2012,,lower,ok,,OKC000024,Appropriations & Budget,Natural Resources & Regulatory Services,,
OKL000120,committee member,2011-2012,,lower,ok,,OKC000033,Higher Education & Career Tech,,,
OKL000120,committee member,2011-2012,,lower,ok,,OKC000047,Transportation,,,
OKL000088,member,2011-2012,90,lower,ok,Republican,,,,,
OKL000088,committee member,2011-2012,,lower,ok,,OKC000017,Administrative Rules and Government Oversight,,,
OKL000088,committee member,2011-2012,,lower,ok,,OKC000021,Appropriations & Budget,General Government & Transportation,,
