leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
OKL000029,Charlie Laster,Charlie,,Laster,,,False,ok,,,,421069c4e9f742b2adfb35863154cfad,http://www.oksenate.gov/Senators/biographies/laster_bio.jpg,2011-07-08 20:39:11.783000,2013-01-09 20:44:14.986000
OKL000030,Richard Lerblance,Richard,,Lerblance,,,False,ok,,,,9bdaac77e17a49fa84d09908d77c5957,http://www.oksenate.gov/Senators/biographies/lerblance_bio.jpg,2011-07-08 20:39:11.789000,2013-01-09 20:44:14.985000
OKL000039,Steve Russell,Steve,,Russell,,,False,ok,,,,50eed4086e1747e0ba55dc2aa81bc34b,http://www.oksenate.gov/Senators/biographies/russell_bio.jpg,2011-07-08 20:39:11.815000,2013-01-09 20:44:14.992000
OKL000001,Tom Adelson,Tom,,Adelson,,,False,ok,,,,8b72e65e1c6245e4ba93276a417251cb,http://www.oksenate.gov/Senators/biographies/adelson_bio.jpg,2011-07-08 20:39:11.614000,2013-01-09 20:44:14.990000
OKL000151,Greg Childers,Greg,,Childers,,,False,ok,,,,4732f66d8b8a45feba9ebfea0eefea84,,2011-10-20 02:17:42.067000,2013-01-09 20:44:14.991000
OKL000080,Corey Holland,Corey,,Holland,,,False,ok,,,,86a2e092a88d46ea9f40b996d64976d5,http://www.okhouse.gov/Members/Pictures/Corey-Holland2x175.jpg,2011-07-08 20:39:11.990000,2013-01-09 20:44:14.971000
OKL000139,Randy Terrill,Randy,,Terrill,,,False,ok,,,,21a2c973d3d842468407eef287c1c912,http://www.votesmart.org/canphoto/46293.jpg,2011-07-08 20:39:12.186000,2013-01-09 20:44:14.978000
OKL000120,Phil Richardson,Phil,,Richardson,,,False,ok,,,,30dff6f713044ca9b6f6418e45869a13,http://www.okhouse.gov/Members/Pictures/richardson%20with%20flags.jpg,2011-07-08 20:39:12.149000,2013-01-09 20:44:14.977000
OKL000088,Charles Key,Charles,,Key,,,False,ok,,,,f182e35cd63444e591785a2bf5779674,http://www.okhouse.gov/Members/Pictures/Charles-Keyx175.jpg,2011-07-08 20:39:12.008000,2013-01-09 20:44:14.979000
OKL000102,Danny Morgan,Danny,,Morgan,,,False,ok,,,,09509551ff01455eab7cfc80d2467402,http://www.okhouse.gov/Members/Pictures/Morgan%20D%20with%20flags.jpg,2011-07-08 20:39:12.039000,2013-01-09 20:44:14.976000
OKL000135,Jabar Shumate,Jabar,,Shumate,,,False,ok,,,,1e91700ac83047d79ca82fb5a1be1c7e,http://www.okhouse.gov/Members/Pictures/ShumateFlagsLrg.jpg,2011-07-08 20:39:12.179000,2013-01-09 20:44:14.975000
OKL000079,Wes Hilliard,Wes,,Hilliard,,,False,ok,,,,444416ee43254bbe85b4425b4541e227,http://www.okhouse.gov/Members/Pictures/Hilliard%2006.jpg,2011-07-08 20:39:11.988000,2013-01-09 20:44:14.980000
OKL000047,Jim Wilson,Jim,,Wilson,,,False,ok,,,,7256de855a004febb03aa41fa6f7b438,http://www.oksenate.gov/Senators/biographies/wilson_bio.jpg,2011-07-08 20:39:11.878000,2013-01-09 20:44:14.988000
OKL000017,Judy Eason Mcintyre,Judy,,Eason Mcintyre,,,False,ok,,,,5d984cf36d8d4d03bfa5370388c8a235,http://www.oksenate.gov/Senators/biographies/eason_mcintyre_bio.jpg,2011-07-08 20:39:11.717000,2013-01-09 20:44:14.987000
OKL000035,Jonathan Nichols,Jonathan,,Nichols,,,False,ok,,,,716e0e30ac444a4786f80c1a600501ce,http://www.oksenate.gov/Senators/biographies/nichols_bio.jpg,2011-07-08 20:39:11.806000,2013-01-09 20:44:14.989000
OKL000141,Sue Tibbs,Sue,,Tibbs,,,False,ok,,,,4c025531c7a64d348a4cfe2537d20ff2,"http://www.okhouse.gov/Members/Pictures/Tibbs,%20Sue.jpg",2011-07-08 20:39:12.198000,2013-01-09 20:44:14.994000
OKL000136,Kris Steele,Kris,,Steele,,,False,ok,,,,7ba93946a6424a4cacca184a4659c156,http://www.okhouse.gov/Members/Pictures/Steele-Krisx175.jpg,2011-07-08 20:39:12.180000,2013-01-09 20:44:14.995000
