vote_id,leg_id,name,vote
ORV00002075,ORL000088,Whisnant,other
ORV00002075,ORL000047,Esquivel,other
ORV00002075,ORL000069,Matthews.,other
ORV00002077,ORL000088,Whisnant,other
ORV00002077,ORL000047,Esquivel,other
ORV00002077,ORL000069,Matthews.,other
ORV00002079,ORL000087,Weidner,no
ORV00002079,ORL000088,Whisnant,other
ORV00002079,ORL000047,Esquivel,other
ORV00002079,ORL000069,Matthews.,other
ORV00002065,ORL000018,Monroe,other
ORV00002065,ORL000024,Shields.,other
ORV00002083,ORL000047,Esquivel,other
ORV00002083,ORL000069,Matthews.,other
ORV00002073,ORL000018,Monroe,other
ORV00002073,ORL000024,Shields.,other
ORV00002050,ORL000062,Jenson,other
ORV00002050,ORL000081,Smith,other
ORV00002050,ORL000083,Thatcher,other
ORV00002050,ORL000085,Tomei,other
ORV00002050,ORL000108,McKeown.,other
ORV00002046,ORL000101,Barton,other
ORV00002046,ORL000063,Johnson.,other
ORV00002043,ORL000063,Johnson.,other
ORV00001989,ORL000015,Johnson,other
ORV00001989,ORL000093,Steiner Hayward.,other
ORV00002003,ORL000104,Gallegos,other
ORV00002003,ORL000052,Gelser,other
ORV00002003,ORL000055,Hanna,other
ORV00002003,ORL000062,Jenson.,other
ORV00000001,ORL000011,Ferrioli,no
ORV00000001,ORL000012,George,no
ORV00000001,ORL000013,Girod,no
ORV00000001,ORL000016,Kruse,no
ORV00000001,ORL000025,Starr.,no
ORV00000002,ORL000012,George,other
ORV00000002,ORL000025,Starr.,other
ORV00000003,ORL000067,Krieger.,other
ORV00000004,ORL000013,Girod.,no
ORV00000005,ORL000073,Olson.,other
ORV00000006,ORL000005,Boquist,no
ORV00000006,ORL000006,Burdick,no
ORV00000006,ORL000009,Dingfelder,no
ORV00000006,ORL000011,Ferrioli,no
ORV00000006,ORL000012,George,no
ORV00000006,ORL000013,Girod,no
ORV00000006,ORL000016,Kruse,no
ORV00000006,ORL000021,Olsen,no
ORV00000006,ORL000026,Telfer,no
ORV00000006,ORL000027,Thomsen,no
ORV00000006,ORL000029,Whitsett.,no
ORV00000007,ORL000012,George,other
ORV00000007,ORL000025,Starr.,other
ORV00000008,ORL000040,Cameron,no
ORV00000008,ORL000047,Esquivel,no
ORV00000008,ORL000050,Garrard,no
ORV00000008,ORL000057,Hicks,no
ORV00000008,ORL000063,Johnson,no
ORV00000008,ORL000067,Krieger,no
ORV00000008,ORL000070,McLane,no
ORV00000008,ORL000074,Parrish,no
ORV00000008,ORL000076,Richardson,no
ORV00000008,ORL000078,Schaufler,no
ORV00000008,ORL000083,Thatcher,no
ORV00000008,ORL000087,Weidner,no
ORV00000008,ORL000089,Wingard,no
ORV00000008,ORL000049,Freeman,other
ORV00000008,ORL000066,Kotek.,other
ORV00000009,ORL000022,Prozanski.,other
ORV00000011,ORL000020,Nelson,no
ORV00000011,ORL000024,Shields,no
ORV00000011,ORL000027,Thomsen,no
ORV00000011,ORL000012,George.,other
ORV00000013,ORL000039,Buckley,other
ORV00000013,ORL000040,Cameron,other
ORV00000013,ORL000061,Hunt,other
ORV00000013,ORL000076,Richardson,other
ORV00000013,ORL000081,Smith G.,other
ORV00000013,ORL000055,Speaker Hanna,other
ORV00000013,ORL000077,Speaker Roblan.,other
ORV00000015,ORL000087,Weidner.,no
ORV00000016,ORL000010,Edwards,no
ORV00000016,ORL000015,Johnson.,other
ORV00000017,ORL000012,George,no
ORV00000017,ORL000016,Kruse,no
ORV00000017,ORL000027,Thomsen.,no
ORV00000018,ORL000049,Freeman,no
ORV00000018,ORL000053,Gilliam,no
ORV00000018,ORL000083,Thatcher,no
ORV00000018,ORL000085,Tomei,no
ORV00000018,ORL000039,Buckley,other
ORV00000018,ORL000065,Komp,other
ORV00000018,ORL000076,Richardson,other
ORV00000018,ORL000055,Speaker Hanna,other
ORV00000018,ORL000077,Speaker Roblan.,other
ORV00000019,ORL000005,Boquist,no
ORV00000019,ORL000006,Burdick,no
ORV00000019,ORL000011,Ferrioli,no
ORV00000019,ORL000012,George,no
ORV00000019,ORL000014,Hass,no
ORV00000019,ORL000015,Johnson,no
ORV00000019,ORL000016,Kruse,no
ORV00000019,ORL000023,Rosenbaum,no
ORV00000019,ORL000026,Telfer,no
ORV00000019,ORL000027,Thomsen,no
ORV00000019,ORL000029,Whitsett.,no
ORV00000020,ORL000041,Cannon,no
ORV00000020,ORL000048,Frederick,no
ORV00000020,ORL000078,Schaufler,no
ORV00000020,ORL000080,Smith J..,no
ORV00000021,ORL000025,Starr.,other
ORV00000023,ORL000012,George,no
ORV00000023,ORL000016,Kruse,no
ORV00000023,ORL000019,Morse,no
ORV00000023,ORL000020,Nelson,no
ORV00000023,ORL000024,Shields,no
ORV00000023,ORL000025,Starr,no
ORV00000023,ORL000027,Thomsen,no
