state,session,chamber,bill_id,type,name,leg_id
or,2011 Regular Session,lower,HB 2001,primary, HANNA,ORL000055
or,2011 Regular Session,lower,HB 2001,primary, SPRENGER ,ORL000082
or,2011 Regular Session,lower,HB 2002,primary, KOTEK,ORL000066
or,2011 Regular Session,lower,HB 2002,primary,FREDERICK,ORL000048
or,2011 Regular Session,lower,HB 2002,primary, BATES,ORL000002
or,2011 Regular Session,lower,HB 2002,primary,BOQUIST,ORL000005
or,2011 Regular Session,lower,HB 2002,primary, BERGER,ORL000035
or,2011 Regular Session,lower,HB 2002,primary, BONAMICI,ORL000004
or,2011 Regular Session,lower,HB 2002,primary,GIROD ,ORL000013
or,2011 Regular Session,lower,HB 2003,primary, SHEEHAN,ORL000079
or,2011 Regular Session,lower,HB 2003,primary, CONGER,ORL000043
or,2011 Regular Session,lower,HB 2003,primary,ESQUIVEL,ORL000047
or,2011 Regular Session,lower,HB 2003,primary,GARRARD,ORL000050
or,2011 Regular Session,lower,HB 2003,primary,HUFFMAN,ORL000060
or,2011 Regular Session,lower,HB 2003,primary,KRIEGER,ORL000067
or,2011 Regular Session,lower,HB 2003,primary,LINDSAY,ORL000068
or,2011 Regular Session,lower,HB 2003,primary,PARRISH,ORL000074
or,2011 Regular Session,lower,HB 2003,primary,WHISNANT ,ORL000088
or,2011 Regular Session,lower,HB 2004,primary, PARRISH,ORL000074
or,2011 Regular Session,lower,HB 2004,primary,HICKS,ORL000057
or,2011 Regular Session,lower,HB 2004,primary, WINGARD,ORL000089
or,2011 Regular Session,lower,HB 2004,primary, ATKINSON ,ORL000001
or,2011 Regular Session,lower,HB 2005,primary, GILLIAM,ORL000053
or,2011 Regular Session,lower,HB 2005,primary,SCHAUFLER,ORL000078
or,2011 Regular Session,lower,HB 2005,primary, BARKER,ORL000032
or,2011 Regular Session,lower,HB 2005,primary,BEYER,ORL000036
or,2011 Regular Session,lower,HB 2005,primary,KENNEMER,ORL000064
or,2011 Regular Session,lower,HB 2005,primary,KRIEGER,ORL000067
or,2011 Regular Session,lower,HB 2005,primary,SHEEHAN,ORL000079
or,2011 Regular Session,lower,HB 2005,primary,THOMPSON ,ORL000084
or,2011 Regular Session,lower,HB 2006,primary, G SMITH ,ORL000081
or,2011 Regular Session,lower,HB 2007,primary,COMMITTEE ON BUSINESS AND LABOR ,
or,2011 Regular Session,lower,HB 2008,primary, HOLVEY ,ORL000058
or,2011 Regular Session,lower,HB 2009,primary, COWAN,ORL000044
or,2011 Regular Session,lower,HB 2009,primary, KRUSE,ORL000016
or,2011 Regular Session,lower,HB 2009,primary, BOONE,ORL000037
or,2011 Regular Session,lower,HB 2009,primary,ROBLAN,ORL000077
or,2011 Regular Session,lower,HB 2009,primary,WITT,ORL000090
or,2011 Regular Session,lower,HB 2009,primary, JOHNSON,ORL000063
or,2011 Regular Session,lower,HB 2009,primary,VERGER,ORL000028
or,2011 Regular Session,lower,HB 2009,primary,WHITSETT (at the request of Oregon Coastal Caucus) ,ORL000029
or,2011 Regular Session,lower,HB 2010,primary, WINGARD,ORL000089
or,2011 Regular Session,lower,HB 2010,primary, BAILEY,ORL000031
or,2011 Regular Session,lower,HB 2010,primary,BARKER,ORL000032
or,2011 Regular Session,lower,HB 2010,primary,BOONE,ORL000037
or,2011 Regular Session,lower,HB 2010,primary,CLEM,ORL000042
or,2011 Regular Session,lower,HB 2010,primary,HUNT,ORL000061
or,2011 Regular Session,lower,HB 2010,primary,RICHARDSON,ORL000076
or,2011 Regular Session,lower,HB 2010,primary,WHISNANT,ORL000088
or,2011 Regular Session,lower,HB 2010,primary, EDWARDS ,ORL000010
or,2011 Regular Session,lower,HB 2011,primary, RICHARDSON,ORL000076
or,2011 Regular Session,lower,HB 2011,primary, BENTZ,ORL000034
or,2011 Regular Session,lower,HB 2011,primary,BREWER,ORL000038
or,2011 Regular Session,lower,HB 2011,primary,CAMERON,ORL000040
or,2011 Regular Session,lower,HB 2011,primary,ESQUIVEL,ORL000047
or,2011 Regular Session,lower,HB 2011,primary,FREEMAN,ORL000049
or,2011 Regular Session,lower,HB 2011,primary,GILLIAM,ORL000053
or,2011 Regular Session,lower,HB 2011,primary,HANNA,ORL000055
or,2011 Regular Session,lower,HB 2011,primary,HICKS,ORL000057
or,2011 Regular Session,lower,HB 2011,primary,HUFFMAN,ORL000060
or,2011 Regular Session,lower,HB 2011,primary,JOHNSON,ORL000063
or,2011 Regular Session,lower,HB 2011,primary,LINDSAY,ORL000068
or,2011 Regular Session,lower,HB 2011,primary,OLSON,ORL000073
or,2011 Regular Session,lower,HB 2011,primary,PARRISH,ORL000074
or,2011 Regular Session,lower,HB 2011,primary,SHEEHAN,ORL000079
or,2011 Regular Session,lower,HB 2011,primary,SPRENGER,ORL000082
or,2011 Regular Session,lower,HB 2011,primary,THATCHER,ORL000083
or,2011 Regular Session,lower,HB 2011,primary,WAND,ORL000086
or,2011 Regular Session,lower,HB 2011,primary,WEIDNER,ORL000087
or,2011 Regular Session,lower,HB 2011,primary,WHISNANT,ORL000088
