id,state,chamber,committee,subcommittee,parent_id
ORC000017,or,lower,Revenue,,
ORC000085,or,lower,Interstate-5 Bridge Replacement Project,,
ORC000002,or,lower,Judiciary,,
ORC000004,or,lower,Ways and Means,Natural Resources,
ORC000012,or,lower,Ways and Means,General Government,
ORC000022,or,lower,Ways and Means,Public Safety,
ORC000025,or,lower,Ways and Means,Education,
ORC000026,or,lower,Ways and Means,Human Services,
ORC000027,or,lower,Rules,,
ORC000030,or,lower,Ways and Means,Transportation and Economic Development,
ORC000071,or,lower,Human Services and Housing,,
ORC000007,or,lower,Health Care,,
ORC000013,or,lower,Business and Labor,,
ORC000072,or,lower,Land Use,,
ORC000070,or,lower,Consumer Protection and Government Efficiency,,
ORC000076,or,lower,Energy and Environment,,
ORC000003,or,lower,Agriculture and Natural Resources,,
ORC000011,or,lower,Transportation and Economic Development,,
ORC000021,or,lower,Ways and Means,Capital Construction,
ORC000014,or,lower,Education,Higher Education,
ORC000073,or,lower,Higher Education and Workforce Development,,
ORC000084,or,lower,Public Safety,,
ORC000083,or,lower,Tax Credits,,
ORC000088,or,lower,Legislative Counsel,,
ORC000086,or,lower,Conduct,,
ORC000075,or,lower,O&C,,
ORC000087,or,lower,Legislative Administration,,
ORC000090,or,lower,Veterans' Services and Emergency Preparedness,,
ORC000058,or,upper,Tax Credits,,
ORC000056,or,upper,Education and Workforce Development,,
ORC000082,or,upper,Health Care and Human Services,,
ORC000077,or,upper,Business and Transportation,,
ORC000091,or,upper,"General Government, Consumer and Small Business Protection",,
ORC000032,or,upper,Environment and Natural Resources,,
ORC000039,or,upper,Ways and Means,Education,ORC000038
ORC000041,or,upper,Rules,,
ORC000044,or,upper,Ways and Means,General Government,ORC000038
ORC000045,or,upper,Ways and Means,Transportation and Economic Development,ORC000038
ORC000050,or,upper,Ways and Means,Human Services,ORC000038
ORC000055,or,upper,Ways and Means,Capital Construction,ORC000038
ORC000059,or,upper,Judiciary,,
ORC000080,or,upper,Rural Communities and Economic Development,,
ORC000053,or,upper,Ways and Means,Natural Resources,ORC000038
ORC000057,or,upper,Finance and Revenue,,
ORC000079,or,upper,Public Safety,,
ORC000078,or,upper,Veterans and Emergency Preparedness,,
ORC000051,or,upper,Ways and Means,Public Safety,ORC000038
ORC000038,or,upper,Ways and Means,,
ORC000089,or,upper,Interstate-5 Bridge Replacement Project,,
ORC000081,or,upper,"General Government,  Consumer and Small Business Protection",,
