leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
ORL000036,member,2011-2012,12,lower,or,Democratic,,,,,
ORL000036,committee member,2011-2012,,lower,or,,ORC000027,Rules,,,
ORL000036,committee member,2011-2012,,lower,or,,ORC000021,Ways and Means,,,
ORL000036,committee member,2011-2012,,lower,or,,ORC000004,Ways and Means,Natural Resources,,
ORL000001,member,2011-2012,2,upper,or,Republican,,,,,
ORL000001,committee member,2011-2012,,upper,or,,ORC000037,"Business, Transportation and Economic Development",,,
ORL000001,committee member,2011-2012,,upper,or,,ORC000041,Rules,,,
ORL000004,member,2011-2012,17,upper,or,Democratic,,,,,2011-11-21 00:00:00
ORL000004,committee member,2011-2012,,upper,or,,ORC000056,Education and Workforce Development,,,
ORL000004,committee member,2011-2012,,upper,or,,ORC000035,"General Government, Consumer and Small Business Protection",,,
ORL000004,committee member,2011-2012,,upper,or,,ORC000059,Judiciary,,,
ORL000004,committee member,2011-2012,,upper,or,,ORC000060,Legislative Counsel,,,
ORL000004,committee member,2011-2012,,upper,or,,ORC000040,Redistricting,,,
ORL000004,committee member,2011-2012,,upper,or,,ORC000065,Joint Special Joint Committee on Redistricting,,,
ORL000020,member,2011-2012,29,upper,or,Republican,,,,,
ORL000020,committee member,2011-2012,,upper,or,,ORC000069,"Legislative Audits, Information Management and Technology",,,
ORL000020,committee member,2011-2012,,upper,or,,ORC000038,Ways and Means,,,
ORL000020,committee member,2011-2012,,upper,or,,ORC000055,Ways and Means,Capital Construction,,
ORL000026,member,2011-2012,27,upper,or,Republican,,,,,
ORL000026,committee member,2011-2012,,upper,or,,ORC000057,Finance and Revenue,,,
ORL000026,committee member,2011-2012,,upper,or,,ORC000069,"Legislative Audits, Information Management and Technology",,,
ORL000026,committee member,2011-2012,,upper,or,,ORC000058,Tax Credits,,,
ORL000028,member,2011-2012,5,upper,or,Democratic,,,,,
ORL000028,committee member,2011-2012,,upper,or,,ORC000038,Ways and Means,,,
ORL000028,committee member,2011-2012,,upper,or,,ORC000051,Ways and Means,Public Safety,,
ORL000028,committee member,2011-2012,,upper,or,,ORC000045,Ways and Means,Transportation and Economic Development,,
ORL000038,member,2011-2012,29,lower,or,Republican,,,,,
ORL000038,committee member,2011-2012,,lower,or,,ORC000017,Revenue,,,
ORL000038,committee member,2011-2012,,lower,or,,ORC000019,Tax Credits,,,
ORL000038,committee member,2011-2012,,lower,or,,ORC000012,Ways and Means,General Government,,
ORL000041,member,2011-2012,46,lower,or,Democratic,,,,,2011-09-01 00:00:00
ORL000041,committee member,2011-2012,,lower,or,,ORC000005,"Energy, Environment and Water",,,
ORL000041,committee member,2011-2012,,lower,or,,ORC000007,Health Care,,,
ORL000044,member,2011-2012,10,lower,or,Democratic,,,,,
ORL000044,committee member,2011-2012,,lower,or,,ORC000003,Agriculture and Natural Resources,,,
ORL000044,committee member,2011-2012,,lower,or,,ORC000021,Ways and Means,,,
ORL000044,committee member,2011-2012,,lower,or,,ORC000026,Ways and Means,Human Services,,
ORL000050,member,2011-2012,56,lower,or,Republican,,,,,
ORL000050,committee member,2011-2012,,lower,or,,ORC000021,Ways and Means,,,
ORL000050,committee member,2011-2012,,lower,or,,ORC000025,Ways and Means,Education,,
ORL000050,committee member,2011-2012,,lower,or,,ORC000012,Ways and Means,General Government,,
ORL000061,member,2011-2012,40,lower,or,Democratic,,,,,
ORL000061,committee member,2011-2012,,lower,or,,ORC000067,Higher Education,,,
ORL000061,committee member,2011-2012,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000068,member,2011-2012,30,lower,or,Republican,,,,,
ORL000068,committee member,2011-2012,,lower,or,,ORC000067,Higher Education,,,
ORL000068,committee member,2011-2012,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000072,member,2011-2012,36,lower,or,Democratic,,,,,
ORL000072,committee member,2011-2012,,lower,or,,ORC000002,Judiciary,,,
ORL000072,committee member,2011-2012,,lower,or,,ORC000021,Ways and Means,,,
ORL000072,committee member,2011-2012,,lower,or,,ORC000022,Ways and Means,Public Safety,,
ORL000078,member,2011-2012,48,lower,or,Democratic,,,,,
ORL000078,committee member,2011-2012,,lower,or,,ORC000003,Agriculture and Natural Resources,,,
ORL000078,committee member,2011-2012,,lower,or,,ORC000002,Judiciary,,,
ORL000079,member,2011-2012,51,lower,or,Republican,,,,,
ORL000079,committee member,2011-2012,,lower,or,,ORC000009,General Government and Consumer Protection,,,
ORL000079,committee member,2011-2012,,lower,or,,ORC000067,Higher Education,,,
ORL000079,committee member,2011-2012,,lower,or,,ORC000068,"Legislative Audits, Information Management and Technology",,,
ORL000079,committee member,2011-2012,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000080,member,2011-2012,47,lower,or,Democratic,,,,,
ORL000080,committee member,2011-2012,,lower,or,,ORC000009,General Government and Consumer Protection,,,
ORL000080,committee member,2011-2012,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000080,committee member,2011-2012,,lower,or,,ORC000012,Ways and Means,General Government,,
ORL000086,member,2011-2012,49,lower,or,Republican,,,,,
ORL000086,committee member,2011-2012,,lower,or,,ORC000002,Judiciary,,,
ORL000086,committee member,2011-2012,,lower,or,,ORC000017,Revenue,,,
ORL000086,committee member,2011-2012,,lower,or,,ORC000019,Tax Credits,,,
ORL000089,member,2011-2012,26,lower,or,Republican,,,,,
ORL000089,committee member,2011-2012,,lower,or,,ORC000014,Education,,,
ORL000089,committee member,2011-2012,,lower,or,,ORC000027,Rules,,,
ORL000019,member,2011-2012,8,upper,or,Republican,,,,,2012-09-17 00:00:00
ORL000019,committee member,2011-2012,,upper,or,,ORC000056,Education and Workforce Development,,,
ORL000019,committee member,2011-2012,,upper,or,,ORC000057,Finance and Revenue,,,
ORL000019,committee member,2011-2012,,upper,or,,ORC000048,"Health Care, Human Services and Rural Health Policy",,,
ORL000019,committee member,2011-2012,,upper,or,,ORC000058,Tax Credits,,,
ORL000101,member,2013-2014,40,lower,or,Democratic,,,,,
ORL000101,committee member,2013-2014,,lower,or,,ORC000013,Business and Labor,,,
ORL000101,committee member,2013-2014,,lower,or,,ORC000002,Judiciary,,,
ORL000101,committee member,2013-2014,,lower,or,,ORC000088,Legislative Counsel,,,
ORL000105,member,2013-2014,10,lower,or,Democratic,,,,,
ORL000105,committee member,2013-2014,,lower,or,,ORC000014,Education,,,
ORL000105,committee member,2013-2014,,lower,or,,ORC000071,Human Services and Housing,,,
ORL000105,committee member,2013-2014,,lower,or,,ORC000012,Ways and Means,General Government,,
ORL000040,member,2013-2014,19,lower,or,Republican,,,,,
ORL000040,committee member,2013-2014,,lower,or,,ORC000085,Interstate-5 Bridge Replacement Project,,,
ORL000040,committee member,2013-2014,,lower,or,,ORC000002,Judiciary,,,
ORL000040,committee member,2013-2014,,lower,or,,ORC000072,Land Use,,,
ORL000040,committee member,2013-2014,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000040,member,2011-2012,19,lower,or,Republican,,,,,
ORL000040,committee member,2011-2012,,lower,or,,ORC000009,General Government and Consumer Protection,,,
ORL000053,member,2013-2014,18,lower,or,Republican,,,,,
ORL000053,committee member,2013-2014,,lower,or,,ORC000073,Higher Education and Workforce Development,,,
ORL000053,committee member,2013-2014,,lower,or,,ORC000071,Human Services and Housing,,,
ORL000053,member,2011-2012,18,lower,or,Republican,,,,,
ORL000053,committee member,2011-2012,,lower,or,,ORC000005,"Energy, Environment and Water",,,
ORL000053,committee member,2011-2012,,lower,or,,ORC000001,Human Services,,,
ORL000109,member,2013-2014,48,lower,or,Democratic,,,,,
ORL000109,committee member,2013-2014,,lower,or,,ORC000003,Agriculture and Natural Resources,,,
ORL000109,committee member,2013-2014,,lower,or,,ORC000014,Education,,,
ORL000109,committee member,2013-2014,,lower,or,,ORC000076,Energy and Environment,,,
ORL000066,member,2013-2014,44,lower,or,Democratic,,,,,
ORL000066,committee member,2013-2014,,lower,or,,ORC000087,Legislative Administration,,,
ORL000066,committee member,2013-2014,,lower,or,,ORC000088,Legislative Counsel,,,
ORL000066,committee member,2013-2014,,lower,or,,ORC000021,Ways and Means,Capital Construction,,
ORL000066,member,2011-2012,44,lower,or,Democratic,,,,,
ORL000066,committee member,2011-2012,,lower,or,,ORC000027,Rules,,,
ORL000104,member,2013-2014,30,lower,or,Democratic,,,,,
ORL000104,committee member,2013-2014,,lower,or,,ORC000073,Higher Education and Workforce Development,,,
ORL000104,committee member,2013-2014,,lower,or,,ORC000071,Human Services and Housing,,,
ORL000104,committee member,2013-2014,,lower,or,,ORC000026,Ways and Means,Human Services,,
ORL000112,member,2013-2014,56,lower,or,Republican,,,,,
ORL000112,committee member,2013-2014,,lower,or,,ORC000003,Agriculture and Natural Resources,,,
ORL000112,committee member,2013-2014,,lower,or,,ORC000076,Energy and Environment,,,
ORL000112,committee member,2013-2014,,lower,or,,ORC000071,Human Services and Housing,,,
ORL000107,member,2013-2014,12,lower,or,Democratic,,,,,
ORL000107,committee member,2013-2014,,lower,or,,ORC000070,Consumer Protection and Government Efficiency,,,
ORL000107,committee member,2013-2014,,lower,or,,ORC000007,Health Care,,,
ORL000107,committee member,2013-2014,,lower,or,,ORC000085,Interstate-5 Bridge Replacement Project,,,
ORL000107,committee member,2013-2014,,lower,or,,ORC000075,O&C,,,
ORL000107,committee member,2013-2014,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000091,member,2013-2014,46,lower,or,Democratic,,,,,
ORL000091,committee member,2013-2014,,lower,or,,ORC000070,Consumer Protection and Government Efficiency,,,
ORL000091,committee member,2013-2014,,lower,or,,ORC000007,Health Care,,,
ORL000091,committee member,2013-2014,,lower,or,,ORC000071,Human Services and Housing,,,
ORL000091,member,2011-2012,46,lower,or,Democratic,,,,,
ORL000091,committee member,2011-2012,,lower,or,,ORC000005,"Energy, Environment and Water",,,
ORL000091,committee member,2011-2012,,lower,or,,ORC000007,Health Care,,,
ORL000039,member,2013-2014,5,lower,or,Democratic,,,,,
ORL000039,committee member,2013-2014,,lower,or,,ORC000021,Ways and Means,,,
ORL000039,member,2011-2012,5,lower,or,Democratic,,,,,
ORL000039,committee member,2011-2012,,lower,or,,ORC000021,Ways and Means,,,
ORL000031,member,2013-2014,42,lower,or,Democratic,,,,,
ORL000031,committee member,2013-2014,,lower,or,,ORC000076,Energy and Environment,,,
ORL000031,committee member,2013-2014,,lower,or,,ORC000017,Revenue,,,
ORL000031,committee member,2013-2014,,lower,or,,ORC000083,Tax Credits,,,
ORL000031,committee member,2013-2014,,lower,or,,ORC000004,Ways and Means,Natural Resources,,
ORL000031,member,2011-2012,42,lower,or,Democratic,,,,,
ORL000031,committee member,2011-2012,,lower,or,,ORC000005,"Energy, Environment and Water",,,
ORL000031,committee member,2011-2012,,lower,or,,ORC000017,Revenue,,,
ORL000031,committee member,2011-2012,,lower,or,,ORC000019,Tax Credits,,,
ORL000031,committee member,2011-2012,,lower,or,,ORC000004,Ways and Means,Natural Resources,,
ORL000032,member,2013-2014,28,lower,or,Democratic,,,,,
ORL000032,committee member,2013-2014,,lower,or,,ORC000002,Judiciary,,,
ORL000032,committee member,2013-2014,,lower,or,,ORC000084,Public Safety,,,
ORL000032,committee member,2013-2014,,lower,or,,ORC000021,Ways and Means,,,
ORL000032,committee member,2013-2014,,lower,or,,ORC000022,Ways and Means,Public Safety,,
ORL000032,member,2011-2012,28,lower,or,Democratic,,,,,
ORL000032,committee member,2011-2012,,lower,or,,ORC000002,Judiciary,,,
ORL000032,committee member,2011-2012,,lower,or,,ORC000022,Ways and Means,Public Safety,,
ORL000033,member,2013-2014,11,lower,or,Democratic,,,,,
ORL000033,committee member,2013-2014,,lower,or,,ORC000086,Conduct,,,
ORL000033,committee member,2013-2014,,lower,or,,ORC000017,Revenue,,,
ORL000033,committee member,2013-2014,,lower,or,,ORC000027,Rules,,,
ORL000033,committee member,2013-2014,,lower,or,,ORC000083,Tax Credits,,,
ORL000033,member,2011-2012,11,lower,or,Democratic,,,,,
ORL000033,committee member,2011-2012,,lower,or,,ORC000017,Revenue,,,
ORL000033,committee member,2011-2012,,lower,or,,ORC000027,Rules,,,
ORL000033,committee member,2011-2012,,lower,or,,ORC000019,Tax Credits,,,
ORL000034,member,2013-2014,60,lower,or,Republican,,,,,
ORL000034,committee member,2013-2014,,lower,or,,ORC000076,Energy and Environment,,,
ORL000034,committee member,2013-2014,,lower,or,,ORC000085,Interstate-5 Bridge Replacement Project,,,
ORL000034,committee member,2013-2014,,lower,or,,ORC000088,Legislative Counsel,,,
ORL000034,committee member,2013-2014,,lower,or,,ORC000017,Revenue,,,
ORL000034,committee member,2013-2014,,lower,or,,ORC000083,Tax Credits,,,
ORL000034,committee member,2013-2014,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000034,member,2011-2012,60,lower,or,Republican,,,,,
ORL000034,committee member,2011-2012,,lower,or,,ORC000005,"Energy, Environment and Water",,,
ORL000034,committee member,2011-2012,,lower,or,,ORC000017,Revenue,,,
ORL000034,committee member,2011-2012,,lower,or,,ORC000019,Tax Credits,,,
ORL000034,committee member,2011-2012,,lower,or,,ORC000011,Transportation and Economic Development,,,
ORL000037,member,2013-2014,32,lower,or,Democratic,,,,,
ORL000037,committee member,2013-2014,,lower,or,,ORC000076,Energy and Environment,,,
ORL000037,committee member,2013-2014,,lower,or,,ORC000090,Veterans' Services and Emergency Preparedness,,,
ORL000037,member,2011-2012,32,lower,or,Democratic,,,,,
