state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
pa,2011-2012,lower,HB 1868,PAV00007743,upper,Committee vote (		CONSUMER PROTECTION AND PROFESSIONAL LICENSURE): Reported as Amended,2012-09-25 00:00:00,other,14,0,0
pa,2011-2012,lower,HB 2428,PAV00007903,upper,Committee vote (		TRANSPORTATION): Reported as Committed,2012-10-03 00:00:00,other,14,0,0
pa,2011-2012,lower,HB 2467,PAV00007764,upper,Committee vote (		TRANSPORTATION): Reported as Amended,2012-09-25 00:00:00,other,14,0,0
pa,2011-2012,upper,SB 79,PAV00007801,upper,CONCUR IN HOUSE AMENDMENTS,2012-10-17 00:00:00,amendment,49,0,0
pa,2011-2012,upper,SB 390,PAV00007803,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,upper,SB 709,PAV00007805,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,upper,SB 775,PAV00007809,upper,CONCURRENCE IN HOUSE AMENDMENTS AS AMENDED,2012-10-17 00:00:00,amendment,44,5,0
pa,2011-2012,upper,SB 850,PAV00007811,upper,CONCUR IN HOUSE AMENDMENTS,2012-10-17 00:00:00,amendment,37,12,0
pa,2011-2012,upper,SB 941,PAV00007814,upper,CONCUR IN HOUSE AMENDMENTS,2012-10-17 00:00:00,amendment,46,2,1
pa,2011-2012,upper,SB 1225,PAV00007817,upper,CONCUR IN HOUSE AMENDMENTS,2012-10-17 00:00:00,amendment,48,0,1
pa,2011-2012,upper,SB 1346,PAV00007693,upper,Committee vote (		ENVIRONMENTAL RESOURCES AND ENERGY): Reported as Amended,2012-05-23 00:00:00,other,11,0,0
pa,2011-2012,lower,HB 235,PAV00007822,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 272,PAV00007825,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 815,PAV00007829,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,37,12,0
pa,2011-2012,lower,HB 898,PAV00007832,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 1718,PAV00007836,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 1719,PAV00007838,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 1794,PAV00007840,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 1840,PAV00007845,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 1840,PAV00007847,upper,Committee vote (		STATE GOVERNMENT): Reported as Committed,2012-10-15 00:00:00,other,10,0,0
pa,2011-2012,lower,HB 1857,PAV00007854,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,45,4,0
pa,2011-2012,lower,HB 1857,PAV00007855,upper,"HB 1857 PN 4236, REVERT TO PRIOR PRINTER'S NUMBER 4215",2012-10-17 00:00:00,other,5,44,0
pa,2011-2012,lower,HB 1884,PAV00007857,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 1884,PAV00007858,upper,Committee vote (		STATE GOVERNMENT): Reported as Amended,2012-10-15 00:00:00,other,10,0,0
pa,2011-2012,lower,HB 1970,PAV00007860,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 1991,PAV00007864,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,31,18,0
pa,2011-2012,lower,HB 2116,PAV00007869,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2270,PAV00007872,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,47,1,1
pa,2011-2012,lower,HB 2270,PAV00007873,upper,"HB 2270 PN 3448, A13867, BROWNE AMENDMENT NO. A-13867",2012-10-17 00:00:00,other,48,1,0
pa,2011-2012,lower,HB 2366,PAV00007876,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,47,2,0
pa,2011-2012,lower,HB 2369,PAV00007880,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,47,2,0
pa,2011-2012,lower,HB 2370,PAV00007883,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2371,PAV00007887,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2372,PAV00007891,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2400,PAV00007895,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2407,PAV00007898,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2428,PAV00007901,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2530,PAV00007906,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2565,PAV00007909,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2591,PAV00007911,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2591,PAV00007913,upper,Committee vote (		FINANCE): Reported as Committed,2012-10-15 00:00:00,other,10,0,0
pa,2011-2012,lower,HB 2626,PAV00007915,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,33,16,0
pa,2011-2012,lower,HB 2626,PAV00007916,upper,Committee vote (		APPROPRIATIONS): Re-Reported as Committed,2012-10-16 00:00:00,other,19,7,0
pa,2011-2012,lower,HB 2626,PAV00007917,upper,Committee vote (		FINANCE): Reported as Amended,2012-10-15 00:00:00,other,8,2,0
pa,2011-2012,lower,HB 2630,PAV00007919,upper,FINAL PASSAGE,2012-10-17 00:00:00,passage,49,0,0
pa,2011-2012,lower,HB 2630,PAV00007921,upper,Committee vote (		APPROPRIATIONS): Re-Reported as Amended,2012-10-16 00:00:00,other,26,0,0
