leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
PAL000032,member,2009-2010,37,upper,pa,Republican,,,,,
PAL000032,member,2011-2012,37,upper,pa,Republican,,,,,
PAL000032,committee member,2011-2012,,upper,pa,,PAC000258,State Government,,,
PAL000032,committee member,2011-2012,,upper,pa,,PAC000262,Game & Fisheries,,,
PAL000032,committee member,2011-2012,,upper,pa,,PAC000020,Law & Justice,,,
PAL000032,committee member,2011-2012,,upper,pa,,PAC000252,Transportation,,,
PAL000032,committee member,2011-2012,,upper,pa,,PAC000256,Appropriations,,,
PAL000069,member,2009-2010,103,lower,pa,Democratic,,,,,
PAL000069,member,2011-2012,103,lower,pa,Democratic,,,,,
PAL000069,committee member,2011-2012,,lower,pa,,PAC000165,Rules,,,
PAL000135,member,2009-2010,3,lower,pa,Democratic,,,,,
PAL000135,member,2011-2012,3,lower,pa,Democratic,,,,,
PAL000135,committee member,2011-2012,,lower,pa,,PAC000010,Environmental Resources & Energy,,,
PAL000135,committee member,2011-2012,,lower,pa,,PAC000005,Veterans Affairs & Emergency Preparedness,,,
PAL000135,committee member,2011-2012,,lower,pa,,PAC000019,Game & Fisheries,,,
PAL000135,committee member,2011-2012,,lower,pa,,PAC000103,Local Government,Subcommittee on Boroughs,,
PAL000180,member,2009-2010,201,lower,pa,Democratic,,,,,
PAL000180,member,2011-2012,201,lower,pa,Democratic,,,,,
PAL000180,committee member,2011-2012,,lower,pa,,PAC000263,Health,,,
PAL000192,member,2009-2010,92,lower,pa,Republican,,,,,
PAL000192,member,2011-2012,92,lower,pa,Republican,,,,,
PAL000192,committee member,2011-2012,,lower,pa,,PAC000264,Labor & Industry,,,
PAL000192,committee member,2011-2012,,lower,pa,,PAC000005,Veterans Affairs & Emergency Preparedness,,,
PAL000192,committee member,2011-2012,,lower,pa,,PAC000141,Consumer Affairs,,,
PAL000192,committee member,2011-2012,,lower,pa,,PAC000008,Appropriations,,,
PAL000192,committee member,2011-2012,,lower,pa,,PAC000165,Rules,,,
PAL000226,member,2009-2010,112,lower,pa,Democratic,,,,,
PAL000226,member,2011-2012,112,lower,pa,Democratic,,,,,
PAL000226,committee member,2011-2012,,lower,pa,,PAC000085,Aging & Older Adult Services,Subcommittee on Care and Services,,
PAL000226,committee member,2011-2012,,lower,pa,,PAC000263,Health,,,
PAL000226,committee member,2011-2012,,lower,pa,,PAC000212,Education,Subcommittee on Special Education,,
PAL000226,committee member,2011-2012,,lower,pa,,PAC000265,Human Services,,,
PAL000198,member,2009-2010,24,lower,pa,Democratic,,,,,
PAL000198,member,2011-2012,24,lower,pa,Democratic,,,,,
PAL000198,committee member,2011-2012,,lower,pa,,PAC000141,Consumer Affairs,,,
PAL000198,committee member,2011-2012,,lower,pa,,PAC000165,Rules,,,
PAL000025,member,2009-2010,22,upper,pa,Democratic,,,,,
PAL000027,member,2009-2010,14,upper,pa,Democratic,,,,,
