leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
PAL000032,John Pippy,John,,Pippy,,,False,pa,,,,66d79355e937430283ad69fdb67681ee,http://www.pasen.gov/members/districts/sd37/images/59.jpg,2010-07-21 17:38:03.877000,2013-01-04 00:11:00.991000
PAL000069,Ron Buxton,Ron,,Buxton,,,False,pa,,,,d962c21ff661477ab3bef252ff70889f,http://www.house.state.pa.us/members/districts/103/images/232.jpg,2010-07-21 17:38:03.970000,2013-01-04 00:11:00.957000
PAL000135,John Hornaman,John,,Hornaman,,,False,pa,,,,fb35e4a4015f47eb82c6e90830b92835,http://www.house.state.pa.us/members/districts/003/images/1082.jpg,2010-07-21 17:38:04.151000,2013-01-04 00:11:00.969000
PAL000180,John Myers,John,,Myers,,,False,pa,,,,c1f1f09ebcba4484b305639cce30a479,http://www.house.state.pa.us/members/districts/201/images/267.jpg,2010-07-21 17:38:04.285000,2013-01-04 00:11:00.975000
PAL000192,Scott Perry,Scott,,Perry,,,False,pa,,,,05b24bc004334b4897236790dbf2727b,http://www.house.state.pa.us/members/districts/092/images/1102.jpg,2010-07-21 17:38:04.322000,2013-01-04 00:11:00.976000
PAL000226,Ken Smith,Ken,,Smith,,,False,pa,,,,fc4f9aa051e04d52a02c304c0932841b,http://www.house.state.pa.us/members/districts/112/images/1108.jpg,2010-07-21 17:38:04.423000,2013-01-04 00:11:00.980000
PAL000198,Joseph Preston Jr.,Joseph,,Preston,,,False,pa,,,,075bef1cb0a7416eaa9bd6a2232465fc,http://www.house.state.pa.us/members/districts/024/images/85.jpg,2010-07-21 17:38:04.350000,2013-01-04 00:11:00.953000
PAL000025,Robert J Mellow,Robert,J,Mellow,,,False,pa,,,,5551e37ce23245fba3a9b376434d7436,,2010-07-21 17:38:03.864000,2011-01-07 22:23:46.229000
PAL000027,Raphael J Musto,Raphael,J,Musto,,,False,pa,,,,3c662527f2f149e6b5a8570496516d70,,2010-07-21 17:38:03.868000,2011-01-07 22:23:46.229000
PAL000028,Michael A O'Pake,Michael,A,O'Pake,,,False,pa,,,,3c9342df99244ffbad86e75c01ee6eed,,2010-07-21 17:38:03.870000,2011-01-07 22:23:46.228000
PAL000038,J. Barry Stout,J. Barry,,Stout,,,False,pa,,,,2c8501201259473a9fa0dfb6a208cd56,,2010-07-21 17:38:03.889000,2011-01-07 22:23:46.230000
PAL000056,Robert E Belfanti Jr.,Robert,E,Belfanti,Jr.,,False,pa,,,,4f8842e5b9b0470382515a8027221de5,,2010-07-21 17:38:03.924000,2011-01-07 22:23:46.216000
PAL000058,Karen D Beyer,Karen,D,Beyer,,,False,pa,,,,12e2e3228f414530b0939f193d9aba88,,2010-07-21 17:38:03.928000,2011-01-07 22:23:46.221000
PAL000072,James E Casorio Jr.,James,E,Casorio,Jr.,,False,pa,,,,23684eb4eb4942fbafb64c69b0790c1b,,2010-07-21 17:38:03.976000,2011-01-07 22:23:46.227000
PAL000095,Robert C Donatucci,Robert,C,Donatucci,,,False,pa,,,,17af648c4a2a4d3db2562702747a84f8,,2010-07-21 17:38:04.043000,2011-01-07 22:23:46.224000
PAL000096,Paul J Drucker,Paul,J,Drucker,,,False,pa,,,,19495360db994d3eb4e37a835bba719f,,2010-07-21 17:38:04.045000,2011-01-07 22:23:46.223000
PAL000097,Todd A Eachus,Todd,A,Eachus,,,False,pa,,,,2c9bf68e2438465b9c08bc6fd3ea26d3,,2010-07-21 17:38:04.047000,2011-01-07 22:23:46.218000
PAL000103,Russell H Fairchild,Russell,H,Fairchild,,,False,pa,,,,31810e2c0c5845d1a762f620f7c08acc,,2010-07-21 17:38:04.059000,2011-01-07 22:23:46.228000
PAL000122,Richard T Grucela,Richard,T,Grucela,,,False,pa,,,,ff18bba7d38c435997c08bd69ef12876,,2010-07-21 17:38:04.118000,2011-01-07 22:23:46.221000
PAL000136,Tom Houghton,Tom,,Houghton,,,False,pa,,,,1b901e1db9494e77b78cc76f5f1e6397,,2010-07-21 17:38:04.153000,2011-01-07 22:23:46.220000
PAL000143,David R Kessler,David,R,Kessler,,,False,pa,,,,8fb484feae1a4cc0bcd09638666bf7ea,,2010-07-21 17:38:04.182000,2011-01-07 22:23:46.220000
