state,session,chamber,bill_id,type,name,leg_id
pr,2009-2012,lower,PC 1,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1,cosponsor,Angel Rodríguez Miranda,PRL000040
pr,2009-2012,lower,PC 10,primary,Gabriel Rodríguez Aguiló,PRL000044
pr,2009-2012,lower,PC 100,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 100,cosponsor,Elizabeth Casado Irizarry,PRL000121
pr,2009-2012,lower,PC 1000,primary,Roberto Rivera Ruiz de Porras,PRL000070
pr,2009-2012,lower,PC 1000,primary,Víctor L. Vassallo Anadón,PRL000056
pr,2009-2012,lower,PC 1000,primary,Sylvia Rodríguez de Corujo,PRL000062
pr,2009-2012,lower,PC 1000,primary,Carmen Yulín Cruz Soto,PRL000080
pr,2009-2012,lower,PC 1001,primary,Waldemar Quiles Rodríguez,PRL000053
pr,2009-2012,lower,PC 1002,primary,Waldemar Quiles Rodríguez,PRL000053
pr,2009-2012,lower,PC 1002,cosponsor,José Chico Vega,PRL000072
pr,2009-2012,lower,PC 1003,primary,Gabriel Rodríguez Aguiló,PRL000044
pr,2009-2012,lower,PC 1004,primary,María M. Vega Pagán,PRL000042
pr,2009-2012,lower,PC 1005,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1006,primary,Angel Rodríguez Miranda,PRL000040
pr,2009-2012,lower,PC 1007,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1008,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 1008,cosponsor,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1009,primary,Angel Pérez Otero,PRL000037
pr,2009-2012,lower,PC 101,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 1010,primary,Gabriel Rodríguez Aguiló,PRL000044
pr,2009-2012,lower,PC 1011,primary,Lydia Méndez Silva,PRL000052
pr,2009-2012,lower,PC 1012,primary,María de L. Ramos Rivera,PRL000073
pr,2009-2012,lower,PC 1013,primary,María de L. Ramos Rivera,PRL000073
pr,2009-2012,lower,PC 1014,primary,María de L. Ramos Rivera,PRL000073
pr,2009-2012,lower,PC 1015,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1016,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1017,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1018,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1019,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 102,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 1020,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1021,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1022,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1023,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1024,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1025,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1026,primary,Luis R. Torres Cruz,PRL000033
pr,2009-2012,lower,PC 1027,primary,Pedro I. Cintrón Rodríguez,PRL000153
pr,2009-2012,lower,PC 1028,primary,Pedro I. Cintrón Rodríguez,PRL000153
pr,2009-2012,lower,PC 1029,primary,Pedro I. Cintrón Rodríguez,PRL000153
pr,2009-2012,lower,PC 103,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 1030,primary,Jaime R. Perelló Borrás,PRL000078
pr,2009-2012,lower,PC 1030,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1030,primary,Roberto Rivera Ruiz de Porras,PRL000070
pr,2009-2012,lower,PC 1030,primary,Carlos M. Hernández López,PRL000050
pr,2009-2012,lower,PC 1030,primary,Luis E. Farinacci Morales,
pr,2009-2012,lower,PC 1030,primary,José R. Torres Ramírez,PRL000058
pr,2009-2012,lower,PC 1030,primary,Sylvia Rodríguez de Corujo,PRL000062
pr,2009-2012,lower,PC 1030,primary,Brenda López de Arrarás,PRL000079
pr,2009-2012,lower,PC 1030,primary,Víctor L. Vassallo Anadón,PRL000056
pr,2009-2012,lower,PC 1030,primary,Carmen Yulín Cruz Soto,PRL000080
pr,2009-2012,lower,PC 1030,primary,Narden Jaime Espinosa,PRL000066
pr,2009-2012,lower,PC 1030,primary,Rafael Hernández Montañez,PRL000082
pr,2009-2012,lower,PC 1031,primary,Angel Rodríguez Miranda,PRL000040
pr,2009-2012,lower,PC 1032,primary,Angel Rodríguez Miranda,PRL000040
pr,2009-2012,lower,PC 1032,cosponsor,Jorge Navarro Suárez,PRL000036
pr,2009-2012,lower,PC 1033,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1034,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1035,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1036,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1037,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1038,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1039,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1039,cosponsor,Julissa Nolasco Ortiz,PRL000054
pr,2009-2012,lower,PC 104,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 1040,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1041,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1042,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1043,primary,Cristóbal Colón Ruiz,PRL000065
pr,2009-2012,lower,PC 1044,primary,Cristóbal Colón Ruiz,PRL000065
pr,2009-2012,lower,PC 1045,primary,Cristóbal Colón Ruiz,PRL000065
pr,2009-2012,lower,PC 1046,primary,Héctor Torres Calderón,PRL000043
pr,2009-2012,lower,PC 1047,primary,José L. López Muñoz,PRL000032
pr,2009-2012,lower,PC 1048,primary,José L. López Muñoz,PRL000032
pr,2009-2012,lower,PC 1049,primary,José L. López Muñoz,PRL000032
pr,2009-2012,lower,PC 105,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 1050,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1050,primary,Carlos M. Hernández López,PRL000050
pr,2009-2012,lower,PC 1050,primary,Carmen Yulín Cruz Soto,PRL000080
pr,2009-2012,lower,PC 1051,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1051,primary,Jaime R. Perelló Borrás,PRL000078
pr,2009-2012,lower,PC 1051,primary,Rolando Crespo Arroyo,
pr,2009-2012,lower,PC 1051,primary,Lydia Méndez Silva,PRL000052
pr,2009-2012,lower,PC 1051,primary,José M. Varela Fernández,PRL000063
pr,2009-2012,lower,PC 1051,primary,Elizabeth Casado Irizarry,PRL000121
pr,2009-2012,lower,PC 1051,primary,Carmen Yulín Cruz Soto,PRL000080
pr,2009-2012,lower,PC 1051,primary,Brenda López de Arrarás,PRL000079
pr,2009-2012,lower,PC 1052,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1052,primary,Brenda López de Arrarás,PRL000079
pr,2009-2012,lower,PC 1053,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1053,primary,Brenda López de Arrarás,PRL000079
pr,2009-2012,lower,PC 1054,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1054,primary,Brenda López de Arrarás,PRL000079
pr,2009-2012,lower,PC 1055,primary,Luis Vega Ramos,PRL000083
pr,2009-2012,lower,PC 1055,primary,Brenda López de Arrarás,PRL000079
pr,2009-2012,lower,PC 1056,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1057,primary,Luis E. Farinacci Morales,
pr,2009-2012,lower,PC 1058,primary,María de L. Ramos Rivera,PRL000073
pr,2009-2012,lower,PC 1059,primary,Jenniffer A. González Colón,PRL000071
pr,2009-2012,lower,PC 1059,cosponsor,Elizabeth Casado Irizarry,PRL000121
pr,2009-2012,lower,PC 106,primary,Rolando Crespo Arroyo,
