state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
pr,2009-2012,upper,RCS 1,PRV00000001,lower,"Aprobado por Cámara en Votación Final, 35-15-00-",2009-06-17 00:00:00,other,35,15,0
pr,2009-2012,upper,RCS 2,PRV00000002,lower,"Aprobado por Cámara en Votación Final, 40-08-  -",2010-11-10 00:00:00,other,40,8,0
pr,2009-2012,upper,RCS 3,PRV00000003,lower,"Aprobado por Cámara en Votación Final, 52-00-00-",2009-04-21 00:00:00,other,52,0,0
pr,2009-2012,upper,RCS 4,PRV00000004,lower,"Aprobado por Cámara en Votación Final, 35-15-  -",2009-02-16 00:00:00,other,35,15,0
pr,2009-2012,upper,RCS 6,PRV00000005,lower,"Aprobado por Cámara en Votación Final, 50-00-  -",2010-01-25 00:00:00,other,50,0,0
pr,2009-2012,upper,RCS 7,PRV00000006,lower,"Aprobado por Cámara en Votación Final, 50-00-  -",2010-01-25 00:00:00,other,50,0,0
pr,2009-2012,upper,RCS 8,PRV00000007,lower,"Aprobado por Cámara en Votación Final, 50-00-  -",2010-01-25 00:00:00,other,50,0,0
pr,2009-2012,upper,RCS 9,PRV00000008,lower,"Aprobado por Cámara en Votación Final, 44-05-  -",2009-10-01 00:00:00,other,44,5,0
pr,2009-2012,upper,RCS 10,PRV00000009,lower,"Aprobado por Cámara en Votación Final, 54-00-  -",2009-06-25 00:00:00,other,54,0,0
pr,2009-2012,upper,RCS 14,PRV00000010,lower,"Aprobado por Cámara en Votación Final, 50-00-00-",2009-06-22 00:00:00,other,50,0,0
pr,2009-2012,upper,RCS 16,PRV00000011,lower,"Aprobado por Cámara en Votación Final, 37-14-00-",2010-06-25 00:00:00,other,37,14,0
pr,2009-2012,upper,RCS 17,PRV00000012,lower,"Aprobado por Cámara en Votación Final, 50-02-  -",2009-11-12 00:00:00,other,50,2,0
pr,2009-2012,upper,RCS 20,PRV00000013,lower,"Aprobado por Cámara en Votación Final, 48-02-00-",2009-06-17 00:00:00,other,48,2,0
pr,2009-2012,upper,RCS 25,PRV00000014,lower,"Aprobado por Cámara en Votación Final, 49-00-  -",2009-03-16 00:00:00,other,49,0,0
pr,2009-2012,upper,RCS 26,PRV00000015,lower,"Aprobado por Cámara en Votación Final, 52-02-  -",2009-11-09 00:00:00,other,52,2,0
pr,2009-2012,upper,RCS 28,PRV00000016,lower,"Aprobado por Cámara en Votación Final, 50-00-  -",2009-10-29 00:00:00,other,50,0,0
pr,2009-2012,upper,RCS 29,PRV00000017,lower,"Aprobado por Cámara en Votación Final, 50-00-  -",2009-10-29 00:00:00,other,50,0,0
pr,2009-2012,upper,RCS 30,PRV00000018,lower,"Aprobado por Cámara en Votación Final, 51-03-  -",2009-11-09 00:00:00,other,51,3,0
pr,2009-2012,upper,RCS 31,PRV00000019,lower,"Aprobado por Cámara en Votación Final, 35-16-  -",2009-06-19 00:00:00,other,35,16,0
pr,2009-2012,upper,RCS 32,PRV00000020,lower,"Aprobado por Cámara en Votación Final, 33-15-  -",2009-06-25 00:00:00,other,33,15,0
pr,2009-2012,upper,RCS 38,PRV00000021,lower,"Aprobado por Cámara en Votación Final, 51-03-  -",2009-11-09 00:00:00,other,51,3,0
pr,2009-2012,upper,RCS 40,PRV00000022,lower,"Aprobado por Cámara en Votación Final, 49-00-  -",2009-03-26 00:00:00,other,49,0,0
pr,2009-2012,upper,RCS 63,PRV00000023,lower,"Aprobado por Cámara en Votación Final, 35-00-14-",2009-05-14 00:00:00,other,35,0,14
pr,2009-2012,upper,RCS 66,PRV00000024,lower,"Aprobado por Cámara en Votación Final, 34-10-  -",2009-06-03 00:00:00,other,34,10,0
