id,state,chamber,committee,subcommittee,parent_id
PRC000003,pr,lower,Relaciones Federales y Asuntos del Veterano,,
PRC000004,pr,lower,Asuntos Municipales,,
PRC000005,pr,lower,Sistemas de Retiro del Servicio Público,,
PRC000007,pr,lower,Trabajo y Relaciones Laborales,,
PRC000008,pr,lower,Agricultura,,
PRC000009,pr,lower,Desarrollo de la Industria Turística,,
PRC000010,pr,lower,Transportación E Infraestructura,,
PRC000012,pr,lower,Desarrollo Integrado de la Ciudad Capital,,
PRC000013,pr,lower,Desarrollo Integrado de la Región Norte,,
PRC000014,pr,lower,Desarrollo Integrado de la Región Sur,,
PRC000015,pr,lower,Desarrollo Integrado de la Región Este,,
PRC000016,pr,lower,Desarrollo Integrado de la Región Oeste,,
PRC000018,pr,lower,Salud,,
PRC000020,pr,lower,Asuntos de Familias y Comunidades,,
PRC000021,pr,lower,Educación y de Organizaciones Sin Fines de Lucro y Cooperativas,,
PRC000022,pr,lower,Asuntos de la Mujer y Equidad,,
PRC000023,pr,lower,Para el Fomento de las Artes y la Cultura,,
PRC000024,pr,lower,Asuntos del Consumidor,,
PRC000025,pr,lower,Asuntos de la Juventud,,
PRC000026,pr,lower,Recreación y Deportes,,
PRC000027,pr,lower,Seguridad Pública,,
PRC000029,pr,lower,Asuntos Internos,,
PRC000030,pr,lower,Calendarios y Reglas Especiales de Debate,,
PRC000067,pr,lower,Lo Jurídico,,
PRC000001,pr,lower,Gobierno,,
PRC000002,pr,lower,Hacienda,,
PRC000006,pr,lower,"Desarrollo Económico, Planificación, Comercio, Industria y Telecomunicaciones",,
PRC000011,pr,lower,"Recursos Naturales, Ambiente y Energía",,
PRC000017,pr,lower,Desarrollo Integrado de la Región Central,,
PRC000019,pr,lower,Vivienda y Desarrollo Urbano,,
PRC000045,pr,upper,Comisión de Gobierno,,
PRC000047,pr,upper,Comisión de Recreación y Deportes,,
PRC000068,pr,upper,Comisión de Hacienda  ,,
PRC000069,pr,upper,Comisión de Seguridad Pública y Asuntos de la Judicatura ,,
PRC000070,pr,upper,Comisión de Salud ,,
PRC000071,pr,upper,Comisión de Educación y Asuntos de la Familia ,,
PRC000072,pr,upper,Comisión de Desarrollo Económico y Planificación ,,
PRC000073,pr,upper,Comisión de Urbanismo e Infraestructura ,,
PRC000074,pr,upper,Comisión de lo Jurídico Penal ,,
PRC000075,pr,upper,Comisión de lo Jurídico Civil ,,
PRC000076,pr,upper,Comisión de Agricultura ,,
PRC000077,pr,upper,Comisión de Recursos Naturales y Ambientales ,,
PRC000078,pr,upper,Comisión de Comercio y Cooperativismo ,,
PRC000079,pr,upper,Comisión de Turismo y Cultura ,,
PRC000080,pr,upper,"Comisión de Trabajo, Asuntos del Veterano y Recursos Humanos ",,
PRC000081,pr,upper,Comisión de Bienestar Social ,,
PRC000082,pr,upper,Comisión de Asuntos Municipales ,,
PRC000083,pr,upper,"Comisión de Banca, Asuntos del Consumidor y Corporaciones Públicas ",,
PRC000084,pr,upper,Comisión de Desarrollo del Oeste  ,,
PRC000085,pr,upper,Comisión de la Montaña ,,
PRC000086,pr,upper,Comisión de Asuntos de la Mujer ,,
PRC000087,pr,upper,Comisión de Relaciones Federales e Informática ,,
PRC000088,pr,upper,Comisión de Asuntos Internos  ,,
PRC000089,pr,upper,Comisión de Reglas y Calendario  ,,
