leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
PRL000045,member,2009-2012,14,lower,pr,unknown,,,,,
PRL000045,committee member,2009-2012,,lower,pr,,PRC000021,Educación y de Organizaciones Sin Fines de Lucro y Cooperativas,,,
PRL000045,committee member,2009-2012,,lower,pr,,PRC000029,Asuntos Internos,,,
PRL000010,member,2009-2012,At-Large,upper,pr,Partido Popular Democrático,,,,,
PRL000010,committee member,2009-2012,,upper,pr,,PRC000045,Comisión de Gobierno,,,
PRL000010,committee member,2009-2012,,upper,pr,,PRC000069,Comisión de Seguridad Pública y Asuntos de la Judicatura ,,,
PRL000010,committee member,2009-2012,,upper,pr,,PRC000070,Comisión de Salud ,,,
PRL000010,committee member,2009-2012,,upper,pr,,PRC000075,Comisión de lo Jurídico Civil ,,,
PRL000020,member,2009-2012,3,upper,pr,Partido Nuevo Progresista,,,,,
PRL000020,committee member,2009-2012,,upper,pr,,PRC000045,Comisión de Gobierno,,,
PRL000020,committee member,2009-2012,,upper,pr,,PRC000070,Comisión de Salud ,,,
PRL000020,committee member,2009-2012,,upper,pr,,PRC000074,Comisión de lo Jurídico Penal ,,,
PRL000020,committee member,2009-2012,,upper,pr,,PRC000075,Comisión de lo Jurídico Civil ,,,
PRL000020,committee member,2009-2012,,upper,pr,,PRC000077,Comisión de Recursos Naturales y Ambientales ,,,
PRL000016,member,2009-2012,1,upper,pr,Partido Nuevo Progresista,,,,,2011-08-28 00:00:00
PRL000026,member,2009-2012,6,upper,pr,Partido Nuevo Progresista,,,,,2011-09-30 00:00:00
PRL000028,member,2009-2012,7,upper,pr,Partido Nuevo Progresista,,,,,
PRL000077,member,2009-2012,At-Large,lower,pr,Partido Popular Democrático,,,,,2012-02-29 00:00:00
PRL000077,committee member,2009-2012,,lower,pr,,PRC000030,Calendarios y Reglas Especiales de Debate,,,
PRL000125,member,2009-2012,6,upper,pr,Partido Nuevo Progresista,,,,,
PRL000022,member,2009-2012,4,upper,pr,Partido Nuevo Progresista,,,,,
PRL000022,committee member,2009-2012,,upper,pr,,PRC000071,Comisión de Educación y Asuntos de la Familia ,,,
PRL000022,committee member,2009-2012,,upper,pr,,PRC000076,Comisión de Agricultura ,,,
PRL000022,committee member,2009-2012,,upper,pr,,PRC000080,"Comisión de Trabajo, Asuntos del Veterano y Recursos Humanos ",,,
PRL000022,committee member,2009-2012,,upper,pr,,PRC000084,Comisión de Desarrollo del Oeste  ,,,
PRL000023,member,2009-2012,4,upper,pr,Partido Nuevo Progresista,,,,,
PRL000023,committee member,2009-2012,,upper,pr,,PRC000070,Comisión de Salud ,,,
PRL000023,committee member,2009-2012,,upper,pr,,PRC000078,Comisión de Comercio y Cooperativismo ,,,
PRL000023,committee member,2009-2012,,upper,pr,,PRC000079,Comisión de Turismo y Cultura ,,,
PRL000023,committee member,2009-2012,,upper,pr,,PRC000047,Comisión de Recreación y Deportes,,,
PRL000023,committee member,2009-2012,,upper,pr,,PRC000084,Comisión de Desarrollo del Oeste  ,,,
PRL000023,committee member,2009-2012,,upper,pr,,PRC000085,Comisión de la Montaña ,,,
PRL000023,committee member,2009-2012,,upper,pr,,PRC000086,Comisión de Asuntos de la Mujer ,,,
PRL000015,member,2009-2012,At-Large,upper,pr,Partido Popular Democrático,,,,,
PRL000015,committee member,2009-2012,,upper,pr,,PRC000068,Comisión de Hacienda  ,,,
PRL000015,committee member,2009-2012,,upper,pr,,PRC000045,Comisión de Gobierno,,,
PRL000015,committee member,2009-2012,,upper,pr,,PRC000071,Comisión de Educación y Asuntos de la Familia ,,,
PRL000015,committee member,2009-2012,,upper,pr,,PRC000086,Comisión de Asuntos de la Mujer ,,,
PRL000027,member,2009-2012,6,upper,pr,Partido Nuevo Progresista,,,,,
PRL000027,committee member,2009-2012,,upper,pr,,PRC000068,Comisión de Hacienda  ,,,
PRL000027,committee member,2009-2012,,upper,pr,,PRC000076,Comisión de Agricultura ,,,
PRL000027,committee member,2009-2012,,upper,pr,,PRC000081,Comisión de Bienestar Social ,,,
PRL000027,committee member,2009-2012,,upper,pr,,PRC000085,Comisión de la Montaña ,,,
PRL000027,committee member,2009-2012,,upper,pr,,PRC000087,Comisión de Relaciones Federales e Informática ,,,
PRL000014,member,2009-2012,At-Large,upper,pr,Partido Popular Democrático,,,,,
PRL000014,committee member,2009-2012,,upper,pr,,PRC000080,"Comisión de Trabajo, Asuntos del Veterano y Recursos Humanos ",,,
PRL000014,committee member,2009-2012,,upper,pr,,PRC000082,Comisión de Asuntos Municipales ,,,
PRL000014,committee member,2009-2012,,upper,pr,,PRC000085,Comisión de la Montaña ,,,
PRL000014,committee member,2009-2012,,upper,pr,,PRC000087,Comisión de Relaciones Federales e Informática ,,,
PRL000005,member,2009-2012,At-Large,upper,pr,Partido Nuevo Progresista,,,,,
PRL000005,committee member,2009-2012,,upper,pr,,PRC000069,Comisión de Seguridad Pública y Asuntos de la Judicatura ,,,
PRL000005,committee member,2009-2012,,upper,pr,,PRC000077,Comisión de Recursos Naturales y Ambientales ,,,
PRL000005,committee member,2009-2012,,upper,pr,,PRC000079,Comisión de Turismo y Cultura ,,,
PRL000005,committee member,2009-2012,,upper,pr,,PRC000086,Comisión de Asuntos de la Mujer ,,,
PRL000005,committee member,2009-2012,,upper,pr,,PRC000087,Comisión de Relaciones Federales e Informática ,,,
PRL000005,committee member,2009-2012,,upper,pr,,PRC000088,Comisión de Asuntos Internos  ,,,
PRL000013,member,2009-2012,At-Large,upper,pr,Partido Popular Democrático,,,,,
PRL000013,committee member,2009-2012,,upper,pr,,PRC000073,Comisión de Urbanismo e Infraestructura ,,,
PRL000013,committee member,2009-2012,,upper,pr,,PRC000077,Comisión de Recursos Naturales y Ambientales ,,,
PRL000013,committee member,2009-2012,,upper,pr,,PRC000079,Comisión de Turismo y Cultura ,,,
PRL000013,committee member,2009-2012,,upper,pr,,PRC000047,Comisión de Recreación y Deportes,,,
PRL000013,committee member,2009-2012,,upper,pr,,PRC000088,Comisión de Asuntos Internos  ,,,
PRL000029,member,2009-2012,7,upper,pr,Partido Nuevo Progresista,,,,,
PRL000029,committee member,2009-2012,,upper,pr,,PRC000068,Comisión de Hacienda  ,,,
PRL000029,committee member,2009-2012,,upper,pr,,PRC000077,Comisión de Recursos Naturales y Ambientales ,,,
PRL000029,committee member,2009-2012,,upper,pr,,PRC000081,Comisión de Bienestar Social ,,,
PRL000029,committee member,2009-2012,,upper,pr,,PRC000086,Comisión de Asuntos de la Mujer ,,,
PRL000029,committee member,2009-2012,,upper,pr,,PRC000089,Comisión de Reglas y Calendario  ,,,
PRL000048,member,2009-2012,17,lower,pr,unknown,,,,,
PRL000048,committee member,2009-2012,,lower,pr,,PRC000002,Hacienda,,,
PRL000048,committee member,2009-2012,,lower,pr,,PRC000007,Trabajo y Relaciones Laborales,,,
PRL000048,committee member,2009-2012,,lower,pr,,PRC000011,"Recursos Naturales, Ambiente y Energía",,,
PRL000048,committee member,2009-2012,,lower,pr,,PRC000016,Desarrollo Integrado de la Región Oeste,,,
PRL000048,committee member,2009-2012,,lower,pr,,PRC000018,Salud,,,
PRL000072,member,2009-2012,At-Large,lower,pr,unknown,,,,,
PRL000072,committee member,2009-2012,,lower,pr,,PRC000001,Gobierno,,,
PRL000072,committee member,2009-2012,,lower,pr,,PRC000002,Hacienda,,,
PRL000072,committee member,2009-2012,,lower,pr,,PRC000006,"Desarrollo Económico, Planificación, Comercio, Industria y Telecomunicaciones",,,
