state,session,chamber,bill_id,date,action,actor,type
ri,2012,lower,HB 7003,2012-01-04 00:00:00,"01/04/2012 Introduced, referred to House Corporations",lower,bill:introduced|committee:referred
ri,2012,lower,HB 7003,2012-01-13 00:00:00,01/13/2012 Scheduled for hearing and/or consideration  (01/17/2012),joint,other
ri,2012,lower,HB 7003,2012-01-17 00:00:00,01/17/2012 Committee recommended measure be held for further study,joint,other
ri,2012,lower,HB 7003,2012-04-27 00:00:00,04/27/2012 Scheduled for consideration  (05/01/2012),joint,other
ri,2012,lower,HB 7003,2012-05-01 00:00:00,05/01/2012 Committee recommended measure be held for further study,joint,other
ri,2012,lower,HB 7005,2012-01-04 00:00:00,"01/04/2012 Introduced, referred to House Finance",lower,bill:introduced|committee:referred
ri,2012,lower,HB 7006,2012-01-04 00:00:00,"01/04/2012 Introduced, referred to House Judiciary",lower,bill:introduced|committee:referred
ri,2012,lower,HB 7006,2012-03-27 00:00:00,03/27/2012 Scheduled for hearing and/or consideration  (04/11/2012),joint,other
ri,2012,lower,HB 7006,2012-04-11 00:00:00,04/11/2012 Committee recommended measure be held for further study,joint,other
ri,2012,lower,HB 7007,2012-01-04 00:00:00,"01/04/2012 Introduced, referred to House Judiciary",lower,bill:introduced|committee:referred
ri,2012,lower,HB 7007,2012-01-06 00:00:00,01/06/2012 Scheduled for hearing and/or consideration  (01/11/2012),joint,other
ri,2012,lower,HB 7007,2012-01-11 00:00:00,01/11/2012 Committee recommends passage,joint,committee:passed:favorable
ri,2012,lower,HB 7007,2012-01-11 00:00:00,01/11/2012 Placed on House Calendar  (01/17/2012),lower,other
ri,2012,lower,HB 7007,2012-01-17 00:00:00,01/17/2012 House read and passed,lower,bill:passed
ri,2012,lower,HB 7007,2012-01-26 00:00:00,01/26/2012 Referred to Senate Judiciary,upper,committee:referred
ri,2012,lower,HB 7007,2012-02-07 00:00:00,02/07/2012 Scheduled for hearing and/or consideration  (02/09/2012),joint,other
ri,2012,lower,HB 7007,2012-02-09 00:00:00,02/09/2012 Committee recommends passage in concurrence,joint,committee:passed:favorable
ri,2012,lower,HB 7007,2012-02-29 00:00:00,02/29/2012 Placed on the Senate Consent Calendar  (03/01/2012),upper,other
ri,2012,lower,HB 7007,2012-03-01 00:00:00,03/01/2012 Senate passed in concurrence,upper,bill:passed
ri,2012,lower,HB 7007,2012-03-01 00:00:00,03/01/2012 Transmitted to Governor,governor,governor:received
ri,2012,lower,HB 7007,2012-03-06 00:00:00,03/06/2012 Signed by Governor,governor,governor:signed
ri,2012,lower,HB 7008,2012-01-04 00:00:00,"01/04/2012 Introduced, referred to House Judiciary",lower,bill:introduced|committee:referred
ri,2012,lower,HB 7008,2012-01-06 00:00:00,01/06/2012 Scheduled for hearing and/or consideration  (01/11/2012),joint,other
ri,2012,lower,HB 7008,2012-01-11 00:00:00,01/11/2012 Committee recommends passage,joint,committee:passed:favorable
