vote_id,leg_id,name,vote
RIV00001018,RIL000058,BENNETT,yes
RIV00001018,RIL000040,BLAZEJEWSKI,yes
RIV00001018,RIL000051,CARNEVALE,yes
RIV00001018,RIL000045,CIMINI,yes
RIV00001018,RIL000099,CODERRE,yes
RIV00001018,RIL000094,CORVESE,yes
RIV00001018,RIL000043,DESIMONE,yes
RIV00001018,RIL000049,DIAZ,yes
RIV00001018,RIL000108,EDWARDS,yes
RIV00001018,RIL000070,EHRHARDT,yes
RIV00001018,RIL000082,FELLELA,yes
RIV00001018,RIL000060,FERRI,yes
RIV00001018,RIL000107,GALLISON,yes
RIV00001018,RIL000056,HANDY,yes
RIV00001018,RIL000104,HEARN,yes
RIV00001018,RIL000111,JACKSON,yes
RIV00001018,RIL000055,JACQUARD,yes
RIV00001018,RIL000100,JOHNSTON,yes
RIV00001018,RIL000086,KEABLE,yes
RIV00001018,RIL000076,KENNEDY,yes
RIV00001018,RIL000071,LALLY,yes
RIV00001018,RIL000105,MALIK,yes
RIV00001018,RIL000079,MARCELLO,yes
RIV00001018,RIL000113,MARTIN,yes
RIV00001018,RIL000053,MATTIELLO,yes
RIV00001018,RIL000039,MCCAULEY,yes
RIV00001018,RIL000096,MCLAUGHLIN,yes
RIV00001018,RIL000057,MCNAMARA,yes
RIV00001018,RIL000050,MEDINA,yes
RIV00001018,RIL000081,MELO,yes
RIV00001018,RIL000106,MORRISON,yes
RIV00001018,RIL000059,NAUGHTON,yes
RIV00001018,RIL000098,O'NEILL,yes
RIV00001018,RIL000083,PETRARCA,yes
RIV00001018,RIL000097,SAN BENTO,yes
RIV00001018,RIL000065,SERPA,yes
RIV00001018,RIL000095,SILVA,yes
RIV00001018,RIL000048,SLATER,yes
RIV00001018,RIL000072,TANZI,yes
RIV00001018,RIL000046,TARRO,yes
RIV00001018,RIL000067,TOMASSO,yes
RIV00001018,RIL000080,UCCI,yes
RIV00001018,RIL000077,VALENCIA,yes
RIV00001018,RIL000047,WILLIAMS,yes
RIV00001018,RIL000092,WINFIELD,yes
RIV00001018,,MR SPEAKER,yes
RIV00001018,RIL000041,AJELLO,no
RIV00001018,RIL000075,AZZINARO,no
RIV00001018,RIL000088,BALDELLI-HUNT,no
RIV00001018,RIL000089,BRIEN,no
RIV00001018,RIL000078,CHIPPENDALE,no
RIV00001018,RIL000069,COSTA,no
RIV00001018,RIL000102,DASILVA,no
RIV00001018,RIL000073,DICKINSON,no
RIV00001018,RIL000109,GORDON,no
RIV00001018,RIL000066,GUTHRIE,no
RIV00001018,RIL000052,LIMA,no
RIV00001018,RIL000091,MACBETH,no
RIV00001018,RIL000084,MENARD,no
RIV00001018,RIL000101,MESSIER,no
RIV00001018,RIL000064,MORGAN,no
RIV00001018,RIL000087,NEWBERRY,no
RIV00001018,RIL000063,NUNES,no
RIV00001018,RIL000085,O'GRADY,no
RIV00001018,RIL000054,PALUMBO,no
RIV00001018,RIL000110,REILLY,no
RIV00001018,RIL000112,RUGGIERO,no
RIV00001018,RIL000103,SAVAGE,no
RIV00001018,RIL000093,SCHADONE,no
RIV00001018,RIL000062,TRILLO,no
RIV00001018,RIL000074,WALSH,no
RIV00001018,RIL000068,WATSON,no
RIV00001018,RIL000061,FLAHERTY,other
RIV00001018,RIL000044,HULL,other
RIV00001018,RIL000090,PHILLIPS,other
RIV00000929,RIL000041,AJELLO,yes
RIV00000929,RIL000075,AZZINARO,yes
RIV00000929,RIL000088,BALDELLI-HUNT,yes
RIV00000929,RIL000058,BENNETT,yes
RIV00000929,RIL000040,BLAZEJEWSKI,yes
RIV00000929,RIL000089,BRIEN,yes
RIV00000929,RIL000051,CARNEVALE,yes
RIV00000929,RIL000078,CHIPPENDALE,yes
RIV00000929,RIL000045,CIMINI,yes
RIV00000929,RIL000099,CODERRE,yes
RIV00000929,RIL000094,CORVESE,yes
RIV00000929,RIL000069,COSTA,yes
RIV00000929,RIL000102,DASILVA,yes
RIV00000929,RIL000043,DESIMONE,yes
RIV00000929,RIL000049,DIAZ,yes
RIV00000929,RIL000070,EHRHARDT,yes
RIV00000929,RIL000082,FELLELA,yes
RIV00000929,RIL000060,FERRI,yes
RIV00000929,RIL000056,HANDY,yes
RIV00000929,RIL000104,HEARN,yes
RIV00000929,RIL000044,HULL,yes
RIV00000929,RIL000111,JACKSON,yes
RIV00000929,RIL000055,JACQUARD,yes
RIV00000929,RIL000100,JOHNSTON,yes
RIV00000929,RIL000086,KEABLE,yes
RIV00000929,RIL000076,KENNEDY,yes
RIV00000929,RIL000071,LALLY,yes
RIV00000929,RIL000052,LIMA,yes
RIV00000929,RIL000091,MACBETH,yes
RIV00000929,RIL000105,MALIK,yes
RIV00000929,RIL000079,MARCELLO,yes
RIV00000929,RIL000113,MARTIN,yes
RIV00000929,RIL000053,MATTIELLO,yes
RIV00000929,RIL000039,MCCAULEY,yes
RIV00000929,RIL000096,MCLAUGHLIN,yes
RIV00000929,RIL000057,MCNAMARA,yes
RIV00000929,RIL000050,MEDINA,yes
RIV00000929,RIL000081,MELO,yes
RIV00000929,RIL000084,MENARD,yes
RIV00000929,RIL000064,MORGAN,yes
RIV00000929,RIL000059,NAUGHTON,yes
RIV00000929,RIL000087,NEWBERRY,yes
RIV00000929,RIL000063,NUNES,yes
RIV00000929,RIL000098,O'NEILL,yes
RIV00000929,RIL000054,PALUMBO,yes
RIV00000929,RIL000083,PETRARCA,yes
RIV00000929,RIL000090,PHILLIPS,yes
RIV00000929,RIL000112,RUGGIERO,yes
RIV00000929,RIL000097,SAN BENTO,yes
RIV00000929,RIL000103,SAVAGE,yes
RIV00000929,RIL000065,SERPA,yes
RIV00000929,RIL000095,SILVA,yes
RIV00000929,RIL000048,SLATER,yes
RIV00000929,RIL000072,TANZI,yes
RIV00000929,RIL000046,TARRO,yes
RIV00000929,RIL000067,TOMASSO,yes
RIV00000929,RIL000062,TRILLO,yes
RIV00000929,RIL000080,UCCI,yes
RIV00000929,RIL000077,VALENCIA,yes
RIV00000929,RIL000074,WALSH,yes
RIV00000929,RIL000047,WILLIAMS,yes
RIV00000929,,MR SPEAKER,yes
RIV00000929,RIL000073,DICKINSON,no
RIV00000929,RIL000108,EDWARDS,no
RIV00000929,RIL000107,GALLISON,no
RIV00000929,RIL000109,GORDON,no
RIV00000929,RIL000066,GUTHRIE,no
RIV00000929,RIL000106,MORRISON,no
RIV00000929,RIL000110,REILLY,no
RIV00000929,RIL000068,WATSON,no
RIV00000929,RIL000061,FLAHERTY,other
RIV00000929,RIL000101,MESSIER,other
RIV00000929,RIL000085,O'GRADY,other
RIV00000929,RIL000093,SCHADONE,other
RIV00000929,RIL000092,WINFIELD,other
RIV00000931,RIL000075,AZZINARO,yes
RIV00000931,RIL000088,BALDELLI-HUNT,yes
RIV00000931,RIL000078,CHIPPENDALE,yes
RIV00000931,RIL000069,COSTA,yes
RIV00000931,RIL000102,DASILVA,yes
RIV00000931,RIL000073,DICKINSON,yes
RIV00000931,RIL000108,EDWARDS,yes
RIV00000931,RIL000109,GORDON,yes
RIV00000931,RIL000066,GUTHRIE,yes
RIV00000931,RIL000111,JACKSON,yes
RIV00000931,RIL000055,JACQUARD,yes
RIV00000931,RIL000064,MORGAN,yes
RIV00000931,RIL000087,NEWBERRY,yes
RIV00000931,RIL000085,O'GRADY,yes
RIV00000931,RIL000054,PALUMBO,yes
RIV00000931,RIL000110,REILLY,yes
RIV00000931,RIL000112,RUGGIERO,yes
RIV00000931,RIL000103,SAVAGE,yes
RIV00000931,RIL000062,TRILLO,yes
RIV00000931,RIL000041,AJELLO,no
RIV00000931,RIL000058,BENNETT,no
RIV00000931,RIL000040,BLAZEJEWSKI,no
RIV00000931,RIL000089,BRIEN,no
RIV00000931,RIL000051,CARNEVALE,no
RIV00000931,RIL000045,CIMINI,no
RIV00000931,RIL000099,CODERRE,no
RIV00000931,RIL000094,CORVESE,no
RIV00000931,RIL000043,DESIMONE,no
RIV00000931,RIL000049,DIAZ,no
RIV00000931,RIL000070,EHRHARDT,no
RIV00000931,RIL000082,FELLELA,no
RIV00000931,RIL000060,FERRI,no
RIV00000931,RIL000107,GALLISON,no
RIV00000931,RIL000056,HANDY,no
RIV00000931,RIL000104,HEARN,no
RIV00000931,RIL000044,HULL,no
RIV00000931,RIL000100,JOHNSTON,no
RIV00000931,RIL000086,KEABLE,no
RIV00000931,RIL000076,KENNEDY,no
RIV00000931,RIL000071,LALLY,no
RIV00000931,RIL000091,MACBETH,no
RIV00000931,RIL000105,MALIK,no
RIV00000931,RIL000079,MARCELLO,no
RIV00000931,RIL000113,MARTIN,no
RIV00000931,RIL000053,MATTIELLO,no
RIV00000931,RIL000039,MCCAULEY,no
RIV00000931,RIL000096,MCLAUGHLIN,no
RIV00000931,RIL000057,MCNAMARA,no
RIV00000931,RIL000050,MEDINA,no
RIV00000931,RIL000081,MELO,no
RIV00000931,RIL000084,MENARD,no
RIV00000931,RIL000101,MESSIER,no
RIV00000931,RIL000106,MORRISON,no
RIV00000931,RIL000059,NAUGHTON,no
RIV00000931,RIL000063,NUNES,no
RIV00000931,RIL000083,PETRARCA,no
RIV00000931,RIL000090,PHILLIPS,no
RIV00000931,RIL000097,SAN BENTO,no
RIV00000931,RIL000093,SCHADONE,no
RIV00000931,RIL000065,SERPA,no
RIV00000931,RIL000095,SILVA,no
RIV00000931,RIL000048,SLATER,no
RIV00000931,RIL000072,TANZI,no
RIV00000931,RIL000046,TARRO,no
RIV00000931,RIL000067,TOMASSO,no
RIV00000931,RIL000080,UCCI,no
RIV00000931,RIL000077,VALENCIA,no
RIV00000931,RIL000074,WALSH,no
RIV00000931,RIL000068,WATSON,no
RIV00000931,RIL000047,WILLIAMS,no
RIV00000931,RIL000092,WINFIELD,no
RIV00000931,,MR SPEAKER,no
RIV00000931,RIL000061,FLAHERTY,other
RIV00000931,RIL000052,LIMA,other
RIV00000931,RIL000098,O'NEILL,other
RIV00001014,RIL000075,AZZINARO,yes
RIV00001014,RIL000088,BALDELLI-HUNT,yes
RIV00001014,RIL000078,CHIPPENDALE,yes
RIV00001014,RIL000069,COSTA,yes
RIV00001014,RIL000102,DASILVA,yes
RIV00001014,RIL000073,DICKINSON,yes
RIV00001014,RIL000108,EDWARDS,yes
RIV00001014,RIL000109,GORDON,yes
RIV00001014,RIL000066,GUTHRIE,yes
RIV00001014,RIL000100,JOHNSTON,yes
RIV00001014,RIL000052,LIMA,yes
RIV00001014,RIL000091,MACBETH,yes
RIV00001014,RIL000096,MCLAUGHLIN,yes
RIV00001014,RIL000084,MENARD,yes
RIV00001014,RIL000101,MESSIER,yes
RIV00001014,RIL000064,MORGAN,yes
RIV00001014,RIL000087,NEWBERRY,yes
RIV00001014,RIL000085,O'GRADY,yes
RIV00001014,RIL000054,PALUMBO,yes
RIV00001014,RIL000110,REILLY,yes
RIV00001014,RIL000103,SAVAGE,yes
RIV00001014,RIL000093,SCHADONE,yes
RIV00001014,RIL000062,TRILLO,yes
RIV00001014,RIL000068,WATSON,yes
RIV00001014,RIL000041,AJELLO,no
RIV00001014,RIL000058,BENNETT,no
RIV00001014,RIL000040,BLAZEJEWSKI,no
RIV00001014,RIL000089,BRIEN,no
RIV00001014,RIL000051,CARNEVALE,no
RIV00001014,RIL000045,CIMINI,no
RIV00001014,RIL000099,CODERRE,no
RIV00001014,RIL000094,CORVESE,no
RIV00001014,RIL000043,DESIMONE,no
RIV00001014,RIL000049,DIAZ,no
RIV00001014,RIL000070,EHRHARDT,no
RIV00001014,RIL000082,FELLELA,no
RIV00001014,RIL000060,FERRI,no
RIV00001014,RIL000056,HANDY,no
RIV00001014,RIL000104,HEARN,no
RIV00001014,RIL000044,HULL,no
RIV00001014,RIL000111,JACKSON,no
RIV00001014,RIL000055,JACQUARD,no
RIV00001014,RIL000086,KEABLE,no
RIV00001014,RIL000076,KENNEDY,no
RIV00001014,RIL000071,LALLY,no
RIV00001014,RIL000105,MALIK,no
RIV00001014,RIL000079,MARCELLO,no
RIV00001014,RIL000113,MARTIN,no
RIV00001014,RIL000053,MATTIELLO,no
RIV00001014,RIL000039,MCCAULEY,no
RIV00001014,RIL000057,MCNAMARA,no
RIV00001014,RIL000050,MEDINA,no
RIV00001014,RIL000081,MELO,no
RIV00001014,RIL000059,NAUGHTON,no
RIV00001014,RIL000063,NUNES,no
RIV00001014,RIL000098,O'NEILL,no
RIV00001014,RIL000083,PETRARCA,no
RIV00001014,RIL000090,PHILLIPS,no
RIV00001014,RIL000112,RUGGIERO,no
RIV00001014,RIL000097,SAN BENTO,no
RIV00001014,RIL000065,SERPA,no
RIV00001014,RIL000095,SILVA,no
RIV00001014,RIL000048,SLATER,no
RIV00001014,RIL000072,TANZI,no
RIV00001014,RIL000046,TARRO,no
RIV00001014,RIL000067,TOMASSO,no
RIV00001014,RIL000080,UCCI,no
RIV00001014,RIL000077,VALENCIA,no
RIV00001014,RIL000074,WALSH,no
RIV00001014,RIL000047,WILLIAMS,no
RIV00001014,RIL000092,WINFIELD,no
RIV00001014,,MR SPEAKER,no
RIV00001014,RIL000061,FLAHERTY,other
RIV00001014,RIL000107,GALLISON,other
RIV00001014,RIL000106,MORRISON,other
RIV00001015,RIL000041,AJELLO,yes
RIV00001015,RIL000088,BALDELLI-HUNT,yes
RIV00001015,RIL000058,BENNETT,yes
RIV00001015,RIL000040,BLAZEJEWSKI,yes
RIV00001015,RIL000089,BRIEN,yes
RIV00001015,RIL000051,CARNEVALE,yes
RIV00001015,RIL000045,CIMINI,yes
RIV00001015,RIL000099,CODERRE,yes
RIV00001015,RIL000094,CORVESE,yes
RIV00001015,RIL000043,DESIMONE,yes
RIV00001015,RIL000049,DIAZ,yes
RIV00001015,RIL000082,FELLELA,yes
RIV00001015,RIL000060,FERRI,yes
RIV00001015,RIL000056,HANDY,yes
RIV00001015,RIL000044,HULL,yes
RIV00001015,RIL000055,JACQUARD,yes
RIV00001015,RIL000100,JOHNSTON,yes
RIV00001015,RIL000086,KEABLE,yes
RIV00001015,RIL000071,LALLY,yes
RIV00001015,RIL000079,MARCELLO,yes
RIV00001015,RIL000113,MARTIN,yes
RIV00001015,RIL000053,MATTIELLO,yes
RIV00001015,RIL000039,MCCAULEY,yes
RIV00001015,RIL000057,MCNAMARA,yes
RIV00001015,RIL000050,MEDINA,yes
RIV00001015,RIL000081,MELO,yes
RIV00001015,RIL000101,MESSIER,yes
RIV00001015,RIL000059,NAUGHTON,yes
RIV00001015,RIL000063,NUNES,yes
RIV00001015,RIL000085,O'GRADY,yes
RIV00001015,RIL000098,O'NEILL,yes
RIV00001015,RIL000083,PETRARCA,yes
RIV00001015,RIL000090,PHILLIPS,yes
RIV00001015,RIL000097,SAN BENTO,yes
RIV00001015,RIL000065,SERPA,yes
RIV00001015,RIL000095,SILVA,yes
RIV00001015,RIL000048,SLATER,yes
RIV00001015,RIL000072,TANZI,yes
RIV00001015,RIL000046,TARRO,yes
RIV00001015,RIL000067,TOMASSO,yes
RIV00001015,RIL000080,UCCI,yes
RIV00001015,RIL000077,VALENCIA,yes
RIV00001015,RIL000074,WALSH,yes
RIV00001015,RIL000047,WILLIAMS,yes
RIV00001015,RIL000092,WINFIELD,yes
RIV00001015,,MR SPEAKER,yes
RIV00001015,RIL000075,AZZINARO,no
RIV00001015,RIL000078,CHIPPENDALE,no
RIV00001015,RIL000069,COSTA,no
RIV00001015,RIL000102,DASILVA,no
RIV00001015,RIL000073,DICKINSON,no
RIV00001015,RIL000108,EDWARDS,no
RIV00001015,RIL000070,EHRHARDT,no
RIV00001015,RIL000107,GALLISON,no
RIV00001015,RIL000109,GORDON,no
RIV00001015,RIL000066,GUTHRIE,no
RIV00001015,RIL000104,HEARN,no
RIV00001015,RIL000111,JACKSON,no
RIV00001015,RIL000076,KENNEDY,no
RIV00001015,RIL000052,LIMA,no
RIV00001015,RIL000091,MACBETH,no
RIV00001015,RIL000105,MALIK,no
RIV00001015,RIL000096,MCLAUGHLIN,no
RIV00001015,RIL000084,MENARD,no
RIV00001015,RIL000064,MORGAN,no
RIV00001015,RIL000106,MORRISON,no
RIV00001015,RIL000087,NEWBERRY,no
RIV00001015,RIL000054,PALUMBO,no
RIV00001015,RIL000110,REILLY,no
RIV00001015,RIL000112,RUGGIERO,no
RIV00001015,RIL000103,SAVAGE,no
RIV00001015,RIL000093,SCHADONE,no
RIV00001015,RIL000062,TRILLO,no
RIV00001015,RIL000068,WATSON,no
RIV00001015,RIL000061,FLAHERTY,other
RIV00001016,RIL000041,AJELLO,yes
RIV00001016,RIL000058,BENNETT,yes
RIV00001016,RIL000040,BLAZEJEWSKI,yes
