state,session,chamber,bill_id,type,name,leg_id
ri,2012,lower,HB 7003,primary,Kennedy,RIL000076
ri,2012,lower,HB 7003,primary,San Bento,RIL000097
ri,2012,lower,HB 7003,primary,Azzinaro,RIL000075
ri,2012,lower,HB 7003,primary,Ruggiero,RIL000112
ri,2012,lower,HB 7003,primary,Coderre,RIL000099
ri,2012,lower,HB 7005,primary,Melo,RIL000081
ri,2012,lower,HB 7005,primary,Silva,RIL000095
ri,2012,lower,HB 7005,primary,Mattiello,RIL000053
ri,2012,lower,HB 7005,primary,Gallison,RIL000107
ri,2012,lower,HB 7005,primary,San Bento,RIL000097
ri,2012,lower,HB 7006,primary,Brien,RIL000089
ri,2012,lower,HB 7006,primary,Corvese,RIL000094
ri,2012,lower,HB 7006,primary,Azzinaro,RIL000075
ri,2012,lower,HB 7006,primary,Savage,RIL000103
ri,2012,lower,HB 7006,primary,Palumbo,RIL000054
ri,2012,lower,HB 7007,primary,Gallison,RIL000107
ri,2012,lower,HB 7007,primary,Morrison,RIL000106
ri,2012,lower,HB 7008,primary,Mattiello,RIL000053
ri,2012,lower,HB 7009,primary,Brien,RIL000089
ri,2012,lower,HB 7009,primary,Corvese,RIL000094
ri,2012,lower,HB 7009,primary,Azzinaro,RIL000075
ri,2012,lower,HB 7009,primary,Savage,RIL000103
ri,2012,lower,HB 7009,primary,Palumbo,RIL000054
ri,2012,lower,HB 7010,primary,Brien,RIL000089
ri,2012,lower,HB 7010,primary,Corvese,RIL000094
ri,2012,lower,HB 7010,primary,Azzinaro,RIL000075
ri,2012,lower,HB 7010,primary,Savage,RIL000103
ri,2012,lower,HB 7010,primary,Palumbo,RIL000054
ri,2012,lower,HB 7011,primary,Nunes,RIL000063
ri,2012,lower,HB 7012,primary,Martin,RIL000113
ri,2012,lower,HB 7013,primary,Martin,RIL000113
ri,2012,lower,HB 7013,primary,Chippendale,RIL000078
ri,2012,lower,HB 7014,primary,Azzinaro,RIL000075
ri,2012,lower,HB 7015,primary,Marcello,RIL000079
ri,2012,lower,HB 7016,primary,Martin,RIL000113
ri,2012,lower,HB 7016,primary,Gallison,RIL000107
ri,2012,lower,HB 7016,primary,Mattiello,RIL000053
ri,2012,lower,HB 7017,primary,Martin,RIL000113
ri,2012,lower,HB 7017,primary,Gallison,RIL000107
ri,2012,lower,HB 7017,primary,Mattiello,RIL000053
ri,2012,lower,HB 7026,primary,Kennedy,RIL000076
ri,2012,lower,HB 7026,primary,San Bento,RIL000097
ri,2012,lower,HB 7026,primary,Marcello,RIL000079
ri,2012,lower,HB 7026,primary,Coderre,RIL000099
ri,2012,lower,HB 7026,primary,Naughton,RIL000059
ri,2012,lower,HB 7027,primary,Walsh,RIL000074
ri,2012,lower,HB 7027,primary,Handy,RIL000056
ri,2012,lower,HB 7027,primary,Tanzi,RIL000072
ri,2012,lower,HB 7027,primary,Ruggiero,RIL000112
ri,2012,lower,HB 7027,primary,Valencia,RIL000077
ri,2012,lower,HB 7028,primary,O`Grady,RIL000085
ri,2012,lower,HB 7028,primary,Bennett,RIL000058
ri,2012,lower,HB 7028,primary,Ruggiero,RIL000112
ri,2012,lower,HB 7028,primary,Walsh,RIL000074
ri,2012,lower,HB 7028,primary,Morrison,RIL000106
ri,2012,lower,HB 7029,primary,Brien,RIL000089
ri,2012,lower,HB 7029,primary,Phillips,RIL000090
ri,2012,lower,HB 7029,primary,Edwards,RIL000108
ri,2012,lower,HB 7029,primary,Baldelli-Hunt,RIL000088
ri,2012,lower,HB 7030,primary,Ajello,RIL000041
ri,2012,lower,HB 7030,primary,Walsh,RIL000074
ri,2012,lower,HB 7030,primary,Hearn,RIL000104
ri,2012,lower,HB 7030,primary,Naughton,RIL000059
ri,2012,lower,HB 7030,primary,Cimini,RIL000045
ri,2012,lower,HB 7031,primary,Edwards,RIL000108
ri,2012,lower,HB 7031,primary,Reilly,RIL000110
ri,2012,lower,HB 7032,primary,Hull,RIL000044
ri,2012,lower,HB 7032,primary,Serpa,RIL000065
ri,2012,lower,HB 7032,primary,Slater,RIL000048
ri,2012,lower,HB 7032,primary,Bennett,RIL000058
ri,2012,lower,HB 7032,primary,McLaughlin,RIL000096
ri,2012,lower,HB 7035,primary,Guthrie,RIL000066
ri,2012,lower,HB 7035,primary,Bennett,RIL000058
ri,2012,lower,HB 7035,primary,O`Grady,RIL000085
ri,2012,lower,HB 7035,primary,Johnston,RIL000100
ri,2012,lower,HB 7035,primary,Phillips,RIL000090
ri,2012,lower,HB 7036,primary,Edwards,RIL000108
ri,2012,lower,HB 7036,primary,Gallison,RIL000107
ri,2012,lower,HB 7036,primary,Reilly,RIL000110
ri,2012,lower,HB 7037,primary,Medina,RIL000050
ri,2012,lower,HB 7037,primary,Chippendale,RIL000078
ri,2012,lower,HB 7037,primary,Nunes,RIL000063
