state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
ri,2012,lower,HB 7323,RIV00001018,lower,AS AMENDED,2012-06-07 22:53:07,other,46,26,3
ri,2012,lower,HB 7323,RIV00000929,lower,PASSAGE,2012-06-07 20:45:44,other,62,8,5
ri,2012,lower,HB 7323,RIV00000931,lower,AS AMENDED,2012-06-07 20:59:08,other,19,53,3
ri,2012,lower,HB 7323,RIV00001014,lower,AS AMENDED,2012-06-07 21:30:07,other,24,48,3
ri,2012,lower,HB 7323,RIV00001015,lower,PASSAGE,2012-06-07 21:50:00,other,46,28,1
ri,2012,lower,HB 7323,RIV00001016,lower,PASSAGE,2012-06-07 21:50:18,other,44,30,1
ri,2012,lower,HB 7323,RIV00001017,lower,PASSAGE,2012-06-07 22:28:28,other,67,0,8
ri,2012,lower,HB 7323,RIV00001022,lower,AS AMENDED,2012-06-07 23:50:07,other,23,47,5
ri,2012,lower,SB 7735,RIV00000534,lower,HEALTH & SAFETY,2012-05-02 16:32:42,other,59,0,16
ri,2012,upper,SB 2198,RIV00001090,upper,Investments in Iran,2012-06-12 17:12:18,other,37,0,1
ri,2012,upper,SB 2188,RIV00000441,upper,RI Renewable Energy Coor. Bd.,2012-05-09 16:28:18,other,38,0,0
ri,2012,upper,SB 2240,RIV00000164,upper,Health and Safety - Cesspools,2012-03-07 16:37:45,other,36,0,2
ri,2012,upper,SB 2244,RIV00000061,upper,Town of North Kingstown,2012-02-09 16:41:02,other,35,0,3
ri,2012,upper,SB 2244,RIV00000062,upper,Unknown,2012-02-09 16:48:45,other,66,0,9
ri,2012,upper,SB 2247,RIV00000382,upper,Medical Licensure & Discipline,2012-05-02 16:37:58,other,36,0,2
ri,2012,upper,SB 2247,RIV00000496,upper,PASSAGE,2012-05-16 17:44:58,other,71,0,4
ri,2012,upper,SR 2212,RIV00001231,upper,Sen Res: Commission Creation,2012-06-12 21:15:56,other,38,0,0
ri,2012,upper,SB 2147,RIV00001232,upper,Criminal Offenses,2012-06-12 21:03:33,other,37,0,1
ri,2012,upper,SB 2147,RIV00000397,upper,Criminal Offenses - Assaults,2012-05-03 16:36:28,other,36,0,2
ri,2012,upper,SB 2147,RIV00001091,upper,PASSAGE,2012-06-12 18:51:00,other,66,0,9
ri,2012,upper,SB 2224,RIV00001233,upper,SOSNOWSKI            JUDICIARY,2012-06-12 20:56:34,other,37,0,1
ri,2012,upper,SB 2224,RIV00001234,upper,PASSAGE,2012-06-12 23:35:56,other,65,2,8
ri,2012,upper,SB 2192,RIV00001235,upper,PASSAGE,2012-06-13 02:13:01,other,35,0,3
ri,2012,upper,SB 2192,RIV00000305,upper,Animal & Animal Husbandry,2012-04-12 16:43:15,other,36,0,2
ri,2012,upper,SB 2192,RIV00001092,upper,PASSAGE,2012-06-11 21:12:54,other,60,0,15
ri,2012,upper,SB 2035,RIV00001093,upper,Animals & Animal Husbandry-Dog,2012-06-12 17:05:50,other,34,3,1
ri,2012,upper,SB 2035,RIV00001236,upper,PASSAGE,2012-06-12 22:58:07,other,58,6,11
ri,2012,upper,SB 2186,RIV00000660,upper,State Affairs & Government,2012-05-30 16:40:05,other,38,0,0
ri,2012,upper,SB 2186,RIV00000731,upper,PASSAGE,2012-06-05 18:52:12,other,65,4,6
ri,2012,upper,SB 2215,RIV00001237,upper,Real Property-Transfer Fees,2012-06-12 21:35:17,other,22,16,0
ri,2012,upper,SB 2215,RIV00001238,upper,PASSAGE,2012-06-12 23:37:15,other,63,0,12
ri,2012,upper,SB 2052,RIV00001239,upper,PASSAGE,2012-06-12 23:53:51,other,33,2,3
ri,2012,upper,SB 2052,RIV00000383,upper,RI Fair Housing Practices Act,2012-05-02 16:55:37,other,33,2,3
ri,2012,upper,SB 2052,RIV00001240,upper,FAIR HOUSING PRACTICES ACT,2012-06-12 22:26:24,other,59,6,10
ri,2012,upper,SB 2127,RIV00000519,upper,DiPALMA                 HEALTH,2012-05-17 16:58:14,other,37,0,1
ri,2012,upper,SB 2127,RIV00000520,upper,Food Allergy Awareness,2012-05-17 16:58:40,other,36,0,2
ri,2012,upper,SB 2127,RIV00001023,upper,AS AMENDED,2012-06-11 17:00:58,other,65,1,9
ri,2012,upper,SB 2173,RIV00000442,upper,APPROVAL of AMENDMENT,2012-05-09 16:34:32,other,37,0,1
ri,2012,upper,SB 2173,RIV00000443,upper,Health & Safety of Pupils,2012-05-09 16:35:57,other,37,0,1
ri,2012,upper,SB 2173,RIV00000580,upper,AS AMENDED,2012-05-23 16:45:54,other,67,2,6
ri,2012,upper,SB 2245,RIV00000809,upper,PASSAGE,2012-06-07 17:39:10,other,33,0,5
ri,2012,upper,SB 2245,RIV00000228,upper,APPROVAL of AMENDMENT,2012-03-27 16:39:03,other,35,0,3
ri,2012,upper,SB 2245,RIV00000229,upper,Department of State Police,2012-03-27 16:39:37,other,35,0,3
ri,2012,upper,SB 2245,RIV00000810,upper,STATE POLICE,2012-06-06 18:23:11,other,65,0,10
ri,2012,upper,SB 2015,RIV00000063,upper,PASSAGE,2012-01-24 16:23:06,other,61,0,14
ri,2012,upper,SB 2016,RIV00000064,upper,Towns & Cities - Budget Commis,2012-01-17 16:29:22,other,31,3,4
ri,2012,upper,SB 2016,RIV00000065,upper,Unknown,2012-01-17 16:50:04,other,68,2,5
ri,2012,upper,SB 2120,RIV00000552,upper,Exemption for Artists-Tiverton,2012-05-22 16:57:07,other,36,0,2
ri,2012,upper,SB 2089,RIV00000732,upper,Taxation - West Greenwich,2012-06-05 18:03:52,other,36,0,2
ri,2012,upper,SB 2089,RIV00000811,upper,PASSAGE,2012-06-06 19:16:16,other,70,0,5
ri,2012,upper,SB 2086,RIV00001241,upper,PASSAGE,2012-06-13 01:30:18,other,35,0,3
ri,2012,upper,SB 2086,RIV00000693,upper,City of Warwick - Sewer Auth,2012-05-31 16:46:57,other,35,0,3
ri,2012,upper,SB 2086,RIV00000812,upper,PASSAGE,2012-06-06 18:06:38,other,49,19,7
ri,2012,upper,SB 2083,RIV00000813,upper,Proper Mgmt of Unused Paint,2012-06-06 16:51:47,other,31,7,0
ri,2012,upper,SB 2083,RIV00001024,upper,PASSAGE,2012-06-11 16:35:41,other,60,10,5
ri,2012,upper,SB 2241,RIV00001094,upper,Excise on Motor Vehicles & Trl,2012-06-12 17:13:29,other,37,0,1
ri,2012,upper,SB 2241,RIV00001242,upper,PASSAGE,2012-06-12 22:56:21,other,64,1,10
ri,2012,upper,SB 2204,RIV00000521,upper,SOSNOWSKI               HEALTH,2012-05-17 17:08:29,other,31,4,3
ri,2012,upper,SB 2061,RIV00000165,upper,DNA - Sexual & Violent Crimes,2012-03-06 16:29:42,other,34,1,3
ri,2012,upper,SB 2129,RIV00000375,upper,Relating to Insurance,2012-05-01 16:39:56,other,38,0,0
ri,2012,upper,SB 2129,RIV00000814,upper,PASSAGE,2012-06-06 19:00:00,other,63,3,9
ri,2012,upper,SB 2034,RIV00000815,upper,PASSAGE,2012-06-07 17:37:33,other,34,1,3
ri,2012,upper,SB 2034,RIV00000444,upper,Animal Advocate,2012-05-09 16:27:34,other,37,1,0
ri,2012,upper,SB 2034,RIV00000733,upper,ANIMAL ADVOCATE,2012-06-05 18:49:54,other,67,2,6
ri,2012,upper,SR 2169,RIV00000066,upper,PASSAGE,2012-01-31 17:24:10,other,60,0,15
ri,2012,upper,SB 2130,RIV00000734,upper,PASSAGE,2012-06-05 18:25:38,other,32,1,5
ri,2012,upper,SB 2130,RIV00000258,upper,Relating to Public Buildings,2012-04-03 16:33:00,other,35,1,2
