state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
ri,2012,lower,HB 7003,"AN ACT RELATING TO COMMERCIAL LAW - GENERAL REGULATORY PROVISIONS - DECEPTIVE TRADE PRACTICES (would give the AG supplemental jurisdiction under the deceptive trade practices act where the regulatory agency does not have the authority to award a consumer reimbursement, restitution or compensation with respect to a consumer's claim.)",2012-02-10 01:13:21.968000,2012-09-10 16:52:05.675000,bill,Commerce|State Agencies|Legal Issues
ri,2012,lower,HB 7005,AN ACT RELATING TO TOWNS AND CITIES -- BUDGET COMMISSIONS (would authorize a Budget Commission established under Title 45 of the  General Laws to certify to the Dept. of Revenue the need to advance payments of the state's basic education program.),2012-02-10 01:13:21.982000,2012-09-10 16:52:05.682000,bill,State Agencies|Municipal and County Issues
ri,2012,lower,HB 7006,AN ACT RELATING TO HEALTH AND SAFETY -- UNBORN VICTIMS OF VIOLENCE ACT (would define and impose penalties for acts of violence upon an unborn child.),2012-02-10 01:13:21.994000,2012-09-10 16:52:05.687000,bill,Civil Librties and Civil Rights|Health|Legal Issues|Family and Children Issues|Crime
ri,2012,lower,HB 7007,"AN ACT RELATING TO SOLEMNIZATION OF MARRIAGES (the Honorable Raymond B. Mars to join Jennifer Teresa Mars and Nathan Christopher Oliveira in marriage within the City of Newport, Rhode Island, on or about June 21, 2012.)",2012-02-10 01:13:22.027000,2012-09-10 16:52:05.698000,bill,Family and Children Issues
ri,2012,lower,HB 7008,"AN ACT RELATING TO SOLEMNIZATION OF MARRIAGES (would allow Ronald J. Provencal to join Gabrielle Provencal and Sean Vickers in marriage within the Town of Narragansett, Rhode Island, on or about June 24, 2012)",2012-02-10 01:13:22.041000,2012-09-10 16:52:05.708000,bill,Family and Children Issues
ri,2012,lower,HB 7009,"AN ACT RELATING TO HEALTH AND SAFETY -- ABORTION (would prohibit any woman from being forced to have an abortion against her will, and would provide a cause of action in tort for the wrongful death of the unborn child)",2012-02-10 01:13:22.053000,2012-09-10 16:52:05.714000,bill,Civil Librties and Civil Rights|Resolutions|Health|Family and Children Issues
ri,2012,lower,HB 7010,"AN ACT RELATING TO CRIMINAL OFFENSES (would make assault on a pregnant woman which causes her to suffer a miscarriage or stillbirth punishable by up to thirty years imprisonment, and life imprisonment if the fetus is 12 weeks or older.)",2012-02-10 01:13:21.523000,2012-09-10 16:52:05.371000,bill,Civil Librties and Civil Rights|Judiciary|Legal Issues|Family and Children Issues|Crime
ri,2012,lower,HB 7011,"AN ACT RELATING TO SOLEMNIZATION OF MARRIAGES (would allow John M. Shedlock to join Ashley Lynn Peck and Jesse Allen Valliere in marriage on or about May 11, 2012, within the Town of Bristol, Rhode Island.)",2012-02-10 01:13:21.511000,2012-09-10 16:52:05.366000,bill,Family and Children Issues
ri,2012,lower,HB 7012,"AN ACT RELATING TO SOLEMNIZATION OF MARRIAGES (would allow Louis X. Mineau to join Michael L. Mineau and Nicole M. Roussell in marriage on or about August 12, 2012, within the City of Newport, Rhode Island.)",2012-02-10 01:13:21.498000,2012-09-10 16:52:05.361000,bill,Family and Children Issues
ri,2012,lower,HB 7013,AN ACT RELATING TO MOTOR AND OTHER VEHICLES -- REGISTRATION OF VEHICLES (would allow members of GA to retain his/her private registration plates & would allow him/her to display either set of plates upon a properly registered motor vehicle owned by him/her.),2012-02-10 01:13:21.476000,2012-09-10 16:52:05.355000,bill,Transportation|Legislative Affairs
ri,2012,lower,HB 7014,AN ACT RELATING TO THE RETIREMENT OF POLICE OFFICERS IN THE TOWN OF WESTERLY (would eliminate mandatory retirement of the chief of police in the town of Westerly.),2012-02-10 01:13:21.582000,2012-09-10 16:52:05.409000,bill,Senior Issues|Municipal and County Issues
ri,2012,lower,HB 7015,AN ACT RELATING TO TAXATION - PROPERTY SUBJECT TO TAXATION (would provide that any exemption or freeze of tax rate and/or valuation granted to any individual is not affected if such eligible individual transfers the subject property to an irrevocable living trust.),2012-02-10 01:13:21.565000,2012-09-10 16:52:05.395000,bill,"Housing and Property|Budget, Spending and Taxes"
ri,2012,lower,HB 7016,AN ACT RELATING TO MOTOR VEHICLE OPERATOR LICENSES - VETERANS (would direct the administrator of the DMV to issue operators' licenses with a designation that the holder is a veteran. A fee shall be paid to the division of motor vehicles for the veteran designation.),2012-02-10 01:13:20.750000,2012-09-10 16:52:05.232000,bill,Business and Consumers|Transportation
ri,2012,lower,HB 7017,AN ACT RELATING TO MOTOR AND OTHER VEHICLES - OPERATOR'S AND CHAFFEUR'S LICENSES - VETERAN DESIGNATION (would permit a notation on RI motor vehicle operator's licenses indicating the holder is a veteran. A fee shall be paid to the division of motor vehicles for the veteran's designation.),2012-02-10 01:13:21.167000,2012-09-10 16:52:05.161000,bill,Business and Consumers|Transportation
ri,2012,lower,HB 7026,AN ACT RELATING TO INSURANCE -- MOTOR VEHICLE DAMAGE APPRAISERS (would permit the insurance commissioner to grant emergency licenses to permit certain experienced motor vehicle appraisers to act as motor vehicle physical damage appraisers during periods of emergency.),2012-02-10 01:13:19.426000,2012-09-10 16:52:03.792000,bill,Business and Consumers|Transportation|Insurance
ri,2012,lower,HB 7027,"AN ACT CREATING A SPECIAL HOUSE COMMISSION TO STUDY PRODUCER RESPONSIBILITY MODELS FOR PAPER AND PACKAGING (would create a study commission whose purpose it would be to study producer responsibility models for paper and packaging, and who would report back to the House no later than 1/17/13.)",2012-02-10 01:13:22.376000,2012-09-10 16:52:05.973000,bill,Resolutions|Legislative Affairs
