id,state,chamber,committee,subcommittee,parent_id
RIC000011,ri,joint,Legislative Services,,
RIC000012,ri,joint,Healthcare Oversight,,
RIC000013,ri,joint,Housing Act Oversight,,
RIC000014,ri,joint,Economic Development,,
RIC000015,ri,joint,Education Foundation Aid,,
RIC000016,ri,joint,State Lottery,,
RIC000017,ri,lower,Finance,,
RIC000019,ri,lower,Judiciary,,
RIC000021,ri,lower,Labor,,
RIC000023,ri,lower,Separation of Powers,,
RIC000025,ri,lower,Environment and Natural Resources,,
RIC000026,ri,lower,Constituent Services,,
RIC000027,ri,lower,Municipal Government,,
RIC000018,ri,lower,Corporations,,
RIC000020,ri,lower,"Health, Education and Welfare",,
RIC000022,ri,lower,Rules,,
RIC000024,ri,lower,Veterans' Affairs,,
RIC000030,ri,lower,Small Business,,
RIC000029,ri,lower,Oversight,,
RIC000001,ri,upper,Housing and Municipal Government,,
RIC000005,ri,upper,Corporations,,
RIC000010,ri,upper,Rules,,
RIC000028,ri,upper,Special Legislation and Veterans' Affairs,,
RIC000002,ri,upper,Education,,
RIC000003,ri,upper,Environment and Agriculture,,
RIC000004,ri,upper,Finance,,
RIC000006,ri,upper,Government Oversight,,
RIC000007,ri,upper,Health and Human Services,,
RIC000009,ri,upper,Labor,,
RIC000008,ri,upper,Judiciary,,
