leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
RIL000003,member,2012,3,upper,ri,Democratic,,,,,
RIL000003,committee member,2012,,upper,ri,,RIC000007,Health and Human Services,,,
RIL000003,committee member,2012,,upper,ri,,RIC000008,Judiciary,,,
RIL000003,committee member,2012,,joint,ri,,RIC000012,Healthcare Oversight,,,
RIL000003,committee member,2012,,joint,ri,,RIC000015,Education Foundation Aid,,,
RIL000009,member,2012,9,upper,ri,Democratic,,,,,
RIL000009,committee member,2012,,upper,ri,,RIC000001,Housing and Municipal Government,,,
RIL000009,committee member,2012,,upper,ri,,RIC000006,Government Oversight,,,
RIL000018,member,2012,18,upper,ri,Democratic,,,,,
RIL000018,committee member,2012,,upper,ri,,RIC000001,Housing and Municipal Government,,,
RIL000018,committee member,2012,,upper,ri,,RIC000002,Education,,,
RIL000019,member,2012,19,upper,ri,Republican,,,,,
RIL000019,committee member,2012,,upper,ri,,RIC000005,Corporations,,,
RIL000019,committee member,2012,,upper,ri,,RIC000007,Health and Human Services,,,
RIL000022,member,2012,22,upper,ri,Democratic,,,,,
RIL000022,committee member,2012,,upper,ri,,RIC000001,Housing and Municipal Government,,,
RIL000022,committee member,2012,,upper,ri,,RIC000028,Special Legislation and Veterans' Affairs,,,
RIL000022,committee member,2012,,joint,ri,,RIC000013,Housing Act Oversight,,,
RIL000026,member,2012,26,upper,ri,Democratic,,,,,
RIL000026,committee member,2012,,upper,ri,,RIC000002,Education,,,
RIL000026,committee member,2012,,upper,ri,,RIC000005,Corporations,,,
RIL000026,committee member,2012,,upper,ri,,RIC000010,Rules,,,
RIL000033,member,2012,33,upper,ri,Republican,,,,,
RIL000033,committee member,2012,,upper,ri,,RIC000002,Education,,,
RIL000033,committee member,2012,,upper,ri,,RIC000008,Judiciary,,,
RIL000034,member,2012,34,upper,ri,Republican,,,,,
RIL000034,committee member,2012,,upper,ri,,RIC000001,Housing and Municipal Government,,,
RIL000034,committee member,2012,,upper,ri,,RIC000006,Government Oversight,,,
