state,session,chamber,bill_id,date,action,actor,type
sc,119,lower,H 3000,2010-11-17 00:00:00,Introduced and adopted,lower,bill:introduced|bill:passed
sc,119,lower,H 3001,2010-11-17 00:00:00,Introduced and adopted,lower,bill:introduced|bill:passed
sc,119,lower,H 3002,2010-12-07 00:00:00,Prefiled,lower,bill:filed
sc,119,lower,H 3002,2010-12-07 00:00:00,Referred to Committee on Ways and Means,lower,committee:referred
sc,119,lower,H 3002,2011-01-11 00:00:00,Introduced and read first time,lower,bill:introduced|bill:reading:1
sc,119,lower,H 3002,2011-01-11 00:00:00,Referred to Committee on Ways and Means,lower,committee:referred
sc,119,lower,H 3002,2011-01-19 00:00:00,Member(s) request name added as sponsor: Harrell,lower,other
sc,119,lower,H 3002,2011-01-20 00:00:00,Member(s) request name added as sponsor: D.C.Moss,lower,other
sc,119,lower,H 3002,2011-01-26 00:00:00,"Member(s) request name added as sponsor: White, Gambrell",lower,other
sc,119,lower,H 3002,2011-01-27 00:00:00,Member(s) request name added as sponsor: Sandifer,lower,other
sc,119,lower,H 3002,2011-02-02 00:00:00,"Member(s) request name added as sponsor: Bingham, Cobb-Hunter",lower,other
sc,119,lower,H 3002,2011-02-15 00:00:00,Member(s) request name added as sponsor: Agnew,lower,other
sc,119,lower,H 3003,2010-12-07 00:00:00,Prefiled,lower,bill:filed
sc,119,lower,H 3003,2010-12-07 00:00:00,Referred to Committee on Judiciary,lower,committee:referred
sc,119,lower,H 3003,2011-01-11 00:00:00,Introduced and read first time,lower,bill:introduced|bill:reading:1
sc,119,lower,H 3003,2011-01-11 00:00:00,Referred to Committee on Judiciary,lower,committee:referred
sc,119,lower,H 3003,2011-01-12 00:00:00,Member(s) request name added as sponsor: Atwater,lower,other
sc,119,lower,H 3003,2011-01-18 00:00:00,"Member(s) request name added as sponsor: Henderson, Quinn, Tallon, Patrick, J.R.Smith, Hixon, Taylor, Young, Bedingfield, Corbin, Pitts, Chumley, Spires, Pope, Bikas, Pinson",lower,other
sc,119,lower,H 3003,2011-01-19 00:00:00,Committee report: Favorable with amendment Judiciary,lower,committee:passed:favorable
sc,119,lower,H 3003,2011-01-20 00:00:00,Member(s) request name added as sponsor: D.C.Moss,lower,other
sc,119,lower,H 3003,2011-01-25 00:00:00,"Member(s) request name added as sponsor: Erickson, Willis",lower,other
sc,119,lower,H 3003,2011-01-25 00:00:00,Objection by Rep. Cobb-Hunter and Sellers,lower,other
sc,119,lower,H 3003,2011-01-25 00:00:00,"Requests for debate-Rep(s). Clemmons, Crawford, JE Smith, Hart, Govan, McEachern, Erickson, Brantley, King, Jefferson, Munnerlyn, Forrester, Parker, Allison, Mack, Mitchell, Bikas, DC Moss, JR Smith, Hixon, Taylor, Young, RL Brown, GA Brown, Anderson, Clyburn, Hosey, Brannon, Hayes, Battle, Gilliard, McCoy, Stringer, Sandifer, Whitmire, VS Moss, Nanney, Bedinfield, Henderson, Allen, Hearn, Dillard, Corbin, Hardwick, Loftis, Pope, Whipper, Ott, and Vick",lower,other
sc,119,lower,H 3003,2011-01-26 00:00:00,"Member(s) request name added as sponsor: Brady, Herbkersman, Nanney, Brannon, Whitmire",lower,other
sc,119,lower,H 3003,2011-01-26 00:00:00,Amended,lower,amendment:passed
sc,119,lower,H 3003,2011-01-26 00:00:00,Read second time,lower,bill:reading:2
sc,119,lower,H 3003,2011-01-26 00:00:00,Roll call Yeas-74  Nays-45,lower,other
sc,119,lower,H 3003,2011-01-27 00:00:00,Read third time and sent to Senate,lower,bill:passed|bill:reading:3
sc,119,lower,H 3003,2011-01-27 00:00:00,Introduced and read first time,upper,bill:introduced|bill:reading:1
sc,119,lower,H 3003,2011-01-27 00:00:00,Referred to Committee on Judiciary,upper,committee:referred
sc,119,lower,H 3003,2011-02-03 00:00:00,Scrivener's error corrected,other,other
sc,119,lower,H 3003,2011-02-08 00:00:00,Motion For Special Order Failed,upper,other
sc,119,lower,H 3003,2011-02-08 00:00:00,Roll call Ayes-25  Nays-15,upper,other
sc,119,lower,H 3003,2011-02-09 00:00:00,Motion For Special Order Failed,upper,other
sc,119,lower,H 3003,2011-02-09 00:00:00,Roll call Ayes-26  Nays-14,upper,other
sc,119,lower,H 3003,2011-02-10 00:00:00,"Special order, set for February 10, 2011",upper,other
sc,119,lower,H 3003,2011-02-10 00:00:00,Roll call Ayes-26  Nays-17,upper,other
sc,119,lower,H 3003,2011-02-15 00:00:00,Debate interrupted,upper,other
sc,119,lower,H 3003,2011-02-16 00:00:00,Debate interrupted,upper,other
sc,119,lower,H 3003,2011-02-17 00:00:00,Debate interrupted,upper,other
sc,119,lower,H 3003,2011-02-22 00:00:00,Debate interrupted,upper,other
sc,119,lower,H 3003,2011-02-23 00:00:00,Committee Amendment Amended and Adopted,upper,amendment:passed|amendment:amended
sc,119,lower,H 3003,2011-02-23 00:00:00,Read second time,upper,bill:reading:2
sc,119,lower,H 3003,2011-02-23 00:00:00,Roll call Ayes-26  Nays-15,upper,other
sc,119,lower,H 3003,2011-02-24 00:00:00,Scrivener's error corrected,other,other
sc,119,lower,H 3003,2011-02-24 00:00:00,Read third time and returned to House with amendments,upper,bill:passed|bill:reading:3
sc,119,lower,H 3003,2011-02-24 00:00:00,Roll call Ayes-24  Nays-15,upper,other
sc,119,lower,H 3003,2011-02-24 00:00:00,Scrivener's error corrected,other,other
sc,119,lower,H 3003,2011-02-25 00:00:00,Scrivener's error corrected,other,other
sc,119,lower,H 3003,2011-03-02 00:00:00,"Debate adjourned until Thursday, March 3, 2011",lower,other
sc,119,lower,H 3003,2011-03-03 00:00:00,"Debate adjourned until Tuesday, March 8, 2011",lower,other
sc,119,lower,H 3003,2011-03-08 00:00:00,"Debate adjourned until Wednesday, March 9, 2011",lower,other
sc,119,lower,H 3003,2011-03-09 00:00:00,Debate adjourned on amendments,lower,other
sc,119,lower,H 3003,2011-03-10 00:00:00,Debate adjourned on amendments,lower,other
sc,119,lower,H 3003,2011-03-29 00:00:00,"Debate adjourned on Senate amendments until Wednesday, March 30, 2011",lower,other
sc,119,lower,H 3003,2011-03-30 00:00:00,"Debate adjourned on Senate amendments until Thursday, March 31, 2011",lower,other
