state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
sc,119,upper,S 36,SCV00000258,upper,Motion to Waive Provisions of Rule 32C,2011-05-24 10:52:00,other,31,14,1
sc,119,upper,S 255,SCV00000314,upper,to lay on the table ,2011-02-02 03:18:00,other,13,31,1
sc,119,lower,H 4813,SCV00001889,upper,to lay on the table ,2012-05-16 04:40:00,other,20,20,5
sc,119,lower,H 4813,SCV00002479,upper,"to override Veto 48 - GAB, Univ. of Chas. - Interactive Digital Tech. Pilot Project",2012-07-18 05:33:00,other,36,6,3
sc,119,lower,H 4813,SCV00002480,upper,"to override Veto 52 - GAB, DHEC - Kidney Disease Early Evacuation/Risk Assessment Ed.",2012-07-18 05:25:00,other,38,4,3
sc,119,lower,H 4813,SCV00002505,upper,"to override Veto 7 - GAB, Dept. of Ed. - Teacher Retention",2012-07-18 02:08:00,other,41,2,2
sc,119,lower,H 4813,SCV00002474,upper,"to override Veto 60 - GAB, John de la Howe School, Info. Tech. Upgrade",2012-07-18 05:55:00,other,37,5,3
sc,119,lower,H 4813,SCV00001928,upper,to lay on the table ,2012-05-23 02:48:00,other,23,18,4
sc,119,lower,H 4813,SCV00001929,upper,to lay on the table ,2012-05-23 02:28:00,other,24,17,4
sc,119,lower,H 4813,SCV00001888,upper,to lay on the table ,2012-05-16 06:01:00,other,18,21,6
sc,119,lower,H 4813,SCV00001890,upper,to lay on the table ,2012-05-16 03:46:00,other,29,13,3
sc,119,lower,H 4813,SCV00001891,upper,to lay on the table ,2012-05-16 02:29:00,other,35,5,5
sc,119,lower,H 4813,SCV00001869,upper,to lay on the table ,2012-05-15 03:58:00,other,34,4,7
sc,119,upper,S 36,SCV00000253,upper,to lay on the table ,2011-05-25 07:13:00,other,25,11,10
sc,119,upper,S 36,SCV00000255,upper,to lay on the table ,2011-05-25 05:28:00,other,29,14,3
sc,119,upper,S 36,SCV00000257,upper,to adopt  ,2011-05-25 04:00:00,other,43,0,3
sc,119,lower,H 4813,SCV00001951,upper,"Sect. 50, Pt. 1A-1B (Law Enforcement Training Council)",2012-05-24 06:15:00,other,36,1,8
sc,119,lower,H 4813,SCV00001966,upper,"Sect. 59, Pt. 1A,1B (State Accident Fund)",2012-05-24 06:15:00,other,32,2,11
sc,119,lower,H 4813,SCV00002025,upper,"Sect. 2, Pt. 1A-1B (Lottery Expenditure Acct.)",2012-05-24 03:24:00,other,31,7,7
sc,119,lower,H 4813,SCV00002026,upper,"Sec. 1, 1A ,1B, Pts 1A-1B (Dept. of Education)",2012-05-24 03:13:00,other,34,5,6
sc,119,lower,H 4813,SCV00002029,upper,to lay on the table ,2012-05-24 02:57:00,other,16,23,6
sc,119,lower,H 4813,SCV00002030,upper,to lay on the table ,2012-05-24 01:41:00,other,6,32,7
sc,119,lower,H 4813,SCV00002032,upper,to adopt  ,2012-05-24 11:23:00,other,25,13,7
