state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
sc,119,lower,H 3000,A HOUSE RESOLUTION TO PROVIDE A PROCEDURE FOR ALLOTTING SEATS TO MEMBERS OF THE HOUSE OF REPRESENTATIVES FOR THE 2011 AND 2012 SESSIONS OF THE GENERAL ASSEMBLY.,2011-11-14 21:06:38.936000,2012-08-22 06:08:13.641000,resolution,
sc,119,lower,H 3001,A HOUSE RESOLUTION TO ADOPT THE RULES OF THE HOUSE OF REPRESENTATIVES FOR THE 2011 AND 2012 SESSIONS OF THE GENERAL ASSEMBLY.,2011-11-14 21:06:38.947000,2012-08-22 06:08:13.644000,resolution,
sc,119,lower,H 3002,"A BILL TO AMEND CHAPTER 20, TITLE 59, CODE OF LAWS OF SOUTH CAROLINA, 1976, RELATING TO THE EDUCATION FINANCE ACT OF 1977, SO AS TO ENACT ""THE EDUCATION FINANCE ACT OF 2011"".",2011-11-14 21:06:33.132000,2012-08-22 06:08:07.096000,bill,Education
sc,119,lower,H 3003,"AN ACT TO AMEND SECTION 7-1-25, CODE OF LAWS OF SOUTH CAROLINA, 1976, RELATING TO THE DEFINITION OF ""DOMICILE"", SO AS TO PROVIDE FACTORS TO CONSIDER IN DETERMINING A PERSON'S INTENTION REGARDING HIS DOMICILE FOR VOTING PURPOSES; TO AMEND SECTION 7-5-125, RELATING TO WRITTEN NOTIFICATION OF REGISTRATION, SO AS TO PROVIDE THAT IF AN ELECTOR LOSES OR DEFACES HIS REGISTRATION NOTIFICATION, HE MAY OBTAIN A DUPLICATE NOTIFICATION FROM HIS COUNTY BOARD OF REGISTRATION; TO AMEND SECTION 7-5-230, AS AMENDED, RELATING TO LEGAL QUALIFICATIONS OF APPLICANTS FOR REGISTRATION AND CHALLENGES OF QUALIFICATIONS, SO AS TO REVISE WHAT THE BOARD OF REGISTRATION MUST CONSIDER WHEN A CHALLENGE IS MADE REGARDING RESIDENCE OR DOMICILE OF AN ELECTOR; BY ADDING SECTION 7-5-675 SO AS TO PROVIDE THAT THE STATE ELECTION COMMISSION SHALL IMPLEMENT A SYSTEM TO ISSUE VOTER REGISTRATION CARDS WITH A PHOTOGRAPH OF THE ELECTOR, AND TO PROVIDE WHEN THE PROVISIONS OF THIS SECTION TAKE EFFECT INCLUDING A REQUIREMENT THAT IMPLEMENTATION IS CONTINGENT ON FUNDING TO IMPLEMENT THIS REQUIREMENT; TO AMEND SECTION 7-13-710, AS AMENDED, RELATING TO PROOF OF THE RIGHT TO VOTE, SO AS TO REQUIRE CERTAIN PHOTOGRAPH IDENTIFICATION IN ORDER TO VOTE, TO PROVIDE THAT ONE OF THE POLL MANAGERS SHALL COMPARE THE PHOTOGRAPH CONTAINED ON THE REQUIRED IDENTIFICATION WITH THE PERSON PRESENTING HIMSELF TO VOTE AND SHALL VERIFY THAT THE PHOTOGRAPH IS THAT OF THE PERSON SEEKING TO VOTE, TO PERMIT PROVISIONAL BALLOTS IF THE PHOTOGRAPH IDENTIFICATION CANNOT BE PRODUCED OR IF THE POLL MANAGER DISPUTES THE PHOTOGRAPH, TO PROVIDE EXCEPTIONS FOR A RELIGIOUS OBJECTION TO BEING PHOTOGRAPHED OR IF THE ELECTOR SUFFERS FROM A REASONABLE IMPAIRMENT THAT PREVENTS HIM FROM OBTAINING PHOTOGRAPH IDENTIFICATION, TO PERMIT THE CASTING OF A PROVISIONAL BALLOT IN THESE CASES UPON SPECIFIC REQUIREMENTS INCLUDING AN AFFIDAVIT, TO PROVIDE FOR THE MANNER IN WHICH THE COUNTY BOARD OF REGISTRATION AND ELECTIONS SHALL PROCESS THESE PROVISIONAL BALLOTS, AND TO PROVIDE THAT THE IDENTIFICATION REQUIRED ABOVE IS FOR THE PURPOSE OF CONFIRMING THE IDENTITY OF THE ELECTOR AND TO PROVIDE FOR THE MANNER IN WHICH THE ELECTOR'S DOMICILE SHALL BE DETERMINED FOR PURPOSES OF VOTING; TO AMEND SECTION 56-1-3350, AS AMENDED, RELATING TO SPECIAL IDENTIFICATION CARDS ISSUED BY THE DEPARTMENT OF MOTOR VEHICLES TO RESIDENTS OF THIS STATE TEN YEARS OF AGE OR OLDER, SO AS TO REDUCE THIS AGE TO FIVE YEARS OF AGE OR OLDER, TO PROVIDE THAT THESE CARDS MUST BE ISSUED FREE OF CHARGE TO PERSONS SEVENTEEN YEARS OF AGE AND OLDER AND FOR THE FEE TO BE CHARGED TO PERSONS BETWEEN THE AGES OF FIVE AND SIXTEEN, TO DELETE LANGUAGE OF THE SECTION RELATING TO RENEWAL FEES AND WAIVER OF FEES, AND TO REVISE PROVISIONS OF THE SECTION PERTAINING TO USE OF THE FEES COLLECTED; TO PROVIDE THAT THE STATE ELECTION COMMISSION SHALL ESTABLISH AN AGGRESSIVE VOTER EDUCATION PROGRAM CONCERNING THE PROVISIONS OF THIS ACT TO EDUCATE THE PUBLIC IN CERTAIN PARTICULARS OF THIS ACT AND THE COMMISSION ALSO MAY IMPLEMENT ADDITIONAL EDUCATIONAL PROGRAMS IN ITS DISCRETION; TO PROVIDE THAT THE STATE ELECTION COMMISSION IS DIRECTED TO CREATE A LIST CONTAINING ALL REGISTERED VOTERS OF SOUTH CAROLINA WHO ARE OTHERWISE QUALIFIED TO VOTE BUT DO NOT HAVE A SOUTH CAROLINA DRIVER'S LICENSE OR OTHER FORM OF IDENTIFICATION CONTAINING A PHOTOGRAPH ISSUED BY THE DEPARTMENT OF MOTOR VEHICLES AS OF DECEMBER 1, 2011, AND TO PROVIDE THAT THE DEPARTMENT OF MOTOR VEHICLES MUST PROVIDE THE LIST OF PERSONS WITH A SOUTH CAROLINA DRIVER'S LICENSE OR OTHER FORM OF IDENTIFICATION CONTAINING A PHOTOGRAPH ISSUED BY THE DEPARTMENT OF MOTOR VEHICLES AT NO COST TO THE COMMISSION. - ratified title",2011-11-14 21:06:33.300000,2012-09-14 05:11:14.870000,bill,
sc,119,lower,H 3004,"AN ACT TO ENACT THE ""SPENDING ACCOUNTABILITY ACT OF 2011""; AND TO AMEND THE CODE OF LAWS OF SOUTH CAROLINA, 1976, BY ADDING SECTION 2-7-125 SO AS TO REQUIRE CERTAIN BILLS AND JOINT RESOLUTIONS TO RECEIVE A RECORDED ROLL CALL VOTE AT VARIOUS STAGES OF THEIR PASSAGE BY THE HOUSE OF REPRESENTATIVES AND THE SENATE. - ratified title",2011-11-14 21:06:33.376000,2012-08-30 06:41:38.055000,bill,
sc,119,lower,H 3005,"A BILL TO AMEND THE CODE OF LAWS OF SOUTH CAROLINA, 1976, BY ADDING SECTION 8-13-1343 SO AS TO PROHIBIT A MEMBER OR CANDIDATE FOR A BOARD OR COMMISSION ELECTED OR APPOINTED BY THE GENERAL ASSEMBLY, OR A HOUSE OF IT, FROM MAKING A CONTRIBUTION TO A MEMBER OF THE GENERAL ASSEMBLY, A MEMBER OF THE CANDIDATE'S IMMEDIATE FAMILY, A BUSINESS, OR INDIVIDUAL WITH WHOM HE IS ASSOCIATED, AND TO MAKE A MEMBER OR CANDIDATE INELIGIBLE FOR ELECTION OR APPOINTMENT UNDER CERTAIN CONDITIONS.",2011-11-14 21:06:33.433000,2012-08-22 06:08:08.934000,bill,Campaign Finance and Election Issues|Legislative Affairs
sc,119,lower,H 3006,"A JOINT RESOLUTION PROPOSING AN AMENDMENT TO SECTION 7, ARTICLE III, OF THE CONSTITUTION OF SOUTH CAROLINA, 1895, RELATING TO THE QUALIFICATIONS OF SENATORS AND MEMBERS OF THE HOUSE OF REPRESENTATIVES, SO AS TO AUTHORIZE THE GENERAL ASSEMBLY TO ENACT TERM LIMITATIONS FOR ITS MEMBERS BY LAW.",2011-11-14 21:06:33.446000,2012-08-22 06:08:08.946000,joint resolution,Campaign Finance and Election Issues|Legal Issues|Legislative Affairs
sc,119,lower,H 3007,"A BILL TO AMEND THE CODE OF LAWS OF SOUTH CAROLINA, 1976, BY ADDING SECTION 2-1-190 SO AS TO PROVIDE THAT A PERSON IS NOT ELIGIBLE FOR ELECTION TO THE HOUSE OF REPRESENTATIVES IF THAT PERSON HAS SERVED SIX TERMS IN THE SAME BODY, TO PROVIDE THAT A PERSON IS NOT ELIGIBLE FOR ELECTION TO THE SENATE IF THAT PERSON HAS SERVED FOUR TERMS IN THE SAME BODY, AND TO PROVIDE THAT A TERM SERVED FOR WHICH THE ELECTION WAS HELD BEFORE JANUARY 1, 2011, MAY NOT BE COUNTED AS A TERM SERVED.",2011-11-14 21:06:33.459000,2012-08-22 06:08:08.949000,bill,Legislative Affairs
sc,119,lower,H 3008,"A JOINT RESOLUTION PROPOSING AN AMENDMENT TO THE CONSTITUTION OF SOUTH CAROLINA, 1895, BY ADDING SECTION 1B TO ARTICLE III SO AS TO ESTABLISH A SPECIFIED PROCEDURE FOR THE ENACTMENT OR REPEAL OF LAWS BY INITIATIVE PETITION AND REFERENDUM AND TO PROVIDE EXCEPTIONS; AND BY ADDING SECTION 4 TO ARTICLE XVI SO AS TO REQUIRE THE GENERAL ASSEMBLY BY LAW TO PROVIDE A PROCEDURE WHEREBY AMENDMENTS TO THIS CONSTITUTION MAY BE PROPOSED BY AN INITIATIVE PETITION SIGNED BY THE QUALIFIED ELECTORS OF THIS STATE AND ENACTED BY REFERENDUM; TO PROVIDE THE NUMBER OF SIGNATURES REQUIRED AND THE TIME PERIOD OVER WHICH THE SIGNATURES MUST BE COLLECTED; TO REQUIRE IN AN INITIATIVE THE AMOUNT AND SOURCE OF REVENUE FOR IMPLEMENTATION; TO PROVIDE THOSE MATTERS WHICH MAY NOT BE THE SUBJECT OF AN INITIATIVE PETITION; TO REQUIRE A CERTIFIED INITIATIVE TO BE FILED WITH EACH BRANCH OF THE GENERAL ASSEMBLY, WHICH BY MAJORITY VOTE MAY ADOPT, AMEND, OR REJECT THE INITIATIVE, WHICH THEN GOES ON THE BALLOT TOGETHER WITH ANY ALTERNATIVE PROPOSAL BY THE GENERAL ASSEMBLY; TO PROVIDE THAT THE INITIATIVE GOES ON THE BALLOT IF THE GENERAL ASSEMBLY TAKES NO ACTION WITHIN FOUR MONTHS OF FILING; TO PROVIDE THE FORMAT FOR SUBMITTING THE INITIATIVE AND ANY ALTERNATIVE TO THE QUALIFIED ELECTORS, THE MAJORITY REQUIRED, AND THE MEANS OF DEALING WITH CONFLICTING INITIATIVES OR ALTERNATIVES; TO LIMIT INITIATIVES SUBMITTED AT ONE ELECTION TO FIVE; TO PROVIDE THAT AN INITIATIVE APPROVED BY THE QUALIFIED ELECTORS TAKES EFFECT THIRTY DAYS AFTER THE VOTE IS CERTIFIED UNLESS THE INITIATIVE PROVIDES OTHERWISE; AND TO PROVIDE THAT THE LAW IMPLEMENTING THIS SECTION, ONCE ENACTED, MAY NOT BE AMENDED OR REPEALED EXCEPT BY AN AFFIRMATIVE VOTE OF AT LEAST TWO-THIRDS OF THE MEMBERS OF EACH BRANCH OF THE GENERAL ASSEMBLY BUT NOT LESS THAN THREE-FIFTHS OF THE TOTAL MEMBERSHIP IN EACH BRANCH.",2011-11-14 21:06:33.475000,2012-08-22 06:08:08.952000,joint resolution,Campaign Finance and Election Issues|Legal Issues|Legislative Affairs
sc,119,lower,H 3009,"A BILL TO AMEND SECTION 4-9-1210, CODE OF LAWS OF SOUTH CAROLINA, 1976, RELATING TO QUALIFIED ELECTORS OF A COUNTY BY INITIATIVE PETITION PROPOSING CERTAIN ORDINANCES, SO AS TO REVISE THE SIGNATURE REQUIREMENTS ON THE INITIATIVE PETITION AND TO PROVIDE THAT UPON RECEIPT OF A PROPOSED ORDINANCE MEETING THE REQUIREMENTS OF THIS SECTION, THE COUNTY GOVERNING BODY SHALL CAUSE IT TO BE PLACED ON THE BALLOT AT THE NEXT ENSUING COUNTYWIDE ELECTION; AND TO AMEND SECTION 5-17-10, RELATING TO QUALIFIED ELECTORS OF A MUNICIPALITY BY INITIATIVE PETITION PROPOSING CERTAIN ORDINANCES, SO AS TO REVISE THE SIGNATURE REQUIREMENTS ON THE INITIATIVE PETITION AND TO PROVIDE THAT UPON RECEIPT OF A PROPOSED ORDINANCE MEETING THE REQUIREMENTS OF THIS SECTION, THE MUNICIPAL GOVERNING BODY SHALL CAUSE IT TO BE PLACED ON THE BALLOT AT THE NEXT ENSUING MUNICIPAL-WIDE ELECTION.",2011-11-14 21:06:33.489000,2012-08-22 06:08:08.957000,bill,"Federal, State, and Local Relations"
