leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
SCL000173,member,119,41,upper,sc,Republican,,,,,
SCL000047,member,119,11,lower,sc,Democratic,,,,,
SCL000047,committee member,119,,lower,sc,,,"Agriculture, Natural Resources & Environmental Affairs",,,
SCL000058,member,119,57,lower,sc,Democratic,,,,,
SCL000058,committee member,119,,lower,sc,,,Ways and Means,,,
SCL000060,member,119,26,lower,sc,Republican,,,,,
SCL000060,committee member,119,,lower,sc,,,Education and Public Works,,,
SCL000064,member,119,78,lower,sc,Republican,,,,,
SCL000064,committee member,119,,lower,sc,,,Ethics,,,
SCL000064,committee member,119,,lower,sc,,,"Labor, Commerce and Industry",,,
SCL000067,member,119,122,lower,sc,Democratic,,,,,
SCL000067,committee member,119,,lower,sc,,,"Medical, Military, Public and Municipal Affairs",,,
SCL000069,member,119,41,lower,sc,Democratic,,,,,
SCL000069,committee member,119,,lower,sc,,,Judiciary,,,
SCL000071,member,119,79,lower,sc,Democratic,,,,,
SCL000071,committee member,119,,lower,sc,,,"Medical, Military, Public and Municipal Affairs",,,
SCL000044,member,119,8,upper,sc,Republican,,,,,
SCL000044,committee member,119,,upper,sc,,,Banking and Insurance,,,
SCL000044,committee member,119,,upper,sc,,,Corrections and Penology,,,
SCL000044,committee member,119,,upper,sc,,,Finance,,,
SCL000044,committee member,119,,upper,sc,,,Medical Affairs,,,
SCL000086,member,119,39,lower,sc,Republican,,,,,
SCL000086,committee member,119,,lower,sc,,,"Agriculture, Natural Resources & Environmental Affairs",,,
SCL000086,committee member,119,,lower,sc,,,Invitations and Memorial Resolutions,,,
SCL000094,member,119,75,lower,sc,Republican,,,,,
SCL000094,committee member,119,,lower,sc,,,Judiciary,,,
SCL000097,member,119,105,lower,sc,Republican,,,,,
SCL000097,committee member,119,,lower,sc,,,Judiciary,,,
SCL000127,member,119,44,lower,sc,Democratic,,,,,
SCL000127,committee member,119,,lower,sc,,,Education and Public Works,,,
SCL000129,member,119,56,lower,sc,Democratic,,,,,
SCL000129,committee member,119,,lower,sc,,,Rules,,,
SCL000129,committee member,119,,lower,sc,,,Ways and Means,,,
SCL000133,member,119,37,lower,sc,Republican,,,,,
SCL000133,committee member,119,,lower,sc,,,"Labor, Commerce and Industry",,,
SCL000133,committee member,119,,lower,sc,,,Operations and Management,,,
SCL000136,member,119,13,lower,sc,Republican,,,,,
SCL000136,committee member,119,,lower,sc,,,"Labor, Commerce and Industry",,,
SCL000136,committee member,119,,lower,sc,,,Rules,,,
SCL000142,member,119,108,lower,sc,Republican,,,,,
SCL000142,committee member,119,,lower,sc,,,"Agriculture, Natural Resources & Environmental Affairs",,,
SCL000161,member,119,15,lower,sc,Republican,,,,,
SCL000161,committee member,119,,lower,sc,,,"Medical, Military, Public and Municipal Affairs",,,
SCL000002,member,119,7,upper,sc,Democratic,,,,,
SCL000002,committee member,119,,upper,sc,,,Corrections and Penology,,,
SCL000002,committee member,119,,upper,sc,,,Education,,,
SCL000002,committee member,119,,upper,sc,,,Finance,,,
SCL000002,committee member,119,,upper,sc,,,Medical Affairs,,,
SCL000002,committee member,119,,upper,sc,,,Transportation,,,
SCL000012,member,119,28,upper,sc,Democratic,,,,,
SCL000012,committee member,119,,upper,sc,,,Agriculture and Natural Resources,,,
SCL000012,committee member,119,,upper,sc,,,Finance,,,
SCL000012,committee member,119,,upper,sc,,,"Fish, Game and Forestry",,,
SCL000012,committee member,119,,upper,sc,,,Invitations,,,
SCL000012,committee member,119,,upper,sc,,,Rules,,,
SCL000012,committee member,119,,upper,sc,,,Transportation,,,
SCL000020,member,119,23,upper,sc,Republican,,,,,
SCL000020,committee member,119,,upper,sc,,,Agriculture and Natural Resources,,,
SCL000020,committee member,119,,upper,sc,,,"Fish, Game and Forestry",,,
SCL000020,committee member,119,,upper,sc,,,General,,,
SCL000020,committee member,119,,upper,sc,,,Invitations,,,
SCL000020,committee member,119,,upper,sc,,,Judiciary,,,
SCL000020,committee member,119,,upper,sc,,,Rules,,,
SCL000021,member,119,36,upper,sc,Democratic,,,,,
SCL000021,committee member,119,,upper,sc,,,Ethics,,,
SCL000021,committee member,119,,upper,sc,,,Finance,,,
SCL000021,committee member,119,,upper,sc,,,"Fish, Game and Forestry",,,
SCL000021,committee member,119,,upper,sc,,,Interstate Cooperation,,,
SCL000021,committee member,119,,upper,sc,,,Rules,,,
SCL000021,committee member,119,,upper,sc,,,Transportation,,,
SCL000023,member,119,35,upper,sc,Democratic,,,,,
SCL000023,committee member,119,,upper,sc,,,Agriculture and Natural Resources,,,
SCL000023,committee member,119,,upper,sc,,,Education,,,
SCL000023,committee member,119,,upper,sc,,,Ethics,,,
SCL000023,committee member,119,,upper,sc,,,Finance,,,
SCL000023,committee member,119,,upper,sc,,,"Labor, Commerce and Industry",,,
SCL000030,member,119,41,upper,sc,Republican,,,,,2012-03-13 00:00:00
SCL000030,committee member,119,,upper,sc,,SCC000017,Banking and Insurance,,,
SCL000030,committee member,119,,upper,sc,,SCC000023,Ethics,,,
SCL000030,committee member,119,,upper,sc,,SCC000026,Interstate Cooperation,,,
