leg_id,full_name,first_name,middle_name,last_name,suffixes,nickname,active,state,chamber,district,party,transparencydata_id,photo_url,created_at,updated_at
SCL000173,Walter Hundley,Walter,,Hundley,,,False,sc,,,,,http://www.scstatehouse.gov/images/members/0906818073.jpg,2012-10-11 05:29:02.468000,2012-12-07 20:19:12.557000
SCL000047,Paul L. Agnew,Paul,L.,Agnew,,,False,sc,,,,42920535fd994e1084442b3f66eed3f4,http://www.scstatehouse.gov/images/members/0006818181.jpg,2011-11-14 21:05:40.953000,2012-12-07 20:19:12.522000
SCL000058,James A. Battle Jr.,James,A.,Battle,Jr.,Jimmy,False,sc,,,,8da425c70e7644cfa3fddb8bdadfb651,http://www.scstatehouse.gov/images/members/0124999985.jpg,2011-11-14 21:05:41.066000,2012-12-07 20:19:12.526000
SCL000060,Eric J. Bikas,Eric,J.,Bikas,,,False,sc,,,,4b0ad3838a4a46a1b2af4f263913187e,http://www.scstatehouse.gov/images/members/0142045438.jpg,2011-11-14 21:05:41.085000,2012-12-07 20:19:12.518000
SCL000064,Joan B. Brady,Joan,B.,Brady,,,False,sc,,,,17887f31b05041419a918232ec6515b3,http://www.scstatehouse.gov/images/members/0179545433.jpg,2011-11-14 21:05:41.128000,2012-12-07 20:19:12.527000
SCL000067,Curtis Brantley,Curtis,,Brantley,,,False,sc,,,,c731b4eb79d04dadb9c054020696a6a5,http://www.scstatehouse.gov/images/members/0185227251.jpg,2011-11-14 21:05:41.158000,2012-12-07 20:19:12.521000
SCL000069,H. Boyd Brown,H. Boyd,,Brown,,,False,sc,,,,c200618097664bfabc06e96d669df9bd,http://www.scstatehouse.gov/images/members/0211363611.jpg,2011-11-14 21:05:41.177000,2012-12-07 20:19:12.524000
SCL000071,Mia Butler Garrick,Mia Butler,,Garrick,,,False,sc,,,,6308bca52bcb457bb3765619673f49ed,http://www.scstatehouse.gov/images/members/0279545421.jpg,2011-11-14 21:05:41.197000,2012-12-07 20:19:12.520000
SCL000044,David L. Thomas,David,L.,Thomas,,,False,sc,,,,79fa64c5a48b4c1ca09156388dba5855,http://www.scstatehouse.gov/images/members/1818181600.jpg,2011-11-14 21:05:40.922000,2012-12-07 20:19:12.556000
SCL000086,Marion B. Frye,Marion,B.,Frye,,,False,sc,,,,bd61de913d5d4eb99e7ea7d29edf8c68,http://www.scstatehouse.gov/images/members/0624999925.jpg,2011-11-14 21:05:41.354000,2012-12-07 20:19:12.532000
SCL000094,James H. Harrison,James,H.,Harrison,,,False,sc,,,,b24c469cac1f4a7fa2ce9e6d7612ce47,http://www.scstatehouse.gov/images/members/0768181726.jpg,2011-11-14 21:05:41.435000,2012-12-07 20:19:12.534000
SCL000097,George M. Hearn,George,M.,Hearn,,,False,sc,,,,df3467cd15cc40cb969377e9df9c7195,http://www.scstatehouse.gov/images/members/0806818085.jpg,2011-11-14 21:05:41.466000,2012-12-07 20:19:12.535000
SCL000127,James M. Neal,James,M.,Neal,,Jimmy,False,sc,,,,523052b5a5324c97bd1edb31f345538c,http://www.scstatehouse.gov/images/members/1403408923.jpg,2011-11-14 21:05:41.832000,2012-12-07 20:19:12.537000
SCL000129,Denny Woodall Neilson,Denny Woodall,,Neilson,,,False,sc,,,,37ef5258b45f4c82b64ac831f3606cea,http://www.scstatehouse.gov/images/members/1404545286.jpg,2011-11-14 21:05:41.852000,2012-12-07 20:19:12.538000
SCL000133,Steve A. Parker,Steve,A.,Parker,,,False,sc,,,,0d6bc982a8ce43b5bf132956b9391291,http://www.scstatehouse.gov/images/members/1434019715.jpg,2011-11-14 21:05:41.903000,2012-12-07 20:19:12.539000
SCL000136,Lewis E. Pinson,Lewis,E.,Pinson,,Gene,False,sc,,,,964d7baf72fa46918ab699b612493767,http://www.scstatehouse.gov/images/members/1480681641.jpg,2011-11-14 21:05:41.933000,2012-12-07 20:19:12.540000
SCL000142,Kevin R. Ryan,Kevin,R.,Ryan,,,False,sc,,,,64fd6aa67eac4ef8ac3219d9120abe45,http://www.scstatehouse.gov/images/members/1615340716.jpg,2011-11-14 21:05:41.995000,2012-12-07 20:19:12.541000
SCL000161,David Tribble Jr.,David,,Tribble,Jr.,,False,sc,,,,8527c1de114b4b02963144ddf858b9fb,http://www.scstatehouse.gov/images/members/1842045234.jpg,2011-11-14 21:05:42.182000,2012-12-07 20:19:12.542000
SCL000002,Ralph Anderson,Ralph,,Anderson,,,False,sc,,,,b1649dad470846afa040a581c31a8ea1,http://www.scstatehouse.gov/images/members/0027272724.jpg,2011-11-14 21:05:40.251000,2012-12-07 20:19:12.544000
SCL000012,Dick Elliott,Dick,,Elliott,,,False,sc,,,,a4f6c52bf1cd4a3eb22628676c352058,http://www.scstatehouse.gov/images/members/0527272664.jpg,2011-11-14 21:05:40.513000,2012-12-07 20:19:12.545000
SCL000020,John M. Knotts Jr.,John,M.,Knotts,Jr.,Jake,False,sc,,,,e83e8f038f15451d8483a0b29d26bc48,http://www.scstatehouse.gov/images/members/1024999877.jpg,2011-11-14 21:05:40.601000,2012-12-07 20:19:12.549000
SCL000021,John C. Land III,John,C.,Land,III,,False,sc,,,,45a44b1e6f7343c0aa912fac1d697062,http://www.scstatehouse.gov/images/members/1049999874.jpg,2011-11-14 21:05:40.611000,2012-12-07 20:19:12.550000
SCL000023,Phil P. Leventis,Phil,P.,Leventis,,,False,sc,,,,86d06a5b059a4e4ca6ccf2625e3775e4,http://www.scstatehouse.gov/images/members/1081818052.jpg,2011-11-14 21:05:40.631000,2012-12-07 20:19:12.551000
SCL000030,Glenn F. McConnell,Glenn,F.,McConnell,,,False,sc,,,,46e0c7a0806149c1a0585dd61d4c6c75,http://www.scstatehouse.gov/images/members/1213636218.jpg,2011-11-14 21:05:40.760000,2012-06-05 21:26:45.693000
SCL000038,Michael T. Rose,Michael,T.,Rose,,,False,sc,,,,4cf8e6eea75643f49cb0a712f4a0af92,http://www.scstatehouse.gov/images/members/1581817992.jpg,2011-11-14 21:05:40.851000,2012-12-07 20:19:12.552000
SCL000039,W. Greg Ryberg,W. Greg,,Ryberg,,,False,sc,,,,3e1b66c90e3e41079d09c1af539790cc,http://www.scstatehouse.gov/images/members/1615908897.jpg,2011-11-14 21:05:40.862000,2012-12-07 20:19:12.553000
SCL000043,Phillip W. Shoopman,Phillip,W.,Shoopman,,,False,sc,,,,7d364a2018404def97c0a1ad0f8a9bf1,http://www.scstatehouse.gov/images/members/1687499798.jpg,2011-11-14 21:05:40.911000,2012-12-07 20:19:12.554000
SCL000163,Thad T. Viers,Thad,T.,Viers,,,False,sc,,,,74d2099316a140408156395da9e145a3,http://www.scstatehouse.gov/images/members/1876136139.jpg,2011-11-14 21:05:42.207000,2012-06-06 14:16:15.543000
SCL000106,Chip Huggins,Chip,,Huggins,,,True,sc,lower,85,Republican,807cdfe55de147cd82d4c36e3f1402ac,http://www.scstatehouse.gov/images/members/0897727165.jpg,2011-11-14 21:05:41.618000,2013-03-01 02:16:05.483000
SCL000051,Carl L. Anderson,Carl,L.,Anderson,,,True,sc,lower,103,Democratic,4beb2c4b3dfa460f8845d02c784dadfd,http://www.scstatehouse.gov/images/members/0021590907.jpg,2011-11-14 21:05:40.993000,2013-03-01 02:16:05.486000
SCL000052,Michael A. Anthony,Michael,A.,Anthony,,Mike,True,sc,lower,42,Democratic,e9ab9c54de6f4caba61e7295a5eecc90,http://www.scstatehouse.gov/images/members/0038636359.jpg,2011-11-14 21:05:41.006000,2013-03-01 02:16:05.488000
SCL000053,Todd K. Atwater,Todd,K.,Atwater,,,True,sc,lower,87,Republican,f6b2c1c4c22846839b2dab47c2819e37,http://www.scstatehouse.gov/images/members/0067045447.jpg,2011-11-14 21:05:41.016000,2013-03-01 02:16:05.490000
SCL000055,Nathan Ballentine,Nathan,,Ballentine,,,True,sc,lower,71,Republican,97525c02b2ec4f038fe82b5484c5d416,http://www.scstatehouse.gov/images/members/0102272715.jpg,2011-11-14 21:05:41.036000,2013-03-01 02:16:05.493000
SCL000056,Bruce W. Bannister,Bruce,W.,Bannister,,,True,sc,lower,24,Republican,29b7a4a2f2fb48599906bf362fc6225d,http://www.scstatehouse.gov/images/members/0103409079.jpg,2011-11-14 21:05:41.046000,2013-03-01 02:16:05.496000
SCL000059,Eric M. Bedingfield,Eric,M.,Bedingfield,,,True,sc,lower,28,Republican,4dd40617f84842a5b65737bcf6a5ff3f,http://www.scstatehouse.gov/images/members/0140340893.jpg,2011-11-14 21:05:41.076000,2013-03-01 02:16:05.498000
