state,session,chamber,bill_id,date,action,actor,type
sd,2010,lower,HB 1001,2010-01-12 00:00:00,First read in House and referred to House Commerce H.J. 18,lower,bill:introduced|bill:reading:1|committee:referred
sd,2010,lower,HB 1001,2010-01-22 00:00:00,Scheduled for hearing,lower,other
sd,2010,lower,HB 1001,2010-01-22 00:00:00,"Commerce Motion to amend, Passed Amendment 1001fd",lower,amendment:introduced|amendment:passed
sd,2010,lower,HB 1001,2010-01-22 00:00:00,"Commerce Motion to amend, Passed Amendment 1001sa",lower,amendment:introduced|amendment:passed
sd,2010,lower,HB 1001,2010-01-22 00:00:00,"Commerce Do Pass Amended, Passed, YEAS 13, NAYS 0. H.J. 166",lower,committee:passed
sd,2010,lower,HB 1001,2010-01-27 00:00:00,"House of Representatives Do Pass Amended, Passed, YEAS 65, NAYS 3. H.J. 201",lower,bill:passed
sd,2010,lower,HB 1001,2010-01-28 00:00:00,First read in Senate and referred to Senate Commerce S.J. 172,upper,bill:introduced|bill:reading:1|committee:referred
sd,2010,lower,HB 1001,2010-02-23 00:00:00,Scheduled for hearing,upper,other
sd,2010,lower,HB 1001,2010-02-23 00:00:00,Deferred by Chair,upper,other
sd,2010,lower,HB 1001,2010-02-25 00:00:00,Scheduled for hearing,upper,other
sd,2010,lower,HB 1001,2010-02-25 00:00:00,"Commerce Motion to amend, Passed Amendment 1001ja",upper,amendment:introduced|amendment:passed
sd,2010,lower,HB 1001,2010-02-25 00:00:00,"Commerce Do Pass Amended, Passed, YEAS 6, NAYS 0. S.J. 475",upper,committee:passed
sd,2010,lower,HB 1001,2010-03-02 00:00:00,"Senate Do Pass Amended, Passed, YEAS 32, NAYS 0. S.J. 528",upper,bill:passed
sd,2010,lower,HB 1001,2010-03-04 00:00:00,"House of Representatives Concurred in amendments, Passed, YEAS 64, NAYS 2. H.J. 697",upper,other
sd,2010,lower,HB 1001,2010-03-08 00:00:00,Signed by Speaker H.J. 755,upper,other
sd,2010,lower,HB 1001,2010-03-09 00:00:00,Signed by President S.J. 622,upper,other
sd,2010,lower,HB 1001,2010-03-10 00:00:00,Delivered to the Governor H.J. 800,upper,other
sd,2010,lower,HB 1001,2010-03-12 00:00:00,Signed by Governor H.J. 850,executive,governor:signed
sd,2010,lower,HB 1002,2010-01-12 00:00:00,First read in House and referred to House Commerce H.J. 18,lower,bill:introduced|bill:reading:1|committee:referred
sd,2010,lower,HB 1002,2010-01-22 00:00:00,Scheduled for hearing,lower,other
sd,2010,lower,HB 1002,2010-01-22 00:00:00,Deferred by Chair,lower,other
sd,2010,lower,HB 1002,2010-01-27 00:00:00,Scheduled for hearing,lower,other
sd,2010,lower,HB 1002,2010-01-27 00:00:00,"Commerce Motion to amend, Passed Amendment 1002fa",lower,amendment:introduced|amendment:passed
sd,2010,lower,HB 1002,2010-01-27 00:00:00,"Commerce Motion to amend, Passed Amendment 1002fc",lower,amendment:introduced|amendment:passed
sd,2010,lower,HB 1002,2010-01-27 00:00:00,"Commerce Do Pass Amended, Passed, YEAS 9, NAYS 3. H.J. 191",lower,committee:passed
sd,2010,lower,HB 1002,2010-01-27 00:00:00,"Commerce Title amended, Passed Amendment 1002fta",lower,other
sd,2010,lower,HB 1002,2010-02-01 00:00:00,"House of Representatives Do Pass Amended, Failed, YEAS 34, NAYS 35. H.J. 250",lower,bill:failed
sd,2010,lower,HB 1002,2010-02-01 00:00:00,Intent to reconsider H.J. 251,lower,other
sd,2010,lower,HB 1002,2010-02-02 00:00:00,"House of Representatives Reconsidered, Passed, YEAS 52, NAYS 16. H.J. 257",lower,other
sd,2010,lower,HB 1002,2010-02-02 00:00:00,"Deferred with pending amendment (Rule 5-17), Passed H.J. 258",lower,other
sd,2010,lower,HB 1002,2010-02-04 00:00:00,"House of Representatives Deferred to another day, Passed H.J. 317",lower,other
sd,2010,lower,HB 1002,2010-02-09 00:00:00,"House of Representatives Motion to amend, Passed H.J. 329 Amendment 1002fh",lower,other
sd,2010,lower,HB 1002,2010-02-09 00:00:00,"House of Representatives Do Pass Amended, Passed, YEAS 50, NAYS 19. H.J. 331",lower,bill:passed
sd,2010,lower,HB 1002,2010-02-10 00:00:00,First read in Senate and referred to Senate Commerce S.J. 278,upper,bill:introduced|bill:reading:1|committee:referred
sd,2010,lower,HB 1002,2010-02-25 00:00:00,Scheduled for hearing,upper,other
sd,2010,lower,HB 1002,2010-02-25 00:00:00,"Commerce Motion to amend, Passed Amendment 1002ja",upper,amendment:introduced|amendment:passed
sd,2010,lower,HB 1002,2010-02-25 00:00:00,"Commerce Motion to amend, Passed Amendment 1002jb",upper,amendment:introduced|amendment:passed
sd,2010,lower,HB 1002,2010-02-25 00:00:00,"Commerce Do Pass Amended, Passed, YEAS 6, NAYS 1. S.J. 475",upper,committee:passed
