state,session,chamber,bill_id,type,name,leg_id
sd,2010,lower,HB 1001,primary,Turbiville,SDL000099
sd,2010,lower,HB 1001,primary,Carson,SDL000041
sd,2010,lower,HB 1001,primary,Faehn,SDL000050
sd,2010,lower,HB 1001,primary,Kirkeby,SDL000066
sd,2010,lower,HB 1001,primary,Lederman,SDL000071
sd,2010,lower,HB 1001,primary,Rounds,SDL000087
sd,2010,lower,HB 1001,primary,Sorenson,SDL000094
sd,2010,lower,HB 1001,primary,Tieszen,SDL000033
sd,2010,lower,HB 1001,primary,Maher,
sd,2010,lower,HB 1001,primary,Nelson,
sd,2010,lower,HB 1001,primary,Olson (Russell),SDL000029
sd,2010,lower,HB 1002,primary,Turbiville,SDL000099
sd,2010,lower,HB 1002,primary,Lederman,SDL000071
sd,2010,lower,HB 1002,primary,Nelson,
sd,2010,lower,HB 1002,primary,Maher,
sd,2010,lower,HB 1002,primary,Olson (Russell),SDL000029
sd,2010,lower,HB 1002,primary,Tieszen,SDL000033
sd,2010,lower,HB 1003,primary,Lederman,SDL000071
sd,2010,lower,HB 1003,primary,Kirkeby,SDL000066
sd,2010,lower,HB 1003,primary,Sorenson,SDL000094
sd,2010,lower,HB 1003,primary,Turbiville,SDL000099
sd,2010,lower,HB 1003,primary,Tieszen,SDL000033
sd,2010,lower,HB 1003,primary,Nelson,
sd,2010,lower,HB 1004,primary,Carson,SDL000041
sd,2010,lower,HB 1004,primary,Faehn,SDL000050
sd,2010,lower,HB 1004,primary,Lederman,SDL000071
sd,2010,lower,HB 1004,primary,Rounds,SDL000087
sd,2010,lower,HB 1004,primary,Sorenson,SDL000094
sd,2010,lower,HB 1004,primary,Turbiville,SDL000099
sd,2010,lower,HB 1004,primary,Maher,
sd,2010,lower,HB 1004,primary,Nelson,
sd,2010,lower,HB 1004,primary,Olson (Russell),SDL000029
sd,2010,lower,HB 1005,primary,Tidemann,SDL000098
sd,2010,lower,HB 1005,primary,Jensen,SDL000063
sd,2010,lower,HB 1005,primary,Kirschman,SDL000067
sd,2010,lower,HB 1005,primary,Kopp,SDL000068
sd,2010,lower,HB 1005,primary,Noem,SDL000076
sd,2010,lower,HB 1005,primary,Schlekeway,SDL000089
sd,2010,lower,HB 1005,primary,Wismer,SDL000105
sd,2010,lower,HB 1005,primary,Haverly,SDL000015
sd,2010,lower,HB 1005,primary,Bradford,
sd,2010,lower,HB 1005,primary,Brown,SDL000006
sd,2010,lower,HB 1005,primary,Garnos,SDL000010
sd,2010,lower,HB 1005,primary,Hundstad,SDL000018
sd,2010,lower,HB 1006,primary,Krebs,SDL000069
sd,2010,lower,HB 1006,primary,Cronin,SDL000043
sd,2010,lower,HB 1006,primary,Elliott,SDL000048
sd,2010,lower,HB 1006,primary,Juhnke,SDL000064
sd,2010,lower,HB 1006,primary,Lange,SDL000070
sd,2010,lower,HB 1006,primary,Lucas,SDL000072
sd,2010,lower,HB 1006,primary,McLaughlin,SDL000074
sd,2010,lower,HB 1006,primary,Putnam,SDL000083
sd,2010,lower,HB 1006,primary,Steele,SDL000095
sd,2010,lower,HB 1006,primary,Street,SDL000096
sd,2010,lower,HB 1006,primary,Vanneman,SDL000102
sd,2010,lower,HB 1006,primary,Verchio,SDL000103
sd,2010,lower,HB 1006,primary,Vehle,SDL000035
sd,2010,lower,HB 1006,primary,Ahlers,SDL000003
sd,2010,lower,HB 1006,primary,Fryslie,SDL000008
sd,2010,lower,HB 1006,primary,Knudson,SDL000022
sd,2010,lower,HB 1006,primary,Merchant,SDL000024
sd,2010,lower,HB 1007,primary,Krebs,SDL000069
sd,2010,lower,HB 1007,primary,Cronin,SDL000043
sd,2010,lower,HB 1007,primary,Elliott,SDL000048
sd,2010,lower,HB 1007,primary,Juhnke,SDL000064
sd,2010,lower,HB 1007,primary,Lange,SDL000070
sd,2010,lower,HB 1007,primary,Lucas,SDL000072
sd,2010,lower,HB 1007,primary,McLaughlin,SDL000074
sd,2010,lower,HB 1007,primary,Putnam,SDL000083
sd,2010,lower,HB 1007,primary,Steele,SDL000095
sd,2010,lower,HB 1007,primary,Street,SDL000096
sd,2010,lower,HB 1007,primary,Vanneman,SDL000102
sd,2010,lower,HB 1007,primary,Verchio,SDL000103
sd,2010,lower,HB 1007,primary,Vehle,SDL000035
sd,2010,lower,HB 1007,primary,Ahlers,SDL000003
sd,2010,lower,HB 1007,primary,Fryslie,SDL000008
sd,2010,lower,HB 1007,primary,Knudson,SDL000022
sd,2010,lower,HB 1007,primary,Merchant,SDL000024
sd,2010,lower,HB 1008,primary,Deadrick,SDL000046
sd,2010,lower,HB 1008,primary,Turbak Berry,SDL000034
sd,2010,lower,HB 1009,primary,Dennert,SDL000047
sd,2010,lower,HB 1009,primary,Hanson (Gary),SDL000014
sd,2010,lower,HB 1009,primary,Knudson,SDL000022
sd,2010,lower,HB 1009,primary,Rhoden,SDL000031
sd,2010,lower,HB 1010,primary,Appropriations,
sd,2010,lower,HB 1011,primary,State Affairs,
sd,2010,lower,HB 1012,primary,State Affairs,
sd,2010,lower,HB 1013,primary,Agriculture and Natural Resources,
sd,2010,lower,HB 1014,primary,Agriculture and Natural Resources,
sd,2010,lower,HB 1015,primary,Agriculture and Natural Resources,
sd,2010,lower,HB 1016,primary,State Affairs,
sd,2010,lower,HB 1017,primary,Commerce,
sd,2010,lower,HB 1018,primary,Commerce,
sd,2010,lower,HB 1019,primary,Judiciary,
sd,2010,lower,HB 1020,primary,Education,
sd,2010,lower,HB 1021,primary,Education,
sd,2010,lower,HB 1022,primary,Education,
sd,2010,lower,HB 1023,primary,Education,
sd,2010,lower,HB 1024,primary,Education,
sd,2010,lower,HB 1025,primary,Appropriations,
sd,2010,lower,HB 1026,primary,Appropriations,
sd,2010,lower,HB 1027,primary,Appropriations,
sd,2010,lower,HB 1028,primary,Health and Human Services,
sd,2010,lower,HB 1029,primary,Health and Human Services,
sd,2010,lower,HB 1030,primary,Taxation,
sd,2010,lower,HB 1031,primary,Taxation,
sd,2010,lower,HB 1032,primary,Taxation,
sd,2010,lower,HB 1033,primary,Transportation,
sd,2010,lower,HB 1034,primary,Transportation,
sd,2010,lower,HB 1035,primary,Transportation,
sd,2010,lower,HB 1036,primary,State Affairs,
sd,2010,lower,HB 1037,primary,Commerce,
sd,2010,lower,HB 1038,primary,Commerce,
sd,2010,lower,HB 1039,primary,Taxation,
sd,2010,lower,HB 1040,primary,Commerce,
sd,2010,lower,HB 1041,primary,Appropriations,
sd,2010,lower,HB 1042,primary,Transportation,
sd,2010,lower,HB 1043,primary,Health and Human Services,
sd,2010,lower,HB 1044,primary,Appropriations,
sd,2010,lower,HB 1045,primary,Health and Human Services,
sd,2010,lower,HB 1046,primary,State Affairs,
sd,2010,lower,HB 1047,primary,Judiciary,
sd,2010,lower,HB 1048,primary,Appropriations,
sd,2010,lower,HB 1049,primary,State Affairs,
sd,2010,lower,HB 1050,primary,Appropriations,
sd,2010,lower,HB 1051,primary,Appropriations,
sd,2010,lower,HB 1052,primary,Appropriations,
sd,2010,lower,HB 1053,primary,Local Government,
sd,2010,lower,HB 1054,primary,Local Government,
sd,2010,lower,HB 1055,primary,State Affairs,
sd,2010,lower,HB 1056,primary,Appropriations,
sd,2010,lower,HB 1057,primary,Agriculture and Natural Resources,
sd,2010,lower,HB 1058,primary,Agriculture and Natural Resources,
sd,2010,lower,HB 1059,primary,State Affairs,
sd,2010,lower,HB 1060,primary,Appropriations,
sd,2010,lower,HB 1061,primary,State Affairs,
sd,2010,lower,HB 1062,primary,Judiciary,
sd,2010,lower,HB 1063,primary,Judiciary,
sd,2010,lower,HB 1064,primary,Judiciary,
sd,2010,lower,HB 1065,primary,Judiciary,
sd,2010,lower,HB 1066,primary,Verchio,SDL000103
sd,2010,lower,HB 1066,primary,Brunner,SDL000039
sd,2010,lower,HB 1066,primary,Jensen,SDL000063
sd,2010,lower,HB 1066,primary,Olson (Betty),SDL000079
sd,2010,lower,HB 1066,primary,Schrempp,SDL000090
sd,2010,lower,HB 1066,primary,Schmidt,SDL000032
sd,2010,lower,HB 1066,primary,Maher,
sd,2010,lower,HB 1066,primary,Rhoden,SDL000031
sd,2010,lower,HB 1067,primary,Verchio,SDL000103
sd,2010,lower,HB 1067,primary,Brunner,SDL000039
sd,2010,lower,HB 1067,primary,Jensen,SDL000063
sd,2010,lower,HB 1067,primary,Kirkeby,SDL000066
sd,2010,lower,HB 1067,primary,Kopp,SDL000068
sd,2010,lower,HB 1067,primary,Olson (Betty),SDL000079
sd,2010,lower,HB 1067,primary,Schmidt,SDL000032
sd,2010,lower,HB 1067,primary,Maher,
sd,2010,lower,HB 1067,primary,Rhoden,SDL000031
sd,2010,lower,HB 1068,primary,Verchio,SDL000103
sd,2010,lower,HB 1068,primary,Brunner,SDL000039
sd,2010,lower,HB 1068,primary,Jensen,SDL000063
sd,2010,lower,HB 1068,primary,Kirkeby,SDL000066
sd,2010,lower,HB 1068,primary,Kopp,SDL000068
sd,2010,lower,HB 1068,primary,Olson (Betty),SDL000079
sd,2010,lower,HB 1068,primary,Sly,SDL000091
sd,2010,lower,HB 1068,primary,Schmidt,SDL000032
sd,2010,lower,HB 1068,primary,Maher,
sd,2010,lower,HB 1069,primary,Engels,SDL000049
sd,2010,lower,HB 1069,primary,Cutler,SDL000045
