state,session,chamber,bill_id,vote_id,vote_chamber,motion,date,type,yes_count,no_count,other_count
sd,2013,upper,SJR 1,SDV00006074,lower,Do Pass Amended,2013-02-27 00:00:00,passage,3,9,1
sd,2013,upper,SJR 1,SDV00006075,lower,Deferred to the 41st legislative day,2013-02-27 00:00:00,other,11,1,1
sd,2013,lower,HB 1061,SDV00006083,upper,Do Pass,2013-02-27 00:00:00,passage,8,0,1
sd,2013,lower,HB 1174,SDV00006101,upper,Do Pass Amended,2013-02-27 00:00:00,passage,35,0,0
sd,2013,lower,HB 1187,SDV00006102,upper,Do Pass Amended,2013-02-27 00:00:00,passage,32,3,0
sd,2013,lower,HB 1189,SDV00006103,upper,Do Pass,2013-02-27 00:00:00,passage,5,2,0
sd,2013,lower,HB 1208,SDV00006104,upper,Do Pass Amended,2013-02-27 00:00:00,passage,33,2,0
sd,2013,lower,HB 1233,SDV00006106,upper,Do Pass Amended,2013-02-27 00:00:00,passage,6,0,1
sd,2013,lower,HCR 1009,SDV00006108,upper,Concurred in Resolution,2013-02-27 00:00:00,other,35,0,0
sd,2013,lower,HCR 1010,SDV00006109,upper,Concurred in Resolution,2013-02-27 00:00:00,other,34,0,1
sd,2013,upper,SB 15,SDV00006045,lower,Referred as Amended to,2013-02-27 00:00:00,other,15,0,0
sd,2013,upper,SB 60,SDV00006048,lower,Do Pass,2013-02-27 00:00:00,passage,12,0,1
sd,2013,upper,SB 61,SDV00006049,lower,Do Pass,2013-02-27 00:00:00,passage,12,0,1
sd,2013,upper,SB 62,SDV00006050,lower,Do Pass,2013-02-27 00:00:00,passage,12,0,1
sd,2013,upper,SB 66,SDV00006051,lower,Do Pass,2013-02-27 00:00:00,passage,12,0,1
sd,2013,upper,SB 96,SDV00006054,upper,Concurred in amendments,2013-02-27 00:00:00,amendment,29,6,0
sd,2013,upper,SB 111,SDV00006056,lower,Do Pass,2013-02-27 00:00:00,passage,13,0,0
sd,2013,upper,SB 132,SDV00006060,lower,Deferred to the 41st legislative day,2013-02-27 00:00:00,other,7,6,0
sd,2013,upper,SB 138,SDV00006061,lower,Referred as Amended to,2013-02-27 00:00:00,other,14,1,0
