state,session,chamber,bill_id,title,created_at,updated_at,type,subjects
sd,2010,lower,HB 1001,allow municipalities and counties to issue certain special alcoholic beverage licenses and to repeal certain special alcoholic beverage licenses.,2010-07-31 03:34:38.005000,2011-02-08 03:47:04.885000,bill,
sd,2010,lower,HB 1002,"revise certain provisions regarding the days and hours that alcoholic beverages may be sold on a licensed premise and who may sell, serve, or dispense alcoholic beverages on a licensed premise and to revise certain provisions concerning the power of municipalities and counties to regulate the sale and use of alcoholic beverages.",2010-07-31 03:34:38.103000,2011-02-08 03:47:04.902000,bill,
sd,2010,lower,HB 1003,reduce the time period for revising fees for full-service restaurant on-sale licenses.,2010-07-31 03:34:38.187000,2011-02-08 03:47:04.917000,bill,
sd,2010,lower,HB 1004,extend dram shop protection to certain alcoholic beverage licensees.,2010-07-31 03:34:38.272000,2011-02-08 03:47:04.923000,bill,
sd,2010,lower,HB 1005,make form and style revisions to certain statutes related to the Bureau of Personnel.,2010-07-31 03:34:38.358000,2011-02-08 03:47:04.930000,bill,
sd,2010,lower,HB 1006,"repeal, update, and make form and style revisions to certain statutes related to the Department of Transportation.",2010-07-31 03:34:38.443000,2011-02-08 03:47:04.938000,bill,
sd,2010,lower,HB 1007,"repeal, update, and make form and style revisions to certain statutes related to the Aeronautics Commission.",2010-07-31 03:34:38.529000,2011-02-08 03:47:04.957000,bill,
sd,2010,lower,HB 1008,codify legislation enacted in 2009.,2010-07-31 03:34:38.607000,2011-02-08 03:47:04.966000,bill,
sd,2010,lower,HB 1009,revise certain provisions regarding the documentation of data used to make adjustments for factors that affect the capacity of the land to produce agricultural products during the assessment process.,2010-07-31 03:34:38.699000,2011-02-08 03:47:04.969000,bill,
sd,2010,lower,HB 1010,revise the requirements for the compilation and printing of the legislative manual referred to as the blue book.,2010-07-31 03:34:38.789000,2011-02-08 03:47:04.977000,bill,
sd,2010,lower,HB 1011,revise certain provisions related to high-performance green building standards.,2010-07-31 03:34:38.865000,2011-02-08 03:47:04.983000,bill,
sd,2010,lower,HB 1012,revise certain provisions regarding the appointment of members to the Capitol Complex Restoration and Beautification Commission.,2010-07-31 03:34:38.958000,2011-02-08 03:47:04.998000,bill,
sd,2010,lower,HB 1013,authorize the Department of Environment and Natural Resources to accept certain documents submitted with electronic signatures.,2010-07-31 03:34:39.042000,2011-02-08 03:47:05.006000,bill,
sd,2010,lower,HB 1014,"define trophy and nontrophy antelope, mule deer, white-tailed deer, and elk, and establish civil damages for the unlawful taking of trophy animals.",2010-07-31 03:34:39.129000,2011-02-08 03:47:05.019000,bill,
sd,2010,lower,HB 1015,repeal the imposition of the five dollar surcharge on mentored youth big game hunting licenses.,2010-07-31 03:34:39.216000,2011-02-08 03:47:05.027000,bill,
sd,2010,lower,HB 1016,revise certain provisions regarding 911 emergency services.,2010-07-31 03:34:39.308000,2011-02-08 03:47:05.048000,bill,
sd,2010,lower,HB 1017,provide for state adoption of the 2009 Uniform Plumbing Code.,2010-07-31 03:34:39.394000,2011-02-08 03:47:05.056000,bill,
sd,2010,lower,HB 1018,revise certain provisions regarding unemployment insurance benefit eligibility of part-time workers and to provide additional unemployment insurance benefits to workers attending approved training.,2010-07-31 03:34:39.481000,2011-02-08 03:47:05.067000,bill,
sd,2010,lower,HB 1019,revise certain provisions regarding the requirements for notarizing documents.,2010-07-31 03:34:39.570000,2011-02-08 03:47:05.070000,bill,
sd,2010,lower,HB 1020,authorize the transfer of certain special education funds to other funds under certain conditions and to declare an emergency.,2010-07-31 03:34:39.648000,2011-02-08 03:47:05.088000,bill,
sd,2010,lower,HB 1021,authorize the deposit of federal special education funds into the capital outlay fund for the purchase of equipment for the purpose of special education and to declare an emergency.,2010-07-31 03:34:39.734000,2011-02-08 03:47:05.097000,bill,
sd,2010,lower,HB 1022,revise certain statutes to reflect the current organizational structure of the Department of Education.,2010-07-31 03:34:39.811000,2011-02-08 03:47:05.106000,bill,
sd,2010,lower,HB 1023,revise certain requirements regarding make up time for school districts.,2010-07-31 03:34:39.897000,2011-02-08 03:47:05.113000,bill,
