leg_id,type,term,district,chamber,state,party,committee_id,committee,subcommittee,start_date,end_date
SDL000139,member,2011-2012,24,lower,sd,Republican,,,,,
SDL000139,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000139,committee member,2011-2012,,lower,sd,,SDC000013,Retirement Laws,,,
SDL000139,committee member,2011-2012,,lower,sd,,SDC000005,Taxation,,,
SDL000113,member,2011-2012,33,upper,sd,Republican,,,,,
SDL000113,committee member,2011-2012,,upper,sd,,SDC000016,Education,,,
SDL000113,committee member,2011-2012,,upper,sd,,SDC000017,Health and Human Services,,,
SDL000078,member,2009-2010,17,lower,sd,Democratic,,,,,
SDL000078,member,2011-2012,17,upper,sd,Republican,,,,,
SDL000078,committee member,2011-2012,,upper,sd,,SDC000022,Commerce and Energy,,,
SDL000078,committee member,2011-2012,,upper,sd,,SDC000019,Judiciary,,,
SDL000078,committee member,2011-2012,,upper,sd,,SDC000023,Taxation,,,
SDL000083,member,2009-2010,19,lower,sd,Republican,,,,,
SDL000083,member,2011-2012,19,upper,sd,Republican,,,,,
SDL000083,committee member,2011-2012,,upper,sd,,SDC000014,Appropriations,,,
SDL000083,committee member,2011-2012,,upper,sd,,SDC000015,Legislative Procedure,,,
SDL000036,member,2009-2010,13,lower,sd,Democratic,,,,,
SDL000036,member,2011-2012,13,lower,sd,Democratic,,,,,
SDL000036,committee member,2011-2012,,lower,sd,,SDC000008,Health and Human Services,,,
SDL000036,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000125,member,2011-2012,9,lower,sd,Republican,,,,,
SDL000125,committee member,2011-2012,,lower,sd,,SDC000007,Commerce and Energy,,,
SDL000125,committee member,2011-2012,,lower,sd,,SDC000002,Local Government,,,
SDL000131,member,2011-2012,11,lower,sd,Republican,,,,,
SDL000131,committee member,2011-2012,,lower,sd,,SDC000007,Commerce and Energy,,,
SDL000131,committee member,2011-2012,,lower,sd,,SDC000006,Transportation,,,
SDL000134,member,2011-2012,13,lower,sd,Republican,,,,,
SDL000134,committee member,2011-2012,,lower,sd,,SDC000005,Taxation,,,
SDL000134,committee member,2011-2012,,lower,sd,,SDC000006,Transportation,,,
SDL000142,member,2011-2012,1,lower,sd,Democratic,,,,,
SDL000142,committee member,2011-2012,,lower,sd,,SDC000001,Agriculture and Natural Resources,,,
SDL000142,committee member,2011-2012,,lower,sd,,SDC000006,Transportation,,,
SDL000143,member,2011-2012,8,lower,sd,Republican,,,,,
SDL000143,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000143,committee member,2011-2012,,lower,sd,,SDC000008,Health and Human Services,,,
SDL000144,member,2011-2012,14,lower,sd,Republican,,,,,
SDL000144,committee member,2011-2012,,lower,sd,,SDC000004,Judiciary,,,
SDL000144,committee member,2011-2012,,lower,sd,,SDC000002,Local Government,,,
SDL000099,member,2009-2010,31,lower,sd,Republican,,,,,
SDL000099,member,2011-2012,31,lower,sd,Republican,,,,,
SDL000099,committee member,2011-2012,,lower,sd,,SDC000012,Government Operations and Audit,,,
SDL000099,committee member,2011-2012,,lower,sd,,SDC000004,Judiciary,,,
SDL000099,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000146,member,2011-2012,19,lower,sd,Republican,,,,,
SDL000146,committee member,2011-2012,,lower,sd,,SDC000001,Agriculture and Natural Resources,,,
SDL000146,committee member,2011-2012,,lower,sd,,SDC000006,Transportation,,,
SDL000150,member,2011-2012,11,lower,sd,Republican,,,,,
SDL000150,committee member,2011-2012,,lower,sd,,SDC000007,Commerce and Energy,,,
SDL000150,committee member,2011-2012,,lower,sd,,SDC000005,Taxation,,,
SDL000051,member,2009-2010,8,lower,sd,Democratic,,,,,
SDL000051,member,2011-2012,8,lower,sd,Democratic,,,,,
SDL000051,committee member,2011-2012,,lower,sd,,SDC000007,Commerce and Energy,,,
SDL000051,committee member,2011-2012,,lower,sd,,SDC000010,Legislative Procedure,,,
SDL000051,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000008,member,2009-2010,6,upper,sd,Republican,,,,,
SDL000008,member,2011-2012,6,upper,sd,Republican,,,,,
SDL000008,committee member,2011-2012,,upper,sd,,SDC000024,Agriculture and Natural Resources,,,
SDL000008,committee member,2011-2012,,upper,sd,,SDC000023,Taxation,,,
SDL000008,committee member,2011-2012,,upper,sd,,SDC000021,Transportation,,,
SDL000015,member,2009-2010,35,upper,sd,Republican,,,,,
SDL000015,member,2011-2012,35,upper,sd,Republican,,,,,
SDL000015,committee member,2011-2012,,upper,sd,,SDC000014,Appropriations,,,
SDL000015,committee member,2011-2012,,upper,sd,,SDC000025,Government Operations and Audit,,,
SDL000003,member,2009-2010,25,upper,sd,Democratic,,,,,
SDL000007,member,2009-2010,9,upper,sd,Republican,,,,,
SDL000009,member,2009-2010,11,upper,sd,Republican,,,,,
SDL000011,member,2009-2010,16,upper,sd,Democratic,,,,,
SDL000014,member,2009-2010,1,upper,sd,Democratic,,,,,
SDL000016,member,2009-2010,13,upper,sd,Democratic,,,,,
SDL000017,member,2009-2010,30,upper,sd,Republican,,,,,
SDL000020,member,2009-2010,12,upper,sd,Democratic,,,,,
SDL000022,member,2009-2010,14,upper,sd,Republican,,,,,
SDL000024,member,2009-2010,7,upper,sd,Democratic,,,,,
SDL000025,member,2009-2010,15,upper,sd,Democratic,,,,,
SDL000027,member,2009-2010,17,upper,sd,Democratic,,,,,
SDL000032,member,2009-2010,33,upper,sd,Republican,,,,,
SDL000034,member,2009-2010,5,upper,sd,Democratic,,,,,
SDL000040,member,2009-2010,22,lower,sd,Democratic,,,,,
SDL000044,member,2009-2010,12,lower,sd,Republican,,,,,
SDL000046,member,2009-2010,21,lower,sd,Republican,,,,,
SDL000049,member,2009-2010,9,lower,sd,Democratic,,,,,
SDL000050,member,2009-2010,5,lower,sd,Republican,,,,,
SDL000058,member,2009-2010,20,lower,sd,Republican,,,,,
SDL000070,member,2009-2010,8,lower,sd,Democratic,,,,,
SDL000074,member,2009-2010,34,lower,sd,Republican,,,,,
SDL000076,member,2009-2010,6,lower,sd,Republican,,,,,
SDL000080,member,2009-2010,24,lower,sd,Republican,,,,,
SDL000082,member,2009-2010,7,lower,sd,Republican,,,,,
SDL000092,member,2009-2010,11,lower,sd,Democratic,,,,,
SDL000094,member,2009-2010,25,lower,sd,Democratic,,,,,
SDL000097,member,2009-2010,13,lower,sd,Democratic,,,,,
SDL000101,member,2009-2010,15,lower,sd,Democratic,,,,,
SDL000039,member,2009-2010,29,lower,sd,Republican,,,,,
SDL000039,member,2011-2012,29,lower,sd,Republican,,,,,
SDL000039,committee member,2011-2012,,lower,sd,,SDC000001,Agriculture and Natural Resources,,,
SDL000039,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000048,member,2009-2010,2,lower,sd,Democratic,,,,,
SDL000048,member,2011-2012,2,lower,sd,Democratic,,,,,
SDL000048,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000048,committee member,2011-2012,,lower,sd,,SDC000006,Transportation,,,
SDL000061,member,2009-2010,10,lower,sd,Republican,,,,,
SDL000061,member,2011-2012,10,lower,sd,Republican,,,,,
SDL000061,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000061,committee member,2011-2012,,lower,sd,,SDC000004,Judiciary,,,
SDL000061,committee member,2011-2012,,lower,sd,,SDC000010,Legislative Procedure,,,
SDL000062,member,2009-2010,27,lower,sd,Democratic,,,,,
SDL000062,member,2011-2012,27,lower,sd,Democratic,,,,,
SDL000062,committee member,2011-2012,,lower,sd,,SDC000008,Health and Human Services,,,
SDL000062,committee member,2011-2012,,lower,sd,,SDC000006,Transportation,,,
SDL000064,member,2009-2010,21,lower,sd,Republican,,,,,
SDL000064,member,2011-2012,21,lower,sd,Republican,,,,,
SDL000064,committee member,2011-2012,,lower,sd,,SDC000003,Appropriations,,,
SDL000064,committee member,2011-2012,,lower,sd,,SDC000012,Government Operations and Audit,,,
SDL000021,member,2009-2010,19,upper,sd,Democratic,,,,,
SDL000021,member,2011-2012,19,lower,sd,Democratic,,,,,
SDL000021,committee member,2011-2012,,lower,sd,,SDC000001,Agriculture and Natural Resources,,,
SDL000021,committee member,2011-2012,,lower,sd,,SDC000002,Local Government,,,
SDL000075,member,2009-2010,18,lower,sd,Republican,,,,,
SDL000075,member,2011-2012,18,lower,sd,Republican,,,,,
SDL000075,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000075,committee member,2011-2012,,lower,sd,,SDC000005,Taxation,,,
SDL000084,member,2009-2010,4,lower,sd,Republican,,,,,
SDL000084,member,2011-2012,4,lower,sd,Republican,,,,,
SDL000084,committee member,2011-2012,,lower,sd,,SDC000010,Legislative Procedure,,,
SDL000084,committee member,2011-2012,,lower,sd,,SDC000002,Local Government,,,
SDL000084,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000096,member,2009-2010,4,lower,sd,Democratic,,,,,
SDL000096,member,2011-2012,4,lower,sd,Democratic,,,,,
SDL000096,committee member,2011-2012,,lower,sd,,SDC000001,Agriculture and Natural Resources,,,
SDL000096,committee member,2011-2012,,lower,sd,,SDC000006,Transportation,,,
SDL000102,member,2009-2010,26B,lower,sd,Republican,,,,,
SDL000102,member,2011-2012,26B,lower,sd,Republican,,,,,
SDL000102,committee member,2011-2012,,lower,sd,,SDC000001,Agriculture and Natural Resources,,,
SDL000102,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000147,member,2011-2012,24,lower,sd,Republican,,,,,
SDL000147,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000147,committee member,2011-2012,,lower,sd,,SDC000002,Local Government,,,
SDL000018,member,2009-2010,2,upper,sd,Democratic,,,,,
SDL000018,member,2011-2012,2,upper,sd,Democratic,,,,,
SDL000018,committee member,2011-2012,,upper,sd,,SDC000025,Government Operations and Audit,,,
SDL000018,committee member,2011-2012,,upper,sd,,SDC000023,Taxation,,,
SDL000018,committee member,2011-2012,,upper,sd,,SDC000021,Transportation,,,
SDL000010,member,2009-2010,21,upper,sd,Republican,,,,,
SDL000010,member,2011-2012,21,upper,sd,Republican,,,,,
SDL000010,committee member,2011-2012,,upper,sd,,SDC000024,Agriculture and Natural Resources,,,
SDL000010,committee member,2011-2012,,upper,sd,,SDC000016,Education,,,
SDL000010,committee member,2011-2012,,upper,sd,,SDC000020,State Affairs,,,
SDL000026,member,2009-2010,31,upper,sd,Republican,,,,,
SDL000026,member,2011-2012,31,upper,sd,Republican,,,,,
SDL000026,committee member,2011-2012,,upper,sd,,SDC000022,Commerce and Energy,,,
SDL000026,committee member,2011-2012,,upper,sd,,SDC000018,Local Government,,,
SDL000026,committee member,2011-2012,,upper,sd,,SDC000026,Retirement Laws,,,
SDL000026,committee member,2011-2012,,upper,sd,,SDC000023,Taxation,,,
SDL000045,member,2009-2010,14,lower,sd,Republican,,,,,
SDL000045,member,2011-2012,14,upper,sd,Republican,,,,,
SDL000045,committee member,2011-2012,,upper,sd,,SDC000019,Judiciary,,,
SDL000045,committee member,2011-2012,,upper,sd,,SDC000020,State Affairs,,,
SDL000045,committee member,2011-2012,,upper,sd,,SDC000021,Transportation,,,
SDL000089,member,2009-2010,11,lower,sd,Republican,,,,,
SDL000089,member,2011-2012,11,upper,sd,Republican,,,,,
SDL000089,committee member,2011-2012,,upper,sd,,SDC000016,Education,,,
SDL000089,committee member,2011-2012,,upper,sd,,SDC000017,Health and Human Services,,,
SDL000089,committee member,2011-2012,,upper,sd,,SDC000018,Local Government,,,
SDL000013,member,2009-2010,22,upper,sd,Republican,,,,,
SDL000013,member,2011-2012,22,upper,sd,Republican,,,,,
SDL000013,committee member,2011-2012,,upper,sd,,SDC000024,Agriculture and Natural Resources,,,
SDL000013,committee member,2011-2012,,upper,sd,,SDC000023,Taxation,,,
SDL000013,committee member,2011-2012,,upper,sd,,SDC000021,Transportation,,,
SDL000012,member,2009-2010,24,upper,sd,Republican,,,,,
SDL000012,member,2011-2012,24,upper,sd,Republican,,,,,
SDL000012,committee member,2011-2012,,upper,sd,,SDC000016,Education,,,
SDL000012,committee member,2011-2012,,upper,sd,,SDC000015,Legislative Procedure,,,
SDL000012,committee member,2011-2012,,upper,sd,,SDC000020,State Affairs,,,
SDL000001,member,2009-2010,10,upper,sd,Republican,,,,,
SDL000001,member,2011-2012,10,lower,sd,Republican,,,,,
SDL000001,committee member,2011-2012,,lower,sd,,SDC000004,Judiciary,,,
SDL000001,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000038,member,2009-2010,17,lower,sd,Republican,,,,,
SDL000038,member,2011-2012,17,lower,sd,Republican,,,,,
SDL000038,committee member,2011-2012,,lower,sd,,SDC000008,Health and Human Services,,,
SDL000038,committee member,2011-2012,,lower,sd,,SDC000004,Judiciary,,,
SDL000047,member,2009-2010,2,lower,sd,Democratic,,,,,
SDL000047,member,2011-2012,2,lower,sd,Democratic,,,,,
SDL000047,committee member,2011-2012,,lower,sd,,SDC000003,Appropriations,,,
SDL000047,committee member,2011-2012,,lower,sd,,SDC000012,Government Operations and Audit,,,
SDL000086,member,2013-2014,31,lower,sd,Republican,,,,,
SDL000086,committee member,2013-2014,,lower,sd,,SDC000001,Appropriations,,,
SDL000086,member,2009-2010,31,lower,sd,Republican,,,,,
SDL000086,member,2011-2012,31,lower,sd,Republican,,,,,
SDL000086,committee member,2011-2012,,lower,sd,,SDC000003,Appropriations,,,
SDL000127,member,2013-2014,10,lower,sd,Republican,,,,,
SDL000127,committee member,2013-2014,,lower,sd,,SDC000005,Education,,,
SDL000127,committee member,2013-2014,,lower,sd,,SDC000006,Health and Human Services,,,
SDL000127,member,2011-2012,15,lower,sd,Independent,,,,,
SDL000127,committee member,2011-2012,,lower,sd,,SDC000009,Education,,,
SDL000127,committee member,2011-2012,,lower,sd,,SDC000008,Health and Human Services,,,
SDL000175,member,2013-2014,10,lower,sd,Republican,,,,,
SDL000175,committee member,2013-2014,,lower,sd,,SDC000001,Appropriations,,,
SDL000188,member,2013-2014,8,lower,sd,Democratic,,,,,
SDL000188,committee member,2013-2014,,lower,sd,,SDC000007,Commerce and Energy,,,
SDL000188,committee member,2013-2014,,lower,sd,,SDC000008,State Affairs,,,
SDL000198,member,2013-2014,18,lower,sd,Republican,,,,,
SDL000198,committee member,2013-2014,,lower,sd,,SDC000005,Education,,,
SDL000198,committee member,2013-2014,,lower,sd,,SDC000011,Judiciary,,,
SDL000200,member,2013-2014,4,lower,sd,Democratic,,,,,
SDL000200,committee member,2013-2014,,lower,sd,,SDC000005,Education,,,
SDL000200,committee member,2013-2014,,lower,sd,,SDC000004,Local Government,,,
SDL000041,member,2013-2014,20,lower,sd,Republican,,,,,
SDL000041,committee member,2013-2014,,lower,sd,,SDC000001,Appropriations,,,
SDL000041,member,2009-2010,20,lower,sd,Republican,,,,,
SDL000041,member,2011-2012,20,lower,sd,Republican,,,,,
SDL000041,committee member,2011-2012,,lower,sd,,SDC000003,Appropriations,,,
SDL000041,committee member,2011-2012,,lower,sd,,SDC000012,Government Operations and Audit,,,
SDL000043,member,2013-2014,23,lower,sd,Republican,,,,,
SDL000043,committee member,2013-2014,,lower,sd,,SDC000007,Commerce and Energy,,,
SDL000043,committee member,2013-2014,,lower,sd,,SDC000002,Government Operations and Audit,,,
SDL000043,committee member,2013-2014,,lower,sd,,SDC000008,State Affairs,,,
SDL000043,member,2009-2010,23,lower,sd,Republican,,,,,
SDL000043,member,2011-2012,23,lower,sd,Republican,,,,,
SDL000043,committee member,2011-2012,,lower,sd,,SDC000010,Legislative Procedure,,,
SDL000043,committee member,2011-2012,,lower,sd,,SDC000002,Local Government,,,
SDL000043,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000171,member,2013-2014,25,lower,sd,Republican,,,,,
SDL000171,committee member,2013-2014,,lower,sd,,SDC000005,Education,,,
SDL000171,committee member,2013-2014,,lower,sd,,SDC000006,Health and Human Services,,,
SDL000053,member,2013-2014,14,lower,sd,Democratic,,,,,
SDL000053,committee member,2013-2014,,lower,sd,,SDC000011,Judiciary,,,
SDL000053,committee member,2013-2014,,lower,sd,,SDC000013,Retirement Laws,,,
SDL000053,committee member,2013-2014,,lower,sd,,SDC000009,Taxation,,,
SDL000053,member,2009-2010,14,lower,sd,Democratic,,,,,
SDL000053,member,2011-2012,14,lower,sd,Democratic,,,,,
SDL000053,committee member,2011-2012,,lower,sd,,SDC000004,Judiciary,,,
SDL000053,committee member,2011-2012,,lower,sd,,SDC000013,Retirement Laws,,,
SDL000053,committee member,2011-2012,,lower,sd,,SDC000005,Taxation,,,
SDL000055,member,2013-2014,22,lower,sd,Democratic,,,,,
SDL000055,committee member,2013-2014,,lower,sd,,SDC000011,Judiciary,,,
SDL000055,committee member,2013-2014,,lower,sd,,SDC000008,State Affairs,,,
SDL000055,member,2009-2010,22,lower,sd,Democratic,,,,,
SDL000055,member,2011-2012,22,lower,sd,Democratic,,,,,
SDL000055,committee member,2011-2012,,lower,sd,,SDC000004,Judiciary,,,
SDL000055,committee member,2011-2012,,lower,sd,,SDC000011,State Affairs,,,
SDL000056,member,2013-2014,32,lower,sd,Republican,,,,,
SDL000056,committee member,2013-2014,,lower,sd,,SDC000011,Judiciary,,,
